rank,cp,ivs,maxlevel,stat-product,stats
1,2497,0 14 13,34,3822464,163.23 176.07 133
2,2496,1 14 14,33.5,3810172,163.34 175.39 133
3,2496,0 15 12,34,3810006,163.23 176.83 132
4,2498,0 8 15,34.5,3809551,163.86 172.21 135
5,2497,0 15 15,33.5,3808891,162.59 176.14 133
6,2490,0 15 14,33.5,3808891,162.59 176.14 133
7,2498,1 12 13,34,3807198,163.98 174.56 133
8,2497,0 13 11,34.5,3806940,163.86 176 132
9,2499,0 13 14,34,3806059,163.23 175.32 133
10,2492,0 13 13,34,3806059,163.23 175.32 133
11,2495,0 11 15,34,3801618,163.23 173.81 134
12,2500,1 15 11,34,3798648,163.98 176.83 131
13,2497,0 9 14,34.5,3797990,163.86 172.97 134
14,2495,1 15 13,33.5,3797754,163.34 176.14 132
15,2495,2 14 15,33,3797605,163.45 174.69 133
16,2489,1 15 15,33,3796408,162.7 175.44 133
17,2496,1 13 12,34,3794930,163.98 175.32 132
18,2497,2 12 14,33.5,3794875,164.09 173.88 133
19,2500,0 14 8,35,3794596,164.5 177.44 130
20,2495,0 14 10,34.5,3794385,163.86 176.76 131
21,2498,0 7 13,35,3793845,164.5 172.11 134
22,2498,1 13 15,33.5,3793820,163.34 174.63 133
23,2491,1 13 14,33.5,3793820,163.34 174.63 133
24,2490,0 14 12,34,3793724,163.23 176.07 132
25,2499,1 6 15,34.5,3793468,164.62 170.69 135
26,2493,0 7 15,34.5,3792769,163.86 171.45 135
27,2492,0 14 15,33.5,3792614,162.59 175.39 133
28,2485,0 14 14,33.5,3792614,162.59 175.39 133
29,2499,2 10 13,34,3791628,164.74 173.05 133
30,2498,1 11 11,34.5,3791595,164.62 174.48 132
31,2500,1 11 14,34,3790717,163.98 173.81 133
32,2493,1 11 13,34,3790717,163.98 173.81 133
33,2499,0 12 12,34.5,3790531,163.86 175.24 132
34,2492,0 12 11,34.5,3790531,163.86 175.24 132
35,2494,0 12 14,34,3789653,163.23 174.56 133
36,2487,0 12 13,34,3789653,163.23 174.56 133
37,2496,4 15 14,32.5,3789651,164.29 174.75 132
38,2500,0 10 11,35,3786829,164.5 174.4 132
39,2499,2 15 12,33.5,3786352,164.09 176.14 131
40,2500,3 14 14,33,3786340,164.2 174.69 132
41,2495,0 10 13,34.5,3786180,163.86 173.73 133
42,2496,1 9 15,34,3786008,163.98 172.3 134
43,2494,2 15 14,33,3785227,163.45 175.44 132
44,2490,0 10 15,34,3785089,163.23 173.05 134
45,2500,1 14 9,34.5,3782852,164.62 176.76 130
46,2495,2 13 13,33.5,3782646,164.09 174.63 132
47,2495,1 14 11,34,3782414,163.98 176.07 131
48,2496,3 12 15,33,3782278,164.2 173.19 133
49,2496,0 8 12,35,3782194,164.5 172.87 133
50,2497,1 7 14,34.5,3782103,164.62 171.45 134
51,2493,0 15 9,34.5,3781581,163.86 177.52 130
52,2498,0 15 7,35,3781568,164.5 178.21 129
53,2489,1 14 13,33.5,3781525,163.34 175.39 132
54,2491,0 8 14,34.5,3781332,163.86 172.21 134
55,2490,2 13 15,33,3781306,163.45 173.94 133
56,2488,0 15 11,34,3781142,163.23 176.83 131
57,2483,0 15 13,33.5,3780253,162.59 176.14 132
58,2484,1 14 15,33,3780184,162.7 174.69 133
59,2497,2 11 12,34,3779552,164.74 173.81 132
60,2498,3 10 14,33.5,3779276,164.85 172.37 133
61,2496,1 12 10,34.5,3779231,164.62 175.24 131
62,2491,1 12 12,34,3778573,163.98 174.56 132
63,2499,2 11 15,33.5,3778447,164.09 173.13 133
64,2492,2 11 14,33.5,3778447,164.09 173.13 133
65,2495,0 13 8,35,3778311,164.5 176.68 130
66,2490,0 13 10,34.5,3778100,163.86 176 131
67,2499,0 13 6,35.5,3778075,165.13 177.36 129
68,2497,0 6 11,35.5,3777696,165.13 172.01 133
69,2498,1 5 13,35,3777680,165.26 170.59 134
70,2493,1 12 15,33.5,3777467,163.34 173.88 133
71,2486,1 12 14,33.5,3777467,163.34 173.88 133
72,2485,0 13 12,34,3777442,163.23 175.32 132
73,2499,2 4 15,34.5,3777074,165.38 169.17 135
74,2498,0 1 15,35.5,3777065,165.13 168.19 136
75,2500,0 6 14,35,3777058,164.5 171.35 134
76,2492,0 6 13,35,3777058,164.5 171.35 134
77,2493,1 5 15,34.5,3776608,164.62 169.93 135
78,2495,5 15 15,32,3776435,164.38 174.05 132
79,2487,0 13 15,33.5,3776337,162.59 174.63 133
80,2487,0 6 15,34.5,3775986,163.86 170.69 135
81,2498,2 9 11,34.5,3775945,165.38 172.97 132
82,2499,3 8 13,34,3775754,165.5 171.54 133
83,2500,1 10 12,34.5,3775109,164.62 173.73 132
84,2492,1 10 11,34.5,3775109,164.62 173.73 132
