rank,cp,ivs,maxlevel,stat-product,stats
1,2492,7 15 15,41,3516939,175.76 135.2 148
2,2489,8 15 15,40.5,3513479,176.07 134.83 148
3,2496,8 14 15,41,3512071,176.56 134.41 148
4,2496,8 15 14,41,3508982,176.56 135.2 147
5,2490,8 15 13,41,3508982,176.56 135.2 147
6,2493,9 14 15,40.5,3508545,176.86 134.04 148
7,2500,9 13 15,41,3507016,177.35 133.61 148
8,2494,9 15 14,40.5,3505459,176.86 134.83 147
9,2500,9 14 14,41,3504054,177.35 134.41 147
10,2493,9 14 13,41,3504054,177.35 134.41 147
11,2497,10 13 15,40.5,3503425,177.66 133.24 148
12,2498,12 15 15,39.5,3502246,177.97 133.87 147
13,2481,6 15 15,41,3501025,174.97 135.2 148
14,2494,9 15 12,41,3500810,177.35 135.2 146
15,2498,10 14 14,40.5,3500466,177.66 134.04 147
16,2497,10 13 13,41,3498940,178.15 133.61 147
17,2498,10 15 13,40.5,3497225,177.66 134.83 146
18,2484,7 14 15,41,3496251,175.76 134.41 148
19,2494,10 15 15,40,3496215,177.03 134.35 147
20,2498,10 14 12,41,3495823,178.15 134.41 146
21,2485,7 15 14,41,3493176,175.76 135.2 147
22,2478,7 15 13,41,3493176,175.76 135.2 147
23,2498,10 15 11,41,3492423,178.15 135.2 145
24,2488,8 13 15,41,3491290,176.56 133.61 148
25,2498,11 14 15,40,3491166,177.82 133.56 147
26,2496,11 15 11,40.5,3488777,178.45 134.83 145
27,2489,8 14 14,41,3488341,176.56 134.41 147
28,2482,8 14 13,41,3488341,176.56 134.41 147
29,2498,11 15 14,40,3487934,177.82 134.35 146
30,2492,11 15 13,40,3487934,177.82 134.35 146
31,2487,11 15 15,39.5,3486749,177.18 133.87 147
32,2492,9 12 15,41,3486141,177.35 132.82 148
33,2469,5 15 15,41,3485111,174.17 135.2 148
34,2483,8 15 12,41,3485111,176.56 135.2 146
35,2500,12 14 11,40.5,3483669,179.24 134.04 145
36,2493,9 13 14,41,3483320,177.35 133.61 147
37,2486,9 13 13,41,3483320,177.35 133.61 147
38,2495,12 14 13,40,3482827,178.61 133.56 146
39,2490,10 12 15,40.5,3482571,177.66 132.45 148
40,2491,12 14 15,39.5,3481645,177.97 133.08 147
41,2487,9 15 13,40.5,3481612,176.86 134.83 146
42,2496,10 11 15,41,3480805,178.15 132.02 148
43,2483,9 15 15,40,3480607,176.24 134.35 147
44,2473,6 14 15,41,3480431,174.97 134.41 148
45,2487,9 14 12,41,3480217,177.35 134.41 146
46,2500,12 15 10,40.5,3480115,179.24 134.83 144
47,2490,10 13 14,40.5,3479753,177.66 133.24 147
48,2496,12 15 12,40,3479439,178.61 134.35 145
49,2492,12 15 14,39.5,3478421,177.97 133.87 146
50,2497,10 12 14,41,3478113,178.15 132.82 147
51,2490,10 12 13,41,3478113,178.15 132.82 147
52,2499,13 13 13,40,3477538,179.4 132.77 146
53,2474,6 15 14,41,3477369,174.97 135.2 147
54,2467,6 15 13,41,3477369,174.97 135.2 147
55,2493,11 11 15,40.5,3477171,178.45 131.66 148
56,2487,9 15 11,41,3476832,177.35 135.2 145
57,2491,10 14 13,40.5,3476653,177.66 134.04 146
58,2495,13 13 15,39.5,3476357,178.76 132.3 147
59,2487,10 14 15,40,3475649,177.03 133.56 147
60,2477,7 13 15,41,3475563,175.76 133.61 148
61,2499,11 10 15,41,3475282,178.94 131.22 148
62,2500,15 15 13,39,3475281,179.68 133.39 145
63,2490,10 13 12,41,3475138,178.15 133.61 146
64,2500,12 15 8,41,3475004,179.74 135.2 143
65,2494,11 12 14,40.5,3474482,178.45 132.45 147
66,2500,13 14 12,40,3474277,179.4 133.56 145
67,2495,15 15 15,38.5,3473901,179.03 132.9 146
68,2492,10 15 12,40.5,3473271,177.66 134.83 145
69,2495,13 14 14,39.5,3473261,178.76 133.08 146
70,2500,11 11 14,41,3472721,178.94 132.02 147
71,2493,11 11 13,41,3472721,178.94 132.02 147
72,2478,7 14 14,41,3472628,175.76 134.41 147
73,2471,7 14 13,41,3472628,175.76 134.41 147
74,2487,10 15 14,40,3472432,177.03 134.35 146
75,2491,10 14 11,41,3471879,178.15 134.41 145
76,2497,12 10 15,40.5,3471585,179.24 130.86 148
77,2495,11 13 13,40.5,3471510,178.45 133.24 146
78,2498,14 12 15,39.5,3470888,179.54 131.51 147
79,2500,13 15 11,40,3470733,179.4 134.35 144
80,2481,8 12 15,41,3470508,176.56 132.82 148
81,2490,11 13 15,40,3470508,177.82 132.77 147
82,2496,13 15 13,39.5,3469882,178.76 133.87 145
83,2494,11 12 12,41,3469874,178.94 132.82 146
84,2472,7 15 12,41,3469413,175.76 135.2 146
85,2458,4 15 15,41,3469198,173.38 135.2 148
86,2498,12 11 14,40.5,3469026,179.24 131.66 147
87,2491,13 15 15,39,3468687,178.11 133.39 146
88,2492,10 15 10,41,3468337,178.15 135.2 144
89,2495,11 14 12,40.5,3468255,178.45 134.04 145
90,2489,11 14 11,40.5,3468255,178.45 134.04 145
91,2499,14 13 14,39.5,3467919,179.54 132.3 146
92,2482,8 13 14,41,3467700,176.56 133.61 147
93,2475,8 13 13,41,3467700,176.56 133.61 147
94,2491,11 14 14,40,3467416,177.82 133.56 146
95,2484,11 14 13,40,3467416,177.82 133.56 146
96,2497,12 10 13,41,3467142,179.74 131.22 147
97,2495,11 13 11,41,3466743,178.94 133.61 145
98,2498,12 12 13,40.5,3466183,179.24 132.45 146
99,2500,13 9 15,40.5,3465813,180.04 130.07 148
100,2485,9 11 15,41,3465266,177.35 132.02 148
101,2494,12 12 15,40,3465183,178.61 131.98 147
102,2489,11 15 10,40.5,3464716,178.45 134.83 144
103,2499,14 14 13,39.5,3464667,179.54 133.08 145
104,2462,5 14 15,41,3464611,174.17 134.41 148
105,2476,8 14 12,41,3464611,176.56 134.41 146
106,2498,12 11 12,41,3464426,179.74 132.02 146
107,2485,11 15 12,40,3464044,177.82 134.35 145
108,2495,14 14 15,39,3463474,178.9 132.6 146
109,2495,11 14 10,41,3463328,178.94 134.41 144
110,2499,12 13 12,40.5,3463056,179.24 133.24 145
111,2492,12 13 11,40.5,3463056,179.24 133.24 145
112,2485,9 12 14,41,3462586,177.35 132.82 147
113,2479,9 12 13,41,3462586,177.35 132.82 147
114,2495,12 13 14,40,3462219,178.61 132.77 146
115,2488,12 13 13,40,3462219,178.61 132.77 146
116,2497,14 15 9,40,3461814,180.19 134.35 143
117,2463,5 15 14,41,3461563,174.17 135.2 147
118,2456,5 15 13,41,3461563,174.17 135.2 147
119,2498,12 12 11,41,3461424,179.74 132.82 145
120,2500,13 9 13,41,3461377,180.53 130.43 147
121,2476,8 15 11,41,3461241,176.56 135.2 145
122,2500,14 15 12,39.5,3461132,179.54 133.87 144
123,2493,14 15 11,39.5,3461132,179.54 133.87 144
124,2484,12 13 15,39.5,3461043,177.97 132.3 147
125,2496,14 15 14,39,3460105,178.9 133.39 145
126,2489,14 15 13,39,3460105,178.9 133.39 145
127,2488,10 10 15,41,3459837,178.15 131.22 148
128,2466,6 13 15,41,3459837,174.97 133.61 148
129,2497,13 11 15,40,3459674,179.4 131.19 147
130,2493,12 14 10,40.5,3459644,179.24 134.04 144
131,2496,11 15 9,41,3459628,178.94 135.2 143
132,2489,11 15 8,41,3459628,178.94 135.2 143
133,2479,9 13 12,41,3459624,177.35 133.61 146
134,2489,12 14 12,40,3458972,178.61 133.56 145
135,2484,14 15 15,38.5,3458731,178.25 132.9 146
136,2499,12 13 10,41,3458136,179.74 133.61 144
137,2498,15 13 15,39,3458081,179.68 131.82 146
138,2484,12 14 14,39.5,3457960,177.97 133.08 146
139,2496,13 12 11,40.5,3457674,180.04 132.45 145
140,2489,10 11 14,41,3457286,178.15 132.02 147
141,2482,10 11 13,41,3457286,178.15 132.02 147
142,2467,6 14 14,41,3456914,174.97 134.41 147
143,2460,6 14 13,41,3456914,174.97 134.41 147
144,2498,13 12 14,40,3456838,179.4 131.98 146
145,2492,13 12 13,40,3456838,179.4 131.98 146
146,2480,9 14 11,41,3456380,177.35 134.41 145
147,2493,12 15 9,40.5,3455948,179.24 134.83 143
148,2497,15 14 11,39.5,3455864,180.33 133.08 144
149,2487,13 12 15,39.5,3455665,178.76 131.51 147
150,2489,12 15 11,40,3455443,178.61 134.35 144
151,2470,7 12 15,41,3454875,175.76 132.82 148
