rank,cp,ivs,maxlevel,stat-product,stats
1,2497,1 15 15,38.5,3362626,185.28 124.3 146
2,2499,0 12 15,39.5,3356030,185.84 122.85 147
3,2500,2 14 15,38.5,3355576,186.07 123.52 146
4,2500,0 13 14,39.5,3354567,185.84 123.63 146
5,2497,0 14 15,39,3351656,185.17 123.97 146
6,2500,0 15 9,40,3351422,186.51 125.66 143
7,2496,0 15 11,39.5,3350762,185.84 125.21 144
8,2498,0 15 14,39,3349767,185.17 124.76 145
9,2491,0 15 13,39,3349767,185.17 124.76 145
10,2487,0 15 15,38.5,3348438,184.5 124.3 146
11,2500,1 13 15,39,3344555,185.96 123.19 146
12,2499,1 14 11,39.5,3343797,186.63 124.42 144
13,2500,3 15 15,38,3343204,186.16 123.85 145
14,2494,1 14 13,39,3342804,185.96 123.97 145
15,2500,1 15 10,39.5,3341592,186.63 125.21 143
16,2489,1 14 15,38.5,3341477,185.28 123.52 146
17,2495,1 15 12,39,3340761,185.96 124.76 144
18,2491,1 15 14,38.5,3339594,185.28 124.3 145
19,2497,2 13 13,39,3335663,186.74 123.19 145
20,2496,0 11 13,40,3335650,186.51 122.5 146
21,2491,0 11 15,39.5,3334517,185.84 122.06 147
22,2492,2 13 15,38.5,3334338,186.07 122.74 146
23,2497,0 12 12,40,3334176,186.51 123.29 145
24,2497,4 15 13,38,3334039,186.94 123.85 144
25,2498,2 14 12,39,3333758,186.74 123.97 144
26,2492,0 12 14,39.5,3333200,185.84 122.85 146
27,2493,2 14 14,38.5,3332593,186.07 123.52 145
28,2492,4 15 15,37.5,3332518,186.26 123.39 145
29,2498,0 13 11,40,3332407,186.51 124.08 144
30,2494,0 13 13,39.5,3331590,185.84 123.63 145
31,2499,2 15 11,39,3331560,186.74 124.76 143
32,2494,2 15 13,38.5,3330556,186.07 124.3 144
33,2489,0 13 15,39,3330443,185.17 123.19 146
34,2499,0 14 10,40,3330343,186.51 124.87 143
35,2492,0 14 9,40,3330343,186.51 124.87 143
36,2495,0 14 12,39.5,3329688,185.84 124.42 144
37,2488,0 14 11,39.5,3329688,185.84 124.42 144
38,2489,2 15 15,38,3329216,185.39 123.85 145
39,2490,0 14 14,39,3328700,185.17 123.97 145
40,2484,0 14 13,39,3328700,185.17 123.97 145
41,2499,3 12 13,39,3328342,187.53 122.4 145
42,2498,1 10 13,40,3328172,187.3 121.71 146
43,2493,0 15 8,40,3327985,186.51 125.66 142
44,2489,0 15 10,39.5,3327493,185.84 125.21 143
45,2494,1 10 15,39.5,3327043,186.63 121.27 147
46,2494,3 12 15,38.5,3327021,186.85 121.96 146
47,2499,5 14 13,38,3326875,187.72 123.07 144
48,2499,1 11 12,40,3326840,187.3 122.5 145
49,2485,0 15 12,39,3326665,185.17 124.76 144
50,2500,3 13 12,39,3326577,187.53 123.19 144
51,2495,1 11 14,39.5,3325867,186.63 122.06 146
52,2496,3 13 14,38.5,3325414,186.85 122.74 145
53,2494,5 14 15,37.5,3325357,187.03 122.62 145
54,2496,1 12 13,39.5,3324397,186.63 122.85 145
55,2497,3 14 13,38.5,3323515,186.85 123.52 144
56,2496,5 15 14,37.5,3323324,187.03 123.39 144
57,2495,1 13 9,40,3323288,187.3 124.08 143
58,2492,1 12 15,39,3323252,185.96 122.4 146
59,2497,1 13 12,39.5,3322634,186.63 123.63 144
60,2491,1 13 11,39.5,3322634,186.63 123.63 144
61,2492,3 14 15,38,3322178,186.16 123.07 145
62,2496,3 15 9,39,3322162,187.53 124.76 142
63,2493,1 13 14,39,3321647,185.96 123.19 145
64,2486,1 13 13,39,3321647,185.96 123.19 145
65,2498,3 15 12,38.5,3321324,186.85 124.3 143
66,2491,3 15 11,38.5,3321324,186.85 124.3 143
67,2496,1 14 8,40,3321067,187.3 124.87 142
68,2492,1 14 10,39.5,3320576,186.63 124.42 143
69,2500,2 9 13,40,3320513,188.09 120.92 146
70,2493,3 15 14,38,3320148,186.16 123.85 144
71,2487,3 15 13,38,3320148,186.16 123.85 144
72,2487,1 14 12,39,3319750,185.96 123.97 144
73,2497,4 11 15,38.5,3319526,187.63 121.18 146
74,2496,2 9 15,39.5,3319385,187.42 120.48 147
75,2483,1 14 14,38.5,3318590,185.28 123.52 145
76,2497,1 15 7,40,3318551,187.3 125.66 141
77,2497,2 10 14,39.5,3318352,187.42 121.27 146
78,2493,1 15 9,39.5,3318224,186.63 125.21 142
79,2498,4 12 14,38.5,3318059,187.63 121.96 145
80,2497,6 13 15,37.5,3318021,187.81 121.84 145
81,2488,1 15 11,39,3317562,185.96 124.76 143
82,2499,2 11 13,39.5,3317024,187.42 122.06 145
83,2484,1 15 13,38.5,3316562,185.28 124.3 144
84,2499,4 13 13,38.5,3316298,187.63 122.74 144
85,2498,6 14 14,37.5,3316126,187.81 122.62 144
86,2497,2 12 9,40,3316053,188.09 123.29 143
87,2494,2 11 15,39,3315882,186.74 121.62 146
88,2500,2 12 12,39.5,3315400,187.42 122.85 144
89,2493,2 12 11,39.5,3315400,187.42 122.85 144
90,2493,0 9 15,40,3315161,186.51 120.92 147
91,2498,4 14 9,39,3315081,188.31 123.97 142
92,2495,4 13 15,38,3314964,186.94 122.29 145
93,2496,8 15 15,36.5,3314867,187.95 122.48 144
94,2495,2 12 14,39,3314416,186.74 122.4 145
95,2489,2 12 13,39,3314416,186.74 122.4 145
96,2494,4 14 11,38.5,3314245,187.63 123.52 143
97,2494,0 10 14,40,3314130,186.51 121.71 146
98,2487,0 10 13,40,3314130,186.51 121.71 146
99,2498,2 13 8,40,3313972,188.09 124.08 142
100,2499,6 15 13,37.5,3313940,187.81 123.39 143
101,2494,2 13 10,39.5,3313482,187.42 123.63 143
102,2484,2 12 15,38.5,3313101,186.07 121.96 146
103,2496,4 14 14,38,3313071,186.94 123.07 144
104,2489,4 14 13,38,3313071,186.94 123.07 144
105,2483,0 10 15,39.5,3313004,185.84 121.27 147
106,2489,0 11 12,40,3312803,186.51 122.5 145
107,2490,2 13 12,39,3312658,186.74 123.19 144
108,2499,4 15 8,39,3312569,188.31 124.76 141
109,2494,6 15 15,37,3312405,187.11 122.94 144
110,2495,4 15 10,38.5,3311898,187.63 124.3 142
111,2499,5 10 15,38.5,3311851,188.41 120.4 146
112,2484,0 11 14,39.5,3311834,185.84 122.06 146
113,2499,2 14 7,40,3311594,188.09 124.87 141
114,2484,4 14 15,37.5,3311558,186.26 122.62 145
115,2498,3 8 15,39.5,3311546,188.21 119.7 147
116,2485,2 13 14,38.5,3311501,186.07 122.74 145
117,2495,2 14 9,39.5,3311268,187.42 124.42 142
118,2490,0 12 11,40,3311182,186.51 123.29 144
119,2490,4 15 12,38,3310886,186.94 123.85 143
120,2500,3 9 14,39.5,3310657,188.21 120.48 146
121,2491,2 14 11,39,3310607,186.74 123.97 143
122,2499,7 12 15,37.5,3310510,188.58 121.07 145
123,2486,0 12 13,39.5,3310370,185.84 122.85 145
124,2486,2 14 13,38.5,3309609,186.07 123.52 144
125,2485,4 15 14,37.5,3309535,186.26 123.39 144
126,2491,0 13 10,40,3309265,186.51 124.08 143
127,2484,0 13 9,40,3309265,186.51 124.08 143
128,2500,2 15 6,40,3308918,188.09 125.66 140
129,2496,2 15 8,39.5,3308759,187.42 125.21 141
130,2500,7 13 14,37.5,3308754,188.58 121.84 144
131,2500,3 11 9,40,3308640,188.88 122.5 143
132,2487,0 13 12,39.5,3308614,185.84 123.63 144
133,2496,3 10 15,39,3308331,187.53 120.83 146
134,2492,2 15 10,39,3308262,186.74 124.76 142
135,2485,2 15 9,39,3308262,186.74 124.76 142
136,2496,3 11 11,39.5,3307989,188.21 122.06 144
137,2497,5 12 15,38,3307574,187.72 121.51 145
138,2498,9 14 15,36.5,3307519,188.72 121.71 144
139,2495,1 8 15,40,3307449,187.3 120.13 147
140,2488,2 15 12,38.5,3307428,186.07 124.3 143
141,2485,0 14 8,40,3307054,186.51 124.87 142
142,2498,3 11 14,39,3307007,187.53 121.62 145
143,2491,3 11 13,39,3307007,187.53 121.62 145
144,2496,5 13 11,38.5,3306991,188.41 122.74 143
145,2497,1 9 14,40,3306561,187.3 120.92 146
146,2490,1 9 13,40,3306561,187.3 120.92 146
147,2483,2 15 14,38,3306256,185.39 123.85 144
148,2497,3 12 10,39.5,3306210,188.21 122.85 143
149,2498,5 13 14,38,3305819,187.72 122.29 144
150,2492,5 13 13,38,3305819,187.72 122.29 144
151,2486,3 11 15,38.5,3305694,186.85 121.18 146
152,2485,1 9 15,39.5,3305438,186.63 120.48 147
153,2492,3 12 12,39,3305388,187.53 122.4 144
154,2491,1 10 12,40,3305377,187.3 121.71 145
155,2499,9 15 14,36.5,3305338,188.72 122.48 143
156,2497,7 14 15,37,3305174,187.88 122.16 144
157,2497,5 14 10,38.5,3304781,188.41 123.52 142
158,2486,0 15 7,40,3304549,186.51 125.66 141
159,2487,1 10 14,39.5,3304410,186.63 121.27 146
160,2496,7 15 11,37.5,3304364,188.58 123.39 142
161,2487,5 13 15,37.5,3304310,187.03 121.84 145
162,2488,3 12 14,38.5,3304233,186.85 121.96 145
163,2498,3 13 9,39.5,3304135,188.21 123.63 142
164,2493,1 11 11,40,3303897,187.3 122.5 144
165,2493,5 14 12,38,3303772,187.72 123.07 143
166,2500,4 7 15,39.5,3303524,188.99 118.91 147
167,2494,3 13 11,39,3303476,187.53 123.19 143
168,2488,1 11 13,39.5,3303087,186.63 122.06 145
169,2498,7 15 14,37,3302995,187.88 122.94 143
170,2491,7 15 13,37,3302995,187.88 122.94 143
171,2489,3 13 13,38.5,3302481,186.85 122.74 144
172,2488,5 14 14,37.5,3302423,187.03 122.62 144
173,2498,5 15 9,38.5,3302277,188.41 124.3 141
174,2494,1 12 10,40,3302120,187.3 123.29 143
175,2487,1 12 9,40,3302120,187.3 123.29 143
176,2484,1 11 15,39,3301949,185.96 121.62 146
177,2499,3 14 8,39.5,3301764,188.21 124.42 141
178,2489,1 12 12,39.5,3301470,186.63 122.85 144
179,2483,1 12 11,39.5,3301470,186.63 122.85 144
180,2494,5 15 11,38,3301432,187.72 123.85 142
181,2486,7 15 15,36.5,3301281,187.18 122.48 144
182,2495,3 14 10,39,3301268,187.53 123.97 142
183,2488,3 14 9,39,3301268,187.53 123.97 142
184,2484,3 13 15,38,3301151,186.16 122.29 145
185,2499,4 9 15,39,3300601,188.31 120.05 146
