rank,cp,ivs,maxlevel,stat-product,stats
1,2485,15 15 15,40,3282161,188.09 145.42 120
2,2475,14 15 15,40,3268371,187.3 145.42 120
3,2479,15 14 15,40,3264323,188.09 144.62 120
4,2477,15 15 14,40,3254810,188.09 145.42 119
5,2465,13 15 15,40,3254580,186.51 145.42 120
6,2468,14 14 15,40,3250608,187.3 144.62 120
7,2472,15 13 15,40,3246486,188.09 143.83 120
8,2467,14 15 14,40,3241134,187.3 145.42 119
9,2454,12 15 15,40,3240790,185.72 145.42 120
10,2471,15 14 14,40,3237121,188.09 144.62 119
11,2458,13 14 15,40,3236892,186.51 144.62 120
12,2462,14 13 15,40,3232845,187.3 143.83 120
13,2465,15 12 15,40,3228648,188.09 143.04 120
14,2456,13 15 14,40,3227459,186.51 145.42 119
15,2469,15 15 13,40,3227459,188.09 145.42 118
16,2444,11 15 15,40,3226999,184.93 145.42 120
17,2460,14 14 14,40,3223519,187.3 144.62 119
18,2447,12 14 15,40,3223177,185.72 144.62 120
19,2464,15 13 14,40,3219432,188.09 143.83 119
20,2451,13 13 15,40,3219204,186.51 143.83 120
21,2455,14 12 15,40,3215082,187.3 143.04 120
22,2459,14 15 13,40,3213898,187.3 145.42 118
23,2446,12 15 14,40,3213783,185.72 145.42 119
24,2433,10 15 15,40,3213208,184.14 145.42 120
25,2458,15 11 15,40,3210810,188.09 142.25 120
26,2450,13 14 14,40,3209918,186.51 144.62 119
27,2462,15 14 13,40,3209918,188.09 144.62 118
28,2437,11 14 15,40,3209461,184.93 144.62 120
29,2453,14 13 14,40,3205905,187.3 143.83 119
30,2441,12 13 15,40,3205564,185.72 143.83 120
31,2457,15 12 14,40,3201742,188.09 143.04 119
32,2444,13 12 15,40,3201516,186.51 143.04 120
33,2448,13 15 13,40,3200337,186.51 145.42 118
34,2436,11 15 14,40,3200107,184.93 145.42 119
35,2461,15 15 12,40,3200107,188.09 145.42 117
36,2423,9 15 15,40,3199418,183.35 145.42 120
37,2448,14 11 15,40,3197319,187.3 142.25 120
38,2452,14 14 13,40,3196431,187.3 144.62 118
39,2439,12 14 14,40,3196317,185.72 144.62 119
40,2427,10 14 15,40,3195745,184.14 144.62 120
41,2451,15 10 15,40,3192972,188.09 141.46 120
42,2443,13 13 14,40,3192378,186.51 143.83 119
43,2456,15 13 13,40,3192378,188.09 143.83 118
44,2430,11 13 15,40,3191923,184.93 143.83 120
45,2447,14 12 14,40,3188290,187.3 143.04 119
46,2434,12 12 15,40,3187951,185.72 143.04 120
47,2438,12 15 13,40,3186776,185.72 145.42 118
