rank,cp,ivs,maxlevel,stat-product,stats
1,2138,15 15 15,40,4016660,113.8 173.87 203
2,2133,15 14 15,40,3998403,113.8 173.08 203
3,2134,15 15 14,40,3996874,113.8 173.87 202
4,2123,14 15 15,40,3988767,113.01 173.87 203
5,2128,15 13 15,40,3980145,113.8 172.29 203
6,2129,15 14 14,40,3978706,113.8 173.08 202
7,2130,15 15 13,40,3977087,113.8 173.87 201
8,2118,14 14 15,40,3970636,113.01 173.08 203
9,2119,14 15 14,40,3969118,113.01 173.87 202
10,2123,15 12 15,40,3961888,113.8 171.5 203
11,2108,13 15 15,40,3960873,112.22 173.87 203
12,2124,15 13 14,40,3960539,113.8 172.29 202
13,2125,15 14 13,40,3959010,113.8 173.08 201
14,2126,15 15 12,40,3957301,113.8 173.87 200
15,2114,14 13 15,40,3952505,113.01 172.29 203
16,2114,14 14 14,40,3951076,113.01 173.08 202
17,2115,14 15 13,40,3949469,113.01 173.87 201
18,2119,15 11 15,40,3943630,113.8 170.7 203
19,2104,13 14 15,40,3942870,112.22 173.08 203
20,2119,15 12 14,40,3942371,113.8 171.5 202
21,2104,13 15 14,40,3941362,112.22 173.87 202
22,2120,15 13 13,40,3940932,113.8 172.29 201
23,2121,15 14 12,40,3939313,113.8 173.08 200
24,2121,15 15 11,40,3937514,113.8 173.87 199
25,2117,15 15 10,40,3937514,113.8 173.87 199
26,2109,14 12 15,40,3934375,113.01 171.5 203
27,2109,14 13 14,40,3933035,113.01 172.29 202
28,2094,12 15 15,40,3932980,111.43 173.87 203
29,2110,14 14 13,40,3931517,113.01 173.08 201
30,2111,14 15 12,40,3929820,113.01 173.87 200
31,2114,15 10 15,40,3925373,113.8 169.91 203
32,2099,13 13 15,40,3924866,112.22 172.29 203
33,2114,15 11 14,40,3924204,113.8 170.7 202
34,2099,13 14 14,40,3923447,112.22 173.08 202
35,2115,15 12 13,40,3922854,113.8 171.5 201
36,2100,13 15 13,40,3921850,112.22 173.87 201
37,2116,15 13 12,40,3921325,113.8 172.29 200
38,2117,15 14 11,40,3919617,113.8 173.08 199
39,2112,15 14 10,40,3919617,113.8 173.08 199
40,2113,15 15 9,40,3917728,113.8 173.87 198
41,2104,14 11 15,40,3916244,113.01 170.7 203
42,2089,12 14 15,40,3915103,111.43 173.08 203
43,2105,14 12 14,40,3914994,113.01 171.5 202
44,2089,12 15 14,40,3913606,111.43 173.87 202
45,2105,14 13 13,40,3913565,113.01 172.29 201
46,2106,14 14 12,40,3911957,113.01 173.08 200
47,2107,14 15 11,40,3910171,113.01 173.87 199
48,2102,14 15 10,40,3910171,113.01 173.87 199
49,2109,15 9 15,40,3907115,113.8 169.12 203
50,2094,13 12 15,40,3906862,112.22 171.5 203
51,2110,15 10 14,40,3906036,113.8 169.91 202
52,2095,13 13 14,40,3905531,112.22 172.29 202
53,2079,11 15 15,40,3905087,110.64 173.87 203
54,2110,15 11 13,40,3904777,113.8 170.7 201
55,2095,13 14 13,40,3904024,112.22 173.08 201
56,2111,15 12 12,40,3903338,113.8 171.5 200
57,2096,13 15 12,40,3902338,112.22 173.87 200
58,2112,15 13 11,40,3901719,113.8 172.29 199
59,2108,15 13 10,40,3901719,113.8 172.29 199
60,2108,15 14 9,40,3899920,113.8 173.08 198
61,2099,14 10 15,40,3898113,113.01 169.91 203
62,2109,15 15 8,40,3897941,113.8 173.87 197
63,2084,12 13 15,40,3897226,111.43 172.29 203
64,2100,14 11 14,40,3896952,113.01 170.7 202
65,2085,12 14 14,40,3895817,111.43 173.08 202
66,2100,14 12 13,40,3895612,113.01 171.5 201
67,2085,12 15 13,40,3894231,111.43 173.87 201
68,2101,14 13 12,40,3894094,113.01 172.29 200
69,2102,14 14 11,40,3892397,113.01 173.08 199
70,2098,14 14 10,40,3892397,113.01 173.08 199
71,2098,14 15 9,40,3890521,113.01 173.87 198
72,2104,15 8 15,40,3888858,113.8 168.33 203
73,2089,13 11 15,40,3888858,112.22 170.7 203
74,2105,15 9 14,40,3887868,113.8 169.12 202
75,2090,13 12 14,40,3887616,112.22 171.5 202
76,2074,11 14 15,40,3887336,110.64 173.08 203
77,2105,15 10 13,40,3886699,113.8 169.91 201
78,2091,13 13 13,40,3886197,112.22 172.29 201
79,2075,11 15 14,40,3885850,110.64 173.87 202
80,2106,15 11 12,40,3885350,113.8 170.7 200
81,2091,13 14 12,40,3884601,112.22 173.08 200
82,2107,15 12 11,40,3883821,113.8 171.5 199
83,2103,15 12 10,40,3883821,113.8 171.5 199
84,2092,13 15 11,40,3882827,112.22 173.87 199
85,2088,13 15 10,40,3882827,112.22 173.87 199
86,2103,15 13 9,40,3882112,113.8 172.29 198
87,2104,15 14 8,40,3880223,113.8 173.08 197
88,2094,14 9 15,40,3879982,113.01 169.12 203
89,2079,12 12 15,40,3879348,111.43 171.5 203
90,2095,14 10 14,40,3878911,113.01 169.91 202
91,2105,15 15 7,40,3878155,113.8 173.87 196
92,2080,12 13 14,40,3878027,111.43 172.29 202
93,2096,14 11 13,40,3877660,113.01 170.7 201
94,2064,10 15 15,40,3877193,109.85 173.87 203
95,2081,12 14 13,40,3876530,111.43 173.08 201
96,2096,14 12 12,40,3876231,113.01 171.5 200
97,2081,12 15 12,40,3874857,111.43 173.87 200
98,2097,14 13 11,40,3874624,113.01 172.29 199
99,2093,14 13 10,40,3874624,113.01 172.29 199
100,2094,14 14 9,40,3872837,113.01 173.08 198
101,2094,14 15 8,40,3870872,113.01 173.87 197
102,2084,13 10 15,40,3870854,112.22 169.91 203
103,2099,15 7 15,40,3870600,113.8 167.54 203
104,2100,15 8 14,40,3869701,113.8 168.33 202
105,2085,13 11 14,40,3869701,112.22 170.7 202
106,2069,11 13 15,40,3869586,110.64 172.29 203
107,2100,15 9 13,40,3868621,113.8 169.12 201
108,2086,13 12 13,40,3868370,112.22 171.5 201
109,2070,11 14 14,40,3868187,110.64 173.08 202
110,2101,15 10 12,40,3867362,113.8 169.91 200
111,2086,13 13 12,40,3866863,112.22 172.29 200
112,2071,11 15 13,40,3866613,110.64 173.87 201
113,2102,15 11 11,40,3865923,113.8 170.7 199
114,2098,15 11 10,40,3865923,113.8 170.7 199
115,2087,13 14 11,40,3865178,112.22 173.08 199
116,2083,13 14 10,40,3865178,112.22 173.08 199
117,2099,15 12 9,40,3864304,113.8 171.5 198
