rank,cp,ivs,maxlevel,stat-product,stats
1,2500,1 15 15,20.5,3215279,193.54 137.29 121
2,2492,0 15 15,20.5,3205231,192.94 137.29 121
3,2494,1 14 15,20.5,3201115,193.54 136.69 121
4,2495,2 15 13,20.5,3198671,194.15 137.29 120
5,2497,2 13 15,20.5,3196910,194.15 136.09 121
6,2500,0 9 12,21,3196644,195.28 135.29 121
7,2498,3 14 13,20.5,3194501,194.75 136.69 120
8,2499,3 12 15,20.5,3192616,194.75 135.48 121
9,2498,4 15 11,20.5,3191779,195.36 137.29 119
10,2487,0 14 15,20.5,3191111,192.94 136.69 121
11,2496,0 5 15,21,3190667,195.28 132.84 123
12,2500,4 13 13,20.5,3190243,195.36 136.09 120
13,2494,1 15 14,20.5,3188707,193.54 137.29 120
14,2487,1 15 13,20.5,3188707,193.54 137.29 120
15,2500,9 15 15,20,3188683,195.95 135.61 120
16,2496,0 14 7,21,3187918,195.28 138.35 118
17,2500,5 14 11,20.5,3187557,195.96 136.69 119
18,2489,1 13 15,20.5,3186951,193.54 136.09 121
19,2498,0 12 9,21,3186483,195.28 137.12 119
20,2498,1 4 15,21,3185920,195.89 132.23 123
21,2496,2 14 14,20.5,3184580,194.15 136.69 120
22,2490,2 14 13,20.5,3184580,194.15 136.69 120
23,2499,0 10 11,21,3184571,195.28 135.9 120
24,2498,1 13 7,21,3183761,195.89 137.74 118
25,2491,2 12 15,20.5,3182701,194.15 135.48 121
26,2500,1 11 9,21,3182202,195.89 136.51 119
27,2494,0 8 12,21,3182180,195.28 134.67 121
28,2497,3 15 12,20.5,3181897,194.75 137.29 119
29,2490,3 15 11,20.5,3181897,194.75 137.29 119
30,2500,2 3 15,21,3181080,196.5 131.61 123
31,2498,3 13 14,20.5,3180366,194.75 136.09 120
32,2492,3 13 13,20.5,3180366,194.75 136.09 120
33,2496,0 6 14,21,3179311,195.28 133.45 122
34,2492,8 15 15,20,3178961,195.35 135.61 120
35,2486,0 15 14,20.5,3178742,192.94 137.29 120
36,2480,0 15 13,20.5,3178742,192.94 137.29 120
37,2493,3 11 15,20.5,3178364,194.75 134.88 121
38,2499,4 14 12,20.5,3177718,195.36 136.69 119
39,2493,4 14 11,20.5,3177718,195.36 136.69 119
40,2497,1 7 12,21,3177646,195.89 134.06 121
41,2481,0 13 15,20.5,3176992,192.94 136.09 121
42,2500,4 12 14,20.5,3176064,195.36 135.48 120
43,2494,4 12 13,20.5,3176064,195.36 135.48 120
44,2490,0 4 15,21,3175964,195.28 132.23 123
45,2495,0 15 6,21,3174888,195.28 138.96 117
46,2500,5 15 10,20.5,3174756,195.96 137.29 118
47,2488,1 14 14,20.5,3174659,193.54 136.69 120
48,2482,1 14 13,20.5,3174659,193.54 136.69 120
49,2498,1 5 14,21,3174648,195.89 132.84 122
50,2494,9 14 15,20,3174636,195.95 135.01 120
51,2495,4 10 15,20.5,3173937,195.36 134.27 121
52,2497,0 13 8,21,3173812,195.28 137.74 118
53,2491,0 13 7,21,3173812,195.28 137.74 118
54,2495,5 13 11,20.5,3173452,195.96 136.09 119
55,2499,2 6 12,21,3173021,196.5 133.45 121
56,2483,1 12 15,20.5,3172787,193.54 135.48 121
57,2499,0 11 10,21,3172258,195.28 136.51 119
58,2492,0 11 9,21,3172258,195.28 136.51 119
59,2489,2 15 12,20.5,3172016,194.15 137.29 119
60,2483,2 15 11,20.5,3172016,194.15 137.29 119
