rank,cp,ivs,maxlevel,stat-product,stats
1,2499,13 15 15,22.5,3493706,178.69 128.63 152
2,2500,10 14 11,23,3492835,178.74 129.41 151
3,2497,10 11 14,23,3486537,178.74 127.49 153
4,2499,11 10 14,23,3481451,179.38 126.85 153
5,2490,12 15 15,22.5,3481317,178.06 128.63 152
6,2498,10 12 13,23,3481155,178.74 128.13 152
7,2493,13 14 15,22.5,3476496,178.69 128 152
8,2499,10 13 12,23,3475544,178.74 128.77 151
9,2494,10 13 11,23,3475544,178.74 128.77 151
10,2495,14 13 15,22.5,3471552,179.32 127.36 152
11,2493,13 15 14,22.5,3470721,178.69 128.63 151
12,2496,11 12 11,23,3470648,179.38 128.13 151
13,2494,10 14 10,23,3469704,178.74 129.41 150
14,2496,10 10 15,23,3469017,178.74 126.85 153
15,2491,10 10 14,23,3469017,178.74 126.85 153
16,2481,11 15 15,22.5,3468928,177.42 128.63 152
17,2498,15 12 15,22.5,3466487,179.96 126.73 152
18,2496,14 14 14,22.5,3465871,179.32 128 151
19,2499,12 11 11,23,3465628,180.02 127.49 151
20,2497,11 13 10,23,3464902,179.38 128.77 150
21,2484,12 14 15,22.5,3464168,178.06 128 152
22,2492,10 11 13,23,3463749,178.74 127.49 152
23,2499,15 13 14,22.5,3460899,179.96 127.36 151
24,2500,12 12 10,23,3459977,180.02 128.13 150
25,2497,14 15 13,22.5,3459962,179.32 128.63 150
26,2492,14 15 12,22.5,3459962,179.32 128.63 150
27,2486,13 13 15,22.5,3459285,178.69 127.36 152
28,2494,11 10 13,23,3458696,179.38 126.85 152
29,2485,12 15 14,22.5,3458414,178.06 128.63 151
30,2493,10 12 12,23,3458253,178.74 128.13 151
31,2487,10 12 11,23,3458253,178.74 128.13 151
32,2472,10 15 15,22.5,3456539,176.79 128.63 152
33,2500,15 14 13,22.5,3455084,179.96 128 150
34,2494,15 14 12,22.5,3455084,179.96 128 150
35,2489,14 12 15,22.5,3454281,179.32 126.73 152
36,2487,13 14 14,22.5,3453624,178.69 128 151
37,2495,11 11 12,23,3453295,179.38 127.49 151
38,2490,11 11 11,23,3453295,179.38 127.49 151
39,2488,10 13 10,23,3452527,178.74 128.77 150
40,2475,11 14 15,22.5,3451840,177.42 128 152
41,2492,15 11 15,22.5,3449154,179.96 126.1 152
42,2495,15 15 11,22.5,3449040,179.96 128.63 149
43,2490,14 13 14,22.5,3448713,179.32 127.36 151
44,2498,12 10 12,23,3448213,180.02 126.85 151
45,2493,12 10 11,23,3448213,180.02 126.85 151
46,2488,13 15 13,22.5,3447736,178.69 128.63 150
47,2483,13 15 12,22.5,3447736,178.69 128.63 150
48,2491,11 12 10,23,3447664,179.38 128.13 150
49,2478,12 13 15,22.5,3447018,178.06 127.36 152
50,2485,10 10 13,23,3446344,178.74 126.85 152
51,2476,11 15 14,22.5,3446106,177.42 128.63 151
52,2493,15 12 14,22.5,3443681,179.96 126.73 151
53,2491,14 14 13,22.5,3442918,179.32 128 150
54,2486,14 14 12,22.5,3442918,179.32 128 150
55,2494,12 11 10,23,3442677,180.02 127.49 150
56,2480,13 12 15,22.5,3442075,178.69 126.73 152
57,2479,12 14 14,22.5,3441377,178.06 128 151
58,2486,10 11 12,23,3440962,178.74 127.49 151
59,2481,10 11 11,23,3440962,178.74 127.49 151
60,2466,10 14 15,22.5,3439512,176.79 128 152
61,2494,15 13 13,22.5,3437980,179.96 127.36 150
62,2488,15 13 12,22.5,3437980,179.96 127.36 150
63,2496,13 10 10,23,3437567,180.66 126.85 150
64,2483,14 11 15,22.5,3437010,179.32 126.1 152
65,2487,14 15 11,22.5,3436896,179.32 128.63 149
66,2481,13 13 14,22.5,3436527,178.69 127.36 151
67,2489,11 10 12,23,3435942,179.38 126.85 151
68,2484,11 10 11,23,3435942,179.38 126.85 151
69,2479,12 15 13,22.5,3435510,178.06 128.63 150
70,2474,12 15 12,22.5,3435510,178.06 128.63 150
71,2482,10 12 10,23,3435351,178.74 128.13 150
72,2469,11 13 15,22.5,3434751,177.42 127.36 152
73,2467,10 15 14,22.5,3433799,176.79 128.63 151
74,2489,15 14 11,22.5,3432050,179.96 128 149
75,2485,15 10 15,22.5,3431822,179.96 125.46 152
76,2484,14 12 14,22.5,3431555,179.32 126.73 151
77,2482,13 14 13,22.5,3430752,178.69 128 150
78,2477,13 14 12,22.5,3430752,178.69 128 150
79,2485,11 11 10,23,3430425,179.38 127.49 150
80,2471,12 12 15,22.5,3429869,178.06 126.73 152
81,2470,11 14 14,22.5,3429130,177.42 128 151
82,2486,15 11 14,22.5,3426463,179.96 126.1 151
83,2490,15 15 10,22.5,3425893,179.96 128.63 148
84,2485,14 13 13,22.5,3425874,179.32 127.36 150
85,2480,14 13 12,22.5,3425874,179.32 127.36 150
86,2487,12 10 10,23,3425377,180.02 126.85 150
87,2474,13 11 15,22.5,3424865,178.69 126.1 152
88,2478,13 15 11,22.5,3424751,178.69 128.63 149
89,2472,12 13 14,22.5,3424341,178.06 127.36 151
90,2480,10 10 12,23,3423670,178.74 126.85 151
91,2475,10 10 11,23,3423670,178.74 126.85 151
92,2471,11 15 13,22.5,3423284,177.42 128.63 150
93,2465,11 15 12,22.5,3423284,177.42 128.63 150
94,2460,10 13 15,22.5,3422484,176.79 127.36 152
95,2487,15 12 13,22.5,3420875,179.96 126.73 150
96,2482,15 12 12,22.5,3420875,179.96 126.73 150
97,2480,14 14 11,22.5,3419965,179.32 128 149
98,2476,14 10 15,22.5,3419738,179.32 125.46 152
99,2475,13 12 14,22.5,3419430,178.69 126.73 151
100,2473,12 14 13,22.5,3418587,178.06 128 150
101,2468,12 14 12,22.5,3418587,178.06 128 150
102,2476,10 11 10,23,3418174,178.74 127.49 150
103,2463,11 12 15,22.5,3417663,177.42 126.73 152
104,2461,10 14 14,22.5,3416883,176.79 128 151
105,2483,15 13 11,22.5,3415060,179.96 127.36 149
106,2478,14 11 14,22.5,3414398,179.32 126.1 151
107,2481,14 15 10,22.5,3413830,179.32 128.63 148
108,2476,13 13 13,22.5,3413768,178.69 127.36 150
109,2471,13 13 12,22.5,3413768,178.69 127.36 150
110,2478,11 10 10,23,3413187,179.38 126.85 150
111,2465,12 11 15,22.5,3412720,178.06 126.1 152
112,2469,12 15 11,22.5,3412607,178.06 128.63 149
113,2464,11 13 14,22.5,3412154,177.42 127.36 151
114,2462,10 15 13,22.5,3411058,176.79 128.63 150
115,2457,10 15 12,22.5,3411058,176.79 128.63 150
116,2480,15 10 14,22.5,3409244,179.96 125.46 151
117,2484,15 14 10,22.5,3409016,179.96 128 148
118,2479,14 12 13,22.5,3408830,179.32 126.73 150
119,2473,14 12 12,22.5,3408830,179.32 126.73 150
120,2472,13 14 11,22.5,3407881,178.69 128 149
121,2468,13 10 15,22.5,3407654,178.69 125.46 152
122,2466,12 12 14,22.5,3407304,178.06 126.73 151
123,2465,11 14 13,22.5,3406421,177.42 128 150
124,2459,11 14 12,22.5,3406421,177.42 128 150
125,2454,10 12 15,22.5,3405457,176.79 126.73 152
126,2481,15 11 13,22.5,3403771,179.96 126.1 150
127,2476,15 11 12,22.5,3403771,179.96 126.1 150
128,2474,14 13 11,22.5,3403035,179.32 127.36 149
129,2469,13 11 14,22.5,3402333,178.69 126.1 151
130,2473,13 15 10,22.5,3401767,178.69 128.63 148
131,2467,12 13 13,22.5,3401663,178.06 127.36 150
132,2462,12 13 12,22.5,3401663,178.06 127.36 150
133,2470,10 10 10,23,3400997,178.74 126.85 150
134,2456,11 11 15,22.5,3400575,177.42 126.1 152
135,2460,11 15 11,22.5,3400462,177.42 128.63 149
136,2455,10 13 14,22.5,3399968,176.79 127.36 151
137,2477,15 12 11,22.5,3398069,179.96 126.73 149
138,2471,14 10 14,22.5,3397240,179.32 125.46 151
139,2475,14 14 10,22.5,3397013,179.32 128 148
140,2470,13 12 13,22.5,3396785,178.69 126.73 150
141,2465,13 12 12,22.5,3396785,178.69 126.73 150
142,2463,12 14 11,22.5,3395796,178.06 128 149
143,2459,12 10 15,22.5,3395570,178.06 125.46 152
144,2457,11 12 14,22.5,3395179,177.42 126.73 151
145,2460,15 15 15,22,3395008,177.95 127.19 150
146,2456,10 14 13,22.5,3394255,176.79 128 150
147,2451,10 14 12,22.5,3394255,176.79 128 150
148,2478,15 13 10,22.5,3392140,179.96 127.36 148
149,2472,14 11 13,22.5,3391786,179.32 126.1 150
150,2467,14 11 12,22.5,3391786,179.32 126.1 150
151,2466,13 13 11,22.5,3391010,178.69 127.36 149
152,2460,12 11 14,22.5,3390268,178.06 126.1 151
153,2464,12 15 10,22.5,3389704,178.06 128.63 148
154,2458,11 13 13,22.5,3389557,177.42 127.36 150
155,2453,11 13 12,22.5,3389557,177.42 127.36 150
156,2448,10 11 15,22.5,3388430,176.79 126.1 152
157,2451,10 15 11,22.5,3388318,176.79 128.63 149
158,2475,15 10 13,22.5,3386666,179.96 125.46 150
159,2470,15 10 12,22.5,3386666,179.96 125.46 150
160,2468,14 12 11,22.5,3386104,179.32 126.73 149
161,2463,13 10 14,22.5,3385235,178.69 125.46 151
162,2466,13 14 10,22.5,3385009,178.69 128 148
163,2461,12 12 13,22.5,3384739,178.06 126.73 150
164,2456,12 12 12,22.5,3384739,178.06 126.73 150
165,2454,11 14 11,22.5,3383711,177.42 128 149
166,2450,11 10 15,22.5,3383487,177.42 125.46 152
167,2449,10 12 14,22.5,3383053,176.79 126.73 151
168,2452,14 15 15,22,3383053,177.32 127.19 150
169,2471,15 11 11,22.5,3381079,179.96 126.1 149
170,2469,14 13 10,22.5,3380196,179.32 127.36 148
171,2464,13 11 13,22.5,3379801,178.69 126.1 150
172,2458,13 11 12,22.5,3379801,178.69 126.1 150
173,2457,12 13 11,22.5,3378985,178.06 127.36 149
174,2454,15 14 15,22,3378283,177.95 126.57 150
175,2451,11 11 14,22.5,3378203,177.42 126.1 151
176,2455,11 15 10,22.5,3377641,177.42 128.63 148
177,2450,10 13 13,22.5,3377452,176.79 127.36 150
178,2472,15 12 10,22.5,3375264,179.96 126.73 148
179,2466,14 10 13,22.5,3374742,179.32 125.46 150
180,2461,14 10 12,22.5,3374742,179.32 125.46 150
181,2459,13 12 11,22.5,3374139,178.69 126.73 149
182,2454,12 10 14,22.5,3373231,178.06 125.46 151
183,2458,12 14 10,22.5,3373005,178.06 128 148
184,2452,11 12 13,22.5,3372694,177.42 126.73 150
185,2447,11 12 12,22.5,3372694,177.42 126.73 150
186,2455,15 15 14,22,3372374,177.95 127.19 149
187,2450,15 15 13,22,3372374,177.95 127.19 149
188,2462,14 11 11,22.5,3369174,179.32 126.1 149
189,2460,13 13 10,22.5,3368252,178.69 127.36 148
190,2455,12 11 13,22.5,3367816,178.06 126.1 150
191,2450,12 11 12,22.5,3367816,178.06 126.1 150
192,2448,11 13 11,22.5,3366960,177.42 127.36 149
193,2446,14 14 15,22,3366388,177.32 126.57 150
194,2446,10 15 10,22.5,3365578,176.79 128.63 148
195,2464,15 10 11,22.5,3364089,179.96 125.46 149
196,2463,14 12 10,22.5,3363379,179.32 126.73 148
197,2457,13 10 13,22.5,3362817,178.69 125.46 150
198,2452,13 10 12,22.5,3362817,178.69 125.46 150
199,2451,12 12 11,22.5,3362174,178.06 126.73 149
200,2448,15 13 15,22,3361559,177.95 125.94 150
201,2449,11 14 10,22.5,3361002,177.42 128 148
202,2447,14 15 14,22,3360500,177.32 127.19 149
203,2465,15 11 10,22.5,3358387,179.96 126.1 148
204,2453,13 11 11,22.5,3357269,178.69 126.1 149
205,2452,12 13 10,22.5,3356307,178.06 127.36 148
206,2446,11 11 13,22.5,3355830,177.42 126.1 150
207,2449,15 14 14,22,3355762,177.95 126.57 149
208,2456,14 10 11,22.5,3352243,179.32 125.46 149
209,2454,13 12 10,22.5,3351494,178.69 126.73 148
210,2449,12 10 13,22.5,3350892,178.06 125.46 150
211,2445,15 15 12,22,3349741,177.95 127.19 148
212,2457,14 11 10,22.5,3346562,179.32 126.1 148
213,2459,15 10 10,22.5,3341511,179.96 125.46 148
214,2447,13 10 11,22.5,3340398,178.69 125.46 149
215,2448,13 11 10,22.5,3334737,178.69 126.1 148
216,2451,14 10 10,22.5,3329745,179.32 125.46 148
