rank,cp,ivs,maxlevel,stat-product,stats
1,2500,1 15 15,31,3973962,157.14 167.47 151
2,2497,0 14 14,31.5,3970144,157.05 167.42 151
3,2497,0 15 13,31.5,3961302,157.05 168.16 150
4,2500,0 13 12,32,3958308,157.68 167.35 150
5,2495,1 14 15,31,3956456,157.14 166.74 151
6,2489,0 15 15,31,3955305,156.41 167.47 151
7,2498,1 12 14,31.5,3953571,157.79 165.94 151
8,2498,0 13 15,31.5,3952577,157.05 166.68 151
9,2492,0 13 14,31.5,3952577,157.05 166.68 151
10,2499,0 14 11,32,3949395,157.68 168.1 149
11,2494,1 15 14,31,3947645,157.14 167.47 150
12,2500,0 15 7,32.5,3945170,158.32 169.52 147
13,2498,1 13 13,31.5,3944922,157.79 166.68 150
14,2491,0 14 13,31.5,3943852,157.05 167.42 150
15,2499,0 6 15,32.5,3943397,158.32 162.8 153
16,2500,1 11 12,32,3941628,158.43 165.87 150
17,2498,1 14 9,32,3941393,158.43 168.1 148
18,2500,0 12 13,32,3940716,157.68 166.61 150
19,2494,0 12 12,32,3940716,157.68 166.61 150
20,2500,3 14 12,31,3940710,158.62 166.74 149
21,2498,0 15 10,32,3940246,157.68 168.84 148
22,2492,0 15 9,32,3940246,157.68 168.84 148
23,2496,2 12 15,31,3939854,157.88 165.26 151
24,2496,0 9 15,32,3939777,157.68 164.38 152
25,2500,2 15 13,31,3939737,157.88 167.47 149
26,2494,2 15 12,31,3939737,157.88 167.47 149
27,2489,1 13 15,31,3938949,157.14 166 151
28,2483,0 14 15,31,3937881,156.41 166.74 151
29,2497,0 10 11,32.5,3937013,158.32 165.79 150
30,2499,2 10 14,31.5,3936667,158.53 164.45 151
31,2497,1 14 12,31.5,3936038,157.79 167.42 149
32,2499,1 11 15,31.5,3935921,157.79 165.2 151
33,2493,1 11 14,31.5,3935921,157.79 165.2 151
34,2498,0 7 14,32.5,3935594,158.32 163.55 152
35,2492,0 12 15,31.5,3935010,157.05 165.94 151
36,2486,0 12 14,31.5,3935010,157.05 165.94 151
37,2491,0 15 12,31.5,3934894,157.05 168.16 149
38,2498,3 14 15,30.5,3934655,157.97 166.05 150
39,2492,2 15 15,30.5,3933683,157.23 166.79 150
40,2500,1 12 11,32,3932908,158.43 166.61 149
41,2498,1 15 8,32,3932084,158.43 168.84 147
42,2494,0 13 11,32,3931919,157.68 167.35 149
43,2499,3 15 11,31,3931582,158.62 167.47 148
44,2495,0 10 14,32,3931567,157.68 165.12 151
45,2495,2 13 14,31,3931234,157.88 166 150
46,2489,1 14 14,31,3930254,157.14 166.74 150
47,2500,5 15 14,30,3929506,158.78 166.1 149
48,2483,0 15 14,31,3929111,156.41 167.47 150
49,2500,1 13 7,32.5,3928856,159.06 168.03 147
50,2496,0 11 10,32.5,3928382,158.32 166.53 149
51,2498,2 11 13,31.5,3928212,158.53 165.2 150
52,2496,2 14 10,31.5,3927977,158.53 167.42 148
53,2500,0 14 8,32.5,3927791,158.32 168.77 147
54,2494,0 14 7,32.5,3927791,158.32 168.77 147
55,2498,0 8 13,32.5,3927554,158.32 164.29 151
56,2492,1 12 13,31.5,3927389,157.79 165.94 150
57,2496,1 15 11,31.5,3926921,157.79 168.16 148
58,2490,1 15 10,31.5,3926921,157.79 168.16 148
59,2497,4 14 13,30.5,3926603,158.7 166.05 149
60,2486,0 13 13,31.5,3926401,157.05 166.68 150
61,2497,3 15 14,30.5,3925718,157.97 166.79 149
62,2491,3 15 13,30.5,3925718,157.97 166.79 149
63,2499,1 4 15,32.5,3925649,159.06 161.3 153
64,2493,0 5 15,32.5,3925308,158.32 162.05 153
65,2499,2 12 9,32,3924854,159.17 166.61 148
66,2499,0 9 9,33,3924281,158.95 165.7 149
67,2500,4 12 12,31,3924003,159.36 165.26 149
68,2495,1 10 12,32,3923953,158.43 165.12 150
69,2499,1 13 10,32,3923953,158.43 167.35 148
70,2493,1 13 9,32,3923953,158.43 167.35 148
71,2494,3 13 12,31,3923274,158.62 166 149
72,2495,0 11 13,32,3923123,157.68 165.87 150
73,2489,0 11 12,32,3923123,157.68 165.87 150
74,2500,0 6 12,33,3922970,158.95 163.45 151
75,2496,3 10 15,31,3922922,158.62 163.78 151
76,2493,0 14 10,32,3922889,157.68 168.1 148
77,2487,0 14 9,32,3922889,157.68 168.1 148
78,2500,0 15 4,33,3922612,158.95 170.2 145
79,2496,1 7 15,32,3922539,158.43 162.89 152
80,2494,2 14 13,31,3922381,157.88 166.74 149
81,2488,2 14 12,31,3922381,157.88 166.74 149
82,2490,2 11 15,31,3922265,157.88 164.52 151
83,2490,0 8 15,32,3921950,157.68 163.63 152
84,2484,1 12 15,31,3921443,157.14 165.26 151
85,2488,1 15 13,31,3921327,157.14 167.47 149
86,2482,1 15 12,31,3921327,157.14 167.47 149
87,2497,1 8 11,32.5,3919948,159.06 164.29 150
88,2498,2 12 12,31.5,3919522,158.53 165.94 149
89,2496,0 12 9,32.5,3919515,158.32 167.28 148
90,2500,1 14 6,32.5,3919472,159.06 168.77 146
91,2499,3 8 14,31.5,3919432,159.27 162.97 151
92,2498,0 9 12,32.5,3919278,158.32 165.04 150
93,2491,0 9 11,32.5,3919278,158.32 165.04 150
94,2499,2 9 15,31.5,3918934,158.53 163.71 151
95,2493,2 9 14,31.5,3918934,158.53 163.71 151
96,2495,2 15 9,31.5,3918700,158.53 168.16 147
97,2491,1 13 12,31.5,3918622,157.79 166.68 149
98,2493,0 15 6,32.5,3918332,158.32 169.52 146
99,2493,1 10 15,31.5,3918272,157.79 164.45 151
100,2487,1 10 14,31.5,3918272,157.79 164.45 151
101,2499,1 5 14,32.5,3918047,159.06 162.05 152
102,2498,4 12 15,30.5,3917974,158.7 164.58 150
103,2493,0 6 14,32.5,3917623,158.32 162.8 152
