rank,cp,ivs,maxlevel,stat-product,stats
1,2498,1 15 13,22,3305645,188.6 123.43 142
2,2495,0 14 15,22,3301022,187.97 122.81 143
3,2500,2 14 13,22,3299791,189.22 122.81 142
4,2497,1 13 15,22,3295128,188.6 122.18 143
5,2496,0 15 14,22,3294663,187.97 123.43 142
6,2490,0 15 13,22,3294663,187.97 123.43 142
7,2498,2 12 15,22,3289121,189.22 121.55 143
8,2498,1 14 14,22,3288865,188.6 122.81 142
9,2492,1 14 13,22,3288865,188.6 122.81 142
10,2500,0 13 7,22.5,3288377,190.09 123.56 140
11,2488,0 13 15,22,3284180,187.97 122.18 143
12,2499,0 6 15,22.5,3283558,190.09 119.13 145
13,2500,3 11 15,22,3283002,189.85 120.93 143
14,2499,2 13 14,22,3282956,189.22 122.18 142
15,2494,2 13 13,22,3282956,189.22 122.18 142
16,2493,1 15 12,22,3282366,188.6 123.43 141
17,2498,3 15 10,22,3280741,189.85 123.43 140
18,2500,0 7 14,22.5,3278258,190.09 119.76 144
19,2490,1 12 15,22,3278230,188.6 121.55 143
20,2489,0 14 14,22,3277938,187.97 122.81 142
21,2484,0 14 13,22,3277938,187.97 122.81 142
22,2498,0 11 9,22.5,3277897,190.09 122.29 141
23,2500,1 5 15,22.5,3276980,190.73 118.49 145
24,2496,3 12 13,22,3276935,189.85 121.55 142
25,2495,2 14 12,22,3276553,189.22 122.81 141
26,2500,4 14 10,22,3274860,190.48 122.81 140
27,2496,0 15 4,22.5,3274645,190.09 124.83 138
28,2496,0 8 12,22.5,3272718,190.09 120.39 143
29,2492,2 11 15,22,3272167,189.22 120.93 143
30,2491,1 13 14,22,3272085,188.6 122.18 142
31,2486,1 13 13,22,3272085,188.6 122.18 142
32,2500,1 10 9,22.5,3271783,190.73 121.66 141
33,2496,7 15 14,21.5,3271688,190.16 122.02 141
34,2499,0 12 8,22.5,3271513,190.09 122.93 140
35,2494,0 12 7,22.5,3271513,190.09 122.93 140
36,2485,0 15 12,22,3271461,187.97 123.43 141
37,2498,4 11 13,22,3270803,190.48 120.93 142
38,2497,3 13 12,22,3270630,189.85 122.18 141
39,2496,2 15 11,22,3269914,189.22 123.43 140
40,2490,2 15 10,22,3269914,189.22 123.43 140
41,2498,1 14 4,22.5,3268882,190.73 124.2 138
42,2495,4 15 8,22,3268058,190.48 123.43 139
43,2482,0 12 15,22,3267338,187.97 121.55 143
44,2497,0 9 11,22.5,3266936,190.09 121.03 142
45,2497,1 7 12,22.5,3266344,190.73 119.76 143
46,2493,2 12 14,22,3266120,189.22 121.55 142
47,2488,2 12 13,22,3266120,189.22 121.55 142
48,2492,0 5 15,22.5,3266093,190.09 118.49 145
49,2494,3 10 15,22,3265991,189.85 120.3 143
50,2487,1 14 12,22,3265704,188.6 122.81 141
51,2498,8 14 14,21.5,3265683,190.78 121.4 141
52,2495,1 11 7,22.5,3265498,190.73 122.29 140
53,2494,0 13 6,22.5,3264888,190.09 123.56 139
54,2498,4 12 12,22,3264597,190.48 121.55 141
55,2499,5 10 13,22,3264559,191.1 120.3 142
56,2498,3 14 11,22,3264088,189.85 122.81 140
57,2492,3 14 10,22,3264088,189.85 122.81 140
