rank,cp,ivs,maxlevel,stat-product,stats
1,1926,15 15 15,40,2510334,147 116.17 147
2,1915,14 15 15,40,2496837,146.21 116.17 147
3,1919,15 14 15,40,2493257,147 115.38 147
4,1920,15 15 14,40,2493257,147 116.17 146
5,1915,15 15 13,40,2493257,147 116.17 146
6,1905,13 15 15,40,2483341,145.42 116.17 147
7,1909,14 14 15,40,2479852,146.21 115.38 147
8,1910,14 15 14,40,2479852,146.21 116.17 146
9,1905,14 15 13,40,2479852,146.21 116.17 146
10,1914,15 14 14,40,2476296,147 115.38 146
11,1909,15 14 13,40,2476296,147 115.38 146
12,1912,15 13 15,40,2476180,147 114.59 147
13,1910,15 15 12,40,2476180,147 116.17 145
14,1895,12 15 15,40,2469845,144.62 116.17 147
15,1898,13 14 15,40,2466448,145.42 115.38 147
16,1900,13 15 14,40,2466448,145.42 116.17 146
17,1895,13 15 13,40,2466448,145.42 116.17 146
18,1904,14 14 14,40,2462982,146.21 115.38 146
19,1898,14 14 13,40,2462982,146.21 115.38 146
20,1902,14 13 15,40,2462867,146.21 114.59 147
21,1900,14 15 12,40,2462867,146.21 116.17 145
22,1907,15 13 14,40,2459335,147 114.59 146
23,1902,15 13 13,40,2459335,147 114.59 146
24,1904,15 14 12,40,2459335,147 115.38 145
25,1906,15 12 15,40,2459103,147 113.8 147
26,1905,15 15 11,40,2459103,147 116.17 144
27,1884,11 15 15,40,2456348,143.83 116.17 147
28,1888,12 14 15,40,2453043,144.62 115.38 147
29,1889,12 15 14,40,2453043,144.62 116.17 146
30,1884,12 15 13,40,2453043,144.62 116.17 146
31,1893,13 14 14,40,2449669,145.42 115.38 146
32,1888,13 14 13,40,2449669,145.42 115.38 146
33,1892,13 13 15,40,2449554,145.42 114.59 147
34,1890,13 15 12,40,2449554,145.42 116.17 145
35,1897,14 13 14,40,2446113,146.21 114.59 146
36,1892,14 13 13,40,2446113,146.21 114.59 146
37,1893,14 14 12,40,2446113,146.21 115.38 145
38,1896,14 12 15,40,2445882,146.21 113.8 147
39,1895,14 15 11,40,2445882,146.21 116.17 144
40,1874,10 15 15,40,2442852,143.04 116.17 147
41,1897,15 13 12,40,2442490,147 114.59 145
42,1901,15 12 14,40,2442374,147 113.8 146
43,1896,15 12 13,40,2442374,147 113.8 146
44,1898,15 14 11,40,2442374,147 115.38 144
45,1899,15 11 15,40,2442025,147 113.01 147
46,1900,15 15 10,40,2442025,147 116.17 143
47,1894,15 15 9,40,2442025,147 116.17 143
48,1878,11 14 15,40,2439638,143.83 115.38 147
49,1879,11 15 14,40,2439638,143.83 116.17 146
50,1874,11 15 13,40,2439638,143.83 116.17 146
51,1883,12 14 14,40,2436356,144.62 115.38 146
52,1878,12 14 13,40,2436356,144.62 115.38 146
53,1882,12 13 15,40,2436241,144.62 114.59 147
54,1879,12 15 12,40,2436241,144.62 116.17 145
