rank,cp,ivs,maxlevel,stat-product,stats
1,2384,15 15 15,41,4140996,136.79 165.42 183
2,2378,15 14 15,41,4121087,136.79 164.63 183
3,2379,15 15 14,41,4118367,136.79 165.42 182
4,2374,15 15 13,41,4118367,136.79 165.42 182
5,2370,14 15 15,41,4116920,136 165.42 183
6,2373,15 13 15,41,4101178,136.79 163.83 183
7,2373,15 14 14,41,4098568,136.79 164.63 182
8,2368,15 14 13,41,4098568,136.79 164.63 182
9,2365,14 14 15,41,4097127,136 164.63 183
10,2369,15 15 12,41,4095739,136.79 165.42 181
11,2365,14 15 14,41,4094423,136 165.42 182
12,2360,14 15 13,41,4094423,136 165.42 182
13,2356,13 15 15,41,4092845,135.2 165.42 183
14,2367,15 12 15,41,4081270,136.79 163.04 183
15,2368,15 13 14,41,4078768,136.79 163.83 182
16,2362,15 13 13,41,4078768,136.79 163.83 182
17,2359,14 13 15,41,4077334,136 163.83 183
18,2363,15 14 12,41,4076048,136.79 164.63 181
19,2359,14 14 14,41,4074739,136 164.63 182
20,2354,14 14 13,41,4074739,136 164.63 182
21,2351,13 14 15,41,4073167,135.2 164.63 183
22,2363,15 15 11,41,4073111,136.79 165.42 180
23,2355,14 15 12,41,4071927,136 165.42 181
24,2351,13 15 14,41,4070479,135.2 165.42 182
25,2346,13 15 13,41,4070479,135.2 165.42 182
26,2343,12 15 15,41,4068769,134.41 165.42 183
27,2361,15 11 15,41,4061361,136.79 162.24 183
28,2362,15 12 14,41,4058968,136.79 163.04 182
29,2357,15 12 13,41,4058968,136.79 163.04 182
30,2353,14 12 15,41,4057542,136 163.04 183
31,2357,15 13 12,41,4056357,136.79 163.83 181
32,2354,14 13 14,41,4055054,136 163.83 182
33,2349,14 13 13,41,4055054,136 163.83 182
34,2358,15 14 11,41,4053528,136.79 164.63 180
35,2345,13 13 15,41,4053490,135.2 163.83 183
36,2349,14 14 12,41,4052350,136 164.63 181
37,2346,13 14 14,41,4050910,135.2 164.63 182
38,2341,13 14 13,41,4050910,135.2 164.63 182
39,2358,15 15 10,41,4050482,136.79 165.42 179
40,2350,14 15 11,41,4049430,136 165.42 180
41,2337,12 14 15,41,4049208,134.41 164.63 183
42,2341,13 15 12,41,4048114,135.2 165.42 181
43,2337,12 15 14,41,4046535,134.41 165.42 182
44,2332,12 15 13,41,4046535,134.41 165.42 182
45,2329,11 15 15,41,4044694,133.61 165.42 183
46,2355,15 10 15,41,4041453,136.79 161.45 183
47,2356,15 11 14,41,4039168,136.79 162.24 182
48,2351,15 11 13,41,4039168,136.79 162.24 182
49,2347,14 11 15,41,4037749,136 162.24 183
50,2351,15 12 12,41,4036666,136.79 163.04 181
51,2348,14 12 14,41,4035369,136 163.04 182
52,2343,14 12 13,41,4035369,136 163.04 182
53,2352,15 13 11,41,4033946,136.79 163.83 180
54,2339,13 12 15,41,4033813,135.2 163.04 183
55,2344,14 13 12,41,4032773,136 163.83 181
56,2340,13 13 14,41,4031340,135.2 163.83 182
57,2335,13 13 13,41,4031340,135.2 163.83 182
58,2353,15 14 10,41,4031009,136.79 164.63 179
59,2344,14 14 11,41,4029961,136 164.63 180
60,2331,12 13 15,41,4029646,134.41 163.83 183
61,2335,13 14 12,41,4028652,135.2 164.63 181
62,2353,15 15 9,41,4027854,136.79 165.42 178
63,2348,15 15 8,41,4027854,136.79 165.42 178
64,2332,12 14 14,41,4027081,134.41 164.63 182
65,2327,12 14 13,41,4027081,134.41 164.63 182
66,2345,14 15 10,41,4026933,136 165.42 179
67,2336,13 15 11,41,4025749,135.2 165.42 180
68,2323,11 14 15,41,4025248,133.61 164.63 183
69,2327,12 15 12,41,4024302,134.41 165.42 181
70,2324,11 15 14,41,4022591,133.61 165.42 182
71,2319,11 15 13,41,4022591,133.61 165.42 182
72,2350,15 9 15,41,4021544,136.79 160.65 183
73,2315,10 15 15,41,4020618,132.82 165.42 183
74,2350,15 10 14,41,4019368,136.79 161.45 182
75,2345,15 10 13,41,4019368,136.79 161.45 182
76,2342,14 10 15,41,4017956,136 161.45 183
77,2346,15 11 12,41,4016975,136.79 162.24 181
78,2342,14 11 14,41,4015684,136 162.24 182
79,2337,14 11 13,41,4015684,136 162.24 182
80,2346,15 12 11,41,4014364,136.79 163.04 180
81,2334,13 11 15,41,4014136,135.2 162.24 183
82,2338,14 12 12,41,4013197,136 163.04 181
83,2334,13 12 14,41,4011771,135.2 163.04 182
84,2329,13 12 13,41,4011771,135.2 163.04 182
85,2347,15 13 10,41,4011535,136.79 163.83 179
86,2338,14 13 11,41,4010493,136 163.83 180
87,2326,12 12 15,41,4010085,134.41 163.04 183
88,2330,13 13 12,41,4009190,135.2 163.83 181
89,2347,15 14 9,41,4008489,136.79 164.63 178
90,2342,15 14 8,41,4008489,136.79 164.63 178
91,2326,12 13 14,41,4007626,134.41 163.83 182
92,2321,12 13 13,41,4007626,134.41 163.83 182
93,2339,14 14 10,41,4007573,136 164.63 179
94,2330,13 14 11,41,4006394,135.2 164.63 180
95,2317,11 13 15,41,4005802,133.61 163.83 183
96,2343,15 15 7,41,4005225,136.79 165.42 177
97,2322,12 14 12,41,4004954,134.41 164.63 181
98,2339,14 15 9,41,4004436,136 165.42 178
99,2334,14 15 8,41,4004436,136 165.42 178
100,2331,13 15 10,41,4003384,135.2 165.42 179
101,2318,11 14 14,41,4003252,133.61 164.63 182
102,2313,11 14 13,41,4003252,133.61 164.63 182
103,2322,12 15 11,41,4002068,134.41 165.42 180
104,2344,15 8 15,41,4001635,136.79 159.86 183
105,2309,10 14 15,41,4001288,132.82 164.63 183
106,2314,11 15 12,41,4000489,133.61 165.42 181
107,2344,15 9 14,41,3999568,136.79 160.65 182
108,2339,15 9 13,41,3999568,136.79 160.65 182
109,2310,10 15 14,41,3998647,132.82 165.42 182
110,2305,10 15 13,41,3998647,132.82 165.42 182
111,2336,14 9 15,41,3998163,136 160.65 183
112,2340,15 10 12,41,3997284,136.79 161.45 181
113,2301,9 15 15,41,3996542,132.02 165.42 183
114,2337,14 10 14,41,3996000,136 161.45 182
115,2331,14 10 13,41,3996000,136 161.45 182
116,2341,15 11 11,41,3994782,136.79 162.24 180
117,2328,13 10 15,41,3994459,135.2 161.45 183
118,2332,14 11 12,41,3993620,136 162.24 181
119,2329,13 11 14,41,3992201,135.2 162.24 182
120,2324,13 11 13,41,3992201,135.2 162.24 182
121,2341,15 12 10,41,3992062,136.79 163.04 179
122,2333,14 12 11,41,3991024,136 163.04 180
123,2320,12 11 15,41,3990523,134.41 162.24 183
124,2324,13 12 12,41,3989728,135.2 163.04 181
125,2342,15 13 9,41,3989124,136.79 163.83 178
126,2336,15 13 8,41,3989124,136.79 163.83 178
127,2333,14 13 10,41,3988212,136 163.83 179
128,2321,12 12 14,41,3988172,134.41 163.04 182
129,2316,12 12 13,41,3988172,134.41 163.04 182
130,2325,13 13 11,41,3987040,135.2 163.83 180
