rank,cp,ivs,maxlevel,stat-product
1,1694,15 15 15,40,2237111
2,1689,15 14 15,40,2223553
3,1684,14 15 15,40,2223302
4,1689,15 15 14,40,2220417
5,1684,15 13 15,40,2209995
6,1679,14 14 15,40,2209828
7,1673,13 15 15,40,2209493
8,1684,15 14 14,40,2206960
9,1679,14 15 14,40,2206710
10,1684,15 15 13,40,2203722
11,1679,15 12 15,40,2196437
12,1673,14 13 15,40,2196353
13,1668,13 14 15,40,2196102
14,1663,12 15 15,40,2195683
15,1679,15 13 14,40,2193502
16,1674,14 14 14,40,2193336
17,1668,13 15 14,40,2193004
18,1679,15 14 13,40,2190366
19,1674,14 15 13,40,2190119
20,1679,15 15 12,40,2187027
21,1674,15 15 11,40,2187027
22,1673,15 11 15,40,2182878
23,1668,14 12 15,40,2182878
24,1663,13 13 15,40,2182711
25,1658,12 14 15,40,2182376
26,1652,11 15 15,40,2181874
27,1674,15 12 14,40,2180045
28,1668,14 13 14,40,2179962
29,1663,13 14 14,40,2179713
30,1658,12 15 14,40,2179298
31,1674,15 13 13,40,2177010
32,1669,14 14 13,40,2176845
33,1663,13 15 13,40,2176515
34,1674,15 14 12,40,2173772
35,1669,15 14 11,40,2173772
36,1669,14 15 12,40,2173527
37,1664,14 15 11,40,2173527
38,1669,15 15 10,40,2170332
39,1663,14 11 15,40,2169404
40,1668,15 10 15,40,2169320
41,1658,13 12 15,40,2169320
42,1653,12 13 15,40,2169069
43,1647,11 14 15,40,2168651
44,1642,10 15 15,40,2168065
45,1668,15 11 14,40,2166588
46,1663,14 12 14,40,2166588
47,1658,13 13 14,40,2166422
48,1653,12 14 14,40,2166090
49,1647,11 15 14,40,2165591
50,1669,15 12 13,40,2163654
51,1664,14 13 13,40,2163572
52,1658,13 14 13,40,2163324
53,1653,12 15 13,40,2162912
54,1669,15 13 12,40,2160517
55,1664,15 13 11,40,2160517
56,1664,14 14 12,40,2160354
57,1659,14 14 11,40,2160354
58,1658,13 15 12,40,2160027
59,1653,13 15 11,40,2160027
60,1664,15 14 10,40,2157178
61,1659,14 15 10,40,2156935
62,1658,14 10 15,40,2155929
63,1653,13 11 15,40,2155929
64,1663,15 9 15,40,2155762
65,1648,12 12 15,40,2155762
66,1642,11 13 15,40,2155427
67,1637,10 14 15,40,2154925
68,1631,9 15 15,40,2154255
69,1664,15 15 9,40,2153637
70,1658,14 11 14,40,2153214
71,1663,15 10 14,40,2153131
72,1653,13 12 14,40,2153131
73,1648,12 13 14,40,2152882
74,1642,11 14 14,40,2152467
75,1637,10 15 14,40,2151885
76,1664,15 11 13,40,2150298
77,1658,14 12 13,40,2150298
78,1653,13 13 13,40,2150133
79,1648,12 14 13,40,2149804
80,1643,11 15 13,40,2149309
81,1664,15 12 12,40,2147263
82,1659,15 12 11,40,2147263
83,1659,14 13 12,40,2147181
84,1654,14 13 11,40,2147181
85,1653,13 14 12,40,2146935
86,1648,13 14 11,40,2146935
87,1648,12 15 12,40,2146526
88,1643,12 15 11,40,2146526
89,1659,15 13 10,40,2144025
90,1654,14 14 10,40,2143863
91,1648,13 15 10,40,2143538
92,1648,13 10 15,40,2142538
93,1653,14 9 15,40,2142455
94,1642,12 11 15,40,2142455
95,1637,11 12 15,40,2142204
96,1658,15 8 15,40,2142204
97,1632,10 13 15,40,2141785
98,1626,9 14 15,40,2141199
99,1659,15 14 9,40,2140585
100,1621,8 15 15,40,2140446
101,1654,14 15 9,40,2140343
102,1653,14 10 14,40,2139840
103,1648,13 11 14,40,2139840
104,1658,15 9 14,40,2139674
105,1643,12 12 14,40,2139674
106,1637,11 13 14,40,2139342
107,1632,10 14 14,40,2138843
108,1627,9 15 14,40,2138179
109,1653,14 11 13,40,2137025
110,1658,15 10 13,40,2136942
111,1648,13 12 13,40,2136942
112,1659,15 15 8,40,2136942
113,1654,15 15 7,40,2136942
114,1643,12 13 13,40,2136695
115,1638,11 14 13,40,2136283
116,1632,10 15 13,40,2135706
117,1659,15 11 12,40,2134008
118,1654,15 11 11,40,2134008
119,1653,14 12 12,40,2134008
120,1649,14 12 11,40,2134008
121,1648,13 13 12,40,2133844
122,1643,13 13 11,40,2133844
123,1643,12 14 12,40,2133517
124,1638,12 14 11,40,2133517
125,1638,11 15 12,40,2133026
126,1633,11 15 11,40,2133026
127,1654,15 12 10,40,2130871
128,1649,14 13 10,40,2130790
129,1643,13 14 10,40,2130547
130,1638,12 15 10,40,2130141
131,1642,13 9 15,40,2129148
132,1637,12 10 15,40,2129148
133,1648,14 8 15,40,2128980
134,1632,11 11 15,40,2128980
135,1653,15 7 15,40,2128645
136,1627,10 12 15,40,2128645
137,1621,9 13 15,40,2128143
138,1654,15 13 9,40,2127532
139,1616,8 14 15,40,2127474
140,1649,14 14 9,40,2127371
141,1643,13 15 9,40,2127049
142,1610,7 15 15,40,2126637
143,1643,13 10 14,40,2126549
144,1648,14 9 14,40,2126466
145,1638,12 11 14,40,2126466
146,1653,15 8 14,40,2126217
147,1632,11 12 14,40,2126217
148,1627,10 13 14,40,2125802
149,1622,9 14 14,40,2125220
150,1616,8 15 14,40,2124473
151,1654,15 14 8,40,2123991
152,1649,15 14 7,40,2123991
153,1648,14 10 13,40,2123751
154,1643,13 11 13,40,2123751
155,1649,14 15 8,40,2123751
156,1644,14 15 7,40,2123751
157,1653,15 9 13,40,2123586
158,1638,12 12 13,40,2123586
159,1633,11 13 13,40,2123257
160,1627,10 14 13,40,2122762
161,1622,9 15 13,40,2122102
162,1648,14 11 12,40,2120835
163,1643,14 11 11,40,2120835
164,1653,15 10 12,40,2120753
165,1648,15 10 11,40,2120753
166,1643,13 12 12,40,2120753
167,1638,13 12 11,40,2120753
168,1638,12 13 12,40,2120508
169,1633,12 13 11,40,2120508
170,1649,15 15 6,40,2120247
171,1633,11 14 12,40,2120099
172,1628,11 14 11,40,2120099
173,1627,10 15 12,40,2119526
174,1622,10 15 11,40,2119526
175,1649,15 11 10,40,2117718
176,1644,14 12 10,40,2117718
177,1638,13 13 10,40,2117555
178,1633,12 14 10,40,2117231
179,1628,11 15 10,40,2116744
180,1632,12 9 15,40,2115840
181,1637,13 8 15,40,2115757
182,1627,11 10 15,40,2115757
183,1642,14 7 15,40,2115506
184,1622,10 11 15,40,2115506
185,1647,15 6 15,40,2115087
186,1616,9 12 15,40,2115087
187,1611,8 13 15,40,2114501
188,1649,15 12 9,40,2114480
189,1644,14 13 9,40,2114400
190,1638,13 14 9,40,2114158
191,1633,12 15 9,40,2113755
192,1606,7 14 15,40,2113748
193,1638,13 9 14,40,2113258
194,1632,12 10 14,40,2113258
195,1643,14 8 14,40,2113092
196,1627,11 11 14,40,2113092
197,1600,6 15 15,40,2112827
198,1648,15 7 14,40,2112760
199,1622,10 12 14,40,2112760
200,1617,9 13 14,40,2112262
201,1611,8 14 14,40,2111597
202,1649,15 13 8,40,2111040
203,1644,15 13 7,40,2111040
204,1644,14 14 8,40,2110880
205,1639,14 14 7,40,2110880
206,1606,7 15 14,40,2110766
207,1638,13 10 13,40,2110560
208,1638,13 15 8,40,2110560
209,1633,13 15 7,40,2110560
210,1643,14 9 13,40,2110478
211,1633,12 11 13,40,2110478
212,1648,15 8 13,40,2110230
213,1627,11 12 13,40,2110230
214,1622,10 13 13,40,2109818
215,1617,9 14 13,40,2109241
216,1611,8 15 13,40,2108499
217,1643,14 10 12,40,2107662
218,1638,14 10 11,40,2107662
219,1638,13 11 12,40,2107662
220,1633,13 11 11,40,2107662
221,1648,15 9 12,40,2107499
222,1643,15 9 11,40,2107499
223,1633,12 12 12,40,2107499
224,1628,12 12 11,40,2107499
225,1644,15 14 6,40,2107397
226,1628,11 13 12,40,2107171
227,1623,11 13 11,40,2107171
228,1638,14 15 6,40,2107159
229,1622,10 14 12,40,2106680
230,1617,10 14 11,40,2106680
231,1617,9 15 12,40,2106026
232,1612,9 15 11,40,2106026
233,1638,14 11 10,40,2104646
234,1643,15 10 10,40,2104564
235,1633,13 12 10,40,2104564
236,1628,12 13 10,40,2104321
237,1623,11 14 10,40,2103915
238,1643,15 15 5,40,2103553
239,1617,10 15 10,40,2103346
240,1627,12 8 15,40,2102533
241,1622,11 9 15,40,2102533
242,1632,13 7 15,40,2102366
243,1617,10 10 15,40,2102366
244,1637,14 6 15,40,2102031
245,1611,9 11 15,40,2102031
246,1642,15 5 15,40,2101529
247,1606,8 12 15,40,2101529
248,1644,15 11 9,40,2101428
249,1639,14 12 9,40,2101428
250,1633,13 13 9,40,2101267
251,1628,12 14 9,40,2100944
252,1601,7 13 15,40,2100859
253,1623,11 15 9,40,2100461
254,1627,12 9 14,40,2100051
255,1595,6 14 15,40,2100022
256,1632,13 8 14,40,2099967
257,1622,11 10 14,40,2099967
258,1637,14 7 14,40,2099718
259,1617,10 11 14,40,2099718
260,1642,15 6 14,40,2099303
261,1612,9 12 14,40,2099303
262,1589,5 15 15,40,2099018
263,1606,8 13 14,40,2098721
264,1644,15 12 8,40,2098089
265,1639,15 12 7,40,2098089
266,1639,14 13 8,40,2098009
267,1634,14 13 7,40,2098009
268,1601,7 14 14,40,2097974
269,1633,13 14 8,40,2097769
270,1628,13 14 7,40,2097769
271,1633,13 9 13,40,2097369
272,1628,12 10 13,40,2097369
273,1628,12 15 8,40,2097369
274,1623,12 15 7,40,2097369
275,1638,14 8 13,40,2097204
276,1622,11 11 13,40,2097204
277,1595,6 15 14,40,2097060
278,1643,15 7 13,40,2096875
279,1617,10 12 13,40,2096875
280,1612,9 13 13,40,2096380
281,1606,8 14 13,40,2095720
282,1601,7 15 13,40,2094896
283,1633,13 10 12,40,2094571
284,1628,13 10 11,40,2094571
285,1639,15 13 6,40,2094547
286,1638,14 9 12,40,2094489
287,1633,14 9 11,40,2094489
288,1628,12 11 12,40,2094489
289,1623,12 11 11,40,2094489
290,1633,14 14 6,40,2094389
291,1643,15 8 12,40,2094244
292,1638,15 8 11,40,2094244
293,1623,11 12 12,40,2094244
294,1618,11 12 11,40,2094244
295,1628,13 15 6,40,2094072
296,1617,10 13 12,40,2093835
297,1612,10 13 11,40,2093835
298,1612,9 14 12,40,2093262
299,1607,9 14 11,40,2093262
300,1606,8 15 12,40,2092526
301,1602,8 15 11,40,2092526
302,1633,14 10 10,40,2091573
303,1628,13 11 10,40,2091573
304,1638,15 9 10,40,2091411
305,1623,12 12 10,40,2091411
306,1618,11 13 10,40,2091086
307,1639,15 14 5,40,2090804
308,1613,10 14 10,40,2090599
309,1633,14 15 5,40,2090568
310,1607,9 15 10,40,2089949
311,1617,11 8 15,40,2089310
312,1622,12 7 15,40,2089226
313,1612,10 9 15,40,2089226
314,1627,13 6 15,40,2088975
315,1606,9 10 15,40,2088975
316,1632,14 5 15,40,2088557
317,1601,8 11 15,40,2088557
318,1633,14 11 9,40,2088456
319,1639,15 10 9,40,2088375
320,1628,13 12 9,40,2088375
321,1623,12 13 9,40,2088134
322,1596,7 12 15,40,2087971
323,1637,15 4 15,40,2087971
324,1618,11 14 9,40,2087731
325,1590,6 13 15,40,2087217
326,1613,10 15 9,40,2087167
327,1638,15 15 4,40,2086858
328,1622,12 8 14,40,2086843
329,1617,11 9 14,40,2086843
330,1627,13 7 14,40,2086677
331,1612,10 10 14,40,2086677
332,1632,14 6 14,40,2086344
333,1607,9 11 14,40,2086344
334,1585,5 14 15,40,2086297
335,1637,15 5 14,40,2085846
336,1601,8 12 14,40,2085846
337,1579,4 15 15,40,2085209
338,1596,7 13 14,40,2085181
339,1639,15 11 8,40,2085138
340,1634,15 11 7,40,2085138
341,1634,14 12 8,40,2085138
342,1629,14 12 7,40,2085138
343,1628,13 13 8,40,2084978
344,1623,13 13 7,40,2084978
345,1623,12 14 8,40,2084658
346,1618,12 14 7,40,2084658
347,1590,6 14 14,40,2084351
348,1623,12 9 13,40,2084261
349,1628,13 8 13,40,2084178
350,1617,11 10 13,40,2084178
351,1618,11 15 8,40,2084178
352,1613,11 15 7,40,2084178
353,1633,14 7 13,40,2083931
354,1612,10 11 13,40,2083931
