rank,cp,ivs,maxlevel,stat-product,stats
1,1951,15 15 15,41,2626357,144.74 134.41 135
2,1940,14 15 15,41,2611926,143.95 134.41 135
3,1945,15 14 15,41,2610816,144.74 133.61 135
4,1945,15 15 14,41,2606902,144.74 134.41 134
5,1929,13 15 15,41,2597496,143.15 134.41 135
6,1934,14 14 15,41,2596471,143.95 133.61 135
7,1939,15 13 15,41,2595276,144.74 132.82 135
8,1934,14 15 14,41,2592579,143.95 134.41 134
9,1939,15 14 14,41,2591477,144.74 133.61 134
10,1939,15 15 13,41,2587448,144.74 134.41 133
11,1919,12 15 15,41,2583065,142.36 134.41 135
12,1924,13 14 15,41,2582126,143.15 133.61 135
13,1928,14 13 15,41,2581016,143.95 132.82 135
14,1933,15 12 15,41,2579735,144.74 132.02 135
15,1924,13 15 14,41,2578255,143.15 134.41 134
16,1929,14 14 14,41,2577238,143.95 133.61 134
17,1933,15 13 14,41,2576051,144.74 132.82 134
18,1929,14 15 13,41,2573231,143.95 134.41 133
19,1933,15 14 13,41,2572138,144.74 133.61 133
20,1908,11 15 15,41,2568635,141.56 134.41 135
21,1933,15 15 12,41,2567993,144.74 134.41 132
22,1928,15 15 11,41,2567993,144.74 134.41 132
23,1913,12 14 15,41,2567781,142.36 133.61 135
24,1918,13 13 15,41,2566756,143.15 132.82 135
25,1923,14 12 15,41,2565561,143.95 132.02 135
26,1927,15 11 15,41,2564195,144.74 131.22 135
27,1913,12 15 14,41,2563931,142.36 134.41 134
28,1918,13 14 14,41,2562999,143.15 133.61 134
29,1923,14 13 14,41,2561897,143.95 132.82 134
30,1928,15 12 14,41,2560626,144.74 132.02 134
31,1918,13 15 13,41,2559014,143.15 134.41 133
32,1923,14 14 13,41,2558005,143.95 133.61 133
33,1928,15 13 13,41,2556827,144.74 132.82 133
34,1897,10 15 15,41,2554204,140.77 134.41 135
35,1923,14 15 12,41,2553884,143.95 134.41 132
36,1917,14 15 11,41,2553884,143.95 134.41 132
37,1902,11 14 15,41,2553436,141.56 133.61 135
38,1928,15 14 12,41,2552798,144.74 133.61 132
39,1922,15 14 11,41,2552798,144.74 133.61 132
40,1907,12 13 15,41,2552496,142.36 132.82 135
41,1912,13 12 15,41,2551386,143.15 132.02 135
42,1917,14 11 15,41,2550106,143.95 131.22 135
43,1902,11 15 14,41,2549608,141.56 134.41 134
44,1907,12 14 14,41,2548760,142.36 133.61 134
45,1922,15 10 15,41,2548654,144.74 130.43 135
46,1922,15 15 10,41,2548539,144.74 134.41 131
47,1912,13 13 14,41,2547743,143.15 132.82 134
48,1917,14 12 14,41,2546557,143.95 132.02 134
49,1922,15 11 14,41,2545201,144.74 131.22 134
50,1907,12 15 13,41,2544798,142.36 134.41 133
51,1912,13 14 13,41,2543872,143.15 133.61 133
52,1917,14 13 13,41,2542779,143.95 132.82 133
53,1922,15 12 13,41,2541517,144.74 132.02 133
54,1886,9 15 15,41,2539774,139.97 134.41 135
55,1912,13 15 12,41,2539774,143.15 134.41 132
56,1906,13 15 11,41,2539774,143.15 134.41 132
57,1891,10 14 15,41,2539091,140.77 133.61 135
58,1917,14 14 12,41,2538772,143.95 133.61 132
59,1911,14 14 11,41,2538772,143.95 133.61 132
60,1896,11 13 15,41,2538237,141.56 132.82 135
61,1922,15 13 12,41,2537603,144.74 132.82 132
62,1916,15 13 11,41,2537603,144.74 132.82 132
63,1901,12 12 15,41,2537212,142.36 132.02 135
64,1906,13 11 15,41,2536017,143.15 131.22 135
65,1892,10 15 14,41,2535284,140.77 134.41 134
66,1911,14 10 15,41,2534650,143.95 130.43 135
67,1911,14 15 10,41,2534536,143.95 134.41 131
68,1897,11 14 14,41,2534521,141.56 133.61 134
69,1902,12 13 14,41,2533589,142.36 132.82 134
70,1916,15 14 10,41,2533459,144.74 133.61 131
71,1916,15 9 15,41,2533113,144.74 129.63 135
72,1906,13 12 14,41,2532487,143.15 132.02 134
73,1911,14 11 14,41,2531216,143.95 131.22 134
74,1897,11 15 13,41,2530581,141.56 134.41 133
75,1916,15 10 14,41,2529775,144.74 130.43 134
76,1902,12 14 13,41,2529740,142.36 133.61 133
77,1916,15 15 9,41,2529084,144.74 134.41 130
78,1906,13 13 13,41,2528730,143.15 132.82 133
79,1911,14 12 13,41,2527552,143.95 132.02 133
80,1916,15 11 13,41,2526207,144.74 131.22 133
81,1902,12 15 12,41,2525664,142.36 134.41 132
82,1896,12 15 11,41,2525664,142.36 134.41 132
83,1876,8 15 15,41,2525343,139.18 134.41 135
84,1881,9 14 15,41,2524745,139.97 133.61 135
85,1906,13 14 12,41,2524745,143.15 133.61 132
86,1901,13 14 11,41,2524745,143.15 133.61 132
87,1886,10 13 15,41,2523977,140.77 132.82 135
88,1911,14 13 12,41,2523660,143.95 132.82 132
89,1906,14 13 11,41,2523660,143.95 132.82 132
90,1891,11 12 15,41,2523038,141.56 132.02 135
91,1916,15 12 12,41,2522408,144.74 132.02 132
92,1910,15 12 11,41,2522408,144.74 132.02 132
93,1896,12 11 15,41,2521928,142.36 131.22 135
94,1881,9 15 14,41,2520961,139.97 134.41 134
95,1900,13 10 15,41,2520647,143.15 130.43 135
96,1901,13 15 10,41,2520533,143.15 134.41 131
97,1886,10 14 14,41,2520283,140.77 133.61 134
98,1906,14 14 10,41,2519539,143.95 133.61 131
99,1891,11 13 14,41,2519435,141.56 132.82 134
100,1905,14 9 15,41,2519195,143.95 129.63 135
101,1896,12 12 14,41,2518418,142.36 132.02 134
102,1910,15 13 10,41,2518379,144.74 132.82 131
103,1910,15 8 15,41,2517573,144.74 128.84 135
104,1901,13 11 14,41,2517231,143.15 131.22 134
105,1886,10 15 13,41,2516364,140.77 134.41 133
106,1905,14 10 14,41,2515875,143.95 130.43 134
107,1891,11 14 13,41,2515607,141.56 133.61 133
108,1905,14 15 9,41,2515188,143.95 134.41 130
109,1896,12 13 13,41,2514682,142.36 132.82 133
110,1910,15 9 14,41,2514350,144.74 129.63 134
111,1910,15 14 9,41,2514119,144.74 133.61 130
112,1901,13 12 13,41,2513588,143.15 132.02 133
113,1906,14 11 13,41,2512326,143.95 131.22 133
114,1891,11 15 12,41,2511554,141.56 134.41 132
115,1885,11 15 11,41,2511554,141.56 134.41 132
116,1865,7 15 15,41,2510913,138.38 134.41 135
117,1910,15 10 13,41,2510896,144.74 130.43 133
118,1896,12 14 12,41,2510719,142.36 133.61 132
119,1890,12 14 11,41,2510719,142.36 133.61 132
120,1870,8 14 15,41,2510400,139.18 133.61 135
121,1875,9 13 15,41,2509717,139.97 132.82 135
122,1901,13 13 12,41,2509717,143.15 132.82 132
123,1895,13 13 11,41,2509717,143.15 132.82 132
124,1910,15 15 8,41,2509630,144.74 134.41 129
125,1880,10 12 15,41,2508863,140.77 132.02 135
126,1906,14 12 12,41,2508548,143.95 132.02 132
127,1900,14 12 11,41,2508548,143.95 132.02 132
128,1885,11 11 15,41,2507839,141.56 131.22 135
129,1910,15 11 12,41,2507212,144.74 131.22 132
130,1905,15 11 11,41,2507212,144.74 131.22 132
131,1890,12 10 15,41,2506643,142.36 130.43 135
132,1870,8 15 14,41,2506637,139.18 134.41 134
133,1890,12 15 10,41,2506530,142.36 134.41 131
134,1875,9 14 14,41,2506044,139.97 133.61 134
135,1895,13 14 10,41,2505619,143.15 133.61 131
136,1880,10 13 14,41,2505281,140.77 132.82 134
137,1895,13 9 15,41,2505277,143.15 129.63 135
138,1900,14 13 10,41,2504541,143.95 132.82 131
139,1885,11 12 14,41,2504349,141.56 132.02 134
140,1899,14 8 15,41,2503740,143.95 128.84 135
141,1905,15 12 10,41,2503299,144.74 132.02 131
142,1890,12 11 14,41,2503247,142.36 131.22 134
143,1875,9 15 13,41,2502147,139.97 134.41 133
144,1904,15 7 15,41,2502032,144.74 128.04 135
