rank,cp,ivs,maxlevel,stat-product,stats
1,1194,15 15 15,40,1365268,104.32 94.84 138
2,1191,15 15 14,40,1355375,104.32 94.84 137
3,1185,14 15 15,40,1354926,103.53 94.84 138
4,1189,15 14 15,40,1353891,104.32 94.05 138
5,1187,15 15 13,40,1345482,104.32 94.84 136
6,1182,14 15 14,40,1345107,103.53 94.84 137
7,1176,13 15 15,40,1344583,102.74 94.84 138
8,1186,15 14 14,40,1344080,104.32 94.05 137
9,1180,14 14 15,40,1343634,103.53 94.05 138
10,1184,15 13 15,40,1342514,104.32 93.26 138
11,1184,15 15 12,40,1335589,104.32 94.84 135
12,1180,15 15 11,40,1335589,104.32 94.84 135
13,1178,14 15 13,40,1335289,103.53 94.84 136
14,1173,13 15 14,40,1334839,102.74 94.84 137
15,1182,15 14 13,40,1334270,104.32 94.05 136
16,1167,12 15 15,40,1334240,101.95 94.84 138
17,1177,14 14 14,40,1333898,103.53 94.05 137
18,1171,13 14 15,40,1333378,102.74 94.05 138
19,1181,15 13 14,40,1332786,104.32 93.26 137
20,1175,14 13 15,40,1332343,103.53 93.26 138
21,1179,15 12 15,40,1331137,104.32 92.47 138
22,1177,15 15 10,40,1325695,104.32 94.84 134
23,1175,14 15 12,40,1325471,103.53 94.84 135
24,1172,14 15 11,40,1325471,103.53 94.84 135
25,1169,13 15 13,40,1325096,102.74 94.84 136
26,1164,12 15 14,40,1324571,101.95 94.84 137
27,1179,15 14 12,40,1324459,104.32 94.05 135
28,1176,15 14 11,40,1324459,104.32 94.05 135
29,1173,14 14 13,40,1324162,103.53 94.05 136
30,1158,11 15 15,40,1323897,101.16 94.84 138
31,1168,13 14 14,40,1323716,102.74 94.05 137
32,1162,12 14 15,40,1323121,101.95 94.05 138
33,1177,15 13 13,40,1323057,104.32 93.26 136
34,1172,14 13 14,40,1322689,103.53 93.26 137
35,1166,13 13 15,40,1322173,102.74 93.26 138
36,1176,15 12 14,40,1321491,104.32 92.47 137
37,1170,14 12 15,40,1321052,103.53 92.47 138
38,1174,15 11 15,40,1319760,104.32 91.67 138
39,1174,15 15 9,40,1315802,104.32 94.84 133
40,1168,14 15 10,40,1315652,103.53 94.84 134
41,1166,13 15 12,40,1315353,102.74 94.84 135
42,1163,13 15 11,40,1315353,102.74 94.84 135
43,1160,12 15 13,40,1314903,101.95 94.84 136
44,1172,15 14 10,40,1314648,104.32 94.05 134
45,1170,14 14 12,40,1314425,103.53 94.05 135
46,1167,14 14 11,40,1314425,103.53 94.05 135
47,1155,11 15 14,40,1314303,101.16 94.84 137
48,1164,13 14 13,40,1314053,102.74 94.05 136
49,1149,10 15 15,40,1313554,100.37 94.84 138
50,1159,12 14 14,40,1313533,101.95 94.05 137
51,1174,15 13 12,40,1313329,104.32 93.26 135
52,1171,15 13 11,40,1313329,104.32 93.26 135
53,1169,14 13 13,40,1313034,103.53 93.26 136
54,1153,11 14 15,40,1312864,101.16 94.05 138
55,1163,13 13 14,40,1312592,102.74 93.26 137
56,1157,12 13 15,40,1312002,101.95 93.26 138
57,1172,15 12 13,40,1311845,104.32 92.47 136
58,1167,14 12 14,40,1311480,103.53 92.47 137
59,1161,13 12 15,40,1310968,102.74 92.47 138
60,1171,15 11 14,40,1310196,104.32 91.67 137
61,1165,14 11 15,40,1309761,103.53 91.67 138
62,1169,15 10 15,40,1308382,104.32 90.88 138
63,1170,15 15 8,40,1305909,104.32 94.84 132
64,1165,14 15 9,40,1305834,103.53 94.84 133
65,1159,13 15 10,40,1305609,102.74 94.84 134
66,1157,12 15 12,40,1305234,101.95 94.84 135
67,1154,12 15 11,40,1305234,101.95 94.84 135
68,1169,15 14 9,40,1304837,104.32 94.05 133
69,1151,11 15 13,40,1304710,101.16 94.84 136
70,1163,14 14 10,40,1304689,103.53 94.05 134
71,1161,13 14 12,40,1304391,102.74 94.05 135
72,1158,13 14 11,40,1304391,102.74 94.05 135
73,1146,10 15 14,40,1304035,100.37 94.84 137
74,1156,12 14 13,40,1303945,101.95 94.05 136
75,1167,15 13 10,40,1303601,104.32 93.26 134
76,1165,14 13 12,40,1303379,103.53 93.26 135
77,1162,14 13 11,40,1303379,103.53 93.26 135
78,1150,11 14 14,40,1303351,101.16 94.05 137
79,1140,9 15 15,40,1303211,99.58 94.84 138
80,1160,13 13 13,40,1303011,102.74 93.26 136
81,1144,10 14 15,40,1302607,100.37 94.05 138
82,1154,12 13 14,40,1302495,101.95 93.26 137
83,1169,15 12 12,40,1302199,104.32 92.47 135
84,1166,15 12 11,40,1302199,104.32 92.47 135
85,1164,14 12 13,40,1301907,103.53 92.47 136
86,1148,11 13 15,40,1301832,101.16 93.26 138
87,1158,13 12 14,40,1301468,102.74 92.47 137
88,1152,12 12 15,40,1300884,101.95 92.47 138
89,1167,15 11 13,40,1300633,104.32 91.67 136
90,1162,14 11 14,40,1300270,103.53 91.67 137
91,1156,13 11 15,40,1299763,102.74 91.67 138
92,1166,15 10 14,40,1298901,104.32 90.88 137
93,1160,14 10 15,40,1298470,103.53 90.88 138
94,1164,15 9 15,40,1297005,104.32 90.09 138
95,1161,14 15 8,40,1296016,103.53 94.84 132
96,1167,15 15 7,40,1296016,104.32 94.84 131
97,1163,15 15 6,40,1296016,104.32 94.84 131
98,1156,13 15 9,40,1295866,102.74 94.84 133
99,1150,12 15 10,40,1295566,101.95 94.84 134
100,1148,11 15 12,40,1295116,101.16 94.84 135
101,1145,11 15 11,40,1295116,101.16 94.84 135
102,1165,15 14 8,40,1295026,104.32 94.05 132
103,1160,14 14 9,40,1294952,103.53 94.05 133
104,1154,13 14 10,40,1294729,102.74 94.05 134
105,1142,10 15 13,40,1294517,100.37 94.84 136
106,1152,12 14 12,40,1294357,101.95 94.05 135
107,1149,12 14 11,40,1294357,101.95 94.05 135
108,1164,15 13 9,40,1293872,104.32 93.26 133
109,1147,11 14 13,40,1293837,101.16 94.05 136
110,1137,9 15 14,40,1293767,99.58 94.84 137
111,1158,14 13 10,40,1293725,103.53 93.26 134
112,1156,13 13 12,40,1293430,102.74 93.26 135
113,1153,13 13 11,40,1293430,102.74 93.26 135
114,1141,10 14 14,40,1293168,100.37 94.05 137
115,1151,12 13 13,40,1292988,101.95 93.26 136
