rank,cp,ivs,maxlevel,stat-product,stats
1,1956,15 15 15,41,2508938,151.9 139.97 118
2,1946,14 15 15,41,2495802,151.11 139.97 118
3,1950,15 14 15,41,2494683,151.9 139.18 118
4,1949,15 15 14,41,2487676,151.9 139.97 117
5,1935,13 15 15,41,2482666,150.31 139.97 118
6,1940,14 14 15,41,2481621,151.11 139.18 118
7,1945,15 13 15,41,2480427,151.9 138.38 118
8,1939,14 15 14,41,2474651,151.11 139.97 117
9,1944,15 14 14,41,2473541,151.9 139.18 117
10,1925,12 15 15,41,2469531,149.52 139.97 118
11,1930,13 14 15,41,2468560,150.31 139.18 118
12,1935,14 13 15,41,2467441,151.11 138.38 118
13,1943,15 15 13,41,2466414,151.9 139.97 116
14,1936,15 15 12,41,2466414,151.9 139.97 116
15,1939,15 12 15,41,2466172,151.9 137.59 118
16,1929,13 15 14,41,2461627,150.31 139.97 117
17,1934,14 14 14,41,2460591,151.11 139.18 117
18,1938,15 13 14,41,2459407,151.9 138.38 117
19,1915,11 15 15,41,2456395,148.72 139.97 118
20,1920,12 14 15,41,2455499,149.52 139.18 118
21,1924,13 13 15,41,2454454,150.31 138.38 118
22,1932,14 15 13,41,2453500,151.11 139.97 116
23,1926,14 15 12,41,2453500,151.11 139.97 116
24,1929,14 12 15,41,2453260,151.11 137.59 118
25,1937,15 14 13,41,2452400,151.9 139.18 116
26,1931,15 14 12,41,2452400,151.9 139.18 116
27,1933,15 11 15,41,2451917,151.9 136.79 118
28,1919,12 15 14,41,2448602,149.52 139.97 117
29,1923,13 14 14,41,2447640,150.31 139.18 117
30,1928,14 13 14,41,2446530,151.11 138.38 117
31,1933,15 12 14,41,2445272,151.9 137.59 117
32,1929,15 15 11,41,2445151,151.9 139.97 115
33,1905,10 15 15,41,2443259,147.93 139.97 118
34,1909,11 14 15,41,2442438,148.72 139.18 118
35,1914,12 13 15,41,2441468,149.52 138.38 118
36,1922,13 15 13,41,2440587,150.31 139.97 116
37,1916,13 15 12,41,2440587,150.31 139.97 116
38,1919,13 12 15,41,2440348,150.31 137.59 118
39,1927,14 14 13,41,2439560,151.11 139.18 116
