rank,cp,ivs,maxlevel,stat-product
1,2496,0 13 14,28.5,3304863
2,2497,0 14 13,28.5,3303117
3,2499,0 15 12,28.5,3301103
4,2493,0 15 11,28.5,3301103
5,2497,1 12 14,28.5,3297029
6,2499,1 13 13,28.5,3295412
7,2495,1 14 11,28.5,3293525
8,2498,4 15 13,28,3292316
9,2500,0 15 5,29,3291398
10,2496,1 15 10,28.5,3291369
11,2491,2 15 15,28,3289677
12,2499,2 11 14,28.5,3289042
13,2497,2 13 11,28.5,3285795
14,2494,0 12 15,28.5,3284588
15,2488,0 12 14,28.5,3284588
16,2500,5 14 13,28,3284573
17,2498,2 14 10,28.5,3283766
18,2490,0 13 13,28.5,3282976
19,2493,3 14 15,28,3282032
20,2498,0 7 15,29,3281971
21,2500,2 15 9,28.5,3281466
22,2500,0 8 14,29,3281288
23,2491,0 14 12,28.5,3281097
24,2485,0 14 11,28.5,3281097
25,2496,0 9 12,29,3280331
26,2495,3 15 14,28,3280031
27,2489,3 15 13,28,3280031
28,2498,0 10 11,29,3279102
29,2487,0 15 10,28.5,3278948
30,2498,3 12 11,28.5,3277914
31,2500,0 11 10,29,3277599
32,2482,1 15 15,28,3277310
33,2495,1 11 15,28.5,3276677
34,2490,1 11 14,28.5,3276677
35,2500,3 13 10,28.5,3276013
36,2495,0 12 8,29,3275823
37,2491,1 12 13,28.5,3275195
38,2495,4 13 15,28,3274237
39,2497,0 13 7,29,3273773
40,2493,1 13 12,28.5,3273443
41,2487,1 13 11,28.5,3273443
42,2499,1 6 15,29,3273419
43,2499,6 15 10,28,3272363
44,2497,4 14 14,28,3272362
45,2491,4 14 13,28,3272362
46,2498,1 8 12,29,3272048
47,2499,0 14 6,29,3271450
48,2492,0 14 5,29,3271450
49,2489,1 14 10,28.5,3271421
50,2497,3 15 7,28.5,3271395
51,2500,1 9 11,29,3270950
52,2492,4 15 12,28,3270220
53,2500,4 11 11,28.5,3269881
54,2484,2 14 15,28,3269740
55,2493,7 15 15,27.5,3269707
56,2490,1 15 9,28.5,3269130
57,2494,0 15 4,29,3268854
58,2497,2 10 15,28.5,3268613
59,2491,2 10 14,28.5,3268613
60,2497,1 11 8,29,3267933
61,2485,2 15 14,28,3267746
62,2480,2 15 13,28,3267746
63,2493,2 11 13,28.5,3267260
64,2496,5 12 15,28,3266292
65,2499,1 12 7,29,3266013
66,2495,2 12 12,28.5,3265637
67,2489,2 12 11,28.5,3265637
68,2473,0 15 15,28,3264943
69,2498,5 13 14,28,3264545
70,2492,5 13 13,28,3264545
71,2486,0 11 15,28.5,3264313
72,2480,0 11 14,28.5,3264313
73,2500,1 13 6,29,3263819
74,2494,1 13 5,29,3263819
75,2499,4 14 7,28.5,3263747
76,2491,2 13 10,28.5,3263743
77,2499,2 7 12,29,3263608
78,2482,0 12 13,28.5,3262836
79,2494,5 14 12,28,3262529
80,2485,3 13 15,28,3262020
81,2494,8 14 15,27.5,3261883
82,2492,2 14 9,28.5,3261578
83,2496,1 14 4,29,3261350
84,2500,4 15 6,28.5,3261157
85,2484,0 13 12,28.5,3261090
86,2478,0 13 11,28.5,3261090
87,2490,0 6 15,29,3261067
88,2492,0 7 14,29,3260520
89,2499,3 9 15,28.5,3260396
90,2493,3 9 14,28.5,3260396
91,2496,5 15 11,28,3260244
92,2490,5 15 10,28,3260244
93,2487,3 14 14,28,3260152
94,2481,3 14 13,28,3260152
95,2499,2 10 8,29,3259891
96,2496,8 15 14,27.5,3259747
97,2494,0 8 13,29,3259700
