rank,cp,ivs,maxlevel,stat-product,stats
1,2496,1 15 15,39,3989713,156.14 153 167
2,2500,0 12 15,40,3988959,156.48 151.74 168
3,2496,0 15 11,40,3978942,156.48 154.11 165
4,2495,0 14 15,39.5,3977914,155.92 152.77 167
5,2499,0 10 14,40.5,3975592,157.04 150.69 168
6,2496,0 15 14,39.5,3974476,155.92 153.56 166
7,2490,0 15 13,39.5,3974476,155.92 153.56 166
8,2496,1 14 13,39.5,3974064,156.71 152.77 166
9,2500,0 11 13,40.5,3972728,157.04 151.49 167
10,2497,1 15 12,39.5,3970485,156.71 153.56 165
11,2484,0 15 15,39,3969664,155.36 153 167
12,2500,0 12 12,40.5,3969614,157.04 152.28 166
13,2490,1 14 15,39,3969253,156.14 152.22 167
14,2496,2 13 15,39,3968636,156.93 151.43 167
15,2494,0 11 15,40,3968184,156.48 150.95 168
16,2500,1 10 15,40,3967344,157.27 150.16 168
17,2491,1 15 14,39,3965823,156.14 153 166
18,2497,2 14 14,39,3965312,156.93 152.22 166
19,2494,0 12 14,40,3965216,156.48 151.74 167
20,2495,0 14 9,40.5,3962639,157.04 153.86 164
21,2495,0 13 13,40,3962000,156.48 152.53 166
22,2497,2 15 13,39,3961741,156.93 153 165
23,2497,0 14 7,41,3960194,157.47 154.29 163
24,2496,0 15 8,40.5,3958778,157.04 154.66 163
25,2496,0 14 12,40,3958538,156.48 153.32 165
26,2490,0 14 11,40,3958538,156.48 153.32 165
27,2496,1 13 11,40,3958022,157.27 152.53 165
28,2499,0 7 15,41,3957814,157.47 148.72 169
29,2489,0 13 15,39.5,3957409,155.92 151.98 167
30,2491,2 15 15,38.5,3956880,156.36 152.45 166
31,2495,1 12 15,39.5,3956788,156.71 151.19 167
32,2497,3 14 15,38.5,3956272,157.14 151.67 166
33,2497,0 15 6,41,3956186,157.47 155.08 162
34,2500,0 8 14,41,3955435,157.47 149.52 168
35,2490,0 15 10,40,3954828,156.48 154.11 164
36,2498,0 9 15,40.5,3954668,157.04 149.9 168
37,2493,0 9 14,40.5,3954668,157.04 149.9 168
38,2496,1 14 10,40,3954418,157.27 153.32 164
39,2490,0 14 14,39.5,3954094,155.92 152.77 166
40,2484,0 14 13,39.5,3954094,155.92 152.77 166
41,2499,1 8 14,40.5,3953611,157.83 149.11 168
42,2496,1 13 14,39.5,3953579,156.71 151.98 166
43,2490,1 13 13,39.5,3953579,156.71 151.98 166
44,2496,2 12 13,39.5,3952859,157.49 151.19 166
45,2500,0 9 13,41,3952805,157.47 150.31 167
46,2494,0 9 12,41,3952805,157.47 150.31 167
47,2497,3 15 14,38.5,3952709,157.14 152.45 165
48,2493,0 10 13,40.5,3951928,157.04 150.69 167
49,2500,1 8 12,41,3951749,158.26 149.52 167
50,2499,1 9 13,40.5,3950983,157.83 149.9 167
51,2497,1 15 9,40,3950565,157.27 154.11 163
52,2484,0 15 12,39.5,3950533,155.92 153.56 165
53,2490,1 14 12,39.5,3950124,156.71 152.77 165
54,2495,0 10 11,41,3949924,157.47 151.11 166
55,2496,2 13 12,39.5,3949510,157.49 151.98 165
56,2494,0 11 12,40.5,3948939,157.04 151.49 166
57,2484,1 13 15,39,3948793,156.14 151.43 167
58,2498,4 15 12,38.5,3948299,157.92 152.45 164
59,2500,1 10 12,40.5,3948103,157.83 150.69 166
60,2490,2 12 15,39,3948073,156.93 150.65 167
61,2487,0 10 15,40,3947408,156.48 150.16 168
62,2495,3 11 15,39,3947148,157.71 149.87 167
63,2496,0 11 10,41,3946794,157.47 151.9 165
64,2493,1 9 15,40,3946463,157.27 149.37 168
65,2491,1 15 11,39.5,3946422,156.71 153.56 164
66,2497,2 15 7,40,3946059,158.06 154.11 162
67,2497,2 14 11,39.5,3945913,157.49 152.77 164
68,2494,0 12 11,40.5,3945701,157.04 152.28 165
69,2484,1 14 14,39,3945485,156.14 152.22 166
70,2499,2 8 15,40,3945309,158.06 148.58 168
71,2490,2 13 14,39,3944872,156.93 151.43 166
72,2488,0 11 14,40,3944563,156.48 150.95 167
73,2496,3 12 14,39,3944054,157.71 150.65 166
74,2494,1 10 14,40,3943729,157.27 150.16 167
75,2496,0 12 9,41,3943412,157.47 152.7 164
76,2497,4 15 15,38,3943391,157.34 151.89 165
77,2491,4 15 14,38,3943391,157.34 151.89 165
78,2500,2 9 14,40,3942686,158.06 149.37 167
79,2497,5 14 14,38,3942590,158.12 151.11 165
80,2495,0 13 10,40.5,3942213,157.04 153.07 164
81,2489,0 13 9,40.5,3942213,157.04 153.07 164
82,2497,2 15 10,39.5,3942069,157.49 153.56 163
83,2491,2 15 9,39.5,3942069,157.49 153.56 163
84,2485,1 15 13,39,3941932,156.14 153 165
85,2495,1 12 9,40.5,3941594,157.83 152.28 164
86,2489,0 12 13,40,3941472,156.48 151.74 166
87,2497,3 14 9,39.5,3941462,158.28 152.77 163
88,2491,2 14 13,39,3941424,156.93 152.22 165
89,2495,1 11 13,40,3940746,157.27 150.95 166
90,2497,3 13 13,39,3940713,157.71 151.43 165
91,2497,0 13 8,41,3939780,157.47 153.49 163
92,2491,0 13 7,41,3939780,157.47 153.49 163
93,2497,1 12 7,41,3939162,158.26 152.7 163
94,2498,5 15 13,38,3938895,158.12 151.89 164
95,2489,0 14 8,40.5,3938477,157.04 153.86 163
96,2489,0 13 12,40,3938133,156.48 152.53 165
97,2483,0 13 11,40,3938133,156.48 152.53 165
98,2495,1 13 8,40.5,3937964,157.83 153.07 163
99,2491,2 15 12,39,3937730,156.93 153 164
100,2495,1 12 12,40,3937514,157.27 151.74 165
101,2489,1 12 11,40,3937514,157.27 151.74 165
102,2498,3 15 8,39.5,3937473,158.28 153.56 162
103,2497,3 14 12,39,3937124,157.71 152.22 164
104,2495,2 11 11,40,3936690,158.06 150.95 165
105,2492,0 6 15,41,3936649,157.47 147.93 169
106,2484,2 14 15,38.5,3936589,156.36 151.67 166
107,2489,1 11 15,39.5,3936179,156.71 150.41 167
108,2491,0 14 6,41,3935898,157.47 154.29 162
109,2490,3 13 15,38.5,3935878,157.14 150.89 166
110,2497,1 13 6,41,3935386,158.26 153.49 162
111,2498,1 5 15,41,3935260,158.26 147.13 169
112,2494,2 10 15,39.5,3935247,157.49 149.62 167
113,2496,4 12 15,38.5,3934965,157.92 150.1 166
114,2484,0 14 10,40,3934546,156.48 153.32 164
115,2490,0 15 7,40.5,3934491,157.04 154.66 162
116,2493,0 7 14,41,3934395,157.47 148.72 168
117,2500,3 9 15,39.5,3934108,158.28 148.83 167
118,2496,1 14 7,40.5,3934084,157.83 153.86 162
119,2490,1 13 10,40,3934034,157.27 152.53 164
120,2491,5 15 15,37.5,3933786,157.54 151.33 165
121,2492,0 8 15,40.5,3933744,157.04 149.11 168
122,2483,0 13 14,39.5,3933712,155.92 151.98 166
123,2496,2 12 10,40,3933317,158.06 151.74 164
124,2498,3 15 11,39,3933288,157.71 153 163
125,2492,3 15 10,39,3933288,157.71 153 163
126,2499,1 6 14,41,3933120,158.26 147.93 168
127,2489,1 12 14,39.5,3933094,156.71 151.19 166
128,2483,1 12 13,39.5,3933094,156.71 151.19 166
129,2485,2 15 14,38.5,3933044,156.36 152.45 165
130,2497,6 14 15,37.5,3932891,158.32 150.56 165
131,2498,4 14 10,39,3932586,158.5 152.22 163
132,2498,1 7 15,40.5,3932581,157.83 148.31 168
133,2492,1 7 14,40.5,3932581,157.83 148.31 168
134,2491,3 14 14,38.5,3932439,157.14 151.67 165
135,2495,2 11 14,39.5,3932271,157.49 150.41 166
136,2489,2 11 13,39.5,3932271,157.49 150.41 166
137,2494,0 8 13,41,3931891,157.47 149.52 167
138,2488,0 8 12,41,3931891,157.47 149.52 167
139,2491,0 15 5,41,3931765,157.47 155.08 161
140,2497,4 13 14,38.5,3931632,157.92 150.89 165
141,2497,1 14 5,41,3931358,158.26 154.29 161
142,2495,3 10 13,39.5,3931241,158.28 149.62 166
143,2498,2 6 14,40.5,3931208,158.62 147.52 168
144,2500,1 7 13,41,3930729,158.26 148.72 167
145,2494,1 7 12,41,3930729,158.26 148.72 167
146,2484,0 15 9,40,3930713,156.48 154.11 163
147,2490,1 14 9,40,3930306,157.27 153.32 163
148,2493,1 8 13,40.5,3930078,157.83 149.11 167
149,2496,1 15 6,40.5,3929953,157.83 154.66 161
150,2490,1 15 5,40.5,3929953,157.83 154.66 161
151,2484,1 13 12,39.5,3929762,156.71 151.98 165
152,2496,2 13 9,40,3929695,158.06 152.53 163
153,2496,2 14 5,40.5,3929446,158.62 153.86 161
154,2500,2 6 12,41,3929355,159.06 147.93 167
155,2498,6 15 14,37.5,3929205,158.32 151.33 164
156,2489,0 9 11,41,3929135,157.47 150.31 166
157,2490,2 12 12,39.5,3929046,157.49 151.19 165
158,2498,2 7 13,40.5,3928817,158.62 148.31 167
