rank,cp,ivs,maxlevel,stat-product,stats
1,2051,15 15 15,40,2662297,157.27 120.92 140
2,2040,14 15 15,40,2648918,156.48 120.92 140
3,2044,15 14 15,40,2644896,157.27 120.13 140
4,2045,15 15 14,40,2643280,157.27 120.92 139
5,2039,15 15 13,40,2643280,157.27 120.92 139
6,2030,13 15 15,40,2635540,155.69 120.92 140
7,2034,14 14 15,40,2631605,156.48 120.13 140
8,2035,14 15 14,40,2629997,156.48 120.92 139
9,2029,14 15 13,40,2629997,156.48 120.92 139
10,2037,15 13 15,40,2627495,157.27 119.34 140
11,2038,15 14 14,40,2626004,157.27 120.13 139
12,2032,15 14 13,40,2626004,157.27 120.13 139
13,2033,15 15 12,40,2624264,157.27 120.92 138
14,2020,12 15 15,40,2622161,154.9 120.92 140
15,2023,13 14 15,40,2618314,155.69 120.13 140
16,2024,13 15 14,40,2616714,155.69 120.92 139
17,2019,13 15 13,40,2616714,155.69 120.92 139
18,2027,14 13 15,40,2614292,156.48 119.34 140
19,2028,14 14 14,40,2612808,156.48 120.13 139
20,2022,14 14 13,40,2612808,156.48 120.13 139
21,2023,14 15 12,40,2611076,156.48 120.92 138
22,2030,15 12 15,40,2610095,157.27 118.55 140
23,2009,11 15 15,40,2608783,154.11 120.92 140
24,2031,15 13 14,40,2608727,157.27 119.34 139
25,2026,15 13 13,40,2608727,157.27 119.34 139
26,2027,15 14 12,40,2607112,157.27 120.13 138
27,2027,15 15 11,40,2605247,157.27 120.92 137
28,2013,12 14 15,40,2605023,154.9 120.13 140
29,2014,12 15 14,40,2603432,154.9 120.92 139
30,2008,12 15 13,40,2603432,154.9 120.92 139
31,2017,13 13 15,40,2601088,155.69 119.34 140
32,2018,13 14 14,40,2599612,155.69 120.13 139
33,2012,13 14 13,40,2599612,155.69 120.13 139
34,2013,13 15 12,40,2597889,155.69 120.92 138
35,2020,14 12 15,40,2596979,156.48 118.55 140
36,2021,14 13 14,40,2595618,156.48 119.34 139
37,2016,14 13 13,40,2595618,156.48 119.34 139
38,1999,10 15 15,40,2595405,153.32 120.92 140
39,2016,14 14 12,40,2594011,156.48 120.13 138
40,2024,15 11 15,40,2592694,157.27 117.75 140
41,2017,14 15 11,40,2592156,156.48 120.92 137
42,2003,11 14 15,40,2591732,154.11 120.13 140
43,2025,15 12 14,40,2591451,157.27 118.55 139
44,2019,15 12 13,40,2591451,157.27 118.55 139
45,2004,11 15 14,40,2590149,154.11 120.92 139
46,1998,11 15 13,40,2590149,154.11 120.92 139
47,2020,15 13 12,40,2589960,157.27 119.34 138
48,2021,15 14 11,40,2588220,157.27 120.13 137
49,2006,12 13 15,40,2587885,154.9 119.34 140
50,2007,12 14 14,40,2586416,154.9 120.13 139
51,2002,12 14 13,40,2586416,154.9 120.13 139
52,2022,15 15 10,40,2586231,157.27 120.92 136
53,2003,12 15 12,40,2584702,154.9 120.92 138
54,2010,13 12 15,40,2583863,155.69 118.55 140
55,2011,13 13 14,40,2582509,155.69 119.34 139
56,2005,13 13 13,40,2582509,155.69 119.34 139
57,1989,9 15 15,40,2582026,152.53 120.92 140
58,2006,13 14 12,40,2580910,155.69 120.13 138
59,2013,14 11 15,40,2579665,156.48 117.75 140
60,2007,13 15 11,40,2579064,155.69 120.92 137
61,1993,10 14 15,40,2578441,153.32 120.13 140
62,2015,14 12 14,40,2578429,156.48 118.55 139
63,2009,14 12 13,40,2578429,156.48 118.55 139
64,2010,14 13 12,40,2576945,156.48 119.34 138
65,1993,10 15 14,40,2576866,153.32 120.92 139
66,1988,10 15 13,40,2576866,153.32 120.92 139
67,2017,15 10 15,40,2575293,157.27 116.96 140
68,2011,14 14 11,40,2575213,156.48 120.13 137
69,1996,11 13 15,40,2574681,154.11 119.34 140
70,2018,15 11 14,40,2574175,157.27 117.75 139
71,2012,15 11 13,40,2574175,157.27 117.75 139
72,2011,14 15 10,40,2573235,156.48 120.92 136
73,1997,11 14 14,40,2573220,154.11 120.13 139
74,1992,11 14 13,40,2573220,154.11 120.13 139
75,2013,15 12 12,40,2572808,157.27 118.55 138
76,1992,11 15 12,40,2571515,154.11 120.92 138
77,2014,15 13 11,40,2571192,157.27 119.34 137
78,2000,12 12 15,40,2570746,154.9 118.55 140
79,2001,12 13 14,40,2569400,154.9 119.34 139
80,1995,12 13 13,40,2569400,154.9 119.34 139
81,2015,15 14 10,40,2569327,157.27 120.13 136
82,1978,8 15 15,40,2568648,151.74 120.92 140
83,1996,12 14 12,40,2567808,154.9 120.13 138
84,2016,15 15 9,40,2567214,157.27 120.92 135
85,2010,15 15 8,40,2567214,157.27 120.92 135
86,2003,13 11 15,40,2566637,155.69 117.75 140
87,1997,12 15 11,40,2565972,154.9 120.92 137
88,2004,13 12 14,40,2565406,155.69 118.55 139
89,1999,13 12 13,40,2565406,155.69 118.55 139
90,1982,9 14 15,40,2565150,152.53 120.13 140
91,2000,13 13 12,40,2563930,155.69 119.34 138
92,1983,9 15 14,40,2563583,152.53 120.92 139
93,1978,9 15 13,40,2563583,152.53 120.92 139
94,2007,14 10 15,40,2562352,156.48 116.96 140
95,2000,13 14 11,40,2562207,155.69 120.13 137
96,1986,10 13 15,40,2561478,153.32 119.34 140
97,2008,14 11 14,40,2561239,156.48 117.75 139
98,2002,14 11 13,40,2561239,156.48 117.75 139
99,2001,13 15 10,40,2560239,155.69 120.92 136
100,1987,10 14 14,40,2560024,153.32 120.13 139
101,1981,10 14 13,40,2560024,153.32 120.13 139
102,2003,14 12 12,40,2559879,156.48 118.55 138
103,1982,10 15 12,40,2558327,153.32 120.92 138
104,2004,14 13 11,40,2558271,156.48 119.34 137
105,2010,15 9 15,40,2557893,157.27 116.17 140
106,1990,11 12 15,40,2557630,154.11 118.55 140
107,2011,15 10 14,40,2556898,157.27 116.96 139
108,2005,15 10 13,40,2556898,157.27 116.96 139
109,2005,14 14 10,40,2556416,156.48 120.13 136
110,1991,11 13 14,40,2556291,154.11 119.34 139
111,1985,11 13 13,40,2556291,154.11 119.34 139
112,2007,15 11 12,40,2555655,157.27 117.75 138
113,1968,7 15 15,40,2555270,150.95 120.92 140
114,1986,11 14 12,40,2554707,154.11 120.13 138
115,2006,14 15 9,40,2554314,156.48 120.92 135
116,2000,14 15 8,40,2554314,156.48 120.92 135
117,2007,15 12 11,40,2554164,157.27 118.55 137
118,1993,12 11 15,40,2553608,154.9 117.75 140
119,1987,11 15 11,40,2552881,154.11 120.92 137
120,2008,15 13 10,40,2552424,157.27 119.34 136
121,1994,12 12 14,40,2552384,154.9 118.55 139
122,1989,12 12 13,40,2552384,154.9 118.55 139
123,1972,8 14 15,40,2551859,151.74 120.13 140
124,1989,12 13 12,40,2550915,154.9 119.34 138
125,2009,15 14 9,40,2550435,157.27 120.13 135
126,2003,15 14 8,40,2550435,157.27 120.13 135
127,1973,8 15 14,40,2550300,151.74 120.92 139
128,1967,8 15 13,40,2550300,151.74 120.92 139
129,1997,13 10 15,40,2549411,155.69 116.96 140
130,1990,12 14 11,40,2549201,154.9 120.13 137
131,1998,13 11 14,40,2548304,155.69 117.75 139
132,1992,13 11 13,40,2548304,155.69 117.75 139
133,1976,9 13 15,40,2548274,152.53 119.34 140
134,2004,15 15 7,40,2548198,157.27 120.92 134
135,1991,12 15 10,40,2547242,154.9 120.92 136
136,1993,13 12 12,40,2546950,155.69 118.55 138
137,1977,9 14 14,40,2546828,152.53 120.13 139
138,1971,9 14 13,40,2546828,152.53 120.13 139
139,1994,13 13 11,40,2545351,155.69 119.34 137
140,1972,9 15 12,40,2545140,152.53 120.92 138
141,2000,14 9 15,40,2545039,156.48 116.17 140
142,1979,10 12 15,40,2544514,153.32 118.55 140
143,2001,14 10 14,40,2544050,156.48 116.96 139
144,1995,14 10 13,40,2544050,156.48 116.96 139
145,1995,13 14 10,40,2543505,155.69 120.13 136
146,1980,10 13 14,40,2543182,153.32 119.34 139
147,1975,10 13 13,40,2543182,153.32 119.34 139
148,1996,14 11 12,40,2542813,156.48 117.75 138
149,1958,6 15 15,40,2541891,150.16 120.92 140
150,1976,10 14 12,40,2541606,153.32 120.13 138
151,1995,13 15 9,40,2541413,155.69 120.92 135
152,1990,13 15 8,40,2541413,155.69 120.92 135
153,1997,14 12 11,40,2541329,156.48 118.55 137
154,1983,11 11 15,40,2540580,154.11 117.75 140
155,2003,15 8 15,40,2540492,157.27 115.38 140
156,1976,10 15 11,40,2539789,153.32 120.92 137
157,2004,15 9 14,40,2539622,157.27 116.17 139
