rank,cp,ivs,maxlevel,stat-product,stats
1,2492,15 15 15,41,3504348,176.56 140.77 141
2,2481,14 15 15,41,3488563,175.76 140.77 141
3,2485,15 14 15,41,3484550,176.56 139.97 141
4,2485,15 15 14,41,3479495,176.56 140.77 140
5,2469,13 15 15,41,3472778,174.97 140.77 141
6,2474,14 14 15,41,3468853,175.76 139.97 141
7,2478,15 13 15,41,3464751,176.56 139.18 141
8,2474,14 15 14,41,3463821,175.76 140.77 140
9,2478,15 14 14,41,3459837,176.56 139.97 140
10,2458,12 15 15,41,3456992,174.17 140.77 141
11,2478,15 15 13,41,3454641,176.56 140.77 139
12,2471,15 15 12,41,3454641,176.56 140.77 139
13,2462,13 14 15,41,3453157,174.97 139.97 141
14,2467,14 13 15,41,3449144,175.76 139.18 141
15,2462,13 15 14,41,3448148,174.97 140.77 140
16,2471,15 12 15,41,3444952,176.56 138.38 141
17,2467,14 14 14,41,3444252,175.76 139.97 140
18,2447,11 15 15,41,3441207,173.38 140.77 141
19,2471,15 13 14,41,3440178,176.56 139.18 140
20,2467,14 15 13,41,3439080,175.76 140.77 139
21,2460,14 15 12,41,3439080,175.76 140.77 139
22,2451,12 14 15,41,3437461,174.17 139.97 141
23,2471,15 14 13,41,3435123,176.56 139.97 139
24,2464,15 14 12,41,3435123,176.56 139.97 139
25,2455,13 13 15,41,3433537,174.97 139.18 141
26,2451,12 15 14,41,3432474,174.17 140.77 140
27,2464,15 15 11,41,3429788,176.56 140.77 138
28,2460,14 12 15,41,3429435,175.76 138.38 141
29,2455,13 14 14,41,3428667,174.97 139.97 140
30,2436,10 15 15,41,3425421,172.58 140.77 141
31,2464,15 11 15,41,3425154,176.56 137.59 141
32,2460,14 13 14,41,3424682,175.76 139.18 140
33,2455,13 15 13,41,3423518,174.97 140.77 139
34,2449,13 15 12,41,3423518,174.97 140.77 139
35,2440,11 14 15,41,3421765,173.38 139.97 141
36,2464,15 12 14,41,3420520,176.56 138.38 140
37,2460,14 14 13,41,3419650,175.76 139.97 139
38,2453,14 14 12,41,3419650,175.76 139.97 139
39,2444,12 13 15,41,3417930,174.17 139.18 141
40,2440,11 15 14,41,3416801,173.38 140.77 140
41,2464,15 13 13,41,3415606,176.56 139.18 139
42,2457,15 13 12,41,3415606,176.56 139.18 139
43,2453,14 15 11,41,3414338,175.76 140.77 138
44,2448,13 12 15,41,3413917,174.97 138.38 141
45,2444,12 14 14,41,3413082,174.17 139.97 140
46,2457,15 14 11,41,3410410,176.56 139.97 138
47,2452,14 11 15,41,3409725,175.76 137.59 141
48,2425,9 15 15,41,3409636,171.78 140.77 141
49,2449,13 13 14,41,3409186,174.97 139.18 140
50,2444,12 15 13,41,3407957,174.17 140.77 139
51,2437,12 15 12,41,3407957,174.17 140.77 139
52,2429,10 14 15,41,3406069,172.58 139.97 141
53,2456,15 10 15,41,3405355,176.56 136.79 141
54,2453,14 12 14,41,3405112,175.76 138.38 140
55,2457,15 15 10,41,3404934,176.56 140.77 137
56,2449,13 14 13,41,3404176,174.97 139.97 139
57,2442,13 14 12,41,3404176,174.97 139.97 139
58,2433,11 13 15,41,3402323,173.38 139.18 141
59,2429,10 15 14,41,3401128,172.58 140.77 140
60,2457,15 11 14,41,3400862,176.56 137.59 140
61,2453,14 13 13,41,3400220,175.76 139.18 139
62,2446,14 13 12,41,3400220,175.76 139.18 139
63,2442,13 15 11,41,3398889,174.97 140.77 138
64,2437,12 12 15,41,3398399,174.17 138.38 141
65,2433,11 14 14,41,3397497,173.38 139.97 140
66,2457,15 12 13,41,3396088,176.56 138.38 139
67,2450,15 12 12,41,3396088,176.56 138.38 139
68,2446,14 14 11,41,3395048,175.76 139.97 138
69,2441,13 11 15,41,3394297,174.97 137.59 141
70,2413,8 15 15,41,3393851,170.99 140.77 141
71,2437,12 13 14,41,3393689,174.17 139.18 140
72,2433,11 15 13,41,3392395,173.38 140.77 139
73,2426,11 15 12,41,3392395,173.38 140.77 139
74,2450,15 13 11,41,3391033,176.56 139.18 138
75,2418,9 14 15,41,3390373,171.78 139.97 141
76,2445,14 10 15,41,3390016,175.76 136.79 141
77,2442,13 12 14,41,3389705,174.97 138.38 140
78,2446,14 15 10,41,3389597,175.76 140.77 137
79,2437,12 14 13,41,3388703,174.17 139.97 139
80,2430,12 14 12,41,3388703,174.17 139.97 139
81,2422,10 13 15,41,3386716,172.58 139.18 141
82,2450,15 14 10,41,3385697,176.56 139.97 137
83,2449,15 9 15,41,3385557,176.56 136 141
84,2446,14 11 14,41,3385543,175.76 137.59 140
85,2418,9 15 14,41,3385454,171.78 140.77 140
86,2442,13 13 13,41,3384834,174.97 139.18 139
87,2435,13 13 12,41,3384834,174.97 139.18 139
88,2430,12 15 11,41,3383439,174.17 140.77 138
89,2426,11 12 15,41,3382881,173.38 138.38 141
90,2422,10 14 14,41,3381912,172.58 139.97 140
91,2449,15 10 14,41,3381204,176.56 136.79 140
92,2446,14 12 13,41,3380790,175.76 138.38 139
93,2439,14 12 12,41,3380790,175.76 138.38 139
94,2449,15 15 9,41,3380081,176.56 140.77 136
