rank,cp,ivs,maxlevel,stat-product,stats
1,1705,15 15 15,40,2438274,118.55 133.56 154
2,1700,15 15 14,40,2438274,118.55 133.56 154
3,1700,15 14 15,40,2423847,118.55 132.77 154
4,1695,15 14 14,40,2423847,118.55 132.77 154
5,1696,15 15 13,40,2422441,118.55 133.56 153
6,1693,14 15 15,40,2422019,117.75 133.56 154
7,1689,14 15 14,40,2422019,117.75 133.56 154
8,1694,15 13 15,40,2409419,118.55 131.98 154
9,1690,15 13 14,40,2409419,118.55 131.98 154
10,1691,15 14 13,40,2408107,118.55 132.77 153
11,1688,14 14 15,40,2407688,117.75 132.77 154
12,1684,14 14 14,40,2407688,117.75 132.77 154
13,1691,15 15 12,40,2406608,118.55 133.56 152
14,1685,14 15 13,40,2406292,117.75 133.56 153
15,1682,13 15 15,40,2405764,116.96 133.56 154
16,1678,13 15 14,40,2405764,116.96 133.56 154
17,1689,15 12 15,40,2394991,118.55 131.19 154
18,1685,15 12 14,40,2394991,118.55 131.19 154
19,1686,15 13 13,40,2393773,118.55 131.98 153
20,1683,14 13 15,40,2393356,117.75 131.98 154
21,1679,14 13 14,40,2393356,117.75 131.98 154
22,1686,15 14 12,40,2392368,118.55 132.77 152
23,1680,14 14 13,40,2392053,117.75 132.77 153
24,1677,13 14 15,40,2391529,116.96 132.77 154
25,1673,13 14 14,40,2391529,116.96 132.77 154
26,1687,15 15 11,40,2390775,118.55 133.56 151
27,1680,14 15 12,40,2390564,117.75 133.56 152
28,1673,13 15 13,40,2390142,116.96 133.56 153
29,1670,12 15 15,40,2389509,116.17 133.56 154
30,1666,12 15 14,40,2389509,116.17 133.56 154
31,1684,15 11 15,40,2380564,118.55 130.4 154
32,1680,15 11 14,40,2380564,118.55 130.4 154
33,1681,15 12 13,40,2379439,118.55 131.19 153
34,1678,14 12 15,40,2379025,117.75 131.19 154
35,1674,14 12 14,40,2379025,117.75 131.19 154
36,1681,15 13 12,40,2378128,118.55 131.98 152
37,1675,14 13 13,40,2377815,117.75 131.98 153
38,1672,13 13 15,40,2377293,116.96 131.98 154
39,1668,13 13 14,40,2377293,116.96 131.98 154
40,1682,15 14 11,40,2376629,118.55 132.77 151
41,1675,14 14 12,40,2376419,117.75 132.77 152
42,1668,13 14 13,40,2375999,116.96 132.77 153
43,1666,12 14 15,40,2375370,116.17 132.77 154
44,1661,12 14 14,40,2375370,116.17 132.77 154
45,1683,15 15 10,40,2374942,118.55 133.56 150
