rank,cp,ivs,maxlevel,stat-product,stats
1,2496,12 15 15,41,3992714,155.88 85.1 301
2,2499,13 15 12,41,3986420,156.67 85.1 299
3,2493,12 15 14,41,3979450,155.88 85.1 300
4,2495,13 15 15,40.5,3977819,156.24 84.86 300
5,2497,13 14 15,41,3975580,156.67 84.3 301
6,2495,13 15 11,41,3973088,156.67 85.1 298
7,2483,11 15 15,41,3972343,155.08 85.1 301
8,2498,14 15 12,40.5,3971358,157.04 84.86 298
9,2500,14 14 12,41,3969211,157.47 84.3 299
10,2489,12 15 13,41,3966185,155.88 85.1 299
11,2486,12 15 12,41,3966185,155.88 85.1 299
12,2492,13 15 14,40.5,3964560,156.24 84.86 299
13,2488,13 15 13,40.5,3964560,156.24 84.86 299
14,2499,15 15 14,40,3963118,157.27 84.56 298
15,2494,13 14 14,41,3962372,156.67 84.3 300
16,2496,14 14 15,40.5,3960646,157.04 84.07 300
17,2492,13 15 10,41,3959755,156.67 85.1 297
18,2480,11 15 14,41,3959146,155.08 85.1 300
19,2498,14 13 15,41,3958065,157.47 83.51 301
20,2494,14 15 11,40.5,3958031,157.04 84.86 297
21,2490,14 15 15,40,3956435,156.48 84.56 299
22,2496,14 14 11,41,3955936,157.47 84.3 298
23,2484,12 14 15,41,3955399,155.88 84.3 301
24,2499,15 14 12,40.5,3954112,157.83 84.07 298
25,2498,14 15 8,41,3953055,157.47 85.1 295
26,2495,14 15 7,41,3953055,157.47 85.1 295
27,2483,12 15 11,41,3952920,155.88 85.1 298
28,2471,10 15 15,41,3951972,154.29 85.1 301
29,2500,15 13 12,41,3951623,158.26 83.51 299
30,2500,15 15 9,40.5,3951233,157.83 84.86 295
31,2497,15 15 8,40.5,3951233,157.83 84.86 295
32,2496,15 15 13,40,3949819,157.27 84.56 297
33,2493,15 15 12,40,3949819,157.27 84.56 297
34,2490,13 14 13,41,3949164,156.67 84.3 299
35,2487,13 14 12,41,3949164,156.67 84.3 299
36,2493,14 14 14,40.5,3947444,157.04 84.07 299
37,2489,14 14 13,40.5,3947444,157.04 84.07 299
38,2489,13 15 9,41,3946423,156.67 85.1 296
39,2477,11 15 13,41,3945949,155.08 85.1 299
40,2473,11 15 12,41,3945949,155.08 85.1 299
41,2494,14 13 14,41,3944915,157.47 83.51 300
42,2491,14 15 10,40.5,3944704,157.04 84.86 296
43,2487,14 15 14,40,3943203,156.48 84.56 298
44,2497,15 13 15,40.5,3943096,157.83 83.28 300
45,2493,14 14 10,41,3942661,157.47 84.3 297
46,2481,12 14 14,41,3942259,155.88 84.3 300
47,2495,15 14 11,40.5,3940843,157.83 84.07 297
48,2498,15 12 15,41,3940169,158.26 82.71 301
49,2479,12 15 10,41,3939655,155.88 85.1 297
50,2491,14 15 6,41,3939655,157.47 85.1 294
51,2491,15 14 15,40,3939254,157.27 83.77 299
52,2467,10 15 14,41,3938843,154.29 85.1 300
53,2497,15 13 11,41,3938407,158.26 83.51 298
54,2485,13 13 15,41,3938075,156.67 83.51 301
55,2494,15 15 7,40.5,3937839,157.83 84.86 294
56,2489,15 15 11,40,3936520,157.27 84.56 296
57,2484,13 14 11,41,3935956,156.67 84.3 298
58,2499,15 14 8,41,3935889,158.26 84.3 295
59,2496,15 14 7,41,3935889,158.26 84.3 295
60,2472,11 14 15,41,3935219,155.08 84.3 301
61,2485,15 15 15,39.5,3934822,156.71 84.26 298
62,2485,13 15 8,41,3933090,156.67 85.1 295
63,2482,13 15 7,41,3933090,156.67 85.1 295
64,2470,11 15 11,41,3932752,155.08 85.1 298
65,2497,15 15 4,41,3932617,158.26 85.1 292
66,2491,14 13 13,41,3931765,157.47 83.51 299
67,2488,14 13 12,41,3931765,157.47 83.51 299
68,2458,9 15 15,41,3931601,153.49 85.1 301
69,2488,14 15 9,40.5,3931377,157.04 84.86 295
70,2483,14 15 13,40,3929971,156.48 84.56 297
