rank,cp,ivs,maxlevel,stat-product,stats
1,2500,0 15 13,36.5,3239734,192.57 107.84 156
2,2497,0 14 14,36.5,3237212,192.57 107.07 157
3,2494,0 15 15,36,3235996,191.85 107.44 157
4,2498,1 15 14,36,3228246,192.62 107.44 156
5,2498,1 13 14,36.5,3226778,193.34 106.3 157
6,2495,1 14 15,36,3225734,192.62 106.67 157
7,2500,0 15 10,37,3222235,193.3 108.25 154
8,2495,2 15 12,36,3220332,193.38 107.44 155
9,2498,0 14 11,37,3219993,193.3 107.47 155
10,2494,0 15 12,36.5,3218966,192.57 107.84 155
11,2498,2 14 14,36,3217957,193.38 106.67 156
12,2495,0 13 12,37,3217453,193.3 106.7 156
13,2495,4 15 15,35,3217354,193.44 106.62 156
14,2491,0 14 13,36.5,3216593,192.57 107.07 156
15,2495,2 15 15,35.5,3216564,192.65 107.03 156
16,2499,2 12 14,36.5,3216158,194.11 105.53 157
17,2488,0 15 14,36,3215385,191.85 107.44 156
18,2496,2 13 15,36,3215286,193.38 105.9 157
19,2498,0 12 14,37,3214613,193.3 105.93 157
20,2498,1 15 8,37,3214117,194.07 108.25 153
21,2495,0 13 15,36.5,3213922,192.57 106.3 157
22,2488,0 13 14,36.5,3213922,192.57 106.3 157
23,2485,0 14 15,36,3212882,191.85 106.67 157
24,2499,3 15 11,36,3212252,194.15 107.44 154
25,2498,0 10 14,37.5,3211641,194.02 104.77 158
26,2495,0 11 15,37,3211474,193.3 105.15 158
27,2498,1 15 11,36.5,3210991,193.34 107.84 154
28,2492,1 15 10,36.5,3210991,193.34 107.84 154
29,2496,3 14 12,36,3210017,194.15 106.67 155
30,2499,1 13 11,37,3209615,194.07 106.7 155
31,2499,5 15 14,35,3209316,194.2 106.62 155
32,2495,1 14 12,36.5,3208757,193.34 107.07 155
33,2498,3 15 14,35.5,3208628,193.41 107.03 155
34,2492,3 15 13,35.5,3208628,193.41 107.03 155
35,2495,0 9 15,37.5,3208027,194.02 103.99 159
36,2491,1 15 13,36,3207553,192.62 107.44 155
37,2485,1 15 12,36,3207553,192.62 107.44 155
38,2499,3 13 14,36,3207484,194.15 105.9 156
39,2496,5 14 15,35,3206950,194.2 105.86 156
40,2496,1 12 12,37,3206914,194.07 105.93 156
41,2499,0 15 4,38,3206600,194.73 109.05 151
42,2495,3 14 15,35.5,3206262,193.41 106.26 156
43,2492,1 13 13,36.5,3206225,193.34 106.3 156
44,2500,3 11 14,36.5,3205352,194.89 104.76 157
45,2489,1 14 14,36,3205187,192.62 106.67 156
46,2485,3 15 15,35,3204688,192.68 106.62 156
47,2496,3 12 15,36,3204653,194.15 105.13 157
48,2500,0 15 7,37.5,3204112,194.02 108.65 152
49,2494,0 15 6,37.5,3204112,194.02 108.65 152
50,2499,1 11 14,37,3203913,194.07 105.15 157
51,2499,2 14 8,37,3203873,194.84 107.47 153
52,2485,1 15 15,35.5,3203800,191.89 107.03 156
53,2495,1 12 15,36.5,3203396,193.34 105.53 157
54,2489,1 12 14,36.5,3203396,193.34 105.53 157
55,2495,2 15 9,36.5,3202850,194.11 107.84 153
56,2500,0 13 7,38,3202657,194.73 107.49 153
57,2486,1 13 15,36,3202527,192.62 105.9 157
58,2497,0 14 8,37.5,3202155,194.02 107.87 153
59,2500,4 14 11,36,3201913,194.92 106.67 154
60,2494,0 15 9,37,3201311,193.3 108.25 153
61,2488,0 15 8,37,3201311,193.3 108.25 153
62,2499,2 14 11,36.5,3200757,194.11 107.07 154
63,2493,2 14 10,36.5,3200757,194.11 107.07 154
64,2496,1 10 15,37,3200612,194.07 104.38 158
65,2499,1 9 14,37.5,3200602,194.79 103.99 158
66,2496,4 15 12,35.5,3200527,194.18 107.03 154
67,2498,0 12 8,38,3200230,194.73 106.71 154
68,2495,0 13 9,37.5,3199896,194.02 107.1 154
69,2489,2 15 11,36,3199555,193.38 107.44 154
70,2497,4 13 12,36,3199520,194.92 105.9 155
71,2491,0 14 10,37,3199219,193.3 107.47 154
72,2499,2 12 11,37,3199052,194.84 105.93 155
73,2500,6 14 14,35,3198888,194.96 105.86 155
74,2496,2 13 12,36.5,3198365,194.11 106.3 155
75,2499,4 14 14,35.5,3198301,194.18 106.26 155
76,2493,4 14 13,35.5,3198301,194.18 106.26 155
77,2488,0 15 11,36.5,3198198,192.57 107.84 154
78,2495,0 11 9,38,3197499,194.73 105.93 155
79,2498,0 12 11,37.5,3197337,194.02 106.32 155
80,2492,0 12 10,37.5,3197337,194.02 106.32 155
81,2492,2 14 13,36,3197329,193.38 106.67 155
82,2486,2 14 12,36,3197329,193.38 106.67 155
83,2495,6 15 15,34.5,3197128,194.21 106.21 155
84,2489,0 13 11,37,3196828,193.3 106.7 155
85,2500,4 12 14,36,3196827,194.92 105.13 156
86,2496,1 8 15,37.5,3196823,194.79 103.22 159
87,2489,4 15 14,35,3196730,193.44 106.62 155
88,2500,1 14 4,38,3196431,195.51 108.27 151
89,2497,6 13 15,35,3196364,194.96 105.1 156
90,2496,2 11 12,37,3196189,194.84 105.15 156
91,2485,0 14 12,36.5,3195973,192.57 107.07 155
