rank,cp,ivs,maxlevel,stat-product,stats
1,2463,15 15 15,41,3952885,152.7 167.01 155
2,2457,15 15 14,41,3952885,152.7 167.01 155
3,2457,15 14 15,41,3934061,152.7 166.22 155
4,2451,15 14 14,41,3934061,152.7 166.22 155
5,2450,14 15 15,41,3932297,151.9 167.01 155
6,2444,14 15 14,41,3932297,151.9 167.01 155
7,2451,15 15 13,41,3927382,152.7 167.01 154
8,2452,15 13 15,41,3915238,152.7 165.42 155
9,2445,15 13 14,41,3915238,152.7 165.42 155
10,2445,14 14 15,41,3913571,151.9 166.22 155
11,2438,14 14 14,41,3913571,151.9 166.22 155
12,2438,13 15 15,41,3911709,151.11 167.01 155
13,2431,13 15 14,41,3911709,151.11 167.01 155
14,2445,15 14 13,41,3908680,152.7 166.22 154
15,2438,14 15 13,41,3906927,151.9 167.01 154
16,2444,15 15 12,41,3901880,152.7 167.01 153
17,2446,15 12 15,41,3896415,152.7 164.63 155
18,2439,15 12 14,41,3896415,152.7 164.63 155
19,2439,14 13 15,41,3894846,151.9 165.42 155
20,2433,14 13 14,41,3894846,151.9 165.42 155
21,2432,13 14 15,41,3893081,151.11 166.22 155
22,2426,13 14 14,41,3893081,151.11 166.22 155
23,2425,12 15 15,41,3891121,150.31 167.01 155
24,2419,12 15 14,41,3891121,150.31 167.01 155
25,2439,15 13 13,41,3889978,152.7 165.42 154
26,2432,14 14 13,41,3888323,151.9 166.22 154
27,2425,13 15 13,41,3886472,151.11 167.01 154
28,2439,15 14 12,41,3883299,152.7 166.22 153
29,2432,14 15 12,41,3881557,151.9 167.01 153
30,2440,15 11 15,41,3877592,152.7 163.83 155
31,2433,15 11 14,41,3877592,152.7 163.83 155
32,2438,15 15 11,41,3876377,152.7 167.01 152
33,2433,14 12 15,41,3876121,151.9 164.63 155
34,2427,14 12 14,41,3876121,151.9 164.63 155
35,2426,13 13 15,41,3874454,151.11 165.42 155
36,2420,13 13 14,41,3874454,151.11 165.42 155
37,2419,12 14 15,41,3872592,150.31 166.22 155
38,2413,12 14 14,41,3872592,150.31 166.22 155
39,2433,15 12 13,41,3871277,152.7 164.63 154
40,2412,11 15 15,41,3870533,149.52 167.01 155
41,2406,11 15 14,41,3870533,149.52 167.01 155
42,2426,14 13 13,41,3869718,151.9 165.42 154
43,2419,13 14 13,41,3867965,151.11 166.22 154
44,2412,12 15 13,41,3866017,150.31 167.01 154
45,2433,15 13 12,41,3864719,152.7 165.42 153
46,2426,14 14 12,41,3863074,151.9 166.22 153
47,2419,13 15 12,41,3861235,151.11 167.01 153
48,2434,15 10 15,41,3858768,152.7 163.04 155
49,2428,15 10 14,41,3858768,152.7 163.04 155
50,2432,15 14 11,41,3857918,152.7 166.22 152
51,2427,14 11 15,41,3857396,151.9 163.83 155
52,2421,14 11 14,41,3857396,151.9 163.83 155
53,2425,14 15 11,41,3856188,151.9 167.01 152
54,2420,13 12 15,41,3855827,151.11 164.63 155
55,2414,13 12 14,41,3855827,151.11 164.63 155
56,2413,12 13 15,41,3854062,150.31 165.42 155
57,2407,12 13 14,41,3854062,150.31 165.42 155
58,2427,15 11 13,41,3852575,152.7 163.83 154
59,2406,11 14 15,41,3852102,149.52 166.22 155
60,2400,11 14 14,41,3852102,149.52 166.22 155
61,2420,14 12 13,41,3851114,151.9 164.63 154
62,2432,15 15 10,41,3850875,152.7 167.01 151
63,2425,15 15 9,41,3850875,152.7 167.01 151
64,2399,10 15 15,41,3849945,148.72 167.01 155
65,2393,10 15 14,41,3849945,148.72 167.01 155
66,2414,13 13 13,41,3849458,151.11 165.42 154
67,2407,12 14 13,41,3847607,150.31 166.22 154
68,2427,15 12 12,41,3846138,152.7 164.63 153
69,2400,11 15 13,41,3845562,149.52 167.01 154
70,2420,14 13 12,41,3844590,151.9 165.42 153
71,2413,13 14 12,41,3842848,151.11 166.22 153
72,2406,12 15 12,41,3840913,150.31 167.01 153
73,2428,15 9 15,41,3839945,152.7 162.24 155
74,2422,15 9 14,41,3839945,152.7 162.24 155
75,2426,15 13 11,41,3839459,152.7 165.42 152
76,2421,14 10 15,41,3838670,151.9 163.04 155
77,2415,14 10 14,41,3838670,151.9 163.04 155
78,2420,14 14 11,41,3837825,151.9 166.22 152
79,2414,13 11 15,41,3837200,151.11 163.83 155
80,2408,13 11 14,41,3837200,151.11 163.83 155
81,2413,13 15 11,41,3835998,151.11 167.01 152
82,2407,12 12 15,41,3835533,150.31 164.63 155
83,2401,12 12 14,41,3835533,150.31 164.63 155
84,2421,15 10 13,41,3833873,152.7 163.04 154
85,2400,11 13 15,41,3833671,149.52 165.42 155
86,2394,11 13 14,41,3833671,149.52 165.42 155
87,2426,15 14 10,41,3832537,152.7 166.22 151
88,2419,15 14 9,41,3832537,152.7 166.22 151
89,2415,14 11 13,41,3832509,151.9 163.83 154
90,2393,10 14 15,41,3831612,148.72 166.22 155
91,2387,10 14 14,41,3831612,148.72 166.22 155
92,2408,13 12 13,41,3830951,151.11 164.63 154
93,2419,14 15 10,41,3830818,151.9 167.01 151
94,2413,14 15 9,41,3830818,151.9 167.01 151
95,2386,9 15 15,41,3829357,147.93 167.01 155
96,2380,9 15 14,41,3829357,147.93 167.01 155
97,2401,12 13 13,41,3829198,150.31 165.42 154
98,2421,15 11 12,41,3827558,152.7 163.83 153
99,2394,11 14 13,41,3827249,149.52 166.22 154
100,2414,14 12 12,41,3826106,151.9 164.63 153
101,2419,15 15 8,41,3825372,152.7 167.01 150
102,2387,10 15 13,41,3825106,148.72 167.01 154
103,2407,13 13 12,41,3824461,151.11 165.42 153
104,2400,12 14 12,41,3822623,150.31 166.22 153
105,2422,15 8 15,41,3821122,152.7 161.45 155
106,2416,15 8 14,41,3821122,152.7 161.45 155
107,2421,15 12 11,41,3821000,152.7 164.63 152
108,2393,11 15 12,41,3820590,149.52 167.01 153
109,2415,14 9 15,41,3819945,151.9 162.24 155
110,2409,14 9 14,41,3819945,151.9 162.24 155
111,2414,14 13 11,41,3819462,151.9 165.42 152
112,2408,13 10 15,41,3818573,151.11 163.04 155
113,2402,13 10 14,41,3818573,151.11 163.04 155
114,2407,13 14 11,41,3817732,151.11 166.22 152
115,2402,12 11 15,41,3817004,150.31 163.83 155
116,2395,12 11 14,41,3817004,150.31 163.83 155
117,2400,12 15 11,41,3815809,150.31 167.01 152
118,2395,11 12 15,41,3815239,149.52 164.63 155
119,2389,11 12 14,41,3815239,149.52 164.63 155
120,2415,15 9 13,41,3815171,152.7 162.24 154
121,2420,15 13 10,41,3814200,152.7 165.42 151
122,2414,15 13 9,41,3814200,152.7 165.42 151
123,2409,14 10 13,41,3813905,151.9 163.04 154
124,2388,10 13 15,41,3813279,148.72 165.42 155
125,2382,10 13 14,41,3813279,148.72 165.42 155
126,2413,14 14 10,41,3812576,151.9 166.22 151
127,2407,14 14 9,41,3812576,151.9 166.22 151
128,2402,13 11 13,41,3812444,151.11 163.83 154
129,2381,9 14 15,41,3811122,147.93 166.22 155
130,2375,9 14 14,41,3811122,147.93 166.22 155
131,2395,12 12 13,41,3810788,150.31 164.63 154
132,2406,13 15 10,41,3810761,151.11 167.01 151
133,2400,13 15 9,41,3810761,151.11 167.01 151
134,2415,15 10 12,41,3808978,152.7 163.04 153
135,2388,11 13 13,41,3808937,149.52 165.42 154
136,2373,8 15 15,41,3808769,147.13 167.01 155
137,2367,8 15 14,41,3808769,147.13 167.01 155
138,2408,14 11 12,41,3807623,151.9 163.83 153
139,2413,15 14 8,41,3807156,152.7 166.22 150
140,2381,10 14 13,41,3806892,148.72 166.22 154
141,2402,13 12 12,41,3806075,151.11 164.63 153
142,2406,14 15 8,41,3805448,151.9 167.01 150
143,2374,9 15 13,41,3804651,147.93 167.01 154
144,2395,12 13 12,41,3804333,150.31 165.42 153
145,2415,15 11 11,41,3802541,152.7 163.83 152
146,2388,11 14 12,41,3802397,149.52 166.22 153
147,2416,15 7 15,41,3802298,152.7 160.65 155
148,2410,15 7 14,41,3802298,152.7 160.65 155
149,2409,14 8 15,41,3801220,151.9 161.45 155
150,2403,14 8 14,41,3801220,151.9 161.45 155
151,2408,14 12 11,41,3801099,151.9 164.63 152
152,2381,10 15 12,41,3800268,148.72 167.01 153
153,2403,13 9 15,41,3799946,151.11 162.24 155
154,2396,13 9 14,41,3799946,151.11 162.24 155
155,2412,15 15 7,41,3799870,152.7 167.01 149
156,2401,13 13 11,41,3799465,151.11 165.42 152
157,2396,12 10 15,41,3798475,150.31 163.04 155
158,2390,12 10 14,41,3798475,150.31 163.04 155
159,2394,12 14 11,41,3797638,150.31 166.22 152
160,2389,11 11 15,41,3796808,149.52 163.83 155
161,2383,11 11 14,41,3796808,149.52 163.83 155
162,2409,15 8 13,41,3796469,152.7 161.45 154
163,2414,15 12 10,41,3795862,152.7 164.63 151
164,2408,15 12 9,41,3795862,152.7 164.63 151
165,2387,11 15 11,41,3795619,149.52 167.01 152
166,2403,14 9 13,41,3795300,151.9 162.24 154
167,2382,10 12 15,41,3794946,148.72 164.63 155
168,2376,10 12 14,41,3794946,148.72 164.63 155
169,2407,14 13 10,41,3794334,151.9 165.42 151
170,2401,14 13 9,41,3794334,151.9 165.42 151
171,2396,13 10 13,41,3793937,151.11 163.04 154
172,2375,9 13 15,41,3792887,147.93 165.42 155
