rank,cp,ivs,maxlevel,stat-product,stats
1,2498,0 15 11,37.5,3482600,179.27 130.38 149
2,2498,0 14 15,37,3482362,178.61 129.12 151
3,2499,0 15 14,37,3480014,178.61 129.9 150
4,2500,3 15 15,36,3472616,179.57 128.92 150
5,2497,1 15 12,37,3471778,179.38 129.9 149
6,2499,0 11 13,38,3470824,179.93 127.74 151
7,2497,1 15 15,36.5,3469007,178.71 129.41 150
8,2491,1 15 14,36.5,3469007,178.71 129.41 150
9,2494,0 11 15,37.5,3468131,179.27 127.27 152
10,2495,0 12 14,37.5,3466322,179.27 128.05 151
11,2500,2 14 12,37,3465989,180.15 129.12 149
12,2496,0 13 13,37.5,3464236,179.27 128.83 150
13,2494,2 14 14,36.5,3463222,179.48 128.64 150
14,2497,1 10 15,37.5,3461906,180.05 126.5 152
15,2497,0 14 12,37.5,3461870,179.27 129.6 149
16,2491,0 14 11,37.5,3461870,179.27 129.6 149
17,2490,0 13 15,37,3461509,178.61 128.35 151
18,2497,0 15 8,38,3461294,179.93 130.86 147
19,2495,2 15 13,36.5,3460733,179.48 129.41 149
20,2498,1 11 14,37.5,3460229,180.05 127.27 151
21,2492,0 14 14,37,3459300,178.61 129.12 150
22,2492,0 15 10,37.5,3459227,179.27 130.38 148
23,2499,1 12 13,37.5,3458273,180.05 128.05 150
24,2489,2 15 15,36,3457775,178.8 128.92 150
25,2498,3 13 14,36.5,3457259,180.25 127.87 150
26,2493,0 15 13,37,3456814,178.61 129.9 149
27,2486,0 15 12,37,3456814,178.61 129.9 149
28,2500,0 7 15,38.5,3456238,180.59 125.09 153
29,2494,1 13 11,37.5,3456037,180.05 128.83 149
30,2500,1 14 8,38,3455586,180.71 130.08 147
31,2494,1 12 15,37,3455551,179.38 127.58 151
32,2500,2 9 15,37.5,3455498,180.82 125.72 152
33,2499,3 14 13,36.5,3454898,180.25 128.64 149
34,2487,0 15 15,36.5,3454054,177.94 129.41 150
35,2495,1 14 10,37.5,3453522,180.05 129.6 148
36,2495,1 13 14,37,3453471,179.38 128.35 150
37,2496,5 15 14,35.5,3452603,180.42 128.43 149
38,2500,3 15 12,36.5,3452260,180.25 129.41 148
39,2497,0 10 11,38.5,3452002,180.59 127.43 150
40,2493,3 14 15,36,3451945,179.57 128.16 150
41,2497,0 9 15,38,3451203,179.93 126.19 152
42,2496,1 14 13,37,3451113,179.38 129.12 149
43,2489,1 14 12,37,3451113,179.38 129.12 149
44,2496,1 15 9,37.5,3450728,180.05 130.38 147
45,2498,0 11 10,38.5,3450026,180.59 128.21 149
46,2497,2 12 11,37.5,3450025,180.82 128.05 149
47,2498,0 10 14,38,3449661,179.93 126.97 151
48,2492,0 10 13,38,3449661,179.93 126.97 151
49,2494,3 15 14,36,3449465,179.57 128.92 149
50,2497,2 11 15,37,3449413,180.15 126.8 151
51,2490,1 15 11,37,3448478,179.38 129.9 148
52,2490,1 14 15,36.5,3448358,178.71 128.64 150
53,2484,1 14 14,36.5,3448358,178.71 128.64 150
54,2493,0 11 12,38,3447839,179.93 127.74 150
55,2499,0 12 9,38.5,3447767,180.59 129 148
56,2498,2 13 10,37.5,3447639,180.82 128.83 148
57,2498,2 12 14,37,3447463,180.15 127.58 150
58,2486,0 10 15,37.5,3446984,179.27 126.5 152
59,2499,6 14 14,35.5,3446594,181.18 127.67 149
60,2496,4 13 15,36,3445939,180.34 127.39 150
61,2485,1 15 13,36.5,3445880,178.71 129.41 149
62,2494,0 12 11,38,3445736,179.93 128.52 149
63,2500,1 9 11,38.5,3445676,181.38 126.65 150
64,2487,0 11 14,37.5,3445314,179.27 127.27 151
65,2499,2 13 13,37,3445234,180.15 128.35 149
66,2493,2 13 12,37,3445234,180.15 128.35 149
67,2500,0 13 8,38.5,3445225,180.59 129.78 147
68,2499,2 14 9,37.5,3444973,180.82 129.6 147
69,2500,1 8 15,38,3444747,180.71 125.41 152
70,2500,6 15 13,35.5,3443963,181.18 128.43 148
71,2500,3 11 11,37.5,3443833,181.6 127.27 149
72,2499,0 14 4,39,3443769,181.25 131.03 145
73,2497,4 15 10,36.5,3443588,181.02 129.41 147
74,2497,4 14 14,36,3443586,180.34 128.16 149
75,2489,0 12 13,37.5,3443367,179.27 128.05 150
76,2495,0 13 10,38,3443354,179.93 129.3 148
77,2495,1 9 13,38,3443339,180.71 126.19 151
78,2500,3 10 15,37,3443094,180.93 126.03 151
79,2494,2 14 11,37,3442727,180.15 129.12 148
80,2493,2 13 15,36.5,3442484,179.48 127.87 150
81,2487,2 13 14,36.5,3442484,179.48 127.87 150
82,2495,0 14 6,38.5,3442402,180.59 130.56 146
83,2500,2 15 8,37.5,3442026,180.82 130.38 146
84,2496,1 10 12,38,3441650,180.71 126.97 150
85,2490,0 13 12,37.5,3441141,179.27 128.83 149
86,2483,0 13 11,37.5,3441141,179.27 128.83 149
87,2498,4 15 13,36,3440957,180.34 128.92 148
88,2491,4 15 12,36,3440957,180.34 128.92 148
89,2494,6 15 15,35,3440776,180.49 127.94 149
90,2496,0 14 9,38,3440691,179.93 130.08 147
91,2490,0 14 8,38,3440691,179.93 130.08 147
92,2489,1 9 15,37.5,3440667,180.05 125.72 152
93,2483,0 12 15,37,3440657,178.61 127.58 151
94,2500,0 15 3,39,3440498,181.25 131.82 144
95,2488,2 14 13,36.5,3440134,179.48 128.64 149
96,2495,2 15 10,37,3439941,180.15 129.9 147
97,2499,5 12 15,36,3439755,181.11 126.62 150
98,2497,1 11 11,38,3439679,180.71 127.74 149
99,2495,0 15 5,38.5,3439295,180.59 131.34 145
100,2496,3 12 12,37,3439177,180.93 127.58 149
101,2491,1 10 14,37.5,3439130,180.05 126.5 151
102,2484,0 14 10,37.5,3438636,179.27 129.6 148
103,2484,0 13 14,37,3438585,178.61 128.35 150
104,2492,4 15 15,35.5,3437973,179.65 128.43 149
105,2485,4 15 14,35.5,3437973,179.65 128.43 149
106,2496,0 5 14,39,3437938,181.25 123.97 153
107,2490,0 15 7,38,3437748,179.93 130.86 146
108,2500,5 14 10,36.5,3437656,181.79 128.64 147
109,2500,5 13 14,36,3437531,181.11 127.39 149
110,2489,2 15 12,36.5,3437507,179.48 129.41 148
111,2498,1 12 10,38,3437427,180.71 128.52 148
112,2492,1 11 13,37.5,3437314,180.05 127.27 150
113,2482,2 14 15,36,3437193,178.8 128.16 150
114,2497,0 6 13,39,3437084,181.25 124.76 152
115,2498,2 8 13,38,3436834,181.49 125.41 151
116,2497,3 13 11,37,3436799,180.93 128.35 148
117,2498,1 13 6,38.5,3436601,181.38 129.78 146
118,2496,3 12 15,36.5,3436432,180.25 127.1 150
119,2490,3 12 14,36.5,3436432,180.25 127.1 150
120,2485,0 14 13,37,3436238,178.61 129.12 149
121,2499,0 7 12,39,3435947,181.25 125.54 151
122,2485,0 15 9,37.5,3435854,179.27 130.38 147
123,2499,2 9 12,38,3435279,181.49 126.19 150
124,2493,1 12 12,37.5,3435218,180.05 128.05 149
125,2487,1 12 11,37.5,3435218,180.05 128.05 149
126,2495,5 14 12,36,3435030,181.11 128.16 148
127,2499,1 13 9,38,3434893,180.71 129.3 147
128,2493,1 13 8,38,3434893,180.71 129.3 147
129,2497,7 14 15,35,3434727,181.25 127.18 149
130,2483,2 15 14,36,3434724,178.8 128.92 149
131,2492,0 6 15,38.5,3434636,180.59 124.3 153
132,2486,1 11 15,37,3434609,179.38 126.8 151
133,2500,0 8 11,39,3434525,181.25 126.33 150
134,2499,0 9 7,39.5,3434477,181.91 127.57 148
135,2491,3 13 13,36.5,3434210,180.25 127.87 149
136,2492,2 8 15,37.5,3434167,180.82 124.95 152
137,2498,3 14 10,37,3434141,180.93 129.12 147
138,2493,0 7 14,38.5,3433648,180.59 125.09 152
139,2499,1 14 5,38.5,3433624,181.38 130.56 145
140,2500,2 10 11,38,3433442,181.49 126.97 149
141,2497,3 15 6,37.5,3433122,181.6 130.38 145
142,2499,4 11 12,37,3432942,181.7 126.8 149
143,2488,1 13 10,37.5,3432842,180.05 128.83 148
144,2495,0 9 9,39,3432818,181.25 127.11 149
145,2494,2 9 14,37.5,3432764,180.82 125.72 151
146,2487,1 12 14,37,3432667,179.38 127.58 150
147,2495,0 8 13,38.5,3432377,180.59 125.87 151
148,2500,0 10 6,39.5,3432329,181.91 128.36 147
149,2496,5 15 11,36,3432250,181.11 128.92 147
150,2498,7 15 14,35,3432105,181.25 127.94 148
151,2494,1 14 7,38,3432078,180.71 130.08 146
152,2495,5 14 15,35.5,3432052,180.42 127.67 149
153,2489,5 14 14,35.5,3432052,180.42 127.67 149
154,2492,3 14 12,36.5,3431711,180.25 128.64 148
155,2485,3 13 15,36,3431275,179.57 127.39 150
156,2499,3 15 9,37,3431203,180.93 129.9 146
157,2492,3 15 8,37,3431203,180.93 129.9 146
158,2495,2 10 13,37.5,3431080,180.82 126.5 150
159,2499,1 4 14,39,3430967,182.04 123.19 153
160,2496,0 10 8,39,3430827,181.25 127.9 148
161,2496,0 9 12,38.5,3430824,180.59 126.65 150
162,2490,0 9 11,38.5,3430824,180.59 126.65 150
163,2500,4 12 11,37,3430694,181.7 127.58 148
164,2488,1 13 13,37,3430448,179.38 128.35 149
165,2482,1 13 12,37,3430448,179.38 128.35 149
166,2499,1 15 4,38.5,3430362,181.38 131.34 144
167,2500,1 5 13,39,3430253,182.04 123.97 152
168,2499,4 11 15,36.5,3430201,181.02 126.33 150
169,2493,4 11 14,36.5,3430201,181.02 126.33 150
170,2488,1 14 9,37.5,3430188,180.05 129.6 147
171,2489,0 8 15,38,3429899,179.93 125.41 152
172,2490,5 15 13,35.5,3429431,180.42 128.43 148
173,2496,2 11 12,37.5,3429116,180.82 127.27 149
174,2490,2 11 11,37.5,3429116,180.82 127.27 149
175,2491,0 10 10,38.5,3428989,180.59 127.43 149
176,2494,1 15 6,38,3428981,180.71 130.86 145
177,2493,3 15 11,36.5,3428934,180.25 129.41 147
178,2487,3 15 10,36.5,3428934,180.25 129.41 147
179,2486,3 14 14,36,3428932,179.57 128.16 149
180,2498,6 13 12,36,3428929,181.87 127.39 148
181,2496,2 12 8,38,3428918,181.49 128.52 147
182,2497,0 11 7,39,3428551,181.25 128.68 147
183,2500,8 13 15,35,3428505,182.01 126.42 149
184,2491,0 9 14,38,3428497,179.93 126.19 151
185,2484,0 9 13,38,3428497,179.93 126.19 151
186,2489,2 10 15,37,3428380,180.15 126.03 151
187,2494,4 12 13,36.5,3428110,181.02 127.1 149
188,2483,1 14 11,37,3427951,179.38 129.12 148
189,2495,1 5 15,38.5,3427810,181.38 123.52 153
190,2483,1 13 15,36.5,3427709,178.71 127.87 150
191,2495,3 7 15,37.5,3427485,181.6 124.17 152
192,2489,1 15 8,37.5,3427253,180.05 130.38 146
193,2496,1 6 14,38.5,3426959,181.38 124.3 152
194,2492,0 11 9,38.5,3426871,180.59 128.21 148
195,2491,2 12 10,37.5,3426870,180.82 128.05 148
196,2485,0 10 12,38,3426815,179.93 126.97 150
197,2490,2 11 14,37,3426569,180.15 126.8 150
198,2498,1 8 9,39,3426397,182.04 126.33 149
199,2487,3 15 13,36,3426314,179.57 128.92 148
200,2499,6 14 11,36,3426277,181.87 128.16 147
201,2483,5 15 15,35,3426258,179.73 127.94 149
202,2497,2 13 7,38,3426232,181.49 129.3 146
203,2497,3 8 14,37.5,3426216,181.6 124.95 151
204,2498,0 12 6,39,3425992,181.25 129.47 146
205,2498,6 13 15,35.5,3425956,181.18 126.9 149
206,2492,6 13 14,35.5,3425956,181.18 126.9 149
207,2498,1 7 13,38.5,3425825,181.38 125.09 151
208,2495,4 13 12,36.5,3425739,181.02 127.87 148
209,2495,4 14 8,37,3425355,181.7 129.12 146
210,2488,4 12 15,36,3425180,180.34 126.62 150
211,2484,1 15 10,37,3425177,179.38 129.9 147
212,2487,0 11 11,38,3424853,179.93 127.74 149
213,2500,0 13 0,40,3424838,182.56 131.19 143
214,2498,3 9 13,37.5,3424666,181.6 125.72 150
215,2499,1 9 8,39,3424540,182.04 127.11 148
216,2492,2 12 13,37,3424480,180.15 127.58 149
217,2485,2 12 12,37,3424480,180.15 127.58 149
218,2493,0 12 8,38.5,3424471,180.59 129 147
219,2499,1 8 12,38.5,3424407,181.38 125.87 150
220,2493,1 8 11,38.5,3424407,181.38 125.87 150
221,2492,2 13 9,37.5,3424344,180.82 128.83 147
222,2496,0 13 2,39.5,3424164,181.91 130.72 144
223,2496,5 10 14,36.5,3423793,181.79 125.56 150
224,2493,6 14 13,35.5,3423463,181.18 127.67 148
225,2492,1 7 15,38,3423351,180.71 124.63 152
226,2500,6 15 10,36,3423346,181.87 128.92 146
227,2498,2 14 6,38,3423263,181.49 130.08 145
228,2498,0 13 5,39,3423147,181.25 130.25 145
229,2492,0 13 4,39,3423147,181.25 130.25 145
230,2496,4 14 11,36.5,3423090,181.02 128.64 147
231,2490,4 14 10,36.5,3423090,181.02 128.64 147
232,2489,4 13 14,36,3422966,180.34 127.39 149
233,2499,3 10 12,37.5,3422834,181.6 126.5 149
234,2493,3 10 11,37.5,3422834,181.6 126.5 149
235,2499,3 11 8,38,3422764,182.27 127.74 147
236,2494,1 9 10,38.5,3422705,181.38 126.65 149
237,2488,0 12 10,38,3422611,179.93 128.52 148
238,2500,1 10 7,39,3422397,182.04 127.9 147
239,2496,4 15 7,37,3422265,181.7 129.9 145
240,2486,2 13 11,37,3422112,180.15 128.35 148
241,2494,1 8 14,38,3422084,180.71 125.41 151
242,2487,1 8 13,38,3422084,180.71 125.41 151
243,2492,3 9 15,37,3421971,180.93 125.26 151
244,2497,10 15 15,34,3421922,182.12 126.96 148
245,2497,5 11 13,36.5,3421833,181.79 126.33 149
246,2494,0 13 7,38.5,3421788,180.59 129.78 146
247,2487,0 13 6,38.5,3421788,180.59 129.78 146
248,2486,2 12 15,36.5,3421746,179.48 127.1 150
249,2500,0 1 14,40,3421664,182.56 121.71 154
250,2493,2 14 8,37.5,3421538,180.82 129.6 146
251,2496,2 15 2,38.5,3421224,182.16 131.34 143
252,2497,0 14 1,39.5,3420869,181.91 131.51 143
253,2498,2 4 15,38.5,3420796,182.16 122.74 153
254,2494,3 11 10,37.5,3420720,181.6 127.27 148
255,2495,1 10 9,38.5,3420720,181.38 127.43 148
256,2494,6 15 12,35.5,3420693,181.18 128.43 147
257,2498,4 6 15,37.5,3420619,182.38 123.39 152
258,2488,1 9 12,38,3420536,180.71 126.19 150
259,2490,4 14 13,36,3420475,180.34 128.16 148
260,2484,4 14 12,36,3420475,180.34 128.16 148
261,2482,0 12 12,37.5,3420411,179.27 128.05 149
