rank,cp,ivs,maxlevel,stat-product,stats
1,2162,15 15 15,40,3114351,150.16 128.03 162
2,2151,14 15 15,40,3097959,149.37 128.03 162
3,2155,15 14 15,40,3095126,150.16 127.24 162
4,2157,15 15 14,40,3095126,150.16 128.03 161
5,2139,13 15 15,40,3081568,148.58 128.03 162
6,2144,14 14 15,40,3078836,149.37 127.24 162
7,2145,14 15 14,40,3078836,149.37 128.03 161
8,2150,15 14 14,40,3076021,150.16 127.24 161
9,2149,15 13 15,40,3075902,150.16 126.45 162
10,2152,15 15 13,40,3075902,150.16 128.03 160
11,2128,12 15 15,40,3065177,147.79 128.03 162
12,2133,13 14 15,40,3062546,148.58 127.24 162
13,2134,13 15 14,40,3062546,148.58 128.03 161
14,2139,14 14 14,40,3059831,149.37 127.24 161
15,2137,14 13 15,40,3059713,149.37 126.45 162
16,2140,14 15 13,40,3059713,149.37 128.03 160
17,2143,15 13 14,40,3056915,150.16 126.45 161
18,2145,15 14 13,40,3056915,150.16 127.24 160
19,2142,15 12 15,40,3056678,150.16 125.66 162
20,2146,15 15 12,40,3056678,150.16 128.03 159
21,2117,11 15 15,40,3048785,147 128.03 162
22,2121,12 14 15,40,3046256,147.79 127.24 162
23,2123,12 15 14,40,3046256,147.79 128.03 161
24,2127,13 14 14,40,3043641,148.58 127.24 161
25,2126,13 13 15,40,3043524,148.58 126.45 162
26,2129,13 15 13,40,3043524,148.58 128.03 160
27,2132,14 13 14,40,3040826,149.37 126.45 161
28,2134,14 14 13,40,3040826,149.37 127.24 160
29,2131,14 12 15,40,3040590,149.37 125.66 162
30,2135,14 15 12,40,3040590,149.37 128.03 159
31,2138,15 13 13,40,3037928,150.16 126.45 160
32,2137,15 12 14,40,3037809,150.16 125.66 161
33,2140,15 14 12,40,3037809,150.16 127.24 159
34,2135,15 11 15,40,3037453,150.16 124.87 162
35,2141,15 15 11,40,3037453,150.16 128.03 158
36,2136,15 15 10,40,3037453,150.16 128.03 158
37,2105,10 15 15,40,3032394,146.21 128.03 162
38,2110,11 14 15,40,3029966,147 127.24 162
39,2111,11 15 14,40,3029966,147 128.03 161
40,2116,12 14 14,40,3027452,147.79 127.24 161
41,2115,12 13 15,40,3027335,147.79 126.45 162
42,2118,12 15 13,40,3027335,147.79 128.03 160
43,2121,13 13 14,40,3024737,148.58 126.45 161
44,2122,13 14 13,40,3024737,148.58 127.24 160
45,2119,13 12 15,40,3024502,148.58 125.66 162
46,2124,13 15 12,40,3024502,148.58 128.03 159
47,2127,14 13 13,40,3021939,149.37 126.45 160
48,2125,14 12 14,40,3021821,149.37 125.66 161
49,2128,14 14 12,40,3021821,149.37 127.24 159
50,2124,14 11 15,40,3021467,149.37 124.87 162
51,2130,14 15 11,40,3021467,149.37 128.03 158
52,2124,14 15 10,40,3021467,149.37 128.03 158
53,2131,15 12 13,40,3018941,150.16 125.66 160
54,2133,15 13 12,40,3018941,150.16 126.45 159
55,2130,15 11 14,40,3018703,150.16 124.87 161
56,2134,15 14 11,40,3018703,150.16 127.24 158
57,2129,15 14 10,40,3018703,150.16 127.24 158
58,2128,15 10 15,40,3018229,150.16 124.08 162
59,2130,15 15 9,40,3018229,150.16 128.03 157
60,2094,9 15 15,40,3016003,145.42 128.03 162
61,2099,10 14 15,40,3013676,146.21 127.24 162
62,2100,10 15 14,40,3013676,146.21 128.03 161
63,2105,11 14 14,40,3011262,147 127.24 161
64,2103,11 13 15,40,3011146,147 126.45 162
65,2106,11 15 13,40,3011146,147 128.03 160
66,2110,12 13 14,40,3008648,147.79 126.45 161
67,2111,12 14 13,40,3008648,147.79 127.24 160
68,2108,12 12 15,40,3008414,147.79 125.66 162
69,2112,12 15 12,40,3008414,147.79 128.03 159
70,2116,13 13 13,40,3005950,148.58 126.45 160
71,2114,13 12 14,40,3005832,148.58 125.66 161
72,2117,13 14 12,40,3005832,148.58 127.24 159
73,2113,13 11 15,40,3005480,148.58 124.87 162
74,2118,13 15 11,40,3005480,148.58 128.03 158
75,2113,13 15 10,40,3005480,148.58 128.03 158
76,2120,14 12 13,40,3003052,149.37 125.66 160
77,2122,14 13 12,40,3003052,149.37 126.45 159
78,2119,14 11 14,40,3002816,149.37 124.87 161
79,2123,14 14 11,40,3002816,149.37 127.24 158
80,2118,14 14 10,40,3002816,149.37 127.24 158
81,2117,14 10 15,40,3002343,149.37 124.08 162
82,2119,14 15 9,40,3002343,149.37 128.03 157
83,2126,15 12 12,40,3000072,150.16 125.66 159
84,2125,15 11 13,40,2999954,150.16 124.87 160
85,2128,15 13 11,40,2999954,150.16 126.45 158
86,2122,15 13 10,40,2999954,150.16 126.45 158
87,2082,8 15 15,40,2999612,144.62 128.03 162
88,2123,15 10 14,40,2999598,150.16 124.08 161
89,2124,15 14 9,40,2999598,150.16 127.24 157
90,2122,15 9 15,40,2999004,150.16 123.29 162
91,2125,15 15 8,40,2999004,150.16 128.03 156
92,2087,9 14 15,40,2997386,145.42 127.24 162
93,2089,9 15 14,40,2997386,145.42 128.03 161
94,2094,10 14 14,40,2995073,146.21 127.24 161
95,2092,10 13 15,40,2994957,146.21 126.45 162
96,2095,10 15 13,40,2994957,146.21 128.03 160
97,2098,11 13 14,40,2992559,147 126.45 161
98,2100,11 14 13,40,2992559,147 127.24 160
99,2097,11 12 15,40,2992326,147 125.66 162
100,2101,11 15 12,40,2992326,147 128.03 159
101,2104,12 13 13,40,2989961,147.79 126.45 160
102,2103,12 12 14,40,2989844,147.79 125.66 161
103,2106,12 14 12,40,2989844,147.79 127.24 159
