rank,cp,ivs,maxlevel,stat-product
1,393,15 15 15,40,110804
2,391,14 15 15,40,110144
3,391,15 14 15,40,109545
4,389,13 15 15,40,109485
5,389,14 14 15,40,108893
6,386,12 15 15,40,108825
7,389,15 13 15,40,108286
8,386,13 14 15,40,108241
9,384,11 15 15,40,108166
10,386,14 13 15,40,107641
11,384,12 14 15,40,107589
12,382,10 15 15,40,107506
13,386,15 12 15,40,107027
14,384,13 13 15,40,106997
15,382,11 14 15,40,106937
16,379,9 15 15,40,106847
17,384,14 12 15,40,106389
18,382,12 13 15,40,106352
19,379,10 14 15,40,106285
20,377,8 15 15,40,106187
21,384,15 11 15,40,105767
22,382,13 12 15,40,105752
23,379,11 13 15,40,105707
24,377,9 14 15,40,105632
25,374,7 15 15,40,105528
26,382,14 11 15,40,105138
27,380,12 12 15,40,105115
28,377,10 13 15,40,105063
29,375,8 14 15,40,104980
30,372,6 15 15,40,104868
31,382,15 10 15,40,104508
32,380,13 11 15,40,104508
33,377,11 12 15,40,104478
34,375,9 13 15,40,104418
35,372,7 14 15,40,104328
36,370,5 15 15,40,104208
37,380,14 10 15,40,103886
38,377,12 11 15,40,103879
39,375,10 12 15,40,103841
40,373,8 13 15,40,103774
41,370,6 14 15,40,103676
42,367,4 15 15,40,103549
43,377,13 10 15,40,103264
44,380,15 9 15,40,103249
45,375,11 11 15,40,103249
46,373,9 12 15,40,103204
47,370,7 13 15,40,103129
48,368,5 14 15,40,103024
49,365,3 15 15,40,102889
50,375,12 10 15,40,102642
51,377,14 9 15,40,102635
52,373,10 11 15,40,102620
53,370,8 12 15,40,102567
54,368,6 13 15,40,102485
55,365,4 14 15,40,102372
56,363,2 15 15,40,102230
57,375,13 9 15,40,102020
58,373,11 10 15,40,102020
59,377,15 8 15,40,101990
60,370,9 11 15,40,101990
61,368,7 12 15,40,101930
62,366,5 13 15,40,101840
63,363,3 14 15,40,101720
64,360,1 15 15,40,101570
65,381,15 15 14,40,101570
66,368,15 15 13,40,101570
67,373,12 9 15,40,101405
68,370,10 10 15,40,101398
69,375,14 8 15,40,101383
70,368,8 11 15,40,101360
71,366,6 12 15,40,101293
72,363,4 13 15,40,101195
73,361,2 14 15,40,101068
74,378,14 15 14,40,100966
75,366,14 15 13,40,100966
76,358,0 15 15,40,100911
77,371,11 9 15,40,100791
78,373,13 8 15,40,100776
