rank,cp,ivs,maxlevel,stat-product,stats
1,1080,15 15 15,40,1121577,103.53 117.75 92
2,1076,15 14 15,40,1114050,103.53 116.96 92
3,1072,14 15 15,40,1113016,102.74 117.75 92
4,1075,15 15 14,40,1109386,103.53 117.75 91
5,1073,15 13 15,40,1106522,103.53 116.17 92
6,1068,14 14 15,40,1105546,102.74 116.96 92
7,1063,13 15 15,40,1104454,101.95 117.75 92
8,1072,15 14 14,40,1101941,103.53 116.96 91
9,1067,14 15 14,40,1100918,102.74 117.75 91
10,1069,15 12 15,40,1098995,103.53 115.38 92
11,1064,14 13 15,40,1098076,102.74 116.17 92
12,1071,15 15 13,40,1097195,103.53 117.75 90
13,1066,15 15 12,40,1097195,103.53 117.75 90
14,1060,13 14 15,40,1097041,101.95 116.96 92
15,1055,12 15 15,40,1095892,101.16 117.75 92
16,1068,15 13 14,40,1094495,103.53 116.17 91
17,1063,14 14 14,40,1093529,102.74 116.96 91
18,1059,13 15 14,40,1092449,101.95 117.75 91
19,1065,15 11 15,40,1091468,103.53 114.59 92
20,1061,14 12 15,40,1090606,102.74 115.38 92
21,1067,15 14 13,40,1089831,103.53 116.96 90
22,1062,15 14 12,40,1089831,103.53 116.96 90
23,1056,13 13 15,40,1089629,101.95 116.17 92
24,1062,14 15 13,40,1088820,102.74 117.75 90
25,1058,14 15 12,40,1088820,102.74 117.75 90
26,1052,12 14 15,40,1088537,101.16 116.96 92
27,1047,11 15 15,40,1087331,100.37 117.75 92
28,1064,15 12 14,40,1087049,103.53 115.38 91
29,1060,14 13 14,40,1086140,102.74 116.17 91
30,1055,13 14 14,40,1085117,101.95 116.96 91
31,1061,15 15 11,40,1085004,103.53 117.75 89
32,1051,12 15 14,40,1083980,101.16 117.75 91
33,1062,15 10 15,40,1083940,103.53 113.8 92
34,1057,14 11 15,40,1083136,102.74 114.59 92
35,1063,15 13 13,40,1082468,103.53 116.17 90
36,1059,15 13 12,40,1082468,103.53 116.17 90
37,1053,13 12 15,40,1082217,101.95 115.38 92
38,1059,14 14 13,40,1081512,102.74 116.96 90
39,1054,14 14 12,40,1081512,102.74 116.96 90
40,1048,12 13 15,40,1081182,101.16 116.17 92
41,1054,13 15 13,40,1080444,101.95 117.75 90
42,1050,13 15 12,40,1080444,101.95 117.75 90
43,1043,11 14 15,40,1080033,100.37 116.96 92
44,1061,15 11 14,40,1079604,103.53 114.59 91
45,1039,10 15 15,40,1078769,99.58 117.75 92
46,1056,14 12 14,40,1078751,102.74 115.38 91
47,1052,13 13 14,40,1077785,101.95 116.17 91
48,1058,15 14 11,40,1077722,103.53 116.96 89
49,1053,14 15 11,40,1076722,102.74 117.75 89
50,1047,12 14 14,40,1076705,101.16 116.96 91
51,1058,15 9 15,40,1076413,103.53 113.01 92
52,1053,14 10 15,40,1075666,102.74 113.8 92
53,1042,11 15 14,40,1075512,100.37 117.75 91
54,1060,15 12 13,40,1075104,103.53 115.38 90
55,1055,15 12 12,40,1075104,103.53 115.38 90
