rank,cp,ivs,maxlevel,stat-product,stats
1,876,15 15 15,40,735975,104.32 62.43 113
2,869,14 15 15,40,730400,103.53 62.43 113
3,873,15 15 14,40,729462,104.32 62.43 112
4,870,15 14 15,40,726659,104.32 61.64 113
5,862,13 15 15,40,724824,102.74 62.43 113
6,866,14 15 14,40,723936,103.53 62.43 112
7,870,15 15 13,40,722949,104.32 62.43 111
8,864,14 14 15,40,721154,103.53 61.64 113
9,867,15 14 14,40,720228,104.32 61.64 112
10,856,12 15 15,40,719248,101.95 62.43 113
11,859,13 15 14,40,718410,102.74 62.43 112
12,863,14 15 13,40,717472,103.53 62.43 111
13,865,15 13 15,40,717343,104.32 60.85 113
14,867,15 15 12,40,716436,104.32 62.43 110
15,857,13 14 15,40,715649,102.74 61.64 113
16,861,14 14 14,40,714772,103.53 61.64 112
17,864,15 14 13,40,713798,104.32 61.64 111
18,849,11 15 15,40,713673,101.16 62.43 113
19,853,12 15 14,40,712883,101.95 62.43 112
20,856,13 15 13,40,711995,102.74 62.43 111
21,858,14 13 15,40,711908,103.53 60.85 113
22,860,14 15 12,40,711008,103.53 62.43 110
23,862,15 13 14,40,710995,104.32 60.85 112
24,850,12 14 15,40,710144,101.95 61.64 113
25,863,15 15 11,40,709923,104.32 62.43 109
26,860,15 15 10,40,709923,104.32 62.43 109
27,854,13 14 14,40,709316,102.74 61.64 112
28,858,14 14 13,40,708390,103.53 61.64 111
29,843,10 15 15,40,708097,100.37 62.43 113
30,859,15 12 15,40,708027,104.32 60.06 113
31,861,15 14 12,40,707367,104.32 61.64 110
32,846,11 15 14,40,707357,101.16 62.43 112
33,850,12 15 13,40,706518,101.95 62.43 111
34,852,13 13 15,40,706474,102.74 60.85 113
35,855,14 13 14,40,705608,103.53 60.85 112
36,853,13 15 12,40,705581,102.74 62.43 110
37,859,15 13 13,40,704646,104.32 60.85 111
38,844,11 14 15,40,704639,101.16 61.64 113
39,857,14 15 11,40,704545,103.53 62.43 109
40,854,14 15 10,40,704545,103.53 62.43 109
41,847,12 14 14,40,703860,101.95 61.64 112
42,857,15 15 9,40,703410,104.32 62.43 108
43,851,13 14 13,40,702983,102.74 61.64 111
44,852,14 12 15,40,702663,103.53 60.06 113
45,836,9 15 15,40,702522,99.58 62.43 113
46,855,14 14 12,40,702008,103.53 61.64 110
47,840,10 15 14,40,701831,100.37 62.43 112
48,856,15 12 14,40,701761,104.32 60.06 112
49,843,11 15 13,40,701041,101.16 62.43 111
50,845,12 13 15,40,701040,101.95 60.85 113
51,858,15 14 11,40,700937,104.32 61.64 109
52,855,15 14 10,40,700937,104.32 61.64 109
53,849,13 13 14,40,700222,102.74 60.85 112
54,847,12 15 12,40,700153,101.95 62.43 110
55,852,14 13 13,40,699308,103.53 60.85 111
56,850,13 15 11,40,699166,102.74 62.43 109
57,847,13 15 10,40,699166,102.74 62.43 109
58,837,10 14 15,40,699134,100.37 61.64 113
59,853,15 11 15,40,698711,104.32 59.27 113
60,841,11 14 14,40,698403,101.16 61.64 112
61,855,15 13 12,40,698298,104.32 60.85 110
62,851,14 15 9,40,698081,103.53 62.43 108
63,844,12 14 13,40,697575,101.95 61.64 111
64,846,13 12 15,40,697299,102.74 60.06 113
65,829,8 15 15,40,696946,98.79 62.43 113
66,854,15 15 8,40,696897,104.32 62.43 107
67,848,13 14 12,40,696649,102.74 61.64 110
