rank,cp,ivs,maxlevel,stat-product,stats
1,2388,15 15 15,41,3589501,158.26 116.91 194
2,2383,15 15 14,41,3589501,158.26 116.91 194
3,2376,14 15 15,41,3571463,157.47 116.91 194
4,2371,14 15 14,41,3571463,157.47 116.91 194
5,2378,15 15 13,41,3570998,158.26 116.91 193
6,2380,15 14 15,41,3565082,158.26 116.11 194
7,2375,15 14 14,41,3565082,158.26 116.11 194
8,2364,13 15 15,41,3553425,156.67 116.91 194
9,2359,13 15 14,41,3553425,156.67 116.91 194
10,2366,14 15 13,41,3553053,157.47 116.91 193
11,2374,15 15 12,41,3552496,158.26 116.91 192
12,2368,14 14 15,41,3547167,157.47 116.11 194
13,2363,14 14 14,41,3547167,157.47 116.11 194
14,2370,15 14 13,41,3546706,158.26 116.11 193
15,2372,15 13 15,41,3540664,158.26 115.32 194
16,2367,15 13 14,41,3540664,158.26 115.32 194
17,2352,12 15 15,41,3535388,155.88 116.91 194
18,2347,12 15 14,41,3535388,155.88 116.91 194
19,2354,13 15 13,41,3535109,156.67 116.91 193
20,2362,14 15 12,41,3534644,157.47 116.91 192
21,2369,15 15 11,41,3533993,158.26 116.91 191
22,2356,13 14 15,41,3529252,156.67 116.11 194
23,2351,13 14 14,41,3529252,156.67 116.11 194
24,2358,14 14 13,41,3528883,157.47 116.11 193
25,2365,15 14 12,41,3528329,158.26 116.11 192
26,2360,14 13 15,41,3522872,157.47 115.32 194
27,2355,14 13 14,41,3522872,157.47 115.32 194
28,2362,15 13 13,41,3522413,158.26 115.32 193
29,2340,11 15 15,41,3517350,155.08 116.91 194
30,2335,11 15 14,41,3517350,155.08 116.91 194
31,2343,12 15 13,41,3517164,155.88 116.91 193
32,2350,13 15 12,41,3516792,156.67 116.91 192
33,2364,15 12 15,41,3516246,158.26 114.52 194
34,2359,15 12 14,41,3516246,158.26 114.52 194
35,2357,14 15 11,41,3516234,157.47 116.91 191
36,2364,15 15 10,41,3515490,158.26 116.91 190
37,2359,15 15 9,41,3515490,158.26 116.91 190
38,2344,12 14 15,41,3511337,155.88 116.11 194
39,2339,12 14 14,41,3511337,155.88 116.11 194
40,2346,13 14 13,41,3511060,156.67 116.11 193
41,2354,14 14 12,41,3510599,157.47 116.11 192
42,2361,15 14 11,41,3509952,158.26 116.11 191
43,2348,13 13 15,41,3505079,156.67 115.32 194
44,2343,13 13 14,41,3505079,156.67 115.32 194
45,2350,14 13 13,41,3504713,157.47 115.32 193
46,2357,15 13 12,41,3504162,158.26 115.32 192
47,2328,10 15 15,41,3499312,154.29 116.91 194
48,2323,10 15 14,41,3499312,154.29 116.91 194
49,2331,11 15 13,41,3499219,155.08 116.91 193
50,2338,12 15 12,41,3498940,155.88 116.91 192
51,2352,14 12 15,41,3498576,157.47 114.52 194
52,2347,14 12 14,41,3498576,157.47 114.52 194
53,2345,13 15 11,41,3498475,156.67 116.91 191
54,2354,15 12 13,41,3498121,158.26 114.52 193
55,2352,14 15 10,41,3497825,157.47 116.91 190
56,2347,14 15 9,41,3497825,157.47 116.91 190
57,2354,15 15 8,41,3496988,158.26 116.91 189
58,2332,11 14 15,41,3493422,155.08 116.11 194
59,2327,11 14 14,41,3493422,155.08 116.11 194
60,2335,12 14 13,41,3493238,155.88 116.11 193
61,2342,13 14 12,41,3492868,156.67 116.11 192
62,2349,14 14 11,41,3492314,157.47 116.11 191
63,2355,15 11 15,41,3491827,158.26 113.73 194
64,2351,15 11 14,41,3491827,158.26 113.73 194
65,2356,15 14 10,41,3491575,158.26 116.11 190
66,2351,15 14 9,41,3491575,158.26 116.11 190
67,2336,12 13 15,41,3487287,155.88 115.32 194
68,2331,12 13 14,41,3487287,155.88 115.32 194
69,2338,13 13 13,41,3487012,156.67 115.32 193
70,2345,14 13 12,41,3486553,157.47 115.32 192
71,2352,15 13 11,41,3485911,158.26 115.32 191
72,2316,9 15 15,41,3481275,153.49 116.91 194
73,2311,9 15 14,41,3481275,153.49 116.91 194
74,2319,10 15 13,41,3481275,154.29 116.91 193
75,2326,11 15 12,41,3481089,155.08 116.91 192
76,2340,13 12 15,41,3480906,156.67 114.52 194
77,2335,13 12 14,41,3480906,156.67 114.52 194
78,2333,12 15 11,41,3480717,155.88 116.91 191
79,2342,14 12 13,41,3480542,157.47 114.52 193
80,2340,13 15 10,41,3480159,156.67 116.91 190
81,2335,13 15 9,41,3480159,156.67 116.91 190
82,2349,15 12 12,41,3479996,158.26 114.52 192
83,2342,14 15 8,41,3479415,157.47 116.91 189
84,2349,15 15 7,41,3478485,158.26 116.91 188
85,2320,10 14 15,41,3475507,154.29 116.11 194
86,2315,10 14 14,41,3475507,154.29 116.11 194
87,2323,11 14 13,41,3475415,155.08 116.11 193
88,2330,12 14 12,41,3475138,155.88 116.11 192
89,2337,13 14 11,41,3474676,156.67 116.11 191
90,2344,14 11 15,41,3474280,157.47 113.73 194
91,2339,14 11 14,41,3474280,157.47 113.73 194
92,2344,14 14 10,41,3474030,157.47 116.11 190
93,2339,14 14 9,41,3474030,157.47 116.11 190
94,2346,15 11 13,41,3473828,158.26 113.73 193
95,2346,15 14 8,41,3473199,158.26 116.11 189
96,2324,11 13 15,41,3469495,155.08 115.32 194
97,2319,11 13 14,41,3469495,155.08 115.32 194
98,2327,12 13 13,41,3469311,155.88 115.32 193
99,2334,13 13 12,41,3468945,156.67 115.32 192
100,2341,14 13 11,41,3468394,157.47 115.32 191
101,2348,15 13 10,41,3467661,158.26 115.32 190
102,2343,15 13 9,41,3467661,158.26 115.32 190
103,2347,15 10 15,41,3467409,158.26 112.93 194
