rank,cp,ivs,maxlevel,stat-product,stats
1,2051,15 15 15,40,2605215,161.22 127.24 127
2,2041,14 15 15,40,2592445,160.43 127.24 127
3,2044,15 14 15,40,2589034,161.22 126.45 127
4,2044,15 15 14,40,2584702,161.22 127.24 126
5,2031,13 15 15,40,2579674,159.64 127.24 127
6,2034,14 14 15,40,2576343,160.43 126.45 127
7,2038,15 13 15,40,2572853,161.22 125.66 127
8,2034,14 15 14,40,2572032,160.43 127.24 126
9,2038,15 14 14,40,2568648,161.22 126.45 126
10,2021,12 15 15,40,2566903,158.85 127.24 127
11,2038,15 15 13,40,2564188,161.22 127.24 125
12,2024,13 14 15,40,2563651,159.64 126.45 127
13,2028,14 13 15,40,2560240,160.43 125.66 127
14,2024,13 15 14,40,2559362,159.64 127.24 126
15,2032,15 12 15,40,2556671,161.22 124.87 127
16,2028,14 14 14,40,2556056,160.43 126.45 126
17,2011,11 15 15,40,2554133,158.06 127.24 127
18,2032,15 13 14,40,2552594,161.22 125.66 126
19,2028,14 15 13,40,2551619,160.43 127.24 125
20,2014,12 14 15,40,2550960,158.85 126.45 127
21,2032,15 14 13,40,2548262,161.22 126.45 125
22,2018,13 13 15,40,2547628,159.64 125.66 127
23,2014,12 15 14,40,2546692,158.85 127.24 126
24,2022,14 12 15,40,2544138,160.43 124.87 127
25,2032,15 15 12,40,2543675,161.22 127.24 124
26,2025,15 15 11,40,2543675,161.22 127.24 124
27,2018,13 14 14,40,2543465,159.64 126.45 126
28,2001,10 15 15,40,2541362,157.27 127.24 127
29,2025,15 11 15,40,2540490,161.22 124.08 127
30,2022,14 13 14,40,2540081,160.43 125.66 126
31,2018,13 15 13,40,2539049,159.64 127.24 125
32,2004,11 14 15,40,2538269,158.06 126.45 127
33,2025,15 12 14,40,2536540,161.22 124.87 126
34,2022,14 14 13,40,2535770,160.43 126.45 125
35,2008,12 13 15,40,2535016,158.85 125.66 127
36,2004,11 15 14,40,2534021,158.06 127.24 126
37,2025,15 13 13,40,2532335,161.22 125.66 125
38,2012,13 12 15,40,2531606,159.64 124.87 127
39,2022,14 15 12,40,2531206,160.43 127.24 124
40,2015,14 15 11,40,2531206,160.43 127.24 124
41,2008,12 14 14,40,2530874,158.85 126.45 126
42,1991,9 15 15,40,2528591,156.48 127.24 127
43,2015,14 11 15,40,2528036,160.43 124.08 127
44,2025,15 14 12,40,2527876,161.22 126.45 124
45,2019,15 14 11,40,2527876,161.22 126.45 124
46,2012,13 13 14,40,2527568,159.64 125.66 126
47,2008,12 15 13,40,2526480,158.85 127.24 125
48,1994,10 14 15,40,2525577,157.27 126.45 127
49,2019,15 10 15,40,2524308,161.22 123.29 127
50,2015,14 12 14,40,2524106,160.43 124.87 126
51,2012,13 14 13,40,2523279,159.64 126.45 125
52,2019,15 15 10,40,2523161,161.22 127.24 123
53,1998,11 13 15,40,2522404,158.06 125.66 127
54,1994,10 15 14,40,2521351,157.27 127.24 126
