rank,cp,ivs,maxlevel,stat-product,stats
1,2141,15 15 15,40,2885532,158.06 118.55 154
2,2136,15 15 14,40,2885532,158.06 118.55 154
3,2131,14 15 15,40,2871104,157.27 118.55 154
4,2125,14 15 14,40,2871104,157.27 118.55 154
5,2130,15 15 13,40,2866795,158.06 118.55 153
6,2134,15 14 15,40,2866295,158.06 117.75 154
7,2129,15 14 14,40,2866295,158.06 117.75 154
8,2120,13 15 15,40,2856676,156.48 118.55 154
9,2115,13 15 14,40,2856676,156.48 118.55 154
10,2120,14 15 13,40,2852461,157.27 118.55 153
11,2124,14 14 15,40,2851963,157.27 117.75 154
12,2118,14 14 14,40,2851963,157.27 117.75 154
13,2125,15 15 12,40,2848057,158.06 118.55 152
14,2123,15 14 13,40,2847683,158.06 117.75 153
15,2127,15 13 15,40,2847058,158.06 116.96 154
16,2122,15 13 14,40,2847058,158.06 116.96 154
17,2109,12 15 15,40,2842249,155.69 118.55 154
18,2104,12 15 14,40,2842249,155.69 118.55 154
19,2109,13 15 13,40,2838127,156.48 118.55 153
20,2113,13 14 15,40,2837632,156.48 117.75 154
21,2107,13 14 14,40,2837632,156.48 117.75 154
22,2114,14 15 12,40,2833817,157.27 118.55 152
23,2113,14 14 13,40,2833444,157.27 117.75 153
24,2116,14 13 15,40,2832823,157.27 116.96 154
25,2111,14 13 14,40,2832823,157.27 116.96 154
26,2119,15 15 11,40,2829320,158.06 118.55 151
27,2118,15 14 12,40,2829070,158.06 117.75 152
28,2116,15 13 13,40,2828571,158.06 116.96 153
29,2099,11 15 15,40,2827821,154.9 118.55 154
30,2120,15 12 15,40,2827821,158.06 116.17 154
31,2093,11 15 14,40,2827821,154.9 118.55 154
32,2114,15 12 14,40,2827821,158.06 116.17 154
33,2098,12 15 13,40,2823793,155.69 118.55 153
34,2102,12 14 15,40,2823300,155.69 117.75 154
35,2097,12 14 14,40,2823300,155.69 117.75 154
36,2104,13 15 12,40,2819577,156.48 118.55 152
37,2102,13 14 13,40,2819206,156.48 117.75 153
38,2106,13 13 15,40,2818587,156.48 116.96 154
39,2100,13 13 14,40,2818587,156.48 116.96 154
40,2109,14 15 11,40,2815174,157.27 118.55 151
41,2107,14 14 12,40,2814925,157.27 117.75 152
42,2106,14 13 13,40,2814428,157.27 116.96 153
43,2109,14 12 15,40,2813682,157.27 116.17 154
44,2104,14 12 14,40,2813682,157.27 116.17 154
45,2088,10 15 15,40,2813393,154.11 118.55 154
46,2082,10 15 14,40,2813393,154.11 118.55 154
47,2114,15 15 10,40,2810583,158.06 118.55 150
48,2108,15 15 9,40,2810583,158.06 118.55 150
49,2112,15 14 11,40,2810458,158.06 117.75 151
50,2111,15 13 12,40,2810083,158.06 116.96 152
51,2109,15 12 13,40,2809459,158.06 116.17 153
52,2088,11 15 13,40,2809459,154.9 118.55 153
53,2091,11 14 15,40,2808969,154.9 117.75 154
54,2086,11 14 14,40,2808969,154.9 117.75 154
55,2113,15 11 15,40,2808584,158.06 115.38 154
56,2107,15 11 14,40,2808584,158.06 115.38 154
57,2093,12 15 12,40,2805336,155.69 118.55 152
58,2091,12 14 13,40,2804967,155.69 117.75 153
59,2095,12 13 15,40,2804352,155.69 116.96 154
60,2090,12 13 14,40,2804352,155.69 116.96 154
61,2098,13 15 11,40,2801027,156.48 118.55 151
62,2097,13 14 12,40,2800780,156.48 117.75 152
63,2095,13 13 13,40,2800285,156.48 116.96 153
64,2099,13 12 15,40,2799543,156.48 116.17 154
65,2093,13 12 14,40,2799543,156.48 116.17 154
66,2077,9 15 15,40,2798966,153.32 118.55 154
67,2072,9 15 14,40,2798966,153.32 118.55 154
68,2103,14 15 10,40,2796530,157.27 118.55 150
69,2098,14 15 9,40,2796530,157.27 118.55 150
70,2102,14 14 11,40,2796406,157.27 117.75 151
71,2100,14 13 12,40,2796033,157.27 116.96 152
72,2098,14 12 13,40,2795411,157.27 116.17 153
73,2077,10 15 13,40,2795125,154.11 118.55 153
74,2081,10 14 15,40,2794638,154.11 117.75 154
75,2076,10 14 14,40,2794638,154.11 117.75 154
76,2102,14 11 15,40,2794541,157.27 115.38 154
77,2097,14 11 14,40,2794541,157.27 115.38 154
78,2107,15 14 10,40,2791846,158.06 117.75 150
79,2101,15 14 9,40,2791846,158.06 117.75 150
80,2103,15 15 8,40,2791846,158.06 118.55 149
81,2105,15 13 11,40,2791596,158.06 116.96 151
82,2104,15 12 12,40,2791096,158.06 116.17 152
83,2082,11 15 12,40,2791096,154.9 118.55 152
84,2081,11 14 13,40,2790729,154.9 117.75 153
85,2102,15 11 13,40,2790347,158.06 115.38 153
86,2084,11 13 15,40,2790117,154.9 116.96 154
87,2079,11 13 14,40,2790117,154.9 116.96 154
88,2105,15 10 15,40,2789347,158.06 114.59 154
89,2100,15 10 14,40,2789347,158.06 114.59 154
90,2088,12 15 11,40,2786880,155.69 118.55 151
91,2086,12 14 12,40,2786634,155.69 117.75 152
92,2084,12 13 13,40,2786142,155.69 116.96 153
93,2088,12 12 15,40,2785404,155.69 116.17 154
94,2083,12 12 14,40,2785404,155.69 116.17 154
95,2066,8 15 15,40,2784538,152.53 118.55 154
96,2061,8 15 14,40,2784538,152.53 118.55 154
97,2093,13 15 10,40,2782477,156.48 118.55 150
98,2087,13 15 9,40,2782477,156.48 118.55 150
99,2091,13 14 11,40,2782353,156.48 117.75 151
100,2090,13 13 12,40,2781982,156.48 116.96 152
101,2088,13 12 13,40,2781364,156.48 116.17 153
102,2066,9 15 13,40,2780791,153.32 118.55 153
103,2091,13 11 15,40,2780498,156.48 115.38 154
104,2086,13 11 14,40,2780498,156.48 115.38 154
105,2070,9 14 15,40,2780306,153.32 117.75 154
106,2065,9 14 14,40,2780306,153.32 117.75 154
107,2096,14 14 10,40,2777886,157.27 117.75 150
108,2091,14 14 9,40,2777886,157.27 117.75 150
109,2092,14 15 8,40,2777886,157.27 118.55 149
110,2095,14 13 11,40,2777638,157.27 116.96 151
111,2093,14 12 12,40,2777141,157.27 116.17 152
112,2072,10 15 12,40,2776856,154.11 118.55 152
113,2070,10 14 13,40,2776491,154.11 117.75 153
114,2091,14 11 13,40,2776395,157.27 115.38 153
115,2074,10 13 15,40,2775882,154.11 116.96 154
116,2069,10 13 14,40,2775882,154.11 116.96 154
117,2095,14 10 15,40,2775401,157.27 114.59 154
118,2089,14 10 14,40,2775401,157.27 114.59 154
119,2096,15 14 8,40,2773233,158.06 117.75 149
120,2100,15 13 10,40,2773108,158.06 116.96 150
121,2094,15 13 9,40,2773108,158.06 116.96 150
122,2097,15 15 7,40,2773108,158.06 118.55 148
123,2098,15 12 11,40,2772734,158.06 116.17 151
124,2077,11 15 11,40,2772734,154.9 118.55 151
125,2075,11 14 12,40,2772489,154.9 117.75 152
126,2096,15 11 12,40,2772109,158.06 115.38 152
127,2074,11 13 13,40,2771999,154.9 116.96 153
128,2077,11 12 15,40,2771265,154.9 116.17 154
129,2072,11 12 14,40,2771265,154.9 116.17 154
130,2095,15 10 13,40,2771235,158.06 114.59 153
131,2056,7 15 15,40,2770111,151.74 118.55 154
132,2098,15 9 15,40,2770111,158.06 113.8 154
133,2050,7 15 14,40,2770111,151.74 118.55 154
134,2093,15 9 14,40,2770111,158.06 113.8 154
135,2082,12 15 10,40,2768424,155.69 118.55 150
136,2077,12 15 9,40,2768424,155.69 118.55 150
137,2081,12 14 11,40,2768301,155.69 117.75 151
138,2079,12 13 12,40,2767932,155.69 116.96 152
139,2077,12 12 13,40,2767317,155.69 116.17 153
140,2056,8 15 13,40,2766457,152.53 118.55 153
141,2081,12 11 15,40,2766455,155.69 115.38 154
142,2076,12 11 14,40,2766455,155.69 115.38 154
143,2059,8 14 15,40,2765975,152.53 117.75 154
144,2054,8 14 14,40,2765975,152.53 117.75 154
145,2086,13 14 10,40,2763927,156.48 117.75 150
146,2080,13 14 9,40,2763927,156.48 117.75 150
147,2082,13 15 8,40,2763927,156.48 118.55 149
148,2084,13 13 11,40,2763680,156.48 116.96 151
149,2082,13 12 12,40,2763185,156.48 116.17 152
150,2061,9 15 12,40,2762616,153.32 118.55 152
151,2081,13 11 13,40,2762443,156.48 115.38 153
152,2060,9 14 13,40,2762252,153.32 117.75 153
153,2063,9 13 15,40,2761646,153.32 116.96 154
154,2058,9 13 14,40,2761646,153.32 116.96 154
155,2084,13 10 15,40,2761454,156.48 114.59 154
156,2079,13 10 14,40,2761454,156.48 114.59 154
157,2085,14 14 8,40,2759367,157.27 117.75 149
158,2089,14 13 10,40,2759243,157.27 116.96 150
159,2084,14 13 9,40,2759243,157.27 116.96 150
160,2087,14 15 7,40,2759243,157.27 118.55 148
161,2088,14 12 11,40,2758870,157.27 116.17 151
162,2066,10 15 11,40,2758587,154.11 118.55 151
163,2065,10 14 12,40,2758344,154.11 117.75 152
164,2086,14 11 12,40,2758249,157.27 115.38 152
165,2063,10 13 13,40,2757856,154.11 116.96 153
166,2084,14 10 13,40,2757379,157.27 114.59 153
167,2067,10 12 15,40,2757126,154.11 116.17 154
168,2062,10 12 14,40,2757126,154.11 116.17 154
169,2088,14 9 15,40,2756260,157.27 113.8 154
170,2082,14 9 14,40,2756260,157.27 113.8 154
171,2045,6 15 15,40,2755683,150.95 118.55 154
172,2040,6 15 14,40,2755683,150.95 118.55 154
173,2089,15 13 8,40,2754621,158.06 116.96 149
174,2090,15 14 7,40,2754621,158.06 117.75 148
175,2093,15 12 10,40,2754371,158.06 116.17 150
176,2087,15 12 9,40,2754371,158.06 116.17 150
177,2072,11 15 10,40,2754371,154.9 118.55 150
178,2066,11 15 9,40,2754371,154.9 118.55 150
179,2092,15 15 6,40,2754371,158.06 118.55 147
180,2070,11 14 11,40,2754249,154.9 117.75 151
181,2068,11 13 12,40,2753882,154.9 116.96 152
182,2091,15 11 11,40,2753872,158.06 115.38 151
183,2067,11 12 13,40,2753269,154.9 116.17 153
184,2089,15 10 12,40,2753122,158.06 114.59 152
185,2070,11 11 15,40,2752413,154.9 115.38 154
186,2065,11 11 14,40,2752413,154.9 115.38 154
187,2045,7 15 13,40,2752123,151.74 118.55 153
188,2087,15 9 13,40,2752123,158.06 113.8 153
189,2049,7 14 15,40,2751643,151.74 117.75 154
190,2044,7 14 14,40,2751643,151.74 117.75 154
191,2091,15 8 15,40,2750874,158.06 113.01 154
192,2085,15 8 14,40,2750874,158.06 113.01 154
193,2075,12 14 10,40,2749968,155.69 117.75 150
194,2070,12 14 9,40,2749968,155.69 117.75 150
195,2071,12 15 8,40,2749968,155.69 118.55 149
196,2074,12 13 11,40,2749722,155.69 116.96 151
197,2072,12 12 12,40,2749230,155.69 116.17 152
198,2070,12 11 13,40,2748491,155.69 115.38 153
199,2050,8 15 12,40,2748375,152.53 118.55 152
200,2049,8 14 13,40,2748014,152.53 117.75 153
201,2074,12 10 15,40,2747507,155.69 114.59 154
202,2068,12 10 14,40,2747507,155.69 114.59 154
203,2053,8 13 15,40,2747411,152.53 116.96 154
204,2047,8 13 14,40,2747411,152.53 116.96 154
205,2075,13 14 8,40,2745501,156.48 117.75 149
206,2079,13 13 10,40,2745377,156.48 116.96 150
207,2073,13 13 9,40,2745377,156.48 116.96 150
208,2076,13 15 7,40,2745377,156.48 118.55 148
209,2077,13 12 11,40,2745006,156.48 116.17 151
210,2056,9 15 11,40,2744441,153.32 118.55 151
211,2075,13 11 12,40,2744388,156.48 115.38 152
212,2054,9 14 12,40,2744198,153.32 117.75 152
213,2053,9 13 13,40,2743714,153.32 116.96 153
214,2074,13 10 13,40,2743522,156.48 114.59 153
215,2056,9 12 15,40,2742987,153.32 116.17 154
216,2051,9 12 14,40,2742987,153.32 116.17 154
217,2077,13 9 15,40,2742409,156.48 113.8 154
218,2072,13 9 14,40,2742409,156.48 113.8 154
219,2034,5 15 15,40,2741255,150.16 118.55 154
220,2029,5 15 14,40,2741255,150.16 118.55 154
221,2078,14 13 8,40,2740848,157.27 116.96 149
222,2080,14 14 7,40,2740848,157.27 117.75 148
223,2082,14 12 10,40,2740599,157.27 116.17 150
224,2077,14 12 9,40,2740599,157.27 116.17 150
225,2081,14 15 6,40,2740599,157.27 118.55 147
226,2061,10 15 10,40,2740318,154.11 118.55 150
227,2056,10 15 9,40,2740318,154.11 118.55 150
228,2059,10 14 11,40,2740197,154.11 117.75 151
229,2080,14 11 11,40,2740102,157.27 115.38 151
230,2058,10 13 12,40,2739831,154.11 116.96 152
231,2079,14 10 12,40,2739356,157.27 114.59 152
232,2056,10 12 13,40,2739222,154.11 116.17 153
233,2060,10 11 15,40,2738370,154.11 115.38 154
234,2055,10 11 14,40,2738370,154.11 115.38 154
235,2077,14 9 13,40,2738362,157.27 113.8 153
236,2034,6 15 13,40,2737789,150.95 118.55 153
237,2038,6 14 15,40,2737312,150.95 117.75 154
238,2033,6 14 14,40,2737312,150.95 117.75 154
239,2080,14 8 15,40,2737119,157.27 113.01 154
240,2075,14 8 14,40,2737119,157.27 113.01 154
241,2083,15 13 7,40,2736134,158.06 116.96 148
242,2065,11 14 10,40,2736009,154.9 117.75 150
243,2059,11 14 9,40,2736009,154.9 117.75 150
244,2082,15 12 8,40,2736009,158.06 116.17 149
245,2061,11 15 8,40,2736009,154.9 118.55 149
246,2085,15 14 6,40,2736009,158.06 117.75 147
247,2063,11 13 11,40,2735764,154.9 116.96 151
248,2085,15 11 10,40,2735634,158.06 115.38 150
249,2080,15 11 9,40,2735634,158.06 115.38 150
250,2086,15 15 5,40,2735634,158.06 118.55 146
251,2080,15 15 4,40,2735634,158.06 118.55 146
252,2061,11 12 12,40,2735274,154.9 116.17 152
253,2084,15 10 11,40,2735009,158.06 114.59 151
254,2060,11 11 13,40,2734540,154.9 115.38 153
255,2040,7 15 12,40,2734135,151.74 118.55 152
256,2082,15 9 12,40,2734135,158.06 113.8 152
257,2038,7 14 13,40,2733775,151.74 117.75 153
258,2063,11 10 15,40,2733560,154.9 114.59 154
259,2058,11 10 14,40,2733560,154.9 114.59 154
260,2042,7 13 15,40,2733176,151.74 116.96 154
261,2037,7 13 14,40,2733176,151.74 116.96 154
262,2080,15 8 13,40,2733011,158.06 113.01 153
263,2083,15 7 15,40,2731637,158.06 112.22 154
264,2078,15 7 14,40,2731637,158.06 112.22 154
265,2064,12 14 8,40,2731635,155.69 117.75 149
266,2068,12 13 10,40,2731512,155.69 116.96 150
267,2063,12 13 9,40,2731512,155.69 116.96 150
268,2066,12 15 7,40,2731512,155.69 118.55 148
269,2067,12 12 11,40,2731143,155.69 116.17 151
270,2065,12 11 12,40,2730527,155.69 115.38 152
271,2045,8 15 11,40,2730294,152.53 118.55 151
272,2044,8 14 12,40,2730053,152.53 117.75 152
273,2063,12 10 13,40,2729666,155.69 114.59 153
274,2042,8 13 13,40,2729571,152.53 116.96 153
275,2046,8 12 15,40,2728847,152.53 116.17 154
276,2040,8 12 14,40,2728847,152.53 116.17 154
277,2067,12 9 15,40,2728559,155.69 113.8 154
278,2061,12 9 14,40,2728559,155.69 113.8 154
279,2068,13 13 8,40,2727075,156.48 116.96 149
280,2069,13 14 7,40,2727075,156.48 117.75 148
281,2024,4 15 15,40,2726828,149.37 118.55 154
282,2018,4 15 14,40,2726828,149.37 118.55 154
283,2072,13 12 10,40,2726828,156.48 116.17 150
284,2066,13 12 9,40,2726828,156.48 116.17 150
285,2071,13 15 6,40,2726828,156.48 118.55 147
286,2070,13 11 11,40,2726333,156.48 115.38 151
287,2050,9 15 10,40,2726265,153.32 118.55 150
288,2045,9 15 9,40,2726265,153.32 118.55 150
289,2049,9 14 11,40,2726144,153.32 117.75 151
290,2047,9 13 12,40,2725781,153.32 116.96 152
291,2068,13 10 12,40,2725591,156.48 114.59 152
292,2046,9 12 13,40,2725175,153.32 116.17 153
293,2066,13 9 13,40,2724602,156.48 113.8 153
294,2049,9 11 15,40,2724327,153.32 115.38 154
295,2044,9 11 14,40,2724327,153.32 115.38 154
296,2024,5 15 13,40,2723455,150.16 118.55 153
297,2070,13 8 15,40,2723365,156.48 113.01 154
298,2065,13 8 14,40,2723365,156.48 113.01 154
299,2027,5 14 15,40,2722980,150.16 117.75 154
300,2022,5 14 14,40,2722980,150.16 117.75 154
301,2073,14 13 7,40,2722453,157.27 116.96 148
302,2071,14 12 8,40,2722329,157.27 116.17 149
303,2074,14 14 6,40,2722329,157.27 117.75 147
304,2054,10 14 10,40,2722050,154.11 117.75 150
305,2049,10 14 9,40,2722050,154.11 117.75 150
306,2050,10 15 8,40,2722050,154.11 118.55 149
307,2075,14 11 10,40,2721956,157.27 115.38 150
308,2070,14 11 9,40,2721956,157.27 115.38 150
309,2076,14 15 5,40,2721956,157.27 118.55 146
310,2070,14 15 4,40,2721956,157.27 118.55 146
311,2053,10 13 11,40,2721806,154.11 116.96 151
312,2073,14 10 11,40,2721334,157.27 114.59 151
313,2051,10 12 12,40,2721319,154.11 116.17 152
314,2049,10 11 13,40,2720588,154.11 115.38 153
315,2072,14 9 12,40,2720464,157.27 113.8 152
316,2029,6 15 12,40,2719895,150.95 118.55 152
317,2053,10 10 15,40,2719614,154.11 114.59 154
318,2047,10 10 14,40,2719614,154.11 114.59 154
319,2028,6 14 13,40,2719537,150.95 117.75 153
320,2070,14 8 13,40,2719346,157.27 113.01 153
321,2031,6 13 15,40,2718940,150.95 116.96 154
322,2026,6 13 14,40,2718940,150.95 116.96 154
323,2073,14 7 15,40,2717979,157.27 112.22 154
324,2068,14 7 14,40,2717979,157.27 112.22 154
325,2054,11 14 8,40,2717769,154.9 117.75 149
326,2058,11 13 10,40,2717646,154.9 116.96 150
327,2052,11 13 9,40,2717646,154.9 116.96 150
328,2076,15 12 7,40,2717646,158.06 116.17 148
329,2055,11 15 7,40,2717646,154.9 118.55 148
330,2078,15 13 6,40,2717646,158.06 116.96 147
331,2075,15 11 8,40,2717396,158.06 115.38 149
332,2079,15 14 5,40,2717396,158.06 117.75 146
333,2073,15 14 4,40,2717396,158.06 117.75 146
334,2056,11 12 11,40,2717279,154.9 116.17 151
335,2078,15 10 10,40,2716897,158.06 114.59 150
336,2073,15 10 9,40,2716897,158.06 114.59 150
337,2075,15 15 3,40,2716897,158.06 118.55 145
338,2054,11 11 12,40,2716667,154.9 115.38 152
339,2035,7 15 11,40,2716147,151.74 118.55 151
340,2077,15 9 11,40,2716147,158.06 113.8 151
341,2033,7 14 12,40,2715907,151.74 117.75 152
342,2053,11 10 13,40,2715810,154.9 114.59 153
343,2031,7 13 13,40,2715428,151.74 116.96 153
344,2075,15 8 12,40,2715148,158.06 113.01 152
345,2056,11 9 15,40,2714708,154.9 113.8 154
346,2051,11 9 14,40,2714708,154.9 113.8 154
347,2035,7 12 15,40,2714708,151.74 116.17 154
348,2030,7 12 14,40,2714708,151.74 116.17 154
349,2073,15 7 13,40,2713899,158.06 112.22 153
350,2057,12 13 8,40,2713302,155.69 116.96 149
351,2059,12 14 7,40,2713302,155.69 117.75 148
352,2061,12 12 10,40,2713056,155.69 116.17 150
353,2056,12 12 9,40,2713056,155.69 116.17 150
354,2060,12 15 6,40,2713056,155.69 118.55 147
355,2060,12 11 11,40,2712563,155.69 115.38 151
356,2076,15 6 15,40,2712400,158.06 111.43 154
357,2071,15 6 14,40,2712400,158.06 111.43 154
358,2013,3 15 15,40,2712400,148.58 118.55 154
359,2008,3 15 14,40,2712400,148.58 118.55 154
360,2040,8 15 10,40,2712212,152.53 118.55 150
361,2034,8 15 9,40,2712212,152.53 118.55 150
362,2038,8 14 11,40,2712092,152.53 117.75 151
363,2058,12 10 12,40,2711825,155.69 114.59 152
364,2037,8 13 12,40,2711730,152.53 116.96 152
365,2035,8 12 13,40,2711128,152.53 116.17 153
366,2056,12 9 13,40,2710841,155.69 113.8 153
367,2039,8 11 15,40,2710284,152.53 115.38 154
368,2033,8 11 14,40,2710284,152.53 115.38 154
369,2059,12 8 15,40,2709611,155.69 113.01 154
370,2054,12 8 14,40,2709611,155.69 113.01 154
371,2013,4 15 13,40,2709121,149.37 118.55 153
372,2062,13 13 7,40,2708772,156.48 116.96 148
373,2017,4 14 15,40,2708649,149.37 117.75 154
374,2012,4 14 14,40,2708649,149.37 117.75 154
375,2061,13 12 8,40,2708649,156.48 116.17 149
376,2064,13 14 6,40,2708649,156.48 117.75 147
377,2065,13 11 10,40,2708278,156.48 115.38 150
378,2059,13 11 9,40,2708278,156.48 115.38 150
379,2065,13 15 5,40,2708278,156.48 118.55 146
380,2060,13 15 4,40,2708278,156.48 118.55 146
381,2044,9 14 10,40,2708090,153.32 117.75 150
382,2038,9 14 9,40,2708090,153.32 117.75 150
383,2040,9 15 8,40,2708090,153.32 118.55 149
384,2042,9 13 11,40,2707848,153.32 116.96 151
385,2063,13 10 11,40,2707659,156.48 114.59 151
386,2040,9 12 12,40,2707363,153.32 116.17 152
387,2061,13 9 12,40,2706794,156.48 113.8 152
388,2039,9 11 13,40,2706636,153.32 115.38 153
389,2059,13 8 13,40,2705681,156.48 113.01 153
390,2042,9 10 15,40,2705667,153.32 114.59 154
391,2037,9 10 14,40,2705667,153.32 114.59 154
392,2019,5 15 12,40,2705654,150.16 118.55 152
393,2017,5 14 13,40,2705298,150.16 117.75 153
394,2021,5 13 15,40,2704705,150.16 116.96 154
395,2015,5 13 14,40,2704705,150.16 116.96 154
396,2063,13 7 15,40,2704320,156.48 112.22 154
397,2057,13 7 14,40,2704320,156.48 112.22 154
398,2066,14 12 7,40,2704058,157.27 116.17 148
399,2067,14 13 6,40,2704058,157.27 116.96 147
400,2043,10 14 8,40,2703903,154.11 117.75 149
401,2064,14 11 8,40,2703809,157.27 115.38 149
402,2069,14 14 5,40,2703809,157.27 117.75 146
403,2063,14 14 4,40,2703809,157.27 117.75 146
404,2047,10 13 10,40,2703781,154.11 116.96 150
405,2042,10 13 9,40,2703781,154.11 116.96 150
406,2045,10 15 7,40,2703781,154.11 118.55 148
407,2046,10 12 11,40,2703415,154.11 116.17 151
408,2068,14 10 10,40,2703312,157.27 114.59 150
409,2062,14 10 9,40,2703312,157.27 114.59 150
410,2064,14 15 3,40,2703312,157.27 118.55 145
411,2044,10 11 12,40,2702806,154.11 115.38 152
412,2066,14 9 11,40,2702567,157.27 113.8 151
413,2024,6 15 11,40,2702001,150.95 118.55 151
414,2042,10 10 13,40,2701954,154.11 114.59 153
415,2022,6 14 12,40,2701762,150.95 117.75 152
416,2064,14 8 12,40,2701572,157.27 113.01 152
417,2021,6 13 13,40,2701285,150.95 116.96 153
418,2046,10 9 15,40,2700858,154.11 113.8 154
419,2040,10 9 14,40,2700858,154.11 113.8 154
420,2024,6 12 15,40,2700569,150.95 116.17 154
421,2019,6 12 14,40,2700569,150.95 116.17 154
422,2062,14 7 13,40,2700329,157.27 112.22 153
423,2047,11 13 8,40,2699529,154.9 116.96 149
424,2048,11 14 7,40,2699529,154.9 117.75 148
425,2051,11 12 10,40,2699284,154.9 116.17 150
426,2045,11 12 9,40,2699284,154.9 116.17 150
427,2071,15 12 6,40,2699284,158.06 116.17 147
428,2050,11 15 6,40,2699284,154.9 118.55 147
429,2069,15 11 7,40,2699159,158.06 115.38 148
430,2072,15 13 5,40,2699159,158.06 116.96 146
431,2066,15 13 4,40,2699159,158.06 116.96 146
432,2066,14 6 15,40,2698838,157.27 111.43 154
433,2060,14 6 14,40,2698838,157.27 111.43 154
434,2049,11 11 11,40,2698794,154.9 115.38 151
435,2067,15 10 8,40,2698784,158.06 114.59 149
436,2068,15 14 3,40,2698784,158.06 117.75 145
437,2071,15 9 10,40,2698160,158.06 113.8 150
438,2066,15 9 9,40,2698160,158.06 113.8 150
439,2029,7 15 10,40,2698160,151.74 118.55 150
440,2024,7 15 9,40,2698160,151.74 118.55 150
441,2069,15 15 2,40,2698160,158.06 118.55 144
442,2047,11 10 12,40,2698060,154.9 114.59 152
443,2028,7 14 11,40,2698040,151.74 117.75 151
444,2002,2 15 15,40,2697972,147.79 118.55 154
445,1997,2 15 14,40,2697972,147.79 118.55 154
446,2026,7 13 12,40,2697680,151.74 116.96 152
447,2069,15 8 11,40,2697285,158.06 113.01 151
448,2046,11 9 13,40,2697080,154.9 113.8 153
449,2025,7 12 13,40,2697080,151.74 116.17 153
450,2028,7 11 15,40,2696241,151.74 115.38 154
451,2023,7 11 14,40,2696241,151.74 115.38 154
452,2067,15 7 12,40,2696161,158.06 112.22 152
453,2049,11 8 15,40,2695856,154.9 113.01 154
454,2044,11 8 14,40,2695856,154.9 113.01 154
455,2052,12 13 7,40,2695092,155.69 116.96 148
456,2050,12 12 8,40,2694969,155.69 116.17 149
457,2053,12 14 6,40,2694969,155.69 117.75 147
458,2065,15 6 13,40,2694787,158.06 111.43 153
459,2003,3 15 13,40,2694787,148.58 118.55 153
460,2054,12 11 10,40,2694599,155.69 115.38 150
461,2049,12 11 9,40,2694599,155.69 115.38 150
462,2055,12 15 5,40,2694599,155.69 118.55 146
463,2049,12 15 4,40,2694599,155.69 118.55 146
464,2006,3 14 15,40,2694317,148.58 117.75 154
465,2001,3 14 14,40,2694317,148.58 117.75 154
466,2033,8 14 10,40,2694131,152.53 117.75 150
467,2028,8 14 9,40,2694131,152.53 117.75 150
468,2029,8 15 8,40,2694131,152.53 118.55 149
469,2052,12 10 11,40,2693984,155.69 114.59 151
470,2031,8 13 11,40,2693890,152.53 116.96 151
471,2030,8 12 12,40,2693408,152.53 116.17 152
472,2069,15 5 15,40,2693163,158.06 110.64 154
473,2063,15 5 14,40,2693163,158.06 110.64 154
474,2051,12 9 12,40,2693123,155.69 113.8 152
475,2028,8 11 13,40,2692685,152.53 115.38 153
476,2049,12 8 13,40,2692016,155.69 113.01 153
477,2032,8 10 15,40,2691720,152.53 114.59 154
478,2026,8 10 14,40,2691720,152.53 114.59 154
479,2008,4 15 12,40,2691414,149.37 118.55 152
