rank,cp,ivs,maxlevel,stat-product,stats
1,2498,3 15 14,41,3901709,159.86 157.47 155
2,2492,2 15 15,41,3882297,159.06 157.47 155
3,2485,2 15 14,41,3882297,159.06 157.47 155
4,2498,3 14 15,41,3882003,159.86 156.67 155
5,2491,3 14 14,41,3882003,159.86 156.67 155
6,2497,4 13 14,41,3881513,160.65 155.88 155
7,2490,3 15 15,40.5,3880312,159.42 157.04 155
8,2496,4 14 15,40.5,3879922,160.21 156.24 155
9,2491,3 15 13,41,3876536,159.86 157.47 154
10,2497,4 14 13,41,3876147,160.65 156.67 154
11,2496,4 15 14,40.5,3874459,160.21 157.04 154
12,2497,4 15 12,41,3870525,160.65 157.47 153
13,2496,5 15 12,40.5,3868356,161 157.04 153
14,2497,5 15 15,40,3866036,160.43 156.48 154
15,2491,5 15 14,40,3866036,160.43 156.48 154
16,2497,6 14 14,40,3865459,161.22 155.69 154
17,2479,1 15 15,41,3862886,158.26 157.47 155
18,2473,1 15 14,41,3862886,158.26 157.47 155
19,2485,2 14 15,41,3862690,159.06 156.67 155
20,2479,2 14 14,41,3862690,159.06 156.67 155
21,2491,3 13 15,41,3862298,159.86 155.88 155
22,2485,3 13 14,41,3862298,159.86 155.88 155
23,2497,4 12 15,41,3861709,160.65 155.08 155
24,2491,4 12 14,41,3861709,160.65 155.08 155
25,2497,5 11 14,41,3860925,161.45 154.29 155
26,2490,4 13 15,40.5,3860227,160.21 155.45 155
27,2497,6 15 13,40,3859852,161.22 156.48 153
28,2496,5 12 15,40.5,3859545,161 154.66 155
29,2492,6 15 15,39.5,3857341,160.64 155.92 154
30,2479,2 15 13,41,3857250,159.06 157.47 154
31,2485,3 14 13,41,3856958,159.86 156.67 154
32,2497,7 14 15,39.5,3856673,161.43 155.13 154
33,2491,4 13 13,41,3856471,160.65 155.88 154
34,2497,5 12 13,41,3855789,161.45 155.08 154
35,2490,4 14 14,40.5,3854891,160.21 156.24 154
36,2496,5 13 14,40.5,3854309,161 155.45 154
37,2485,3 15 12,41,3851364,159.86 157.47 153
38,2497,7 15 14,39.5,3851079,161.43 155.92 153
39,2491,4 14 12,41,3850977,160.65 156.67 153
40,2497,5 13 12,41,3850396,161.45 155.88 153
41,2490,4 15 13,40.5,3849300,160.21 157.04 153
42,2496,5 14 13,40.5,3848819,161 156.24 153
43,2489,5 14 12,40.5,3848819,161 156.24 153
44,2495,6 13 12,40.5,3848145,161.8 155.45 153
45,2485,4 15 15,40,3846991,159.64 156.48 154
46,2491,5 14 15,40,3846510,160.43 155.69 154
47,2485,5 14 14,40,3846510,160.43 155.69 154
48,2497,6 13 15,40,3845837,161.22 154.9 154
49,2490,6 13 14,40,3845837,161.22 154.9 154
50,2491,4 15 11,41,3845228,160.65 157.47 152
51,2496,7 12 14,40,3844971,162.01 154.11 154
52,2497,5 14 11,41,3844747,161.45 156.67 152
53,2467,0 15 15,41,3843474,157.47 157.47 155
54,2460,0 15 14,41,3843474,157.47 157.47 155
55,2473,1 14 15,41,3843376,158.26 156.67 155
56,2466,1 14 14,41,3843376,158.26 156.67 155
57,2479,2 13 15,41,3843082,159.06 155.88 155
58,2473,2 13 14,41,3843082,159.06 155.88 155
59,2489,5 15 11,40.5,3843072,161 157.04 152
60,2485,3 12 15,41,3842592,159.86 155.08 155
61,2479,3 12 14,41,3842592,159.86 155.08 155
62,2495,6 14 11,40.5,3842499,161.8 156.24 152
63,2498,8 15 15,39,3842035,161.64 155.36 153
64,2492,8 15 14,39,3842035,161.64 155.36 153
65,2491,4 11 15,41,3841906,160.65 154.29 155
66,2485,4 11 14,41,3841906,160.65 154.29 155
67,2497,9 14 14,39,3841188,162.42 154.57 153
68,2497,5 10 15,41,3841023,161.45 153.49 155
69,2490,5 10 14,41,3841023,161.45 153.49 155
70,2484,5 15 13,40,3840932,160.43 156.48 153
71,2490,6 14 13,40,3840358,161.22 155.69 153
72,2496,6 9 14,41,3839945,162.24 152.7 155
73,2489,5 11 15,40.5,3839752,161 153.86 155
74,2496,7 13 13,40,3839594,162.01 154.9 153
75,2496,5 15 10,41,3838841,161.45 157.47 151
76,2490,5 15 9,41,3838841,161.45 157.47 151
77,2495,6 10 15,40.5,3838777,161.8 153.07 155
78,2496,6 14 9,41,3838268,162.24 156.67 151
79,2466,1 15 13,41,3837964,158.26 157.47 154
80,2485,6 14 15,39.5,3837860,160.64 155.13 154
81,2473,2 14 13,41,3837769,159.06 156.67 154
82,2479,3 13 13,41,3837380,159.86 155.88 154
83,2491,7 13 15,39.5,3837096,161.43 154.34 154
84,2485,4 12 13,41,3836795,160.65 155.08 154
85,2495,6 15 10,40.5,3836596,161.8 157.04 151
86,2497,8 12 15,39.5,3836141,162.22 153.56 154
87,2490,5 11 13,41,3836016,161.45 154.29 154
88,2497,9 15 13,39,3835453,162.42 155.36 152
89,2496,6 10 13,41,3835042,162.24 153.49 154
90,2490,5 12 14,40.5,3834645,161 154.66 154
91,2490,6 15 12,40,3834625,161.22 156.48 152
92,2496,7 14 12,40,3833960,162.01 155.69 152
93,2495,6 11 14,40.5,3833773,161.8 153.86 154
94,2492,9 15 15,38.5,3832721,161.83 154.79 153
95,2485,6 15 14,39.5,3832293,160.64 155.92 153
96,2472,2 15 12,41,3832203,159.06 157.47 153
97,2496,6 15 8,41,3832203,162.24 157.47 150
98,2478,3 14 12,41,3831913,159.86 156.67 153
99,2498,10 14 15,38.5,3831786,162.61 154.01 153
100,2491,7 14 14,39.5,3831629,161.43 155.13 153
101,2484,4 13 12,41,3831429,160.65 155.88 153
102,2497,8 13 14,39.5,3830775,162.22 154.34 153
103,2490,5 12 12,41,3830752,161.45 155.08 153
104,2496,6 11 12,41,3829881,162.24 154.29 153
105,2489,5 13 13,40.5,3829281,161 155.45 153
106,2495,6 12 13,40.5,3828512,161.8 154.66 153
107,2489,6 12 12,40.5,3828512,161.8 154.66 153
108,2496,7 15 11,40,3828070,162.01 156.48 151
109,2495,7 11 12,40.5,3827549,162.59 153.86 153
110,2485,5 13 15,40,3826985,160.43 154.9 154
111,2500,8 10 12,40.5,3826394,163.38 153.07 153
112,2490,6 12 15,40,3826215,161.22 154.11 154
113,2484,6 12 14,40,3826215,161.22 154.11 154
114,2478,3 15 11,41,3826192,159.86 157.47 152
115,2498,10 15 14,38.5,3826065,162.61 154.79 152
116,2491,7 15 13,39.5,3825909,161.43 155.92 152
117,2484,4 14 11,41,3825807,160.65 156.67 152
118,2496,7 11 15,40,3825253,162.01 153.32 154
119,2490,7 11 14,40,3825253,162.01 153.32 154
120,2490,5 13 11,41,3825230,161.45 155.88 152
121,2497,8 14 13,39.5,3825155,162.22 155.13 152
122,2496,6 12 11,41,3824461,162.24 155.08 152
123,2496,8 10 14,40,3824099,162.8 152.53 154
124,2460,0 14 15,41,3824063,157.47 156.67 155
125,2454,0 14 14,41,3824063,157.47 156.67 155
126,2467,1 13 15,41,3823867,158.26 155.88 155
127,2460,1 13 14,41,3823867,158.26 155.88 155
128,2473,2 12 15,41,3823475,159.06 155.08 155
129,2466,2 12 14,41,3823475,159.06 155.08 155
130,2486,7 15 15,39,3823385,160.85 155.36 153
131,2489,6 13 11,40.5,3822994,161.8 155.45 152
132,2500,8 15 7,40.5,3822896,163.38 157.04 149
133,2479,3 11 15,41,3822886,159.86 154.29 155
