rank,cp,ivs,maxlevel,stat-product
1,2499,0 15 15,28,3912535
2,2498,1 15 13,28,3903725
3,2499,1 13 15,28,3896046
4,2493,0 14 15,28,3895671
5,2499,0 8 14,28.5,3888006
6,2498,0 11 11,28.5,3887663
7,2498,2 13 13,28,3887196
8,2493,1 14 13,28,3886898
9,2499,1 14 14,28,3886898
10,2487,0 15 13,28,3886452
11,2493,0 15 14,28,3886452
12,2498,4 15 15,27.5,3884893
13,2498,0 9 13,28.5,3879424
14,2499,2 11 15,28,3879256
15,2494,1 12 15,28,3879106
16,2488,0 13 15,28,3878806
17,2497,0 12 10,28.5,3878508
18,2498,2 14 12,28,3877895
19,2492,1 15 12,28,3877525
20,2495,0 15 7,28.5,3876219
21,2493,0 7 14,28.5,3870726
22,2499,0 7 15,28.5,3870726
23,2498,1 9 11,28.5,3870688
24,2492,0 10 11,28.5,3870612
25,2498,0 10 12,28.5,3870612
26,2499,1 6 14,28.5,3870573
27,2498,3 11 13,28,3870370
28,2493,2 12 13,28,3870295
29,2499,2 12 14,28,3870295
30,2487,1 13 13,28,3870072
31,2493,1 13 14,28,3870072
32,2482,0 14 13,28,3869700
33,2488,0 14 14,28,3869700
34,2496,0 13 9,28.5,3869124
35,2497,3 14 10,28,3868661
36,2491,2 15 10,28,3868367
37,2497,2 15 11,28,3868367
38,2498,5 13 15,27.5,3868221
39,2492,4 14 15,27.5,3868148
40,2487,3 15 15,27.5,3867929
41,2500,1 15 6,28.5,3866780
42,2493,0 8 13,28.5,3862258
43,2494,2 10 15,28,3862242
44,2498,1 7 13,28.5,3862182
45,2488,1 11 15,28,3862167
46,2499,3 9 15,28,3862167
47,2483,0 12 15,28,3861942
48,2497,1 10 10,28.5,3861722
49,2492,0 11 10,28.5,3861571
50,2498,3 12 12,28,3861255
51,2492,2 13 12,28,3861108
52,2487,1 14 12,28,3860812
53,2481,0 15 12,28,3860368
54,2495,1 13 7,28.5,3859883
55,2490,0 14 7,28.5,3859512
56,2496,0 14 8,28.5,3859512
57,2499,0 10 5,29,3859233
58,2496,3 15 9,28,3858977
59,2497,5 14 14,27.5,3858966
60,2492,4 15 14,27.5,3858820
61,2499,2 15 4,28.5,3857104
62,2487,0 9 11,28.5,3853561
63,2493,0 9 12,28.5,3853561
64,2492,1 8 11,28.5,3853561
65,2498,1 8 12,28.5,3853561
66,2488,0 6 14,28.5,3853446
67,2494,0 6 15,28.5,3853446
68,2498,2 7 11,28.5,3853409
69,2487,2 11 13,28,3853394
70,2493,2 11 14,28,3853394
71,2493,3 10 13,28,3853394
72,2499,3 10 14,28,3853394
73,2482,1 12 13,28,3853246
74,2488,1 12 14,28,3853246
75,2498,4 9 13,28,3853246
76,2493,1 5 14,28.5,3853216
77,2499,1 5 15,28.5,3853216
78,2476,0 13 13,28,3852948
79,2482,0 13 14,28,3852948
80,2499,2 4 14,28.5,3852832
81,2497,1 11 9,28.5,3852526
82,2491,0 12 9,28.5,3852302
83,2497,4 12 10,28,3851987
84,2491,3 13 10,28,3851913
85,2497,3 13 11,28,3851913
86,2486,2 14 10,28,3851693
87,2492,2 14 11,28,3851693
88,2500,0 8 7,29,3851431
89,2487,4 13 15,27.5,3851403
