rank,cp,ivs,maxlevel,stat-product,stats
1,657,15 15 15,40,664208,64.8 103.53 99
2,655,15 14 15,40,659138,64.8 102.74 99
3,655,15 15 14,40,657499,64.8 103.53 98
4,649,14 15 15,40,656108,64.01 103.53 99
5,652,15 13 15,40,654067,64.8 101.95 99
6,652,15 14 14,40,652480,64.8 102.74 98
7,647,14 14 15,40,651099,64.01 102.74 99
8,652,15 15 13,40,650789,64.8 103.53 97
9,650,15 15 12,40,650789,64.8 103.53 97
10,647,14 15 14,40,649480,64.01 103.53 98
11,650,15 12 15,40,648997,64.8 101.16 99
12,641,13 15 15,40,648008,63.22 103.53 99
13,650,15 13 14,40,647460,64.8 101.95 98
14,644,14 13 15,40,646091,64.01 101.95 99
15,650,15 14 13,40,645822,64.8 102.74 97
16,647,15 14 12,40,645822,64.8 102.74 97
17,644,14 14 14,40,644522,64.01 102.74 98
18,647,15 15 11,40,644080,64.8 103.53 96
19,647,15 11 15,40,643927,64.8 100.37 99
20,639,13 14 15,40,643061,63.22 102.74 99
21,644,14 15 13,40,642853,64.01 103.53 97
22,642,14 15 12,40,642853,64.01 103.53 97
23,647,15 12 14,40,642441,64.8 101.16 98
24,639,13 15 14,40,641462,63.22 103.53 98
25,642,14 12 15,40,641082,64.01 101.16 99
26,647,15 13 13,40,640854,64.8 101.95 97
27,645,15 13 12,40,640854,64.8 101.95 97
28,633,12 15 15,40,639908,62.43 103.53 99
29,642,14 13 14,40,639565,64.01 101.95 98
30,644,15 14 11,40,639164,64.8 102.74 96
31,645,15 10 15,40,638856,64.8 99.58 99
32,637,13 13 15,40,638114,63.22 101.95 99
33,642,14 14 13,40,637946,64.01 102.74 97
34,639,14 14 12,40,637946,64.01 102.74 97
35,645,15 11 14,40,637422,64.8 100.37 98
36,644,15 15 10,40,637371,64.8 103.53 95
37,636,13 14 14,40,636565,63.22 102.74 98
38,639,14 15 11,40,636226,64.01 103.53 96
39,639,14 11 15,40,636074,64.01 100.37 99
40,645,15 12 13,40,635886,64.8 101.16 97
41,642,15 12 12,40,635886,64.8 101.16 97
42,631,12 14 15,40,635023,62.43 102.74 99
43,636,13 15 13,40,634917,63.22 103.53 97
44,634,13 15 12,40,634917,63.22 103.53 97
45,639,14 12 14,40,634607,64.01 101.16 98
46,642,15 13 11,40,634247,64.8 101.95 96
47,642,15 9 15,40,633786,64.8 98.79 99
48,631,12 15 14,40,633444,62.43 103.53 98
49,634,13 12 15,40,633168,63.22 101.16 99
50,639,14 13 13,40,633038,64.01 101.95 97
51,637,14 13 12,40,633038,64.01 101.95 97
52,642,15 14 10,40,632506,64.8 102.74 95
53,642,15 10 14,40,632403,64.8 99.58 98
54,625,11 15 15,40,631807,61.64 103.53 99
55,634,13 13 14,40,631669,63.22 101.95 98
56,637,14 14 11,40,631369,64.01 102.74 96
57,637,14 10 15,40,631065,64.01 99.58 99
58,642,15 11 13,40,630918,64.8 100.37 97
59,640,15 11 12,40,630918,64.8 100.37 97
60,642,15 15 9,40,630662,64.8 103.53 94
61,639,15 15 8,40,630662,64.8 103.53 94
62,629,12 13 15,40,630138,62.43 101.95 99
63,634,13 14 13,40,630070,63.22 102.74 97
64,631,13 14 12,40,630070,63.22 102.74 97
65,637,14 11 14,40,629649,64.01 100.37 98
66,636,14 15 10,40,629598,64.01 103.53 95
67,640,15 12 11,40,629330,64.8 101.16 96
68,640,15 8 15,40,628716,64.8 98 99
69,628,12 14 14,40,628608,62.43 102.74 98
70,631,13 15 11,40,628371,63.22 103.53 96
71,632,13 11 15,40,628221,63.22 100.37 99
72,637,14 12 13,40,628131,64.01 101.16 97
73,634,14 12 12,40,628131,64.01 101.16 97
74,639,15 13 10,40,627640,64.8 101.95 95
75,640,15 9 14,40,627384,64.8 98.79 98
76,623,11 14 15,40,626984,61.64 102.74 99
77,628,12 15 13,40,626980,62.43 103.53 97
78,626,12 15 12,40,626980,62.43 103.53 97
79,632,13 12 14,40,626772,63.22 101.16 98
80,634,14 13 11,40,626512,64.01 101.95 96
81,634,14 9 15,40,626057,64.01 98.79 99
82,640,15 10 13,40,625950,64.8 99.58 97
83,637,15 10 12,40,625950,64.8 99.58 97
84,639,15 14 9,40,625848,64.8 102.74 94
85,637,15 14 8,40,625848,64.8 102.74 94
86,623,11 15 14,40,625426,61.64 103.53 98
87,626,12 12 15,40,625253,62.43 101.16 99
88,631,13 13 13,40,625223,63.22 101.95 97
89,629,13 13 12,40,625223,63.22 101.95 97
90,634,14 14 10,40,624792,64.01 102.74 95
91,634,14 10 14,40,624691,64.01 99.58 98
92,637,15 11 11,40,624414,64.8 100.37 96
93,636,15 15 7,40,623953,64.8 103.53 93
94,626,12 13 14,40,623773,62.43 101.95 98
95,617,10 15 15,40,623707,60.85 103.53 99
96,637,15 7 15,40,623645,64.8 97.21 99
97,629,13 14 11,40,623574,63.22 102.74 96
98,629,13 10 15,40,623274,63.22 99.58 99
99,634,14 11 13,40,623224,64.01 100.37 97
100,632,14 11 12,40,623224,64.01 100.37 97
101,634,14 15 9,40,622971,64.01 103.53 94
102,631,14 15 8,40,622971,64.01 103.53 94
103,637,15 12 10,40,622775,64.8 101.16 95
104,637,15 8 14,40,622365,64.8 98 98
105,626,12 14 13,40,622194,62.43 102.74 97
106,623,12 14 12,40,622194,62.43 102.74 97
107,621,11 13 15,40,622161,61.64 101.95 99
108,629,13 11 14,40,621875,63.22 100.37 98
109,629,13 15 10,40,621825,63.22 103.53 95
110,632,14 12 11,40,621656,64.01 101.16 96
111,632,14 8 15,40,621048,64.01 98 99
112,637,15 13 9,40,621034,64.8 101.95 94
113,634,15 13 8,40,621034,64.8 101.95 94
114,637,15 9 13,40,620982,64.8 98.79 97
115,635,15 9 12,40,620982,64.8 98.79 97
116,621,11 14 14,40,620651,61.64 102.74 98
117,623,12 15 11,40,620516,62.43 103.53 96
118,629,13 12 13,40,620376,63.22 101.16 97
119,626,13 12 12,40,620376,63.22 101.16 97
120,624,12 11 15,40,620368,62.43 100.37 99
121,632,14 13 10,40,619986,64.01 101.95 95
122,632,14 9 14,40,619733,64.01 98.79 98
123,634,15 10 11,40,619497,64.8 99.58 96
124,634,15 14 7,40,619190,64.8 102.74 93
125,620,11 15 13,40,619044,61.64 103.53 97
126,618,11 15 12,40,619044,61.64 103.53 97
127,615,10 14 15,40,618946,60.85 102.74 99
128,624,12 12 14,40,618937,62.43 101.16 98
129,626,13 13 11,40,618778,63.22 101.95 96
130,634,15 6 15,40,618575,64.8 96.42 99
131,627,13 9 15,40,618328,63.22 98.79 99
132,632,14 10 13,40,618317,64.01 99.58 97
133,629,14 10 12,40,618317,64.01 99.58 97
134,631,14 14 9,40,618215,64.01 102.74 94
135,629,14 14 8,40,618215,64.01 102.74 94
136,634,15 11 10,40,617909,64.8 100.37 95
137,624,12 13 13,40,617408,62.43 101.95 97
138,621,12 13 12,40,617408,62.43 101.95 97
139,615,10 15 14,40,617407,60.85 103.53 98
140,635,15 7 14,40,617346,64.8 97.21 98
141,618,11 12 15,40,617339,61.64 101.16 99
142,634,15 15 6,40,617244,64.8 103.53 92
143,626,13 14 10,40,617079,63.22 102.74 95
144,627,13 10 14,40,616979,63.22 99.58 98
145,629,14 11 11,40,616799,64.01 100.37 96
146,628,14 15 7,40,616344,64.01 103.53 93
147,634,15 12 9,40,616219,64.8 101.16 94
148,632,15 12 8,40,616219,64.8 101.16 94
149,629,14 7 15,40,616040,64.01 97.21 99
150,635,15 8 13,40,616014,64.8 98 97
151,632,15 8 12,40,616014,64.8 98 97
152,618,11 13 14,40,615877,61.64 101.95 98
153,621,12 14 11,40,615780,62.43 102.74 96
154,609,9 15 15,40,615607,60.06 103.53 99
155,627,13 11 13,40,615530,63.22 100.37 97
156,624,13 11 12,40,615530,63.22 100.37 97
157,621,12 10 15,40,615484,62.43 99.58 99
158,626,13 15 9,40,615280,63.22 103.53 94
159,623,13 15 8,40,615280,63.22 103.53 94
160,629,14 12 10,40,615180,64.01 101.16 95
161,629,14 8 14,40,614775,64.01 98 98
162,632,15 9 11,40,614580,64.8 98.79 96
