rank,cp,ivs,maxlevel,stat-product,stats
1,1965,15 15 15,41,3213073,120.09 141.56 189
2,1961,15 15 14,41,3196073,120.09 141.56 188
3,1960,15 14 15,41,3195022,120.09 140.77 189
4,1952,14 15 15,41,3191795,119.3 141.56 189
5,1957,15 15 13,41,3179073,120.09 141.56 187
6,1956,15 14 14,41,3178118,120.09 140.77 188
7,1954,15 13 15,41,3176971,120.09 139.97 189
8,1948,14 15 14,41,3174907,119.3 141.56 188
9,1947,14 14 15,41,3173863,119.3 140.77 189
10,1939,13 15 15,41,3170516,118.5 141.56 189
11,1953,15 15 12,41,3162072,120.09 141.56 186
12,1949,15 15 11,41,3162072,120.09 141.56 186
13,1952,15 14 13,41,3161213,120.09 140.77 187
14,1950,15 13 14,41,3160162,120.09 139.97 188
15,1949,15 12 15,41,3158921,120.09 139.18 189
16,1944,14 15 13,41,3158019,119.3 141.56 187
17,1943,14 14 14,41,3157070,119.3 140.77 188
18,1941,14 13 15,41,3155932,119.3 139.97 189
19,1935,13 15 14,41,3153741,118.5 141.56 188
20,1934,13 14 15,41,3152704,118.5 140.77 189
21,1926,12 15 15,41,3149238,117.7 141.56 189
22,1945,15 15 10,41,3145072,120.09 141.56 185
23,1947,15 14 12,41,3144308,120.09 140.77 186
24,1943,15 14 11,41,3144308,120.09 140.77 186
25,1946,15 13 13,41,3143353,120.09 139.97 187
26,1945,15 12 14,41,3142207,120.09 139.18 188
27,1940,14 15 12,41,3141131,119.3 141.56 186
28,1936,14 15 11,41,3141131,119.3 141.56 186
29,1943,15 11 15,41,3140870,120.09 138.38 189
30,1939,14 14 13,41,3140278,119.3 140.77 187
31,1937,14 13 14,41,3139234,119.3 139.97 188
32,1936,14 12 15,41,3138000,119.3 139.18 189
33,1931,13 15 13,41,3136966,118.5 141.56 187
34,1930,13 14 14,41,3136023,118.5 140.77 188
35,1928,13 13 15,41,3134892,118.5 139.97 189
36,1922,12 15 14,41,3132575,117.7 141.56 188
37,1921,12 14 15,41,3131545,117.7 140.77 189
38,1940,15 15 9,41,3128071,120.09 141.56 184
39,1913,11 15 15,41,3127959,116.91 141.56 189
40,1939,15 14 10,41,3127403,120.09 140.77 185
41,1942,15 13 12,41,3126543,120.09 139.97 186
42,1938,15 13 11,41,3126543,120.09 139.97 186
43,1940,15 12 13,41,3125493,120.09 139.18 187
44,1939,15 11 14,41,3124251,120.09 138.38 188
45,1932,14 15 10,41,3124244,119.3 141.56 185
46,1934,14 14 12,41,3123485,119.3 140.77 186
47,1930,14 14 11,41,3123485,119.3 140.77 186
48,1937,15 10 15,41,3122819,120.09 137.59 189
49,1933,14 13 13,41,3122536,119.3 139.97 187
50,1932,14 12 14,41,3121397,119.3 139.18 188
