rank,cp,ivs,maxlevel,stat-product,stats
1,1793,15 15 15,41,2550449,125.66 143.95 141
2,1788,15 14 15,41,2536358,125.66 143.15 141
3,1782,14 15 15,41,2534307,124.86 143.95 141
4,1788,15 15 14,41,2532361,125.66 143.95 140
5,1783,15 13 15,41,2522267,125.66 142.36 141
6,1777,14 14 15,41,2520305,124.86 143.15 141
7,1783,15 14 14,41,2518370,125.66 143.15 140
8,1771,13 15 15,41,2518165,124.07 143.95 141
9,1777,14 15 14,41,2516333,124.86 143.95 140
10,1783,15 15 13,41,2514272,125.66 143.95 139
11,1778,15 15 12,41,2514272,125.66 143.95 139
12,1778,15 12 15,41,2508176,125.66 141.56 141
13,1772,14 13 15,41,2506304,124.86 142.36 141
14,1778,15 13 14,41,2504379,125.66 142.36 140
15,1766,13 14 15,41,2504252,124.07 143.15 141
16,1772,14 14 14,41,2502431,124.86 143.15 140
17,1759,12 15 15,41,2502023,123.27 143.95 141
18,1778,15 14 13,41,2500381,125.66 143.15 139
19,1773,15 14 12,41,2500381,125.66 143.15 139
20,1766,13 15 14,41,2500306,124.07 143.95 140
21,1772,14 15 13,41,2498359,124.86 143.95 139
22,1767,14 15 12,41,2498359,124.86 143.95 139
23,1773,15 15 11,41,2496184,125.66 143.95 138
24,1773,15 11 15,41,2494086,125.66 140.77 141
25,1767,14 12 15,41,2492302,124.86 141.56 141
26,1773,15 12 14,41,2490388,125.66 141.56 140
27,1761,13 13 15,41,2490340,124.07 142.36 141
28,1767,14 13 14,41,2488528,124.86 142.36 140
29,1754,12 14 15,41,2488199,123.27 143.15 141
30,1761,13 14 14,41,2486492,124.07 143.15 140
31,1773,15 13 13,41,2486490,125.66 142.36 139
32,1768,15 13 12,41,2486490,125.66 142.36 139
33,1748,11 15 15,41,2485881,122.48 143.95 141
34,1767,14 14 13,41,2484556,124.86 143.15 139
35,1762,14 14 12,41,2484556,124.86 143.15 139
36,1754,12 15 14,41,2484278,123.27 143.95 140
37,1761,13 15 13,41,2482446,124.07 143.95 139
38,1756,13 15 12,41,2482446,124.07 143.95 139
39,1768,15 14 11,41,2482393,125.66 143.15 138
40,1762,14 15 11,41,2480386,124.86 143.95 138
41,1768,15 10 15,41,2479995,125.66 139.97 141
42,1762,14 11 15,41,2478300,124.86 140.77 141
43,1768,15 15 10,41,2478096,125.66 143.95 137
44,1756,13 12 15,41,2476427,124.07 141.56 141
45,1768,15 11 14,41,2476397,125.66 140.77 140
46,1762,14 12 14,41,2474626,124.86 141.56 140
47,1749,12 13 15,41,2474376,123.27 142.36 141
48,1756,13 13 14,41,2472678,124.07 142.36 140
49,1768,15 12 13,41,2472599,125.66 141.56 139
50,1763,15 12 12,41,2472599,125.66 141.56 139
51,1743,11 14 15,41,2472147,122.48 143.15 141
52,1762,14 13 13,41,2470753,124.86 142.36 139
53,1757,14 13 12,41,2470753,124.86 142.36 139
54,1749,12 14 14,41,2470553,123.27 143.15 140
55,1737,10 15 15,41,2469739,121.68 143.95 141
56,1756,13 14 13,41,2468731,124.07 143.15 139
57,1751,13 14 12,41,2468731,124.07 143.15 139
58,1763,15 13 11,41,2468602,125.66 142.36 138
59,1743,11 15 14,41,2468250,122.48 143.95 140
60,1757,14 14 11,41,2466682,124.86 143.15 138
61,1749,12 15 13,41,2466533,123.27 143.95 139
62,1744,12 15 12,41,2466533,123.27 143.95 139
63,1763,15 9 15,41,2465904,125.66 139.18 141
64,1751,13 15 11,41,2464587,124.07 143.95 138
65,1763,15 14 10,41,2464405,125.66 143.15 137
66,1757,14 10 15,41,2464298,124.86 139.97 141
67,1751,13 11 15,41,2462515,124.07 140.77 141
68,1757,14 15 10,41,2462412,124.86 143.95 137
69,1763,15 10 14,41,2462406,125.66 139.97 140
70,1757,14 11 14,41,2460724,124.86 140.77 140
71,1745,12 12 15,41,2460553,123.27 141.56 141
72,1763,15 15 9,41,2460008,125.66 143.95 136
73,1751,13 12 14,41,2458864,124.07 141.56 140
74,1763,15 11 13,41,2458708,125.66 140.77 139
75,1758,15 11 12,41,2458708,125.66 140.77 139
76,1738,11 13 15,41,2458412,122.48 142.36 141
77,1757,14 12 13,41,2456950,124.86 141.56 139
78,1752,14 12 12,41,2456950,124.86 141.56 139
79,1745,12 13 14,41,2456827,123.27 142.36 140
80,1732,10 14 15,41,2456094,121.68 143.15 141
81,1751,13 13 13,41,2455016,124.07 142.36 139
82,1746,13 13 12,41,2455016,124.07 142.36 139
83,1758,15 12 11,41,2454811,125.66 141.56 138
84,1738,11 14 14,41,2454614,122.48 143.15 140
85,1725,9 15 15,41,2453597,120.89 143.95 141
86,1752,14 13 11,41,2452978,124.86 142.36 138
87,1744,12 14 13,41,2452906,123.27 143.15 139
88,1739,12 14 12,41,2452906,123.27 143.15 139
89,1732,10 15 14,41,2452223,121.68 143.95 140
90,1758,15 8 15,41,2451813,125.66 138.38 141
91,1746,13 14 11,41,2450970,124.07 143.15 138
92,1758,15 13 10,41,2450714,125.66 142.36 137
93,1738,11 15 13,41,2450620,122.48 143.95 139
94,1733,11 15 12,41,2450620,122.48 143.95 139
95,1752,14 9 15,41,2450297,124.86 139.18 141
96,1752,14 14 10,41,2448807,124.86 143.15 137
97,1739,12 15 11,41,2448788,123.27 143.95 138
98,1746,13 10 15,41,2448602,124.07 139.97 141
99,1758,15 9 14,41,2448415,125.66 139.18 140
100,1752,14 10 14,41,2446821,124.86 139.97 140
101,1740,12 11 15,41,2446729,123.27 140.77 141
102,1746,13 15 10,41,2446728,124.07 143.95 137
103,1758,15 14 9,41,2446416,125.66 143.15 136
104,1746,13 11 14,41,2445050,124.07 140.77 140
105,1758,15 10 13,41,2444817,125.66 139.97 139
106,1753,15 10 12,41,2444817,125.66 139.97 139
107,1733,11 12 15,41,2444678,122.48 141.56 141
108,1752,14 15 9,41,2444438,124.86 143.95 136
109,1752,14 11 13,41,2443147,124.86 140.77 139
110,1747,14 11 12,41,2443147,124.86 140.77 139
111,1740,12 12 14,41,2443102,123.27 141.56 140
112,1727,10 13 15,41,2442449,121.68 142.36 141
113,1758,15 15 8,41,2441919,125.66 143.95 135
114,1753,15 15 7,41,2441919,125.66 143.95 135
115,1746,13 12 13,41,2441301,124.07 141.56 139
116,1741,13 12 12,41,2441301,124.07 141.56 139
117,1753,15 11 11,41,2441020,125.66 140.77 138
118,1733,11 13 14,41,2440977,122.48 142.36 140
119,1720,9 14 15,41,2440041,120.89 143.15 141
120,1740,12 13 13,41,2439279,123.27 142.36 139
121,1735,12 13 12,41,2439279,123.27 142.36 139
122,1747,14 12 11,41,2439274,124.86 141.56 138
123,1727,10 14 14,41,2438675,121.68 143.15 140
124,1753,15 7 15,41,2437722,125.66 137.59 141
125,1714,8 15 15,41,2437454,120.09 143.95 141
126,1741,13 13 11,41,2437354,124.07 142.36 138
127,1733,11 14 13,41,2437081,122.48 143.15 139
128,1728,11 14 12,41,2437081,122.48 143.15 139
129,1753,15 12 10,41,2437022,125.66 141.56 137
130,1747,14 8 15,41,2436295,124.86 138.38 141
131,1720,9 15 14,41,2436195,120.89 143.95 140
132,1735,12 14 11,41,2435259,123.27 143.15 138
133,1747,14 13 10,41,2435203,124.86 142.36 137
134,1727,10 15 13,41,2434707,121.68 143.95 139
135,1722,10 15 12,41,2434707,121.68 143.95 139
136,1741,13 9 15,41,2434690,124.07 139.18 141
137,1753,15 8 14,41,2434424,125.66 138.38 140
138,1741,13 14 10,41,2433210,124.07 143.15 137
139,1728,11 15 11,41,2432990,122.48 143.95 138
140,1747,14 9 14,41,2432919,124.86 139.18 140
141,1735,12 10 15,41,2432906,123.27 139.97 141
142,1753,15 13 9,41,2432825,125.66 142.36 136
143,1741,13 10 14,41,2431236,124.07 139.97 140
144,1734,12 15 10,41,2431043,123.27 143.95 137
145,1728,11 11 15,41,2430944,122.48 140.77 141
146,1747,14 14 9,41,2430933,124.86 143.15 136
147,1753,15 9 13,41,2430926,125.66 139.18 139
148,1748,15 9 12,41,2430926,125.66 139.18 139
149,1735,12 11 14,41,2429377,123.27 140.77 140
150,1747,14 10 13,41,2429344,124.86 139.97 139
151,1742,14 10 12,41,2429344,124.86 139.97 139
152,1740,13 15 9,41,2428868,124.07 143.95 136
153,1722,10 12 15,41,2428804,121.68 141.56 141
154,1753,15 14 8,41,2428428,125.66 143.15 135
155,1748,15 14 7,41,2428428,125.66 143.15 135
