rank,cp,ivs,maxlevel,stat-product
1,2500,0 15 15,39.5,4354398
2,2500,0 13 14,40,4339788
3,2498,0 12 15,40,4338196
4,2499,1 15 12,39.5,4334973
5,2495,0 15 14,39.5,4332841
6,2493,0 14 15,39.5,4331600
7,2500,2 15 13,39,4327317
8,2496,1 15 15,39,4325318
9,2500,1 14 10,40,4321571
10,2493,0 15 10,40,4320577
11,2498,0 15 11,40,4320577
12,2497,0 14 12,40,4319554
13,2500,3 15 14,38.5,4319319
14,2495,0 13 13,40,4318304
15,2500,1 11 14,40,4317457
16,2493,0 12 14,40,4316826
17,2498,1 10 15,40,4315628
18,2491,0 11 15,40,4315121
19,2494,1 15 11,39.5,4313298
20,2499,2 13 12,39.5,4313021
21,2492,1 14 12,39.5,4312277
22,2497,1 14 13,39.5,4312277
23,2485,0 15 12,39.5,4311285
24,2490,0 15 13,39.5,4311285
25,2496,1 13 14,39.5,4311029
26,2500,4 15 15,38,4310982
27,2489,0 14 14,39.5,4310156
28,2494,1 12 15,39.5,4309553
29,2487,0 13 15,39.5,4308802
30,2495,2 15 12,39,4305680
31,2500,3 13 13,39,4305276
32,2493,2 14 13,39,4304661
33,2498,2 14 14,39,4304661
34,2486,1 15 13,39,4303799
35,2491,1 15 14,39,4303799
36,2496,2 13 15,39,4303415
37,2489,1 14 15,39,4302672
38,2497,1 15 8,40,4300655
39,2496,1 14 9,40,4299855
40,2488,0 15 9,40,4298866
41,2494,1 13 10,40,4298826
42,2499,1 13 11,40,4298826
43,2487,0 14 10,40,4297956
44,2492,0 14 11,40,4297956
45,2495,3 15 13,38.5,4297723
46,2497,1 12 12,40,4297569
47,2500,4 13 14,38.5,4297194
48,2490,0 13 12,40,4296819
49,2493,3 14 14,38.5,4296705
50,2498,3 14 15,38.5,4296705
51,2495,1 11 13,40,4296083
52,2486,2 15 14,38.5,4295972
53,2491,2 15 15,38.5,4295972
54,2488,0 12 13,40,4295455
55,2500,2 9 14,40,4294621
56,2494,1 10 14,40,4294369
57,2487,0 11 14,40,4293864
58,2498,2 15 9,39.5,4293282
59,2499,2 8 15,40,4292552
60,2496,2 14 10,39.5,4292483
61,2492,1 9 15,40,4292426
62,2485,0 10 15,40,4292045
63,2489,1 15 10,39.5,4291623
64,2495,2 13 11,39.5,4291456
65,2488,1 14 11,39.5,4290716
66,2500,3 11 12,39.5,4290573
67,2493,2 12 12,39.5,4290201
68,2498,2 12 13,39.5,4290201
69,2486,1 13 12,39.5,4289581
70,2491,1 13 13,39.5,4289581
71,2495,4 15 14,38,4289427
72,2500,5 13 15,38,4288775
73,2496,2 11 14,39.5,4288718
74,2484,0 14 13,39.5,4288713
75,2493,4 14 15,38,4288411
76,2489,1 12 14,39.5,4288219
77,2486,3 15 15,38,4287804
78,2494,2 10 15,39.5,4287006
79,2487,1 11 15,39.5,4286630
80,2498,3 15 10,39,4285572
81,2497,3 14 11,39,4284775
82,2490,2 15 11,39,4284044
83,2495,3 13 12,39,4283750
84,2488,2 14 12,39,4283138
85,2500,4 11 13,39,4282743
86,2493,3 12 13,39,4282497
87,2498,3 12 14,39,4282497
88,2486,2 13 13,39,4282005
89,2491,2 13 14,39,4282005
90,2484,1 14 14,39,4281266
91,2496,3 11 15,39,4281017
92,2495,5 15 15,37.5,4280792
93,2490,2 12 15,39,4280645
94,2496,2 15 5,40,4280256
95,2483,1 13 15,39,4280027
96,2499,2 14 7,40,4279681
97,2498,2 13 8,40,4278877
98,2492,1 15 7,40,4278824
99,2491,1 14 8,40,4278138
100,2500,5 14 10,38.5,4278009
101,2496,2 12 9,40,4277842
102,2494,4 15 10,38.5,4277527
103,2499,4 15 11,38.5,4277527
104,2489,1 13 9,40,4277224
105,2483,0 15 8,40,4277154
106,2497,4 14 12,38.5,4276731
107,2494,2 11 10,40,4276578
108,2499,2 11 11,40,4276578
109,2482,0 14 9,40,4276358
110,2490,3 15 12,38.5,4276126
111,2487,1 12 10,40,4276081
112,2492,1 12 11,40,4276081
