rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 15 15,12.5,471536,52.9 78.88 113
2,498,0 14 15,12.5,468712,52.9 78.41 113
3,499,0 15 14,12.5,467363,52.9 78.88 112
4,498,0 15 13,12.5,467363,52.9 78.88 112
5,500,1 15 11,12.5,467326,53.37 78.88 111
6,500,1 12 15,12.5,467200,53.37 77.46 113
7,497,0 13 15,12.5,465889,52.9 77.94 113
8,500,1 13 14,12.5,465889,53.37 77.94 112
9,499,1 13 13,12.5,465889,53.37 77.94 112
10,497,0 14 14,12.5,464564,52.9 78.41 112
11,496,0 14 13,12.5,464564,52.9 78.41 112
12,500,1 14 12,12.5,464527,53.37 78.41 111
13,498,1 14 11,12.5,464527,53.37 78.41 111
14,500,2 14 8,12.5,464416,53.85 78.41 110
15,498,1 11 15,12.5,464351,53.37 76.99 113
16,500,2 11 13,12.5,464315,53.85 76.99 112
17,500,0 6 10,13,463959,53.95 76.11 113
18,500,0 3 14,13,463205,53.95 74.66 115
19,497,0 15 12,12.5,463190,52.9 78.88 111
20,496,0 15 11,12.5,463190,52.9 78.88 111
21,499,1 15 10,12.5,463116,53.37 78.88 110
22,498,1 15 9,12.5,463116,53.37 78.88 110
23,497,1 15 8,12.5,463116,53.37 78.88 110
24,500,0 10 4,13,463075,53.95 78.03 110
25,500,0 13 0,13,463075,53.95 79.48 108
26,495,0 12 15,12.5,463065,52.9 77.46 113
27,499,1 12 14,12.5,463065,53.37 77.46 112
28,498,1 12 13,12.5,463065,53.37 77.46 112
29,500,2 12 11,12.5,462992,53.85 77.46 111
30,500,2 15 7,12.5,462967,53.85 78.88 109
31,499,2 15 6,12.5,462967,53.85 78.88 109
32,500,0 7 8,13,462763,53.95 76.59 112
33,499,2 9 15,12.5,462712,53.85 76.05 113
34,500,0 4 13,13,462140,53.95 75.14 114
35,499,0 4 12,13,462140,53.95 75.14 114
36,496,0 13 14,12.5,461766,52.9 77.94 112
37,495,0 13 13,12.5,461766,52.9 77.94 112
38,500,5 14 15,12,461743,54.15 76.82 111
39,498,1 13 12,12.5,461729,53.37 77.94 111
40,497,1 13 11,12.5,461729,53.37 77.94 111
41,500,0 11 3,13,461698,53.95 78.51 109
42,499,0 11 2,13,461698,53.95 78.51 109
43,500,2 13 10,12.5,461619,53.85 77.94 110
44,499,2 13 9,12.5,461619,53.85 77.94 110
45,498,2 13 8,12.5,461619,53.85 77.94 110
46,500,0 8 7,13,461516,53.95 77.07 111
47,499,0 8 6,13,461516,53.95 77.07 111
48,497,1 10 15,12.5,461502,53.37 76.52 113
49,500,2 10 14,12.5,461466,53.85 76.52 112
50,499,2 10 13,12.5,461466,53.85 76.52 112
51,500,3 13 6,12.5,461435,54.32 77.94 109
52,500,0 5 11,13,461022,53.95 75.62 113
