rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 14 0,4.5,282362,88.62 56.89 56
2,500,0 0 15,4.5,282168,88.62 53.06 60
3,500,0 10 4,4.5,281877,88.62 55.8 57
4,500,1 13 0,4.5,281872,88.9 56.62 56
5,500,0 3 11,4.5,281756,88.62 53.89 59
6,500,1 9 4,4.5,281361,88.9 55.53 57
7,500,0 6 8,4.5,281199,88.62 54.71 58
8,500,1 2 11,4.5,281191,88.9 53.61 59
9,500,0 13 1,4.5,281005,88.62 56.62 56
10,499,0 13 0,4.5,281005,88.62 56.62 56
11,500,1 5 8,4.5,280656,88.9 54.43 58
12,500,2 1 11,4.5,280617,89.17 53.34 59
13,500,1 12 1,4.5,280510,88.9 56.35 56
14,499,1 12 0,4.5,280510,88.9 56.35 56
15,500,0 9 5,4.5,280496,88.62 55.53 57
16,499,0 9 4,4.5,280496,88.62 55.53 57
17,499,0 2 12,4.5,280326,88.62 53.61 59
18,498,0 2 11,4.5,280326,88.62 53.61 59
19,500,2 4 8,4.5,280105,89.17 54.16 58
20,500,3 0 11,4.5,280035,89.44 53.06 59
21,500,2 11 0,4.5,280008,89.17 56.07 56
22,500,1 8 5,4.5,279975,88.9 55.25 57
23,499,1 8 4,4.5,279975,88.9 55.25 57
24,500,0 5 9,4.5,279793,88.62 54.43 58
25,499,0 5 8,4.5,279793,88.62 54.43 58
26,500,1 1 12,4.5,279757,88.9 53.34 59
27,499,1 1 11,4.5,279757,88.9 53.34 59
28,500,0 12 2,4.5,279647,88.62 56.35 56
29,499,0 12 1,4.5,279647,88.62 56.35 56
30,498,0 12 0,4.5,279647,88.62 56.35 56
31,500,3 10 0,4.5,279496,89.44 55.8 56
32,499,2 7 4,4.5,279447,89.17 54.98 57
33,500,1 4 9,4.5,279246,88.9 54.16 58
34,499,1 4 8,4.5,279246,88.9 54.16 58
35,500,2 0 12,4.5,279178,89.17 53.06 59
36,499,2 0 11,4.5,279178,89.17 53.06 59
37,500,1 11 2,4.5,279149,88.9 56.07 56
38,499,1 11 1,4.5,279149,88.9 56.07 56
39,498,1 11 0,4.5,279149,88.9 56.07 56
40,500,0 8 6,4.5,279114,88.62 55.25 57
41,499,0 8 5,4.5,279114,88.62 55.25 57
42,498,0 8 4,4.5,279114,88.62 55.25 57
43,500,4 9 0,4.5,278977,89.72 55.53 56
44,500,3 6 4,4.5,278909,89.44 54.71 57
45,500,0 1 14,4.5,278896,88.62 53.34 59
46,499,0 1 13,4.5,278896,88.62 53.34 59
47,498,0 1 12,4.5,278896,88.62 53.34 59
48,497,0 1 11,4.5,278896,88.62 53.34 59
49,500,2 3 9,4.5,278691,89.17 53.89 58
50,499,2 3 8,4.5,278691,89.17 53.89 58
51,500,2 10 1,4.5,278642,89.17 55.8 56
52,498,2 10 0,4.5,278642,89.17 55.8 56
53,500,1 7 6,4.5,278589,88.9 54.98 57
54,499,1 7 5,4.5,278589,88.9 54.98 57
55,498,1 7 4,4.5,278589,88.9 54.98 57
56,500,5 8 0,4.5,278449,89.99 55.25 56
57,500,0 4 10,4.5,278387,88.62 54.16 58
58,498,0 4 9,4.5,278387,88.62 54.16 58
59,497,0 4 8,4.5,278387,88.62 54.16 58
60,500,4 5 4,4.5,278363,89.72 54.43 57
61,500,1 0 13,4.5,278322,88.9 53.06 59
62,498,1 0 12,4.5,278322,88.9 53.06 59
63,497,1 0 11,4.5,278322,88.9 53.06 59
64,500,0 11 3,4.5,278290,88.62 56.07 56
65,499,0 11 2,4.5,278290,88.62 56.07 56
66,498,0 11 1,4.5,278290,88.62 56.07 56
67,496,0 11 0,4.5,278290,88.62 56.07 56
68,499,3 2 8,4.5,278126,89.44 53.61 58
69,500,3 9 1,4.5,278126,89.44 55.53 56
70,499,3 9 0,4.5,278126,89.44 55.53 56
71,499,2 6 5,4.5,278056,89.17 54.71 57
72,498,2 6 4,4.5,278056,89.17 54.71 57
73,500,1 3 10,4.5,277836,88.9 53.89 58
