rank,cp,ivs,maxlevel,stat-product,stats
1,499,4 15 15,8.5,323388,76.74 58.53 72
2,498,4 15 14,8.5,323388,76.74 58.53 72
3,500,5 14 15,8.5,322869,77.13 58.14 72
4,499,5 14 14,8.5,322869,77.13 58.14 72
5,500,0 15 1,9,322706,77.52 60.33 69
6,500,6 13 14,8.5,322328,77.52 57.75 72
7,500,6 15 12,8.5,322118,77.52 58.53 71
8,500,7 12 14,8.5,321766,77.91 57.36 72
9,497,3 15 15,8.5,321755,76.36 58.53 72
10,495,3 15 14,8.5,321755,76.36 58.53 72
11,498,4 14 15,8.5,321247,76.74 58.14 72
12,496,4 14 14,8.5,321247,76.74 58.14 72
13,500,0 8 9,9,321126,77.52 57.54 72
14,500,0 6 12,9,321064,77.52 56.74 73
15,499,0 6 11,9,321064,77.52 56.74 73
16,500,0 10 7,9,321064,77.52 58.34 71
17,499,0 10 6,9,321064,77.52 58.34 71
18,499,0 4 14,9,320879,77.52 55.94 74
19,499,0 12 4,9,320879,77.52 59.14 70
20,499,5 13 15,8.5,320717,77.13 57.75 72
21,497,5 13 14,8.5,320717,77.13 57.75 72
22,500,0 14 2,9,320569,77.52 59.94 69
23,498,0 14 1,9,320569,77.52 59.94 69
24,500,1 7 9,9,320540,77.92 57.14 72
25,500,1 9 6,9,320509,77.92 57.94 71
26,499,5 15 13,8.5,320508,77.13 58.53 71
27,498,5 15 12,8.5,320508,77.13 58.53 71
28,500,1 5 11,9,320447,77.92 56.34 73
29,500,1 11 4,9,320353,77.92 58.74 70
30,500,1 3 14,9,320229,77.92 55.54 74
31,499,6 12 15,8.5,320165,77.52 57.36 72
32,498,6 12 14,8.5,320165,77.52 57.36 72
33,494,2 15 15,8.5,320122,75.97 58.53 72
34,493,2 15 14,8.5,320122,75.97 58.53 72
35,499,1 13 1,9,320073,77.92 59.54 69
36,500,6 14 13,8.5,319985,77.52 58.14 71
37,499,6 14 12,8.5,319985,77.52 58.14 71
38,500,2 8 6,9,319931,78.32 57.54 71
39,500,2 4 11,9,319806,78.32 55.94 73
40,495,3 14 15,8.5,319624,76.36 58.14 72
41,494,3 14 14,8.5,319624,76.36 58.14 72
42,500,7 11 15,8.5,319592,77.91 56.98 72
43,499,7 11 14,8.5,319592,77.91 56.98 72
44,500,2 12 1,9,319555,78.32 59.14 69
45,499,7 13 12,8.5,319441,77.91 57.75 71
46,500,7 15 10,8.5,319169,77.91 58.53 70
47,499,7 15 9,8.5,319169,77.91 58.53 70
48,496,4 13 15,8.5,319105,76.74 57.75 72
49,495,4 13 14,8.5,319105,76.74 57.75 72
50,500,8 10 14,8.5,318997,78.29 56.59 72
51,497,4 15 13,8.5,318897,76.74 58.53 71
52,495,4 15 12,8.5,318897,76.74 58.53 71
53,499,0 7 10,9,318896,77.52 57.14 72
54,498,0 7 9,9,318896,77.52 57.14 72
55,500,8 12 12,8.5,318876,78.29 57.36 71
56,500,0 9 8,9,318865,77.52 57.94 71
57,498,0 9 7,9,318865,77.52 57.94 71
58,497,0 9 6,9,318865,77.52 57.94 71
59,500,0 5 13,9,318803,77.52 56.34 73
60,498,0 5 12,9,318803,77.52 56.34 73
61,497,0 5 11,9,318803,77.52 56.34 73
62,499,0 11 5,9,318710,77.52 58.74 70
63,498,0 11 4,9,318710,77.52 58.74 70
64,500,8 14 9,8.5,318633,78.29 58.14 70
65,499,0 3 15,9,318587,77.52 55.54 74
66,498,0 3 14,9,318587,77.52 55.54 74
67,497,5 12 15,8.5,318564,77.13 57.36 72
68,496,5 12 14,8.5,318564,77.13 57.36 72
69,492,1 15 15,8.5,318489,75.58 58.53 72
70,490,1 15 14,8.5,318489,75.58 58.53 72
71,500,0 13 3,9,318432,77.52 59.54 69
72,498,0 13 2,9,318432,77.52 59.54 69
73,497,0 13 1,9,318432,77.52 59.54 69
74,498,5 14 13,8.5,318385,77.13 58.14 71
75,496,5 14 12,8.5,318385,77.13 58.14 71
76,500,9 9 14,8.5,318380,78.68 56.2 72
77,500,1 6 10,9,318299,77.92 56.74 72
78,499,1 6 9,9,318299,77.92 56.74 72
79,499,1 8 7,9,318299,77.92 57.54 71
80,498,1 8 6,9,318299,77.92 57.54 71
81,499,1 4 12,9,318174,77.92 55.94 73
82,498,1 4 11,9,318174,77.92 55.94 73
83,500,1 10 5,9,318174,77.92 58.34 70
84,499,1 10 4,9,318174,77.92 58.34 70
85,500,9 13 9,8.5,318075,78.68 57.75 70
86,499,0 15 0,9,318029,77.52 60.33 68
87,498,6 11 15,8.5,318002,77.52 56.98 72
88,496,6 11 14,8.5,318002,77.52 56.98 72
89,493,2 14 15,8.5,318002,75.97 58.14 72
90,491,2 14 14,8.5,318002,75.97 58.14 72
91,500,1 2 15,9,317925,77.92 55.14 74
92,498,1 2 14,9,317925,77.92 55.14 74
93,499,1 12 2,9,317925,77.92 59.14 69
94,498,1 12 1,9,317925,77.92 59.14 69
95,498,6 13 13,8.5,317852,77.52 57.75 71
96,497,6 13 12,8.5,317852,77.52 57.75 71
97,500,2 7 7,9,317709,78.32 57.14 71
98,499,2 7 6,9,317709,78.32 57.14 71
99,499,2 5 9,9,317678,78.32 56.34 72
100,499,2 9 4,9,317615,78.32 57.94 70
101,499,6 15 11,8.5,317581,77.52 58.53 70
102,498,6 15 10,8.5,317581,77.52 58.53 70
103,496,6 15 9,8.5,317581,77.52 58.53 70
104,500,1 14 0,9,317551,77.92 59.94 68
105,500,2 3 12,9,317521,78.32 55.54 73
106,499,2 3 11,9,317521,78.32 55.54 73
107,494,3 13 15,8.5,317494,76.36 57.75 72
108,492,3 13 14,8.5,317494,76.36 57.75 72
109,498,7 10 15,8.5,317418,77.91 56.59 72
110,497,7 10 14,8.5,317418,77.91 56.59 72
111,500,2 11 2,9,317396,78.32 58.74 69
112,499,2 11 1,9,317396,78.32 58.74 69
113,499,7 12 13,8.5,317297,77.91 57.36 71
114,498,7 12 12,8.5,317297,77.91 57.36 71
115,494,3 15 13,8.5,317286,76.36 58.53 71
116,493,3 15 12,8.5,317286,76.36 58.53 71
117,500,2 1 15,9,317240,78.32 54.74 74
118,499,2 1 14,9,317240,78.32 54.74 74
119,500,3 6 6,9,317097,78.71 56.74 71
120,500,7 14 11,8.5,317055,77.91 58.14 70
121,498,7 14 10,8.5,317055,77.91 58.14 70
122,497,7 14 9,8.5,317055,77.91 58.14 70
123,500,2 13 0,9,317052,78.32 59.54 68
124,500,3 4 9,9,317034,78.71 55.94 72
125,500,3 8 4,9,317034,78.71 57.54 70
126,494,4 12 15,8.5,316964,76.74 57.36 72
127,493,4 12 14,8.5,316964,76.74 57.36 72
128,489,0 15 15,8.5,316855,75.19 58.53 72
129,488,0 15 14,8.5,316855,75.19 58.53 72
130,499,3 2 11,9,316845,78.71 55.14 73
131,499,3 10 1,9,316845,78.71 58.34 69
132,499,8 9 15,8.5,316812,78.29 56.2 72
133,498,8 9 14,8.5,316812,78.29 56.2 72
134,495,4 14 13,8.5,316785,76.74 58.14 71
135,494,4 14 12,8.5,316785,76.74 58.14 71
136,500,8 11 13,8.5,316721,78.29 56.98 71
137,499,8 11 12,8.5,316721,78.29 56.98 71
138,497,0 6 10,9,316666,77.52 56.74 72
139,496,0 6 9,9,316666,77.52 56.74 72
140,498,0 8 8,9,316666,77.52 57.54 71
141,497,0 8 7,9,316666,77.52 57.54 71
142,495,0 8 6,9,316666,77.52 57.54 71
143,498,0 4 13,9,316542,77.52 55.94 73
144,497,0 4 12,9,316542,77.52 55.94 73
145,495,0 4 11,9,316542,77.52 55.94 73
146,497,0 10 5,9,316542,77.52 58.34 70
147,496,0 10 4,9,316542,77.52 58.34 70
148,500,3 0 14,9,316531,78.71 54.34 74
149,499,8 13 10,8.5,316509,78.29 57.75 70
150,498,8 13 9,8.5,316509,78.29 57.75 70
151,500,4 5 6,9,316462,79.11 56.34 71
152,495,5 11 15,8.5,316412,77.13 56.98 72
153,494,5 11 14,8.5,316412,77.13 56.98 72
154,490,1 14 15,8.5,316379,75.58 58.14 72
155,489,1 14 14,8.5,316379,75.58 58.14 72
156,497,0 2 15,9,316295,77.52 55.14 74
157,496,0 2 14,9,316295,77.52 55.14 74
158,498,0 12 3,9,316295,77.52 59.14 69
159,497,0 12 2,9,316295,77.52 59.14 69
160,495,0 12 1,9,316295,77.52 59.14 69
161,500,4 9 1,9,316272,79.11 57.94 69
162,496,5 13 13,8.5,316262,77.13 57.75 71
163,495,5 13 12,8.5,316262,77.13 57.75 71
164,500,9 8 15,8.5,316185,78.68 55.81 72
165,499,9 8 14,8.5,316185,78.68 55.81 72
166,500,8 15 8,8.5,316175,78.29 58.53 69
167,498,8 15 7,8.5,316175,78.29 58.53 69
168,500,4 1 11,9,316146,79.11 54.74 73
169,499,9 10 12,8.5,316124,78.68 56.59 71
170,499,1 7 8,9,316088,77.92 57.14 71
171,498,1 7 7,9,316088,77.92 57.14 71
172,496,1 7 6,9,316088,77.92 57.14 71
173,498,1 5 10,9,316057,77.92 56.34 72
174,497,1 5 9,9,316057,77.92 56.34 72
175,498,1 9 5,9,315995,77.92 57.94 70
176,497,1 9 4,9,315995,77.92 57.94 70
177,496,5 15 11,8.5,315993,77.13 58.53 70
178,495,5 15 10,8.5,315993,77.13 58.53 70
179,494,5 15 9,8.5,315993,77.13 58.53 70
180,500,9 12 10,8.5,315941,78.68 57.36 70
181,499,9 12 9,8.5,315941,78.68 57.36 70
182,497,0 14 0,9,315923,77.52 59.94 68
183,499,1 3 13,9,315901,77.92 55.54 73
184,497,1 3 12,9,315901,77.92 55.54 73
185,496,1 3 11,9,315901,77.92 55.54 73
186,491,2 13 15,8.5,315882,75.97 57.75 72
187,490,2 13 14,8.5,315882,75.97 57.75 72
188,496,6 10 15,8.5,315839,77.52 56.59 72
189,495,6 10 14,8.5,315839,77.52 56.59 72
190,499,1 11 3,9,315777,77.92 58.74 69
191,497,1 11 2,9,315777,77.92 58.74 69
192,496,1 11 1,9,315777,77.92 58.74 69
193,497,6 12 13,8.5,315718,77.52 57.36 71
194,495,6 12 12,8.5,315718,77.52 57.36 71
195,492,2 15 13,8.5,315676,75.97 58.53 71
196,490,2 15 12,8.5,315676,75.97 58.53 71
197,499,9 14 7,8.5,315636,78.68 58.14 69
198,498,1 1 15,9,315621,77.92 54.74 74
199,496,1 1 14,9,315621,77.92 54.74 74
200,499,10 7 14,8.5,315536,79.07 55.43 72
201,500,10 9 12,8.5,315505,79.07 56.2 71
202,500,2 6 8,9,315487,78.32 56.74 71
203,498,2 6 7,9,315487,78.32 56.74 71
204,497,2 6 6,9,315487,78.32 56.74 71
205,497,6 14 11,8.5,315478,77.52 58.14 70
206,496,6 14 10,8.5,315478,77.52 58.14 70
207,495,6 14 9,8.5,315478,77.52 58.14 70
208,498,1 13 0,9,315434,77.92 59.54 68
209,499,2 4 10,9,315425,78.32 55.94 72
210,498,2 4 9,9,315425,78.32 55.94 72
211,499,2 8 5,9,315425,78.32 57.54 70
212,498,2 8 4,9,315425,78.32 57.54 70
213,492,3 12 15,8.5,315363,76.36 57.36 72
214,491,3 12 14,8.5,315363,76.36 57.36 72
215,499,10 11 9,8.5,315352,79.07 56.98 70
216,497,7 9 15,8.5,315244,77.91 56.2 72
217,495,7 9 14,8.5,315244,77.91 56.2 72
218,499,2 2 13,9,315237,78.32 55.14 73
219,498,2 2 12,9,315237,78.32 55.14 73
220,497,2 2 11,9,315237,78.32 55.14 73
221,500,2 10 3,9,315237,78.32 58.34 69
222,498,2 10 2,9,315237,78.32 58.34 69
223,497,2 10 1,9,315237,78.32 58.34 69
224,493,3 14 13,8.5,315185,76.36 58.14 71
225,491,3 14 12,8.5,315185,76.36 58.14 71
226,497,7 11 13,8.5,315153,77.91 56.98 71
227,496,7 11 12,8.5,315153,77.91 56.98 71
228,500,10 13 7,8.5,315076,79.07 57.75 69
229,498,7 13 11,8.5,314942,77.91 57.75 70
230,497,7 13 10,8.5,314942,77.91 57.75 70
231,495,7 13 9,8.5,314942,77.91 57.75 70
232,499,2 0 15,9,314924,78.32 54.34 74
233,497,2 0 14,9,314924,78.32 54.34 74
234,499,2 12 0,9,314924,78.32 59.14 68
235,500,11 6 14,8.5,314865,79.46 55.04 72
236,499,3 5 7,9,314864,78.71 56.34 71
237,498,3 5 6,9,314864,78.71 56.34 71
238,500,3 7 5,9,314832,78.71 57.14 70
239,498,3 7 4,9,314832,78.71 57.14 70
240,493,4 11 15,8.5,314822,76.74 56.98 72
241,491,4 11 14,8.5,314822,76.74 56.98 72
242,500,3 3 10,9,314770,78.71 55.54 72
243,498,3 3 9,9,314770,78.71 55.54 72
244,488,0 14 15,8.5,314757,75.19 58.14 72
245,486,0 14 14,8.5,314757,75.19 58.14 72
246,500,11 10 9,8.5,314742,79.46 56.59 70
247,499,10 15 4,8.5,314678,79.07 58.53 68
248,499,3 9 2,9,314675,78.71 57.94 69
249,498,3 9 1,9,314675,78.71 57.94 69
250,493,4 13 13,8.5,314673,76.74 57.75 71
251,492,4 13 12,8.5,314673,76.74 57.75 71
252,497,8 8 15,8.5,314627,78.29 55.81 72
253,496,8 8 14,8.5,314627,78.29 55.81 72
254,497,7 15 8,8.5,314610,77.91 58.53 69
255,496,7 15 7,8.5,314610,77.91 58.53 69
256,498,8 10 13,8.5,314566,78.29 56.59 71
257,497,8 10 12,8.5,314566,78.29 56.59 71
258,500,3 1 13,9,314549,78.71 54.74 73
259,499,3 1 12,9,314549,78.71 54.74 73
260,498,3 1 11,9,314549,78.71 54.74 73
261,496,0 7 8,9,314467,77.52 57.14 71
262,495,0 7 7,9,314467,77.52 57.14 71
263,494,0 7 6,9,314467,77.52 57.14 71
264,496,0 5 10,9,314436,77.52 56.34 72
265,494,0 5 9,9,314436,77.52 56.34 72
266,494,4 15 11,8.5,314405,76.74 58.53 70
267,493,4 15 10,8.5,314405,76.74 58.53 70
268,491,4 15 9,8.5,314405,76.74 58.53 70
269,500,3 11 0,9,314392,78.71 58.74 68
270,499,8 12 11,8.5,314384,78.29 57.36 70
271,498,8 12 10,8.5,314384,78.29 57.36 70
272,496,8 12 9,8.5,314384,78.29 57.36 70
273,496,0 9 5,9,314374,77.52 57.94 70
274,494,0 9 4,9,314374,77.52 57.94 70
275,496,0 3 13,9,314281,77.52 55.54 73
276,495,0 3 12,9,314281,77.52 55.54 73
277,493,0 3 11,9,314281,77.52 55.54 73
278,488,1 13 15,8.5,314270,75.58 57.75 72
279,487,1 13 14,8.5,314270,75.58 57.75 72
280,493,5 10 15,8.5,314259,77.13 56.59 72
281,492,5 10 14,8.5,314259,77.13 56.59 72
282,500,4 4 7,9,314218,79.11 55.94 71
283,499,4 4 6,9,314218,79.11 55.94 71
284,499,4 6 4,9,314218,79.11 56.74 70
285,496,0 11 3,9,314157,77.52 58.74 69
286,495,0 11 2,9,314157,77.52 58.74 69
287,493,0 11 1,9,314157,77.52 58.74 69
288,494,5 12 13,8.5,314140,77.13 57.36 71
289,493,5 12 12,8.5,314140,77.13 57.36 71
290,500,11 14 4,8.5,314126,79.46 58.14 68
291,500,4 2 10,9,314091,79.11 55.14 72
292,499,4 2 9,9,314091,79.11 55.14 72
293,500,4 8 2,9,314091,79.11 57.54 69
294,498,4 8 1,9,314091,79.11 57.54 69
295,498,8 14 8,8.5,314081,78.29 58.14 69
296,497,8 14 7,8.5,314081,78.29 58.14 69
297,489,1 15 13,8.5,314065,75.58 58.53 71
298,488,1 15 12,8.5,314065,75.58 58.53 71
299,495,0 1 15,9,314003,77.52 54.74 74
300,494,0 1 14,9,314003,77.52 54.74 74
301,498,9 7 15,8.5,313989,78.68 55.43 72
302,497,9 7 14,8.5,313989,78.68 55.43 72
303,499,9 9 13,8.5,313958,78.68 56.2 71
304,498,9 9 12,8.5,313958,78.68 56.2 71
305,495,5 14 11,8.5,313901,77.13 58.14 70
306,493,5 14 10,8.5,313901,77.13 58.14 70
307,492,5 14 9,8.5,313901,77.13 58.14 70
308,497,1 6 8,9,313878,77.92 56.74 71
309,496,1 6 7,9,313878,77.92 56.74 71
310,494,1 6 6,9,313878,77.92 56.74 71
311,500,4 0 12,9,313838,79.11 54.34 73
312,498,4 0 11,9,313838,79.11 54.34 73
313,500,4 10 0,9,313838,79.11 58.34 68
314,495,0 13 0,9,313817,77.52 59.54 68
315,496,1 4 10,9,313815,77.92 55.94 72
316,495,1 4 9,9,313815,77.92 55.94 72
317,497,1 8 5,9,313815,77.92 57.54 70
318,495,1 8 4,9,313815,77.92 57.54 70
319,500,9 11 11,8.5,313806,78.68 56.98 70
320,498,9 11 10,8.5,313806,78.68 56.98 70
321,497,9 11 9,8.5,313806,78.68 56.98 70
322,489,2 12 15,8.5,313762,75.97 57.36 72
323,488,2 12 14,8.5,313762,75.97 57.36 72
324,494,6 9 15,8.5,313675,77.52 56.2 72
325,493,6 9 14,8.5,313675,77.52 56.2 72
326,497,1 2 13,9,313629,77.92 55.14 73
327,496,1 2 12,9,313629,77.92 55.14 73
328,494,1 2 11,9,313629,77.92 55.14 73
329,497,1 10 3,9,313629,77.92 58.34 69
330,496,1 10 2,9,313629,77.92 58.34 69
331,494,1 10 1,9,313629,77.92 58.34 69
332,495,6 11 13,8.5,313585,77.52 56.98 71
333,494,6 11 12,8.5,313585,77.52 56.98 71
334,490,2 14 13,8.5,313585,75.97 58.14 71
335,489,2 14 12,8.5,313585,75.97 58.14 71
336,500,5 5 4,9,313581,79.51 56.34 70
337,499,5 3 6,9,313549,79.51 55.54 71
338,499,9 13 8,8.5,313532,78.68 57.75 69
339,498,9 13 7,8.5,313532,78.68 57.75 69
340,499,5 7 1,9,313485,79.51 57.14 69
341,500,5 1 9,9,313390,79.51 54.74 72
342,496,6 13 11,8.5,313375,77.52 57.75 70
343,494,6 13 10,8.5,313375,77.52 57.75 70
344,493,6 13 9,8.5,313375,77.52 57.75 70
345,499,10 6 15,8.5,313329,79.07 55.04 72
346,498,10 6 14,8.5,313329,79.07 55.04 72
347,500,10 8 13,8.5,313329,79.07 55.81 71
348,498,10 8 12,8.5,313329,79.07 55.81 71
349,496,1 0 15,9,313317,77.92 54.34 74
350,495,1 0 14,9,313317,77.92 54.34 74
351,496,1 12 0,9,313317,77.92 59.14 68
352,498,2 5 8,9,313266,78.32 56.34 71
353,497,2 5 7,9,313266,78.32 56.34 71
354,495,2 5 6,9,313266,78.32 56.34 71
355,497,2 7 5,9,313234,78.32 57.14 70
356,496,2 7 4,9,313234,78.32 57.14 70
357,490,3 11 15,8.5,313232,76.36 56.98 72
358,489,3 11 14,8.5,313232,76.36 56.98 72
359,500,10 10 11,8.5,313207,79.07 56.59 70
360,499,10 10 10,8.5,313207,79.07 56.59 70
361,498,10 10 9,8.5,313207,79.07 56.59 70
362,497,2 3 10,9,313172,78.32 55.54 72
363,496,2 3 9,9,313172,78.32 55.54 72
364,499,9 15 6,8.5,313135,78.68 58.53 68
365,498,9 15 5,8.5,313135,78.68 58.53 68
366,497,9 15 4,8.5,313135,78.68 58.53 68
367,500,12 15 1,8.5,313090,79.84 58.53 67
368,491,3 13 13,8.5,313084,76.36 57.75 71
369,490,3 13 12,8.5,313084,76.36 57.75 71
370,498,2 9 3,9,313078,78.32 57.94 69
371,497,2 9 2,9,313078,78.32 57.94 69
372,495,2 9 1,9,313078,78.32 57.94 69
373,495,7 8 15,8.5,313070,77.91 55.81 72
374,494,7 8 14,8.5,313070,77.91 55.81 72
375,495,6 15 8,8.5,313044,77.52 58.53 69
376,493,6 15 7,8.5,313044,77.52 58.53 69
377,496,7 10 13,8.5,313009,77.91 56.59 71
378,494,7 10 12,8.5,313009,77.91 56.59 71
379,500,10 12 8,8.5,312961,79.07 57.36 69
380,498,10 12 7,8.5,312961,79.07 57.36 69
