rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 10 14,14,525171,47.49 147.46 75
2,500,0 13 12,14,523438,47.49 148.96 74
3,500,0 9 14,14,523391,47.49 146.96 75
4,499,0 12 12,14,521681,47.49 148.46 74
5,500,0 8 15,14,521610,47.49 146.46 75
6,499,0 8 14,14,521610,47.49 146.46 75
7,500,3 13 14,13.5,520693,48.1 146.28 74
8,500,0 11 13,14,519925,47.49 147.96 74
9,498,0 11 12,14,519925,47.49 147.96 74
10,500,0 7 15,14,519830,47.49 145.96 75
11,498,0 7 14,14,519830,47.49 145.96 75
12,500,0 15 11,14,519830,47.49 149.96 73
13,498,0 15 10,14,519830,47.49 149.96 73
14,500,3 12 14,13.5,518945,48.1 145.78 74
15,499,2 15 15,13.5,518838,47.61 147.26 74
16,497,2 15 14,13.5,518838,47.61 147.26 74
17,500,1 7 12,14,518298,47.99 145.96 74
18,500,1 11 10,14,518298,47.99 147.96 73
19,499,0 10 13,14,518168,47.49 147.46 74
20,497,0 10 12,14,518168,47.49 147.46 74
21,500,1 3 14,14,518106,47.99 143.96 75
22,500,1 15 8,14,518106,47.99 149.96 72
23,499,0 14 11,14,518097,47.49 149.46 73
24,497,0 14 10,14,518097,47.49 149.46 73
25,499,0 6 15,14,518050,47.49 145.46 75
26,497,0 6 14,14,518050,47.49 145.46 75
27,500,3 11 15,13.5,517198,48.1 145.29 74
28,499,3 11 14,13.5,517198,48.1 145.29 74
29,498,2 14 15,13.5,517109,47.61 146.77 74
30,496,2 14 14,13.5,517109,47.61 146.77 74
31,500,3 15 13,13.5,517104,48.1 147.26 73
32,499,3 15 12,13.5,517104,48.1 147.26 73
33,500,0 3 7,14.5,516851,48.33 146.51 73
34,500,0 7 5,14.5,516851,48.33 148.54 72
35,500,0 11 3,14.5,516654,48.33 150.58 71
36,499,1 10 10,14,516547,47.99 147.46 73
37,499,1 6 12,14,516523,47.99 145.46 74
38,498,0 9 13,14,516412,47.49 146.96 74
39,496,0 9 12,14,516412,47.49 146.96 74
40,499,1 14 8,14,516379,47.99 149.46 72
41,498,0 13 11,14,516364,47.49 148.96 73
42,496,0 13 10,14,516364,47.49 148.96 73
43,500,1 2 15,14,516307,47.99 143.46 75
44,499,1 2 14,14,516307,47.99 143.46 75
45,498,0 5 15,14,516270,47.49 144.96 75
46,496,0 5 14,14,516270,47.49 144.96 75
47,500,0 15 1,14.5,516261,48.33 152.61 70
48,499,3 10 15,13.5,515451,48.1 144.8 74
49,498,3 10 14,13.5,515451,48.1 144.8 74
50,500,4 7 14,13.5,515415,48.59 143.33 74
51,500,4 11 12,13.5,515415,48.59 145.29 73
52,497,2 13 15,13.5,515380,47.61 146.28 74
53,495,2 13 14,13.5,515380,47.61 146.28 74
54,500,3 14 13,13.5,515380,48.1 146.77 73
55,498,3 14 12,13.5,515380,48.1 146.77 73
56,500,4 15 10,13.5,515224,48.59 147.26 72
57,499,0 6 5,14.5,515081,48.33 148.03 72
58,499,0 2 7,14.5,515056,48.33 146 73
59,499,0 10 3,14.5,514908,48.33 150.07 71
60,500,1 9 11,14,514796,47.99 146.96 73
61,498,1 9 10,14,514796,47.99 146.96 73
62,500,1 5 13,14,514748,47.99 144.96 74
63,498,1 5 12,14,514748,47.99 144.96 74
64,497,0 8 13,14,514655,47.49 146.46 74
65,495,0 8 12,14,514655,47.49 146.46 74
66,500,1 13 9,14,514652,47.99 148.96 72
67,498,1 13 8,14,514652,47.99 148.96 72
68,497,0 12 11,14,514632,47.49 148.46 73
69,495,0 12 10,14,514632,47.49 148.46 73
70,499,0 14 1,14.5,514540,48.33 152.1 70
71,500,1 1 15,14,514508,47.99 142.96 75
72,498,1 1 14,14,514508,47.99 142.96 75
73,497,0 4 15,14,514489,47.49 144.46 75
74,495,0 4 14,14,514489,47.49 144.46 75
75,499,3 9 15,13.5,513704,48.1 144.31 74
76,497,3 9 14,13.5,513704,48.1 144.31 74
77,500,4 10 12,13.5,513674,48.59 144.8 73
78,499,3 13 13,13.5,513656,48.1 146.28 73
79,497,3 13 12,13.5,513656,48.1 146.28 73
80,500,4 6 14,13.5,513650,48.59 142.84 74
81,496,2 12 15,13.5,513650,47.61 145.78 74
82,494,2 12 14,13.5,513650,47.61 145.78 74
83,500,4 14 10,13.5,513507,48.59 146.77 72
84,493,1 15 15,13.5,513490,47.12 147.26 74
85,492,1 15 14,13.5,513490,47.12 147.26 74
86,500,0 5 6,14.5,513311,48.33 147.52 72
87,498,0 5 5,14.5,513311,48.33 147.52 72
88,500,0 1 8,14.5,513261,48.33 145.49 73
89,498,0 1 7,14.5,513261,48.33 145.49 73
90,500,6 15 15,13,513205,48.65 144.51 73
91,500,0 9 4,14.5,513163,48.33 149.56 71
92,498,0 9 3,14.5,513163,48.33 149.56 71
93,500,2 5 10,14,513081,48.49 144.96 73
94,499,1 8 11,14,513045,47.99 146.46 73
95,497,1 8 10,14,513045,47.99 146.46 73
96,500,2 9 8,14,513033,48.49 146.96 72
97,499,1 4 13,14,512973,47.99 144.46 74
98,497,1 4 12,14,512973,47.99 144.46 74
99,500,2 1 12,14,512936,48.49 142.96 74
100,499,1 12 9,14,512925,47.99 148.46 72
101,497,1 12 8,14,512925,47.99 148.46 72
102,496,0 7 13,14,512899,47.49 145.96 74
103,495,0 7 12,14,512899,47.49 145.96 74
104,496,0 11 11,14,512899,47.49 147.96 73
105,495,0 11 10,14,512899,47.49 147.96 73
106,500,0 13 2,14.5,512819,48.33 151.59 70
107,498,0 13 1,14.5,512819,48.33 151.59 70
108,500,2 13 6,14,512791,48.49 148.96 71
109,499,1 0 15,14,512709,47.99 142.46 75
110,497,1 0 14,14,512709,47.99 142.46 75
111,496,0 3 15,14,512709,47.49 143.96 75
112,494,0 3 14,14,512709,47.49 143.96 75
113,496,0 15 9,14,512709,47.49 149.96 72
114,495,0 15 8,14,512709,47.49 149.96 72
115,498,3 8 15,13.5,511956,48.1 143.82 74
116,496,3 8 14,13.5,511956,48.1 143.82 74
117,500,4 9 13,13.5,511933,48.59 144.31 73
118,499,4 9 12,13.5,511933,48.59 144.31 73
119,498,3 12 13,13.5,511933,48.1 145.78 73
120,496,3 12 12,13.5,511933,48.1 145.78 73
121,495,2 11 15,13.5,511921,47.61 145.29 74
122,494,2 11 14,13.5,511921,47.61 145.29 74
123,500,4 5 15,13.5,511885,48.59 142.35 74
124,499,4 5 14,13.5,511885,48.59 142.35 74
125,495,2 15 13,13.5,511827,47.61 147.26 73
126,494,2 15 12,13.5,511827,47.61 147.26 73
127,500,4 13 11,13.5,511790,48.59 146.28 72
128,499,4 13 10,13.5,511790,48.59 146.28 72
129,493,1 14 15,13.5,511778,47.12 146.77 74
130,491,1 14 14,13.5,511778,47.12 146.77 74
131,500,1 1 5,14.5,511559,48.84 145.49 72
132,499,0 4 6,14.5,511540,48.33 147.01 72
133,498,0 4 5,14.5,511540,48.33 147.01 72
134,500,1 5 3,14.5,511509,48.84 147.52 71
135,499,6 14 15,13,511495,48.65 144.02 73
136,499,0 0 8,14.5,511467,48.33 144.98 73
137,498,0 0 7,14.5,511467,48.33 144.98 73
138,499,0 8 4,14.5,511418,48.33 149.05 71
139,497,0 8 3,14.5,511418,48.33 149.05 71
140,499,2 4 10,14,511312,48.49 144.46 73
141,498,1 7 11,14,511294,47.99 145.96 73
142,496,1 7 10,14,511294,47.99 145.96 73
143,499,2 8 8,14,511288,48.49 146.46 72
144,500,1 9 1,14.5,511261,48.84 149.56 70
