rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 13 11,8,409325,61.16 76.92 87
2,500,0 15 9,8,408568,61.16 77.67 86
3,500,0 10 14,8,407971,61.16 75.8 88
4,500,0 12 12,8,407328,61.16 76.55 87
5,499,0 12 11,8,407328,61.16 76.55 87
6,500,0 14 10,8,406594,61.16 77.3 86
7,499,0 14 9,8,406594,61.16 77.3 86
8,500,1 8 14,8,406410,61.54 75.05 88
9,500,1 15 6,8,406294,61.54 77.67 85
10,499,0 9 15,8,405951,61.16 75.42 88
11,498,0 9 14,8,405951,61.16 75.42 88
12,500,1 10 12,8,405809,61.54 75.8 87
13,499,1 10 11,8,405809,61.54 75.8 87
14,500,0 11 13,8,405332,61.16 76.17 87
15,499,0 11 12,8,405332,61.16 76.17 87
16,498,0 11 11,8,405332,61.16 76.17 87
17,500,1 12 9,8,405117,61.54 76.55 86
18,499,0 13 10,8,404620,61.16 76.92 86
19,498,0 13 9,8,404620,61.16 76.92 86
20,500,1 7 15,8,404378,61.54 74.67 88
21,499,1 7 14,8,404378,61.54 74.67 88
22,500,1 14 7,8,404331,61.54 77.3 85
23,499,1 14 6,8,404331,61.54 77.3 85
24,500,2 8 11,8,404241,61.91 75.05 87
25,500,2 15 3,8,403963,61.91 77.67 84
26,498,0 8 15,8,403932,61.16 75.05 88
27,497,0 8 14,8,403932,61.16 75.05 88
28,499,0 15 8,8,403817,61.16 77.67 85
29,498,0 15 7,8,403817,61.16 77.67 85
30,497,0 15 6,8,403817,61.16 77.67 85
31,500,1 9 13,8,403800,61.54 75.42 87
32,499,1 9 12,8,403800,61.54 75.42 87
33,498,1 9 11,8,403800,61.54 75.42 87
34,500,2 10 9,8,403591,61.91 75.8 86
35,498,0 10 13,8,403335,61.16 75.8 87
36,497,0 10 12,8,403335,61.16 75.8 87
37,496,0 10 11,8,403335,61.16 75.8 87
38,500,1 11 10,8,403131,61.54 76.17 86
39,498,1 11 9,8,403131,61.54 76.17 86
40,499,2 12 6,8,402847,61.91 76.55 85
41,500,2 5 15,8,402754,61.91 73.92 88
42,499,2 5 14,8,402754,61.91 73.92 88
43,498,0 12 10,8,402646,61.16 76.55 86
44,497,0 12 9,8,402646,61.16 76.55 86
45,500,3 6 11,8,402624,62.29 74.3 87
46,500,3 13 3,8,402484,62.29 76.92 84
47,500,1 13 8,8,402369,61.54 76.92 85
48,499,1 13 7,8,402369,61.54 76.92 85
49,498,1 13 6,8,402369,61.54 76.92 85
50,499,1 6 15,8,402346,61.54 74.3 88
51,498,1 6 14,8,402346,61.54 74.3 88
52,500,2 7 12,8,402220,61.91 74.67 87
53,499,2 7 11,8,402220,61.91 74.67 87
54,500,2 14 4,8,402011,61.91 77.3 84
55,499,2 14 3,8,402011,61.91 77.3 84
56,497,0 7 15,8,401912,61.16 74.67 88
57,496,0 7 14,8,401912,61.16 74.67 88
58,498,0 14 8,8,401866,61.16 77.3 85
59,497,0 14 7,8,401866,61.16 77.3 85
60,496,0 14 6,8,401866,61.16 77.3 85
61,499,1 8 13,8,401791,61.54 75.05 87
62,498,1 8 12,8,401791,61.54 75.05 87
63,497,1 8 11,8,401791,61.54 75.05 87
64,500,2 9 10,8,401593,61.91 75.42 86
65,499,2 9 9,8,401593,61.91 75.42 86
66,499,1 15 5,8,401514,61.54 77.67 84
67,498,1 15 4,8,401514,61.54 77.67 84
68,497,1 15 3,8,401514,61.54 77.67 84
69,497,0 9 13,8,401338,61.16 75.42 87
70,496,0 9 12,8,401338,61.16 75.42 87
71,495,0 9 11,8,401338,61.16 75.42 87
72,500,3 10 6,8,401315,62.29 75.8 85
73,498,1 10 10,8,401145,61.54 75.8 86
74,497,1 10 9,8,401145,61.54 75.8 86
75,500,3 3 14,8,401082,62.29 73.17 88
76,500,2 11 8,8,400873,61.91 76.17 85
77,499,2 11 7,8,400873,61.91 76.17 85
78,498,2 11 6,8,400873,61.91 76.17 85
79,499,2 4 15,8,400710,61.91 73.55 88
80,498,2 4 14,8,400710,61.91 73.55 88
81,496,0 11 10,8,400673,61.16 76.17 86
82,495,0 11 9,8,400673,61.16 76.17 86
83,500,3 5 12,8,400591,62.29 73.92 87
84,499,3 5 11,8,400591,62.29 73.92 87
85,500,3 12 4,8,400521,62.29 76.55 84
86,499,3 12 3,8,400521,62.29 76.55 84
87,499,1 12 8,8,400406,61.54 76.55 85
88,498,1 12 7,8,400406,61.54 76.55 85
89,496,1 12 6,8,400406,61.54 76.55 85
90,497,1 5 15,8,400314,61.54 73.92 88
91,496,1 5 14,8,400314,61.54 73.92 88
92,500,2 6 13,8,400199,61.91 74.3 87
93,499,2 6 12,8,400199,61.91 74.3 87
94,497,2 6 11,8,400199,61.91 74.3 87
95,500,2 13 5,8,400060,61.91 76.92 84
96,498,2 13 4,8,400060,61.91 76.92 84
97,497,2 13 3,8,400060,61.91 76.92 84
98,500,3 7 9,8,400007,62.29 74.67 86
99,497,0 13 8,8,399915,61.16 76.92 85
100,496,0 13 7,8,399915,61.16 76.92 85
101,495,0 13 6,8,399915,61.16 76.92 85
102,496,0 6 15,8,399892,61.16 74.3 88
103,495,0 6 14,8,399892,61.16 74.3 88
104,498,1 7 13,8,399782,61.54 74.67 87
105,497,1 7 12,8,399782,61.54 74.67 87
106,496,1 7 11,8,399782,61.54 74.67 87
107,500,3 14 2,8,399633,62.29 77.3 83
108,499,3 14 1,8,399633,62.29 77.3 83
109,499,2 8 10,8,399595,61.91 75.05 86
110,498,2 8 9,8,399595,61.91 75.05 86
111,498,1 14 5,8,399575,61.54 77.3 84
112,497,1 14 4,8,399575,61.54 77.3 84
113,496,1 14 3,8,399575,61.54 77.3 84
114,500,4 1 14,8,399359,62.66 72.42 88
115,496,0 8 13,8,399341,61.16 75.05 87
116,495,0 8 12,8,399341,61.16 75.05 87
117,494,0 8 11,8,399341,61.16 75.05 87
118,500,3 9 7,8,399329,62.29 75.42 85
119,499,3 9 6,8,399329,62.29 75.42 85
120,497,1 9 10,8,399159,61.54 75.42 86
121,496,1 9 9,8,399159,61.54 75.42 86
122,499,2 15 2,8,399153,61.91 77.67 83
123,498,2 15 1,8,399153,61.91 77.67 83
124,496,0 15 5,8,399066,61.16 77.67 84
125,495,0 15 4,8,399066,61.16 77.67 84
126,494,0 15 3,8,399066,61.16 77.67 84
127,500,3 2 15,8,399025,62.29 72.8 88
128,499,3 2 14,8,399025,62.29 72.8 88
129,500,4 10 3,8,398983,62.66 75.8 84
130,500,4 3 11,8,398913,62.66 73.17 87
131,499,2 10 8,8,398898,61.91 75.8 85
132,498,2 10 7,8,398898,61.91 75.8 85
133,497,2 10 6,8,398898,61.91 75.8 85
134,495,0 10 10,8,398699,61.16 75.8 86
135,494,0 10 9,8,398699,61.16 75.8 86
136,498,2 3 15,8,398666,61.91 73.17 88
137,497,2 3 14,8,398666,61.91 73.17 88
138,500,3 4 13,8,398557,62.29 73.55 87
139,499,3 4 12,8,398557,62.29 73.55 87
140,498,3 4 11,8,398557,62.29 73.55 87
141,500,3 11 5,8,398557,62.29 76.17 84
142,499,3 11 4,8,398557,62.29 76.17 84
143,498,3 11 3,8,398557,62.29 76.17 84
144,497,1 11 8,8,398443,61.54 76.17 85
145,496,1 11 7,8,398443,61.54 76.17 85
146,495,1 11 6,8,398443,61.54 76.17 85
147,500,4 5 9,8,398372,62.66 73.92 86
148,496,1 4 15,8,398281,61.54 73.55 88
149,495,1 4 14,8,398281,61.54 73.55 88
150,498,2 5 13,8,398178,61.91 73.92 87
151,497,2 5 12,8,398178,61.91 73.92 87
152,496,2 5 11,8,398178,61.91 73.92 87
153,500,4 12 1,8,398137,62.66 76.55 83
154,498,2 12 5,8,398108,61.91 76.55 84
155,497,2 12 4,8,398108,61.91 76.55 84
156,496,2 12 3,8,398108,61.91 76.55 84
157,499,3 6 10,8,397997,62.29 74.3 86
158,498,3 6 9,8,397997,62.29 74.3 86
159,500,10 14 14,7.5,397966,62.71 74.67 85
160,496,0 12 8,8,397964,61.16 76.55 85
161,494,0 12 7,8,397964,61.16 76.55 85
162,493,0 12 6,8,397964,61.16 76.55 85
163,494,0 5 15,8,397873,61.16 73.92 88
164,493,0 5 14,8,397873,61.16 73.92 88
165,497,1 6 13,8,397773,61.54 74.3 87
166,495,1 6 12,8,397773,61.54 74.3 87
167,494,1 6 11,8,397773,61.54 74.3 87
168,500,4 7 7,8,397737,62.66 74.67 85
169,499,4 7 6,8,397737,62.66 74.67 85
170,499,3 13 2,8,397693,62.29 76.92 83
171,498,3 13 1,8,397693,62.29 76.92 83
172,497,1 13 5,8,397635,61.54 76.92 84
173,495,1 13 4,8,397635,61.54 76.92 84
174,494,1 13 3,8,397635,61.54 76.92 84
175,498,2 7 10,8,397597,61.91 74.67 86
176,497,2 7 9,8,397597,61.91 74.67 86
177,499,9 15 15,7.5,397587,62.34 75.03 85
178,498,9 15 14,7.5,397587,62.34 75.03 85
179,500,11 15 11,7.5,397478,63.07 75.03 84
180,500,5 8 3,8,397398,63.04 75.05 84
181,495,0 7 13,8,397345,61.16 74.67 87
182,494,0 7 12,8,397345,61.16 74.67 87
183,493,0 7 11,8,397345,61.16 74.67 87
184,500,3 8 8,8,397342,62.29 75.05 85
185,499,3 8 7,8,397342,62.29 75.05 85
186,498,3 8 6,8,397342,62.29 75.05 85
187,500,4 0 15,8,397290,62.66 72.05 88
188,499,4 0 14,8,397290,62.66 72.05 88
189,497,2 14 2,8,397225,61.91 77.3 83
190,496,2 14 1,8,397225,61.91 77.3 83
191,500,5 1 11,8,397185,63.04 72.42 87
192,496,1 8 10,8,397173,61.54 75.05 86
193,495,1 8 9,8,397173,61.54 75.05 86
194,495,0 14 5,8,397138,61.16 77.3 84
195,494,0 14 4,8,397138,61.16 77.3 84
196,493,0 14 3,8,397138,61.16 77.3 84
197,500,4 9 4,8,397008,62.66 75.42 84
198,498,4 9 3,8,397008,62.66 75.42 84
199,498,3 1 15,8,396968,62.29 72.42 88
200,497,3 1 14,8,396968,62.29 72.42 88
201,498,2 9 8,8,396923,61.91 75.42 85
202,497,2 9 7,8,396923,61.91 75.42 85
203,496,2 9 6,8,396923,61.91 75.42 85
204,500,4 2 13,8,396867,62.66 72.8 87
205,499,4 2 12,8,396867,62.66 72.8 87
206,498,4 2 11,8,396867,62.66 72.8 87
207,496,1 15 2,8,396734,61.54 77.67 83
208,495,1 15 1,8,396734,61.54 77.67 83
209,499,3 15 0,8,396734,62.29 77.67 82
210,494,0 9 10,8,396725,61.16 75.42 86
211,493,0 9 9,8,396725,61.16 75.42 86
212,500,5 3 9,8,396689,63.04 73.17 86
213,497,2 2 15,8,396621,61.91 72.8 88
214,496,2 2 14,8,396621,61.91 72.8 88
215,499,3 10 5,8,396594,62.29 75.8 84
216,498,3 10 4,8,396594,62.29 75.8 84
217,497,3 10 3,8,396594,62.29 75.8 84
218,500,5 10 1,8,396594,63.04 75.8 83
219,499,3 3 13,8,396524,62.29 73.17 87
220,498,3 3 12,8,396524,62.29 73.17 87
221,497,3 3 11,8,396524,62.29 73.17 87
222,496,1 10 8,8,396480,61.54 75.8 85
223,495,1 10 7,8,396480,61.54 75.8 85
224,494,1 10 6,8,396480,61.54 75.8 85
225,500,11 12 14,7.5,396381,63.07 73.94 85
226,500,4 4 10,8,396350,62.66 73.55 86
227,499,4 4 9,8,396350,62.66 73.55 86
228,495,1 3 15,8,396249,61.54 73.17 88
229,494,1 3 14,8,396249,61.54 73.17 88
