rank,cp,ivs,maxlevel,stat-product,stats
1,499,0 15 15,30.5,478115,52.17 92.58 99
2,500,0 15 13,31,477195,52.38 92.96 98
3,500,0 15 11,31.5,476195,52.6 93.34 97
4,500,1 15 14,30,475987,52.68 92.19 98
5,500,0 11 15,31.5,475338,52.6 90.38 100
6,500,0 12 14,31.5,474442,52.6 91.12 99
7,500,0 13 15,31,474413,52.38 91.48 99
8,497,0 14 15,30.5,474320,52.17 91.84 99
9,500,0 13 13,31.5,473468,52.6 91.86 98
10,500,0 12 12,32,473466,52.81 91.49 98
11,500,0 14 14,31,473408,52.38 92.22 98
12,498,0 14 13,31,473408,52.38 92.22 98
13,500,1 12 15,30.5,473305,52.9 90.37 99
14,498,0 15 14,30.5,473285,52.17 92.58 98
15,500,0 13 11,32,472445,52.81 92.23 97
16,500,0 14 12,31.5,472416,52.6 92.6 97
17,498,0 14 11,31.5,472416,52.6 92.6 97
18,500,0 12 10,32.5,472413,53.02 91.85 97
19,498,0 15 12,31,472326,52.38 92.96 97
20,500,1 14 15,30,472209,52.68 91.46 98
21,498,1 14 14,30,472209,52.68 91.46 98
22,497,0 10 15,31.5,471442,52.6 89.64 100
23,499,0 9 15,32,471345,52.81 89.25 100
24,500,0 14 10,32,471345,52.81 92.97 96
25,500,0 13 9,32.5,471344,53.02 92.6 96
26,498,0 15 10,31.5,471286,52.6 93.34 96
27,500,0 8 14,32.5,471185,53.02 88.87 100
28,499,1 15 13,30,471130,52.68 92.19 97
29,497,0 12 15,31,470587,52.38 90.75 99
30,498,0 11 14,31.5,470585,52.6 90.38 99
31,500,0 10 14,32,470520,52.81 90 99
32,500,0 9 13,32.5,470393,53.02 89.61 99
33,500,0 14 8,32.5,470195,53.02 93.35 95
34,500,1 8 15,31.5,470180,53.34 88.15 100
35,500,0 15 9,32,470167,52.81 93.72 95
36,498,0 15 8,32,470167,52.81 93.72 95
37,500,0 13 7,33,470164,53.23 92.97 95
38,499,1 15 11,30.5,470156,52.9 92.58 96
39,499,2 15 14,29.5,469710,52.97 91.42 97
40,498,0 12 13,31.5,469650,52.6 91.12 98
41,498,0 13 14,31,469620,52.38 91.48 98
42,500,0 11 13,32,469617,52.81 90.74 98
43,498,0 11 12,32,469617,52.81 90.74 98
44,500,0 10 12,32.5,469522,53.02 90.36 98
45,498,1 11 15,30.5,469457,52.9 89.64 99
46,500,1 10 15,31,469455,53.12 89.27 99
47,500,0 9 11,33,469365,53.23 89.97 98
48,499,1 15 9,31,469102,53.12 92.96 95
49,500,0 15 7,32.5,468968,53.02 94.09 94
50,498,0 15 6,32.5,468968,53.02 94.09 94
51,500,0 14 6,33,468966,53.23 93.72 94
52,500,0 13 5,33.5,468905,53.44 93.34 94
53,498,0 13 12,31.5,468637,52.6 91.86 97
54,498,0 12 11,32,468635,52.81 91.49 97
55,500,0 11 11,32.5,468572,53.02 91.11 97
56,498,0 11 10,32.5,468572,53.02 91.11 97
57,499,1 11 13,31,468554,53.12 90.01 98
58,499,1 12 14,30.5,468524,52.9 90.37 98
59,500,0 10 10,33,468447,53.23 90.72 97
60,498,1 13 15,30,468431,52.68 90.73 98
61,496,1 13 14,30,468431,52.68 90.73 98
62,500,0 9 9,33.5,468261,53.44 90.33 97
63,499,3 15 15,29,468073,53.24 90.64 97
64,499,1 15 7,31.5,467967,53.34 93.34 94
65,500,2 15 10,30,467824,53.41 92.19 95
66,500,0 15 5,33,467689,53.23 94.47 93
67,500,0 14 4,33.5,467658,53.44 94.09 93
68,499,0 5 15,33,467609,53.23 86.97 101
69,499,1 12 12,31,467574,53.12 90.75 97
70,498,0 13 10,32,467574,52.81 92.23 96
71,499,1 11 11,31.5,467572,53.34 90.38 97
72,498,0 12 9,32.5,467542,53.02 91.85 96
73,499,1 13 13,30.5,467513,52.9 91.11 97
74,500,0 11 9,33,467449,53.23 91.47 96
75,497,0 8 15,32,467417,52.81 88.51 100
76,497,1 14 13,30,467391,52.68 91.46 97
77,500,0 2 15,34,467325,53.65 85.39 102
78,500,0 10 8,33.5,467296,53.44 91.08 96
79,499,2 11 14,30,467277,53.41 89.27 98
80,499,0 7 15,32.5,467226,53.02 88.12 100
81,497,0 7 14,32.5,467226,53.02 88.12 100
82,499,0 6 14,33,466971,53.23 87.72 100
83,500,2 15 8,30.5,466755,53.64 92.58 94
84,499,0 5 13,33.5,466652,53.44 87.32 100
85,498,0 9 14,32,466632,52.81 89.25 99
86,499,1 12 10,31.5,466545,53.34 91.12 96
87,499,1 13 11,31,466516,53.12 91.48 96
88,498,0 8 13,32.5,466473,53.02 88.87 99
89,498,0 14 9,32,466435,52.81 92.97 95
90,498,0 13 8,32.5,466434,53.02 92.6 95
91,499,1 14 12,30.5,466425,52.9 91.84 96
92,497,1 14 11,30.5,466425,52.9 91.84 96
93,500,0 12 8,33,466372,53.23 92.22 95
94,498,0 12 7,33,466372,53.23 92.22 95
95,500,0 15 3,33.5,466330,53.44 94.84 92
96,500,3 15 11,29.5,466327,53.69 91.42 95
97,499,2 12 13,30,466300,53.41 90 97
98,497,1 15 12,30,466273,52.68 92.19 96
99,500,0 14 2,34,466270,53.65 94.46 92
100,500,0 7 13,33,466252,53.23 88.47 99
101,500,0 11 7,33.5,466250,53.44 91.83 95
102,498,1 7 15,31.5,466229,53.34 87.41 100
103,500,0 10 6,34,466068,53.65 91.44 95
104,500,1 6 15,32,466034,53.55 87.02 100
105,499,2 14 15,29.5,465982,52.97 90.7 97
106,497,2 14 14,29.5,465982,52.97 90.7 97
107,499,0 6 12,33.5,465968,53.44 88.07 99
108,500,1 5 14,32.5,465776,53.77 86.63 100
109,498,0 10 13,32,465768,52.81 90 98
110,498,0 9 12,32.5,465642,53.02 89.61 98
111,498,1 9 15,31,465575,53.12 88.53 99
112,498,1 8 14,31.5,465478,53.34 88.15 99
113,500,0 8 12,33,465454,53.23 89.22 98
114,498,0 8 11,33,465454,53.23 89.22 98
115,499,1 13 9,31.5,465439,53.34 91.86 95
116,499,1 12 8,32,465437,53.55 91.49 95
117,499,1 14 10,31,465379,53.12 92.22 95
118,497,1 14 9,31,465379,53.12 92.22 95
119,500,2 12 11,30.5,465337,53.64 90.37 96
120,500,1 7 14,32,465317,53.55 87.77 99
121,497,1 15 10,30.5,465259,52.9 92.58 95
122,498,0 14 7,32.5,465246,53.02 93.35 94
123,500,2 13 12,30,465245,53.41 90.73 96
124,498,0 13 6,33,465214,53.23 92.97 94
125,500,0 7 11,33.5,465204,53.44 88.82 98
126,500,0 12 6,33.5,465123,53.44 92.59 94
127,498,0 12 5,33.5,465123,53.44 92.59 94
128,500,1 6 13,32.5,465093,53.77 87.37 99
129,500,0 11 5,34,464973,53.65 92.19 94
130,500,0 6 10,34,464892,53.65 88.42 98
131,500,0 15 1,34,464892,53.65 95.22 91
132,497,2 15 13,29.5,464868,52.97 91.42 96
133,500,3 12 14,29.5,464808,53.69 89.25 97
134,500,0 14 0,34.5,464804,53.86 94.83 91
135,500,0 10 4,34.5,464763,53.86 91.79 94
136,498,0 10 11,32.5,464731,53.02 90.36 97
137,496,1 11 14,30.5,464715,52.9 89.64 98
138,499,1 10 14,31,464713,53.12 89.27 98
139,497,1 10 13,31,464713,53.12 89.27 98
140,499,1 9 13,31.5,464648,53.34 88.89 98
141,498,0 9 10,33,464576,53.23 89.97 97
142,499,1 8 12,32,464521,53.55 88.51 98
143,500,0 8 10,33.5,464359,53.44 89.57 97
144,498,0 8 9,33.5,464359,53.44 89.57 97
145,497,3 14 15,29,464358,53.24 89.92 97
146,500,2 12 9,31,464293,53.86 90.75 95
147,499,1 13 7,32,464282,53.55 92.23 94
148,499,2 8 15,30.5,464273,53.64 87.43 99
149,499,1 14 8,31.5,464253,53.34 92.6 94
150,497,1 14 7,31.5,464253,53.34 92.6 94
151,499,1 12 6,32.5,464250,53.77 91.85 94
152,500,2 13 10,30.5,464233,53.64 91.11 95
153,497,1 15 8,31,464164,53.12 92.96 94
154,500,2 14 11,30,464111,53.41 91.46 95
155,498,2 14 10,30,464111,53.41 91.46 95
156,500,0 7 9,34,464081,53.65 89.17 97
