rank,cp,ivs,maxlevel,stat-product,stats
1,499,0 13 14,9,359724,69.13 70.32 74
2,499,1 14 11,9,358942,69.52 70.72 73
3,499,0 15 12,9,358896,69.13 71.12 73
4,498,0 15 11,9,358896,69.13 71.12 73
5,499,1 11 14,9,357692,69.52 69.52 74
6,499,0 12 15,9,357680,69.13 69.92 74
7,498,0 12 14,9,357680,69.13 69.92 74
8,499,2 12 11,9,356926,69.92 69.92 73
9,499,1 13 12,9,356914,69.52 70.32 73
10,498,1 13 11,9,356914,69.52 70.32 73
11,499,0 14 13,9,356879,69.13 70.72 73
12,498,0 14 12,9,356879,69.13 70.72 73
13,497,0 14 11,9,356879,69.13 70.72 73
14,500,2 14 9,9,356060,69.92 70.72 72
15,500,1 15 10,9,356025,69.52 71.12 72
16,498,1 15 9,9,356025,69.52 71.12 72
17,499,1 10 15,9,355636,69.52 69.13 74
18,498,1 10 14,9,355636,69.52 69.13 74
19,498,0 11 15,9,355636,69.13 69.52 74
20,496,0 11 14,9,355636,69.13 69.52 74
21,499,2 9 14,9,355613,69.92 68.73 74
22,500,3 15 6,9,355116,70.32 71.12 71
23,499,2 11 12,9,354886,69.92 69.52 73
24,498,2 11 11,9,354886,69.92 69.52 73
25,499,1 12 13,9,354886,69.52 69.92 73
26,498,1 12 12,9,354886,69.52 69.92 73
27,497,1 12 11,9,354886,69.52 69.92 73
28,499,3 10 11,9,354863,70.32 69.13 73
29,498,0 13 13,9,354863,69.13 70.32 73
30,497,0 13 12,9,354863,69.13 70.32 73
31,495,0 13 11,9,354863,69.13 70.32 73
32,500,3 12 9,9,354048,70.32 69.92 72
33,500,2 13 10,9,354048,69.92 70.32 72
34,498,2 13 9,9,354048,69.92 70.32 72
35,498,1 14 10,9,354025,69.52 70.72 72
36,497,1 14 9,9,354025,69.52 70.72 72
37,497,0 15 10,9,353979,69.13 71.12 72
38,495,0 15 9,9,353979,69.13 71.12 72
39,496,0 10 15,9,353593,69.13 69.13 74
40,495,0 10 14,9,353593,69.13 69.13 74
41,498,1 9 15,9,353581,69.52 68.73 74
42,496,1 9 14,9,353581,69.52 68.73 74
43,499,2 8 15,9,353545,69.92 68.33 74
44,498,2 8 14,9,353545,69.92 68.33 74
45,499,3 7 14,9,353486,70.32 67.93 74
46,500,4 13 6,9,353121,70.72 70.32 71
47,500,3 14 7,9,353121,70.32 70.72 71
48,498,3 14 6,9,353121,70.32 70.72 71
49,500,2 15 8,9,353098,69.92 71.12 71
50,498,2 15 7,9,353098,69.92 71.12 71
51,497,2 15 6,9,353098,69.92 71.12 71
52,498,1 11 13,9,352858,69.52 69.52 73
53,497,1 11 12,9,352858,69.52 69.52 73
54,495,1 11 11,9,352858,69.52 69.52 73
55,499,2 10 13,9,352847,69.92 69.13 73
56,498,2 10 12,9,352847,69.92 69.13 73
57,497,2 10 11,9,352847,69.92 69.13 73
58,496,0 12 13,9,352847,69.13 69.92 73
59,495,0 12 12,9,352847,69.13 69.92 73
60,494,0 12 11,9,352847,69.13 69.92 73
61,499,3 9 12,9,352812,70.32 68.73 73
62,498,3 9 11,9,352812,70.32 68.73 73
63,499,4 8 11,9,352754,70.72 68.33 73
64,500,10 15 14,8.5,352333,70.93 68.99 72
65,500,4 15 4,9,352104,70.72 71.12 70
66,498,2 12 10,9,352037,69.92 69.92 72
67,497,2 12 9,9,352037,69.92 69.92 72
68,500,3 11 10,9,352025,70.32 69.52 72
69,498,3 11 9,9,352025,70.32 69.52 72
70,497,1 13 10,9,352025,69.52 70.32 72
71,495,1 13 9,9,352025,69.52 70.32 72
72,500,4 10 9,9,351991,70.72 69.13 72
73,495,0 14 10,9,351991,69.13 70.72 72
74,494,0 14 9,9,351991,69.13 70.72 72
75,495,0 9 15,9,351549,69.13 68.73 74
76,494,0 9 14,9,351549,69.13 68.73 74
77,496,1 8 15,9,351525,69.52 68.33 74
78,495,1 8 14,9,351525,69.52 68.33 74
79,498,2 7 15,9,351478,69.92 67.93 74
80,496,2 7 14,9,351478,69.92 67.93 74
81,499,3 6 15,9,351407,70.32 67.53 74
82,498,3 6 14,9,351407,70.32 67.53 74
83,500,4 5 15,9,351312,70.72 67.13 74
84,499,4 5 14,9,351312,70.72 67.13 74
85,500,5 4 14,9,351194,71.12 66.73 74
86,500,3 13 8,9,351126,70.32 70.32 71
87,498,3 13 7,9,351126,70.32 70.32 71
88,497,3 13 6,9,351126,70.32 70.32 71
89,500,4 12 7,9,351115,70.72 69.92 71
90,498,4 12 6,9,351115,70.72 69.92 71
91,498,2 14 8,9,351115,69.92 70.72 71
92,497,2 14 7,9,351115,69.92 70.72 71
93,495,2 14 6,9,351115,69.92 70.72 71
94,500,5 11 6,9,351081,71.12 69.52 71
95,497,1 15 8,9,351081,69.52 71.12 71
96,495,1 15 7,9,351081,69.52 71.12 71
97,494,1 15 6,9,351081,69.52 71.12 71
98,500,0 6 1,9.5,350981,71.14 69.49 71
99,496,1 10 13,9,350831,69.52 69.13 73
100,495,1 10 12,9,350831,69.52 69.13 73
101,494,1 10 11,9,350831,69.52 69.13 73
102,495,0 11 13,9,350831,69.13 69.52 73
103,494,0 11 12,9,350831,69.13 69.52 73
104,492,0 11 11,9,350831,69.13 69.52 73
105,498,2 9 13,9,350807,69.92 68.73 73
106,497,2 9 12,9,350807,69.92 68.73 73
107,495,2 9 11,9,350807,69.92 68.73 73
108,499,3 8 13,9,350761,70.32 68.33 73
109,498,3 8 12,9,350761,70.32 68.33 73
110,497,3 8 11,9,350761,70.32 68.33 73
111,499,4 7 12,9,350691,70.72 67.93 73
112,498,4 7 11,9,350691,70.72 67.93 73
113,499,5 6 11,9,350597,71.12 67.53 73
114,498,9 15 15,8.5,350408,70.54 68.99 72
115,497,9 15 14,8.5,350408,70.54 68.99 72
116,500,10 14 15,8.5,350354,70.93 68.6 72
117,498,10 14 14,8.5,350354,70.93 68.6 72
118,500,11 13 14,8.5,350278,71.32 68.22 72
119,499,0 1 6,9.5,350191,71.14 67.44 73
120,500,4 14 5,9,350126,70.72 70.72 70
121,498,4 14 4,9,350126,70.72 70.72 70
122,500,5 13 4,9,350114,71.12 70.32 70
123,498,3 15 5,9,350114,70.32 71.12 70
124,497,3 15 4,9,350114,70.32 71.12 70
125,497,2 11 10,9,350025,69.92 69.52 72
126,495,2 11 9,9,350025,69.92 69.52 72
127,495,1 12 10,9,350025,69.52 69.92 72
128,494,1 12 9,9,350025,69.52 69.92 72
129,498,3 10 10,9,350002,70.32 69.13 72
130,497,3 10 9,9,350002,70.32 69.13 72
131,494,0 13 10,9,350002,69.13 70.32 72
132,492,0 13 9,9,350002,69.13 70.32 72
133,499,4 9 10,9,349956,70.72 68.73 72
134,498,4 9 9,9,349956,70.72 68.73 72
135,499,5 8 9,9,349887,71.12 68.33 72
136,499,0 3 4,9.5,349606,71.14 68.26 72
137,493,0 8 15,9,349505,69.13 68.33 74
138,492,0 8 14,9,349505,69.13 68.33 74
139,495,1 7 15,9,349469,69.52 67.93 74
140,493,1 7 14,9,349469,69.52 67.93 74
141,496,2 6 15,9,349410,69.92 67.53 74
142,495,2 6 14,9,349410,69.92 67.53 74
143,500,11 15 12,8.5,349338,71.32 68.99 71
144,498,3 5 15,9,349328,70.32 67.13 74
145,496,3 5 14,9,349328,70.32 67.13 74
146,499,4 4 15,9,349221,70.72 66.73 74
147,498,4 4 14,9,349221,70.72 66.73 74
148,498,3 12 8,9,349131,70.32 69.92 71
149,497,3 12 7,9,349131,70.32 69.92 71
150,495,3 12 6,9,349131,70.32 69.92 71
151,497,2 13 8,9,349131,69.92 70.32 71
152,495,2 13 7,9,349131,69.92 70.32 71
153,494,2 13 6,9,349131,69.92 70.32 71
154,500,4 11 8,9,349108,70.72 69.52 71
155,498,4 11 7,9,349108,70.72 69.52 71
156,497,4 11 6,9,349108,70.72 69.52 71
157,495,1 14 8,9,349108,69.52 70.72 71
158,494,1 14 7,9,349108,69.52 70.72 71
159,493,1 14 6,9,349108,69.52 70.72 71
160,500,5 3 15,9,349091,71.12 66.33 74
161,499,5 3 14,9,349091,71.12 66.33 74
162,500,5 10 7,9,349063,71.12 69.13 71
163,498,5 10 6,9,349063,71.12 69.13 71
164,494,0 15 8,9,349063,69.13 71.12 71
165,493,0 15 7,9,349063,69.13 71.12 71
166,491,0 15 6,9,349063,69.13 71.12 71
167,500,5 15 2,9,349034,71.12 71.12 69
168,498,5 15 1,9,349034,71.12 71.12 69
169,500,6 14 1,9,349023,71.52 70.72 69
170,500,6 9 6,9,348995,71.52 68.73 71
171,500,6 2 14,9,348938,71.52 65.93 74
172,500,0 5 2,9.5,348904,71.14 69.08 71
173,498,0 5 1,9.5,348904,71.14 69.08 71
174,500,1 4 1,9.5,348832,71.55 68.67 71
175,494,0 10 13,9,348814,69.13 69.13 73
176,492,0 10 12,9,348814,69.13 69.13 73
177,491,0 10 11,9,348814,69.13 69.13 73
178,495,1 9 13,9,348803,69.52 68.73 73
179,494,1 9 12,9,348803,69.52 68.73 73
180,492,1 9 11,9,348803,69.52 68.73 73
181,496,2 8 13,9,348768,69.92 68.33 73
182,495,2 8 12,9,348768,69.92 68.33 73
183,494,2 8 11,9,348768,69.92 68.33 73
184,498,3 7 13,9,348709,70.32 67.93 73
185,496,3 7 12,9,348709,70.32 67.93 73
186,495,3 7 11,9,348709,70.32 67.93 73
187,499,4 6 13,9,348628,70.72 67.53 73
188,498,4 6 12,9,348628,70.72 67.53 73
189,496,4 6 11,9,348628,70.72 67.53 73
190,499,5 5 12,9,348523,71.12 67.13 73
191,498,5 5 11,9,348523,71.12 67.13 73
192,496,8 15 15,8.5,348483,70.15 68.99 72
193,494,8 15 14,8.5,348483,70.15 68.99 72
194,497,9 14 15,8.5,348439,70.54 68.6 72
195,496,9 14 14,8.5,348439,70.54 68.6 72
196,500,6 4 12,9,348395,71.52 66.73 73
197,499,6 4 11,9,348395,71.52 66.73 73
198,498,10 13 15,8.5,348374,70.93 68.22 72
199,497,10 13 14,8.5,348374,70.93 68.22 72
200,500,11 12 15,8.5,348288,71.32 67.83 72
201,498,11 12 14,8.5,348288,71.32 67.83 72
202,500,7 3 11,9,348243,71.92 66.33 73
203,499,12 11 14,8.5,348180,71.7 67.44 72
204,498,4 13 5,9,348147,70.72 70.32 70
205,497,4 13 4,9,348147,70.72 70.32 70
206,497,3 14 5,9,348147,70.32 70.72 70
207,495,3 14 4,9,348147,70.32 70.72 70
208,500,5 12 5,9,348125,71.12 69.92 70
209,498,5 12 4,9,348125,71.12 69.92 70
210,495,2 15 5,9,348125,69.92 71.12 70
211,494,2 15 4,9,348125,69.92 71.12 70
212,500,0 7 0,9.5,348085,71.14 69.9 70
213,500,6 11 4,9,348080,71.52 69.52 70
214,499,0 0 7,9.5,348056,71.14 67.02 73
215,498,0 0 6,9.5,348056,71.14 67.02 73
216,494,1 11 10,9,348025,69.52 69.52 72
217,492,1 11 9,9,348025,69.52 69.52 72
218,495,2 10 10,9,348013,69.92 69.13 72
219,494,2 10 9,9,348013,69.92 69.13 72
220,492,0 12 10,9,348013,69.13 69.92 72
221,491,0 12 9,9,348013,69.13 69.92 72
222,497,3 9 10,9,347979,70.32 68.73 72
223,495,3 9 9,9,347979,70.32 68.73 72
224,498,4 8 10,9,347921,70.72 68.33 72
225,497,4 8 9,9,347921,70.72 68.33 72
226,499,5 7 10,9,347841,71.12 67.93 72
227,498,5 7 9,9,347841,71.12 67.93 72
228,499,6 6 9,9,347737,71.52 67.53 72
229,499,0 2 5,9.5,347500,71.14 67.85 72
230,498,0 2 4,9.5,347500,71.14 67.85 72
231,492,0 7 15,9,347461,69.13 67.93 74
232,491,0 7 14,9,347461,69.13 67.93 74
233,498,10 15 13,8.5,347440,70.93 68.99 71
234,497,10 15 12,8.5,347440,70.93 68.99 71
235,493,1 6 15,9,347414,69.52 67.53 74
236,492,1 6 14,9,347414,69.52 67.53 74
237,499,1 1 4,9.5,347390,71.55 67.44 72
238,500,11 14 13,8.5,347376,71.32 68.6 71
239,498,11 14 12,8.5,347376,71.32 68.6 71
240,495,2 5 15,9,347343,69.92 67.13 74
241,493,2 5 14,9,347343,69.92 67.13 74
242,500,12 13 12,8.5,347290,71.7 68.22 71
243,496,3 4 15,9,347248,70.32 66.73 74
244,495,3 4 14,9,347248,70.32 66.73 74
245,495,2 12 8,9,347147,69.92 69.92 71
246,494,2 12 7,9,347147,69.92 69.92 71
247,493,2 12 6,9,347147,69.92 69.92 71
248,497,3 11 8,9,347136,70.32 69.52 71
249,495,3 11 7,9,347136,70.32 69.52 71
250,494,3 11 6,9,347136,70.32 69.52 71
251,494,1 13 8,9,347136,69.52 70.32 71
252,493,1 13 7,9,347136,69.52 70.32 71
253,491,1 13 6,9,347136,69.52 70.32 71
254,497,4 3 15,9,347130,70.72 66.33 74
255,496,4 3 14,9,347130,70.72 66.33 74
256,498,4 10 8,9,347102,70.72 69.13 71
257,497,4 10 7,9,347102,70.72 69.13 71
258,495,4 10 6,9,347102,70.72 69.13 71
259,493,0 14 8,9,347102,69.13 70.72 71
