rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 13 13,5,330654,75.76 59.79 73
2,500,0 15 10,5,329291,75.76 60.37 72
3,500,0 12 14,5,329049,75.76 59.5 73
4,499,0 12 13,5,329049,75.76 59.5 73
5,500,1 11 13,5,328699,76.05 59.21 73
6,500,0 14 11,5,327708,75.76 60.08 72
7,499,0 14 10,5,327708,75.76 60.08 72
8,500,0 11 15,5,327444,75.76 59.21 73
9,499,0 11 14,5,327444,75.76 59.21 73
10,498,0 11 13,5,327444,75.76 59.21 73
11,500,1 13 11,5,327374,76.05 59.79 72
12,499,1 13 10,5,327374,76.05 59.79 72
13,500,2 15 6,5,327206,76.34 60.37 71
14,500,1 10 14,5,327087,76.05 58.92 73
15,499,1 10 13,5,327087,76.05 58.92 73
16,500,2 12 10,5,327028,76.34 59.5 72
17,500,3 14 6,5,326871,76.63 60.08 71
18,500,2 9 14,5,326718,76.34 58.63 73
19,499,2 9 13,5,326718,76.34 58.63 73
20,500,3 8 13,5,326337,76.63 58.34 73
21,499,0 13 12,5,326125,75.76 59.79 72
22,498,0 13 11,5,326125,75.76 59.79 72
23,497,0 13 10,5,326125,75.76 59.79 72
24,500,1 15 8,5,325962,76.05 60.37 71
25,499,1 15 7,5,325962,76.05 60.37 71
26,498,1 15 6,5,325962,76.05 60.37 71
27,499,0 10 15,5,325839,75.76 58.92 73
28,498,0 10 14,5,325839,75.76 58.92 73
29,497,0 10 13,5,325839,75.76 58.92 73
30,500,1 12 12,5,325785,76.05 59.5 72
31,499,1 12 11,5,325785,76.05 59.5 72
32,498,1 12 10,5,325785,76.05 59.5 72
33,500,2 14 8,5,325633,76.34 60.08 71
34,499,2 14 7,5,325633,76.34 60.08 71
35,498,2 14 6,5,325633,76.34 60.08 71
36,499,1 9 15,5,325476,76.05 58.63 73
37,498,1 9 14,5,325476,76.05 58.63 73
38,497,1 9 13,5,325476,76.05 58.63 73
39,500,2 11 11,5,325433,76.34 59.21 72
40,499,2 11 10,5,325433,76.34 59.21 72
41,500,3 13 7,5,325292,76.63 59.79 71
42,499,3 13 6,5,325292,76.63 59.79 71
43,500,2 8 15,5,325101,76.34 58.34 73
44,499,2 8 14,5,325101,76.34 58.34 73
45,498,2 8 13,5,325101,76.34 58.34 73
46,500,3 10 10,5,325069,76.63 58.92 72
47,500,4 15 3,5,325050,76.92 60.37 70
48,500,4 12 6,5,324939,76.92 59.5 71
49,499,0 15 9,5,324717,75.76 60.37 71
50,498,0 15 8,5,324717,75.76 60.37 71
51,497,0 15 7,5,324717,75.76 60.37 71
52,496,0 15 6,5,324717,75.76 60.37 71
53,500,3 7 14,5,324713,76.63 58.05 73
54,499,3 7 13,5,324713,76.63 58.05 73
55,500,4 9 10,5,324693,76.92 58.63 72
56,500,5 11 6,5,324574,77.21 59.21 71
57,498,0 12 12,5,324542,75.76 59.5 72
58,497,0 12 11,5,324542,75.76 59.5 72
59,496,0 12 10,5,324542,75.76 59.5 72
60,500,1 14 9,5,324394,76.05 60.08 71
61,499,1 14 8,5,324394,76.05 60.08 71
62,498,1 14 7,5,324394,76.05 60.08 71
63,497,1 14 6,5,324394,76.05 60.08 71
64,500,4 6 14,5,324314,76.92 57.76 73
65,499,4 6 13,5,324314,76.92 57.76 73
66,498,0 9 15,5,324234,75.76 58.63 73
67,497,0 9 14,5,324234,75.76 58.63 73
68,496,0 9 13,5,324234,75.76 58.63 73
69,499,1 11 12,5,324196,76.05 59.21 72
70,498,1 11 11,5,324196,76.05 59.21 72
71,497,1 11 10,5,324196,76.05 59.21 72
72,500,2 13 9,5,324059,76.34 59.79 71
73,499,2 13 8,5,324059,76.34 59.79 71
74,498,2 13 7,5,324059,76.34 59.79 71
75,497,2 13 6,5,324059,76.34 59.79 71
76,500,5 5 13,5,323902,77.21 57.47 73
77,498,1 8 15,5,323865,76.05 58.34 73
78,497,1 8 14,5,323865,76.05 58.34 73
79,496,1 8 13,5,323865,76.05 58.34 73
80,500,2 10 12,5,323838,76.34 58.92 72
81,499,2 10 11,5,323838,76.34 58.92 72
82,498,2 10 10,5,323838,76.34 58.92 72
83,500,3 15 4,5,323824,76.63 60.37 70
84,498,3 15 3,5,323824,76.63 60.37 70
85,500,3 12 8,5,323713,76.63 59.5 71
86,499,3 12 7,5,323713,76.63 59.5 71
87,498,3 12 6,5,323713,76.63 59.5 71
88,500,4 14 4,5,323488,76.92 60.08 70
89,499,4 14 3,5,323488,76.92 60.08 70
90,499,2 7 15,5,323483,76.34 58.05 73
91,498,2 7 14,5,323483,76.34 58.05 73
92,497,2 7 13,5,323483,76.34 58.05 73
93,500,3 9 12,5,323468,76.63 58.63 72
94,499,3 9 11,5,323468,76.63 58.63 72
95,498,3 9 10,5,323468,76.63 58.63 72
96,500,4 11 7,5,323354,76.92 59.21 71
97,499,4 11 6,5,323354,76.92 59.21 71
98,498,0 14 9,5,323156,75.76 60.08 71
99,497,0 14 8,5,323156,75.76 60.08 71
100,496,0 14 7,5,323156,75.76 60.08 71
101,495,0 14 6,5,323156,75.76 60.08 71
102,500,5 13 3,5,323140,77.21 59.79 70
103,500,3 6 15,5,323090,76.63 57.76 73
104,499,3 6 14,5,323090,76.63 57.76 73
105,498,3 6 13,5,323090,76.63 57.76 73
106,500,4 8 11,5,323086,76.92 58.34 72
107,499,4 8 10,5,323086,76.92 58.34 72
108,500,5 10 7,5,322983,77.21 58.92 71
109,499,5 10 6,5,322983,77.21 58.92 71
110,497,0 11 12,5,322958,75.76 59.21 72
111,496,0 11 11,5,322958,75.76 59.21 72
112,495,0 11 10,5,322958,75.76 59.21 72
113,498,1 13 9,5,322827,76.05 59.79 71
114,497,1 13 8,5,322827,76.05 59.79 71
115,496,1 13 7,5,322827,76.05 59.79 71
116,495,1 13 6,5,322827,76.05 59.79 71
117,500,5 7 10,5,322692,77.21 58.05 72
118,500,4 5 15,5,322684,76.92 57.47 73
119,499,4 5 14,5,322684,76.92 57.47 73
120,498,4 5 13,5,322684,76.92 57.47 73
121,496,0 8 15,5,322629,75.76 58.34 73
122,495,0 8 14,5,322629,75.76 58.34 73
123,494,0 8 13,5,322629,75.76 58.34 73
124,498,1 10 12,5,322607,76.05 58.92 72
125,497,1 10 11,5,322607,76.05 58.92 72
126,496,1 10 10,5,322607,76.05 58.92 72
127,500,6 9 6,5,322600,77.5 58.63 71
128,499,2 15 5,5,322597,76.34 60.37 70
129,498,2 15 4,5,322597,76.34 60.37 70
130,497,2 15 3,5,322597,76.34 60.37 70
131,499,2 12 9,5,322486,76.34 59.5 71
132,498,2 12 8,5,322486,76.34 59.5 71
133,497,2 12 7,5,322486,76.34 59.5 71
134,496,2 12 6,5,322486,76.34 59.5 71
135,500,6 6 10,5,322285,77.5 57.76 72
136,499,3 14 5,5,322267,76.63 60.08 70
137,498,3 14 4,5,322267,76.63 60.08 70
138,497,3 14 3,5,322267,76.63 60.08 70
139,500,5 4 14,5,322266,77.21 57.18 73
140,499,5 4 13,5,322266,77.21 57.18 73
141,497,1 7 15,5,322253,76.05 58.05 73
142,496,1 7 14,5,322253,76.05 58.05 73
143,495,1 7 13,5,322253,76.05 58.05 73
144,498,2 9 12,5,322243,76.34 58.63 72
145,497,2 9 11,5,322243,76.34 58.63 72
146,496,2 9 10,5,322243,76.34 58.63 72
147,500,3 11 9,5,322133,76.63 59.21 71
148,499,3 11 8,5,322133,76.63 59.21 71
149,498,3 11 7,5,322133,76.63 59.21 71
150,497,3 11 6,5,322133,76.63 59.21 71
151,500,4 13 5,5,321925,76.92 59.79 70
152,499,4 13 4,5,321925,76.92 59.79 70
153,498,4 13 3,5,321925,76.92 59.79 70
154,499,3 8 12,5,321867,76.63 58.34 72
155,498,3 8 11,5,321867,76.63 58.34 72
156,497,3 8 10,5,321867,76.63 58.34 72
157,498,2 6 15,5,321866,76.34 57.76 73
158,497,2 6 14,5,321866,76.34 57.76 73
159,496,2 6 13,5,321866,76.34 57.76 73
160,500,6 3 14,5,321835,77.5 56.89 73
161,499,6 3 13,5,321835,77.5 56.89 73
162,500,4 10 9,5,321769,76.92 58.92 71
163,499,4 10 8,5,321769,76.92 58.92 71
164,498,4 10 7,5,321769,76.92 58.92 71
165,497,4 10 6,5,321769,76.92 58.92 71
166,500,5 15 1,5,321616,77.21 60.37 69
167,499,5 15 0,5,321616,77.21 60.37 69
168,496,0 13 9,5,321595,75.76 59.79 71
169,495,0 13 8,5,321595,75.76 59.79 71
170,494,0 13 7,5,321595,75.76 59.79 71
171,493,0 13 6,5,321595,75.76 59.79 71
172,500,5 12 4,5,321571,77.21 59.5 70
173,499,5 12 3,5,321571,77.21 59.5 70
174,500,4 7 12,5,321478,76.92 58.05 72
175,499,4 7 11,5,321478,76.92 58.05 72
176,498,4 7 10,5,321478,76.92 58.05 72
177,498,3 5 15,5,321466,76.63 57.47 73
178,497,3 5 14,5,321466,76.63 57.47 73
179,496,3 5 13,5,321466,76.63 57.47 73
180,500,7 2 13,5,321392,77.79 56.6 73
181,500,5 9 8,5,321392,77.21 58.63 71
182,499,5 9 7,5,321392,77.21 58.63 71
183,498,5 9 6,5,321392,77.21 58.63 71
184,496,0 10 12,5,321375,75.76 58.92 72
185,495,0 10 11,5,321375,75.76 58.92 72
186,494,0 10 10,5,321375,75.76 58.92 72
187,497,1 15 5,5,321371,76.05 60.37 70
188,496,1 15 4,5,321371,76.05 60.37 70
189,495,1 15 3,5,321371,76.05 60.37 70
190,500,6 14 0,5,321273,77.5 60.08 69
191,497,1 12 9,5,321260,76.05 59.5 71
192,496,1 12 8,5,321260,76.05 59.5 71
193,495,1 12 7,5,321260,76.05 59.5 71
194,494,1 12 6,5,321260,76.05 59.5 71
195,500,6 11 4,5,321205,77.5 59.21 70
196,499,6 11 3,5,321205,77.5 59.21 70
197,500,5 6 12,5,321078,77.21 57.76 72
198,499,5 6 11,5,321078,77.21 57.76 72
199,498,5 6 10,5,321078,77.21 57.76 72
200,499,4 4 15,5,321054,76.92 57.18 73
201,498,4 4 14,5,321054,76.92 57.18 73
202,497,4 4 13,5,321054,76.92 57.18 73
203,497,2 14 5,5,321046,76.34 60.08 70
204,496,2 14 4,5,321046,76.34 60.08 70
205,495,2 14 3,5,321046,76.34 60.08 70
206,495,0 7 15,5,321023,75.76 58.05 73
207,494,0 7 14,5,321023,75.76 58.05 73
208,493,0 7 13,5,321023,75.76 58.05 73
209,497,1 9 12,5,321017,76.05 58.63 72
210,496,1 9 11,5,321017,76.05 58.63 72
211,495,1 9 10,5,321017,76.05 58.63 72
212,500,6 8 7,5,321003,77.5 58.34 71
213,499,6 8 6,5,321003,77.5 58.34 71
214,500,7 13 0,5,320918,77.79 59.79 69
215,498,2 11 9,5,320913,76.34 59.21 71
216,497,2 11 8,5,320913,76.34 59.21 71
217,496,2 11 7,5,320913,76.34 59.21 71
218,495,2 11 6,5,320913,76.34 59.21 71
219,500,7 10 3,5,320828,77.79 58.92 70
220,498,3 13 5,5,320710,76.63 59.79 70
221,497,3 13 4,5,320710,76.63 59.79 70
222,496,3 13 3,5,320710,76.63 59.79 70
223,500,6 5 11,5,320666,77.5 57.47 72
224,499,6 5 10,5,320666,77.5 57.47 72
225,497,2 8 12,5,320647,76.34 58.34 72
226,496,2 8 11,5,320647,76.34 58.34 72
227,495,2 8 10,5,320647,76.34 58.34 72
228,496,1 6 15,5,320642,76.05 57.76 73
229,495,1 6 14,5,320642,76.05 57.76 73
230,494,1 6 13,5,320642,76.05 57.76 73
231,500,5 3 15,5,320630,77.21 56.89 73
232,499,5 3 14,5,320630,77.21 56.89 73
233,498,5 3 13,5,320630,77.21 56.89 73
234,500,7 7 7,5,320602,77.79 58.05 71
235,499,7 7 6,5,320602,77.79 58.05 71
236,499,3 10 9,5,320554,76.63 58.92 71
237,498,3 10 8,5,320554,76.63 58.92 71
238,497,3 10 7,5,320554,76.63 58.92 71
239,495,3 10 6,5,320554,76.63 58.92 71
240,499,4 15 2,5,320407,76.92 60.37 69
241,498,4 15 1,5,320407,76.92 60.37 69
242,497,4 15 0,5,320407,76.92 60.37 69
243,499,4 12 5,5,320362,76.92 59.5 70
244,498,4 12 4,5,320362,76.92 59.5 70
245,497,4 12 3,5,320362,76.92 59.5 70
246,498,3 7 12,5,320265,76.63 58.05 72
247,497,3 7 11,5,320265,76.63 58.05 72
248,496,3 7 10,5,320265,76.63 58.05 72
249,496,2 5 15,5,320249,76.34 57.47 73
250,495,2 5 14,5,320249,76.34 57.47 73
251,494,2 5 13,5,320249,76.34 57.47 73
252,500,7 4 10,5,320241,77.79 57.18 72
253,500,6 2 15,5,320193,77.5 56.6 73
254,499,6 2 14,5,320193,77.5 56.6 73
255,498,6 2 13,5,320193,77.5 56.6 73
256,500,8 6 6,5,320190,78.08 57.76 71
257,499,4 9 9,5,320184,76.92 58.63 71
258,498,4 9 8,5,320184,76.92 58.63 71
259,497,4 9 7,5,320184,76.92 58.63 71
260,496,4 9 6,5,320184,76.92 58.63 71
261,495,0 15 5,5,320144,75.76 60.37 70
262,494,0 15 4,5,320144,75.76 60.37 70
263,493,0 15 3,5,320144,75.76 60.37 70
264,500,5 14 2,5,320070,77.21 60.08 69
265,499,5 14 1,5,320070,77.21 60.08 69
266,498,5 14 0,5,320070,77.21 60.08 69
267,495,0 12 9,5,320034,75.76 59.5 71
268,494,0 12 8,5,320034,75.76 59.5 71
269,493,0 12 7,5,320034,75.76 59.5 71
270,492,0 12 6,5,320034,75.76 59.5 71
271,499,5 11 5,5,320002,77.21 59.21 70
272,498,5 11 4,5,320002,77.21 59.21 70
273,497,5 11 3,5,320002,77.21 59.21 70
274,498,4 6 12,5,319871,76.92 57.76 72
275,497,4 6 11,5,319871,76.92 57.76 72
276,496,4 6 10,5,319871,76.92 57.76 72
277,497,3 4 15,5,319843,76.63 57.18 73
278,496,3 4 14,5,319843,76.63 57.18 73
279,495,3 4 13,5,319843,76.63 57.18 73
280,496,1 14 5,5,319826,76.05 60.08 70
281,495,1 14 4,5,319826,76.05 60.08 70
282,494,1 14 3,5,319826,76.05 60.08 70
283,500,8 3 10,5,319804,78.08 56.89 72
284,500,5 8 9,5,319801,77.21 58.34 71
285,499,5 8 8,5,319801,77.21 58.34 71
286,498,5 8 7,5,319801,77.21 58.34 71
287,497,5 8 6,5,319801,77.21 58.34 71
288,495,0 9 12,5,319792,75.76 58.63 72
289,494,0 9 11,5,319792,75.76 58.63 72
290,493,0 9 10,5,319792,75.76 58.63 72
291,500,9 5 6,5,319765,78.37 57.47 71
292,500,7 1 14,5,319744,77.79 56.31 73
293,499,7 1 13,5,319744,77.79 56.31 73
294,500,6 13 1,5,319721,77.5 59.79 69
295,499,6 13 0,5,319721,77.5 59.79 69
296,496,1 11 9,5,319693,76.05 59.21 71
297,495,1 11 8,5,319693,76.05 59.21 71
298,494,1 11 7,5,319693,76.05 59.21 71
299,493,1 11 6,5,319693,76.05 59.21 71
300,500,6 10 5,5,319631,77.5 58.92 70
301,499,6 10 4,5,319631,77.5 58.92 70
302,498,6 10 3,5,319631,77.5 58.92 70
303,496,2 13 5,5,319495,76.34 59.79 70
304,495,2 13 4,5,319495,76.34 59.79 70
305,494,2 13 3,5,319495,76.34 59.79 70
306,499,5 5 12,5,319465,77.21 57.47 72
307,498,5 5 11,5,319465,77.21 57.47 72
308,497,5 5 10,5,319465,77.21 57.47 72
309,495,1 8 12,5,319428,76.05 58.34 72
310,494,1 8 11,5,319428,76.05 58.34 72
311,493,1 8 10,5,319428,76.05 58.34 72
312,498,4 3 15,5,319424,76.92 56.89 73
313,497,4 3 14,5,319424,76.92 56.89 73
314,496,4 3 13,5,319424,76.92 56.89 73
315,494,0 6 15,5,319418,75.76 57.76 73
316,493,0 6 14,5,319418,75.76 57.76 73
317,492,0 6 13,5,319418,75.76 57.76 73
318,500,6 7 9,5,319406,77.5 58.05 71
319,499,6 7 8,5,319406,77.5 58.05 71
320,498,6 7 7,5,319406,77.5 58.05 71
321,497,6 7 6,5,319406,77.5 58.05 71
322,500,7 12 1,5,319360,77.79 59.5 69
323,499,7 12 0,5,319360,77.79 59.5 69
324,497,2 10 9,5,319340,76.34 58.92 71
325,496,2 10 8,5,319340,76.34 58.92 71
326,495,2 10 7,5,319340,76.34 58.92 71
327,494,2 10 6,5,319340,76.34 58.92 71
328,500,8 0 14,5,319283,78.08 56.02 73
329,499,8 0 13,5,319283,78.08 56.02 73
330,500,7 9 4,5,319248,77.79 58.63 70
331,499,7 9 3,5,319248,77.79 58.63 70
332,497,3 15 2,5,319198,76.63 60.37 69
333,496,3 15 1,5,319198,76.63 60.37 69
334,495,3 15 0,5,319198,76.63 60.37 69
335,497,3 12 5,5,319153,76.63 59.5 70
336,496,3 12 4,5,319153,76.63 59.5 70
337,495,3 12 3,5,319153,76.63 59.5 70
338,496,2 7 12,5,319052,76.34 58.05 72
339,495,2 7 11,5,319052,76.34 58.05 72
340,494,2 7 10,5,319052,76.34 58.05 72
341,500,6 4 12,5,319046,77.5 57.18 72
342,499,6 4 11,5,319046,77.5 57.18 72
343,498,6 4 10,5,319046,77.5 57.18 72
344,494,1 5 14,5,319031,76.05 57.47 73
345,494,1 5 15,5,319031,76.05 57.47 73
346,493,1 5 13,5,319031,76.05 57.47 73
347,500,7 6 8,5,318999,77.79 57.76 71
348,499,7 6 7,5,318999,77.79 57.76 71
349,498,7 6 6,5,318999,77.79 57.76 71
350,498,5 2 15,5,318994,77.21 56.6 73
351,497,5 2 14,5,318994,77.21 56.6 73
352,496,5 2 13,5,318994,77.21 56.6 73
353,500,8 11 0,5,318988,78.08 59.21 69
354,497,3 9 9,5,318975,76.63 58.63 71
355,496,3 9 8,5,318975,76.63 58.63 71
356,495,3 9 7,5,318975,76.63 58.63 71
357,494,3 9 6,5,318975,76.63 58.63 71
358,498,4 14 2,5,318866,76.92 60.08 69
359,497,4 14 1,5,318866,76.92 60.08 69
360,496,4 14 0,5,318866,76.92 60.08 69
361,500,8 8 4,5,318852,78.08 58.34 70
362,499,8 8 3,5,318852,78.08 58.34 70
363,498,4 11 5,5,318799,76.92 59.21 70
364,497,4 11 4,5,318799,76.92 59.21 70
365,496,4 11 3,5,318799,76.92 59.21 70
366,497,3 6 12,5,318664,76.63 57.76 72
367,496,3 6 11,5,318664,76.63 57.76 72
368,495,3 6 10,5,318664,76.63 57.76 72
369,495,2 4 15,5,318631,76.34 57.18 73
370,494,2 4 14,5,318631,76.34 57.18 73
371,493,2 4 13,5,318631,76.34 57.18 73
372,500,7 3 12,5,318615,77.79 56.89 72
373,499,7 3 11,5,318615,77.79 56.89 72
374,498,7 3 10,5,318615,77.79 56.89 72
375,494,0 14 5,5,318605,75.76 60.08 70
376,493,0 14 4,5,318605,75.76 60.08 70
377,492,0 14 3,5,318605,75.76 60.08 70
378,498,4 8 9,5,318598,76.92 58.34 71
379,497,4 8 8,5,318598,76.92 58.34 71
380,496,4 8 7,5,318598,76.92 58.34 71
381,495,4 8 6,5,318598,76.92 58.34 71
382,500,8 5 7,5,318581,78.08 57.47 71
383,499,8 5 6,5,318581,78.08 57.47 71
384,499,6 1 15,5,318551,77.5 56.31 73
385,498,6 1 14,5,318551,77.5 56.31 73
386,497,6 1 13,5,318551,77.5 56.31 73
387,499,5 13 2,5,318523,77.21 59.79 69
388,498,5 13 1,5,318523,77.21 59.79 69
389,497,5 13 0,5,318523,77.21 59.79 69
390,494,0 11 9,5,318473,75.76 59.21 71
391,493,0 11 8,5,318473,75.76 59.21 71
392,492,0 11 7,5,318473,75.76 59.21 71
393,491,0 11 6,5,318473,75.76 59.21 71
394,500,9 7 3,5,318446,78.37 58.05 70
395,498,5 10 5,5,318434,77.21 58.92 70
396,497,5 10 4,5,318434,77.21 58.92 70
397,496,5 10 3,5,318434,77.21 58.92 70
398,494,1 13 5,5,318280,76.05 59.79 70
399,493,1 13 4,5,318280,76.05 59.79 70
400,492,1 13 3,5,318280,76.05 59.79 70
401,497,4 5 12,5,318264,76.92 57.47 72
402,496,4 5 11,5,318264,76.92 57.47 72
403,495,4 5 10,5,318264,76.92 57.47 72
404,496,3 3 15,5,318219,76.63 56.89 73
405,495,3 3 14,5,318219,76.63 56.89 73
406,494,3 3 13,5,318219,76.63 56.89 73
407,499,5 7 9,5,318210,77.21 58.05 71
408,498,5 7 8,5,318210,77.21 58.05 71
409,497,5 7 7,5,318210,77.21 58.05 71
410,496,5 7 6,5,318210,77.21 58.05 71
411,493,0 8 12,5,318209,75.76 58.34 72
412,492,0 8 11,5,318209,75.76 58.34 72
413,491,0 8 10,5,318209,75.76 58.34 72
414,500,8 2 11,5,318173,78.08 56.6 72
415,499,8 2 10,5,318173,78.08 56.6 72
416,499,6 12 2,5,318169,77.5 59.5 69
417,498,6 12 1,5,318169,77.5 59.5 69
418,497,6 12 0,5,318169,77.5 59.5 69
419,500,9 4 7,5,318150,78.37 57.18 71
420,499,9 4 6,5,318150,78.37 57.18 71
421,495,1 10 9,5,318126,76.05 58.92 71
422,494,1 10 8,5,318126,76.05 58.92 71
423,493,1 10 7,5,318126,76.05 58.92 71
424,492,1 10 6,5,318126,76.05 58.92 71
425,499,7 0 15,5,318096,77.79 56.02 73
426,498,7 0 14,5,318096,77.79 56.02 73
427,497,7 0 13,5,318096,77.79 56.02 73
428,499,6 9 5,5,318056,77.5 58.63 70
429,498,6 9 4,5,318056,77.5 58.63 70
430,497,6 9 3,5,318056,77.5 58.63 70
431,496,2 15 2,5,317989,76.34 60.37 69
432,495,2 15 1,5,317989,76.34 60.37 69
433,494,2 15 0,5,317989,76.34 60.37 69
434,495,2 12 5,5,317944,76.34 59.5 70
435,494,2 12 4,5,317944,76.34 59.5 70
436,493,2 12 3,5,317944,76.34 59.5 70
437,498,5 4 12,5,317851,77.21 57.18 72
438,497,5 4 11,5,317851,77.21 57.18 72
439,496,5 4 10,5,317851,77.21 57.18 72
440,494,1 7 12,5,317839,76.05 58.05 72
441,493,1 7 11,5,317839,76.05 58.05 72
442,492,1 7 10,5,317839,76.05 58.05 72
443,493,0 5 15,5,317813,75.76 57.47 73
444,492,0 5 14,5,317813,75.76 57.47 73
445,491,0 5 13,5,317813,75.76 57.47 73
446,499,6 6 9,5,317809,77.5 57.76 71
