rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 15 14,14.5,396901,63.08 67.66 93
2,500,1 13 14,14.5,394085,63.59 66.64 93
3,500,0 14 15,14.5,393917,63.08 67.15 93
4,498,0 14 14,14.5,393917,63.08 67.15 93
5,499,1 14 12,14.5,392824,63.59 67.15 92
6,499,0 15 13,14.5,392633,63.08 67.66 92
7,497,0 15 12,14.5,392633,63.08 67.66 92
8,500,1 15 11,14.5,391497,63.59 67.66 91
9,499,1 15 10,14.5,391497,63.59 67.66 91
10,500,2 11 14,14.5,391173,64.1 65.62 93
11,500,1 12 15,14.5,391077,63.59 66.13 93
12,498,1 12 14,14.5,391077,63.59 66.13 93
13,498,0 13 15,14.5,390933,63.08 66.64 93
14,496,0 13 14,14.5,390933,63.08 66.64 93
15,500,2 15 8,14.5,390293,64.1 67.66 90
16,500,0 7 13,15,390033,64.16 64.67 94
17,500,2 12 12,14.5,389967,64.1 66.13 92
18,499,1 13 13,14.5,389848,63.59 66.64 92
19,498,1 13 12,14.5,389848,63.59 66.64 92
20,497,0 14 13,14.5,389681,63.08 67.15 92
21,495,0 14 12,14.5,389681,63.08 67.15 92
22,500,0 11 7,15,389668,64.16 66.74 91
23,499,0 8 11,15,388971,64.16 65.19 93
24,500,2 13 11,14.5,388695,64.1 66.64 91
25,499,2 13 10,14.5,388695,64.1 66.64 91
26,498,1 14 11,14.5,388554,63.59 67.15 91
27,497,1 14 10,14.5,388554,63.59 67.15 91
28,500,0 15 2,15,388506,64.16 68.81 88
29,500,0 12 6,15,388374,64.16 67.26 90
30,499,0 12 5,15,388374,64.16 67.26 90
31,496,0 15 11,14.5,388366,63.08 67.66 91
32,495,0 15 10,14.5,388366,63.08 67.66 91
33,500,2 10 15,14.5,388141,64.1 65.11 93
34,499,2 10 14,14.5,388141,64.1 65.11 93
35,498,1 11 15,14.5,388069,63.59 65.62 93
36,497,1 11 14,14.5,388069,63.59 65.62 93
37,496,0 12 15,14.5,387948,63.08 66.13 93
38,494,0 12 14,14.5,387948,63.08 66.13 93
39,499,0 5 15,15,387876,64.16 63.64 95
40,500,0 9 10,15,387842,64.16 65.71 92
41,499,0 9 9,15,387842,64.16 65.71 92
42,500,3 13 8,14.5,387475,64.61 66.64 90
43,499,2 14 9,14.5,387358,64.1 67.15 90
44,498,2 14 8,14.5,387358,64.1 67.15 90
45,497,1 15 9,14.5,387195,63.59 67.66 90
46,496,1 15 8,14.5,387195,63.59 67.66 90
47,500,5 14 14,14,387167,64.48 65.98 91
48,500,4 15 15,14,387076,63.98 66.48 91
49,498,4 15 14,14,387076,63.98 66.48 91
50,500,3 10 12,14.5,387015,64.61 65.11 92
