rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 15 15,18.5,336690,74.12 67.8 67
2,499,1 15 13,18.5,334236,74.69 67.8 66
3,498,0 14 15,18.5,333837,74.12 67.22 67
4,499,1 13 15,18.5,333549,74.69 66.65 67
5,500,0 9 15,19,333103,75.11 65.22 68
6,500,0 14 10,19,332622,75.11 68.13 65
7,500,0 12 12,19,331965,75.11 66.96 66
8,498,0 15 14,18.5,331665,74.12 67.8 66
9,496,0 15 13,18.5,331665,74.12 67.8 66
10,499,1 14 14,18.5,331403,74.69 67.22 66
11,497,1 14 13,18.5,331403,74.69 67.22 66
12,500,0 10 14,19,331134,75.11 65.8 67
13,499,2 13 13,18.5,331098,75.27 66.65 66
14,496,0 13 15,18.5,330984,74.12 66.65 67
15,497,1 12 15,18.5,330674,74.69 66.08 67
16,499,2 11 15,18.5,330320,75.27 65.5 67
17,500,0 15 9,19,330303,75.11 68.71 64
18,498,0 15 8,19,330303,75.11 68.71 64
19,498,3 15 15,18,330209,74.81 66.88 66
20,498,0 8 15,19,330129,75.11 64.63 68
21,500,1 14 8,19,330043,75.7 68.13 64
22,499,4 14 15,18,329891,75.38 66.31 66
23,500,0 13 11,19,329779,75.11 67.54 65
24,498,0 13 10,19,329779,75.11 67.54 65
25,500,1 7 15,19,329690,75.7 64.05 68
26,500,1 12 10,19,329470,75.7 66.96 65
27,497,1 15 12,18.5,329172,74.69 67.8 65
28,500,3 15 10,18.5,329094,75.84 67.8 64
29,500,0 11 13,19,329079,75.11 66.38 66
30,498,0 11 12,19,329079,75.11 66.38 66
31,499,2 14 12,18.5,328893,75.27 67.22 65
32,496,0 14 14,18.5,328854,74.12 67.22 66
33,493,0 14 13,18.5,328854,74.12 67.22 66
34,500,0 8 10,19.5,328848,76.1 65.48 66
35,500,1 10 12,19,328721,75.7 65.8 66
36,497,1 13 14,18.5,328571,74.69 66.65 66
37,495,1 13 13,18.5,328571,74.69 66.65 66
