rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 10 12,9.5,417311,60.03 60.45 115
2,500,0 11 10,9.5,416497,60.03 60.86 114
3,500,0 15 2,9.5,416497,60.03 62.5 111
4,500,0 12 8,9.5,415633,60.03 61.27 113
5,499,0 12 7,9.5,415633,60.03 61.27 113
6,500,0 8 15,9.5,415213,60.03 59.62 116
7,500,0 13 6,9.5,414719,60.03 61.68 112
8,499,0 13 5,9.5,414719,60.03 61.68 112
9,500,0 9 13,9.5,414472,60.03 60.03 115
10,500,0 9 14,9.5,414472,60.03 60.03 115
11,499,0 9 12,9.5,414472,60.03 60.03 115
12,500,1 8 12,9.5,414453,60.45 59.62 115
13,500,5 15 15,9,414074,60.33 60.73 113
14,500,1 13 2,9.5,413832,60.45 61.68 111
15,500,0 14 4,9.5,413757,60.03 62.09 111
16,499,0 14 3,9.5,413757,60.03 62.09 111
17,498,0 14 2,9.5,413757,60.03 62.09 111
18,500,1 9 10,9.5,413682,60.45 60.03 114
19,499,0 10 10,9.5,413682,60.03 60.45 114
20,499,0 10 11,9.5,413682,60.03 60.45 114
21,500,1 10 8,9.5,412862,60.45 60.45 113
22,499,1 10 7,9.5,412862,60.45 60.45 113
23,499,0 11 9,9.5,412843,60.03 60.86 113
24,498,0 11 7,9.5,412843,60.03 60.86 113
25,498,0 11 8,9.5,412843,60.03 60.86 113
26,500,1 14 1,9.5,412837,60.45 62.09 110
27,499,1 14 0,9.5,412837,60.45 62.09 110
28,499,0 15 1,9.5,412744,60.03 62.5 110
29,498,0 15 0,9.5,412744,60.03 62.5 110
30,498,0 7 15,9.5,412349,60.03 59.21 116
31,500,1 6 15,9.5,412291,60.45 58.8 116
32,500,1 11 6,9.5,411992,60.45 60.86 112
33,499,1 11 5,9.5,411992,60.45 60.86 112
34,498,0 12 6,9.5,411954,60.03 61.27 112
35,497,0 12 5,9.5,411954,60.03 61.27 112
36,499,0 8 14,9.5,411634,60.03 59.62 115
37,498,0 8 13,9.5,411634,60.03 59.62 115
38,497,0 8 12,9.5,411634,60.03 59.62 115
39,500,1 7 14,9.5,411595,60.45 59.21 115
40,499,1 7 12,9.5,411595,60.45 59.21 115
41,499,1 7 13,9.5,411595,60.45 59.21 115
42,500,2 6 12,9.5,411517,60.86 58.8 115
43,498,5 14 15,9,411350,60.33 60.33 113
44,499,6 13 15,9,411332,60.73 59.94 113
45,496,4 15 15,9,411332,59.94 60.73 113
46,500,2 11 2,9.5,411091,60.86 60.86 111
47,500,1 12 4,9.5,411073,60.45 61.27 111
48,499,1 12 3,9.5,411073,60.45 61.27 111
49,498,1 12 2,9.5,411073,60.45 61.27 111
50,498,0 13 4,9.5,411016,60.03 61.68 111
51,497,0 13 3,9.5,411016,60.03 61.68 111
52,496,0 13 2,9.5,411016,60.03 61.68 111
53,498,0 9 11,9.5,410868,60.03 60.03 114
54,497,0 9 10,9.5,410868,60.03 60.03 114
55,499,1 8 10,9.5,410849,60.45 59.62 114
56,499,1 8 11,9.5,410849,60.45 59.62 114
57,500,2 7 10,9.5,410791,60.86 59.21 114
58,500,6 14 14,9,410410,60.73 60.33 112
59,499,6 14 13,9,410410,60.73 60.33 112
60,499,5 15 14,9,410410,60.33 60.73 112
61,498,5 15 13,9,410410,60.33 60.73 112
62,500,2 12 0,9.5,410141,60.86 61.27 110
63,500,2 12 1,9.5,410141,60.86 61.27 110
64,499,1 13 1,9.5,410103,60.45 61.68 110
65,498,1 13 0,9.5,410103,60.45 61.68 110
66,499,1 9 9,9.5,410054,60.45 60.03 113
67,498,1 9 7,9.5,410054,60.45 60.03 113
68,498,1 9 8,9.5,410054,60.45 60.03 113
69,498,0 10 9,9.5,410054,60.03 60.45 113
70,497,0 10 8,9.5,410054,60.03 60.45 113
71,496,0 10 7,9.5,410054,60.03 60.45 113
72,497,0 14 1,9.5,410029,60.03 62.09 110
73,496,0 14 0,9.5,410029,60.03 62.09 110
74,500,2 8 8,9.5,410015,60.86 59.62 113
75,499,2 8 7,9.5,410015,60.86 59.62 113
76,496,0 6 15,9.5,409486,60.03 58.8 116
77,500,6 15 12,9,409439,60.73 60.73 111
78,499,6 15 11,9,409439,60.73 60.73 111
79,498,6 15 10,9,409439,60.73 60.73 111
80,500,7 14 10,9,409422,61.13 60.33 111
81,498,1 5 15,9.5,409407,60.45 58.39 116
82,499,2 4 15,9.5,409290,60.86 57.98 116
83,498,1 10 6,9.5,409209,60.45 60.45 112
84,497,1 10 5,9.5,409209,60.45 60.45 112
85,500,2 9 6,9.5,409190,60.86 60.03 112
86,499,2 9 5,9.5,409190,60.86 60.03 112
87,497,0 11 6,9.5,409190,60.03 60.86 112
88,496,0 11 5,9.5,409190,60.03 60.86 112
89,497,0 7 14,9.5,408795,60.03 59.21 115
90,496,0 7 13,9.5,408795,60.03 59.21 115
91,495,0 7 12,9.5,408795,60.03 59.21 115
92,499,1 6 14,9.5,408736,60.45 58.8 115
93,498,1 6 13,9.5,408736,60.45 58.8 115
94,497,1 6 12,9.5,408736,60.45 58.8 115
95,500,2 5 14,9.5,408639,60.86 58.39 115
96,499,2 5 13,9.5,408639,60.86 58.39 115
97,498,2 5 12,9.5,408639,60.86 58.39 115
98,496,5 13 15,9,408626,60.33 59.94 113
99,495,4 14 15,9,408626,59.94 60.33 113
100,498,6 12 15,9,408590,60.73 59.54 113
101,493,3 15 15,9,408590,59.54 60.73 113
102,499,7 11 15,9,408518,61.13 59.14 113
103,500,3 4 12,9.5,408503,61.27 57.98 115
104,500,7 15 8,9,408420,61.13 60.73 110
105,500,2 10 4,9.5,408314,60.86 60.45 111
106,499,2 10 3,9.5,408314,60.86 60.45 111
107,498,2 10 2,9.5,408314,60.86 60.45 111
108,498,1 11 4,9.5,408314,60.45 60.86 111
109,497,1 11 3,9.5,408314,60.45 60.86 111
110,496,1 11 2,9.5,408314,60.45 60.86 111
111,500,3 9 2,9.5,408276,61.27 60.03 111
112,496,0 12 3,9.5,408276,60.03 61.27 111
113,496,0 12 4,9.5,408276,60.03 61.27 111
114,495,0 12 2,9.5,408276,60.03 61.27 111
115,496,0 8 11,9.5,408054,60.03 59.62 114
116,495,0 8 10,9.5,408054,60.03 59.62 114
117,498,1 7 11,9.5,408016,60.45 59.21 114
118,497,1 7 10,9.5,408016,60.45 59.21 114
119,499,2 6 11,9.5,407938,60.86 58.8 114
120,498,2 6 10,9.5,407938,60.86 58.8 114
121,500,3 5 10,9.5,407823,61.27 58.39 114
122,497,5 14 14,9,407710,60.33 60.33 112
123,496,5 14 13,9,407710,60.33 60.33 112
124,499,6 13 14,9,407692,60.73 59.94 112
125,498,6 13 13,9,407692,60.73 59.94 112
126,495,4 15 14,9,407692,59.94 60.73 112
127,494,4 15 13,9,407692,59.94 60.73 112
128,500,7 12 14,9,407638,61.13 59.54 112
129,499,7 12 13,9,407638,61.13 59.54 112
130,499,2 11 1,9.5,407388,60.86 60.86 110
131,498,2 11 0,9.5,407388,60.86 60.86 110
132,500,3 10 0,9.5,407369,61.27 60.45 110
133,500,3 10 1,9.5,407369,61.27 60.45 110
134,497,1 12 1,9.5,407369,60.45 61.27 110
135,496,1 12 0,9.5,407369,60.45 61.27 110
136,500,8 15 5,9,407352,61.53 60.73 109
137,495,0 13 1,9.5,407314,60.03 61.68 110
138,494,0 13 0,9.5,407314,60.03 61.68 110
139,496,0 9 9,9.5,407264,60.03 60.03 113
140,495,0 9 8,9.5,407264,60.03 60.03 113
141,494,0 9 7,9.5,407264,60.03 60.03 113
142,498,1 8 9,9.5,407245,60.45 59.62 113
143,497,1 8 8,9.5,407245,60.45 59.62 113
144,496,1 8 7,9.5,407245,60.45 59.62 113
145,499,2 7 9,9.5,407188,60.86 59.21 113
146,498,2 7 8,9.5,407188,60.86 59.21 113
147,497,2 7 7,9.5,407188,60.86 59.21 113
148,500,3 6 8,9.5,407092,61.27 58.8 113
149,499,3 6 7,9.5,407092,61.27 58.8 113
150,498,6 14 11,9,406746,60.73 60.33 111
151,498,6 14 12,9,406746,60.73 60.33 111
152,497,6 14 10,9,406746,60.73 60.33 111
153,497,5 15 12,9,406746,60.33 60.73 111
154,496,5 15 11,9,406746,60.33 60.73 111
155,495,5 15 10,9,406746,60.33 60.73 111
156,500,7 13 12,9,406710,61.13 59.94 111
157,499,7 13 11,9,406710,61.13 59.94 111
158,498,7 13 10,9,406710,61.13 59.94 111
159,500,8 12 10,9,406639,61.53 59.54 111
160,494,0 5 15,9.5,406622,60.03 58.39 116
161,496,1 4 15,9.5,406524,60.45 57.98 116
162,497,1 9 6,9.5,406425,60.45 60.03 112
163,496,1 9 5,9.5,406425,60.45 60.03 112
164,495,0 10 6,9.5,406425,60.03 60.45 112
165,494,0 10 5,9.5,406425,60.03 60.45 112
166,498,2 3 15,9.5,406387,60.86 57.57 116
167,498,2 8 6,9.5,406387,60.86 59.62 112
168,497,2 8 5,9.5,406387,60.86 59.62 112
169,500,3 7 6,9.5,406311,61.27 59.21 112
170,499,3 7 5,9.5,406311,61.27 59.21 112
171,499,3 2 15,9.5,406210,61.27 57.16 116
172,495,0 6 14,9.5,405956,60.03 58.8 115
173,494,0 6 13,9.5,405956,60.03 58.8 115
174,493,0 6 12,9.5,405956,60.03 58.8 115
175,493,4 13 15,9,405920,59.94 59.94 113
176,495,5 12 15,9,405902,60.33 59.54 113
177,491,3 14 15,9,405902,59.54 60.33 113
178,497,1 5 14,9.5,405878,60.45 58.39 115
179,496,1 5 13,9.5,405878,60.45 58.39 115
180,495,1 5 12,9.5,405878,60.45 58.39 115
181,496,6 11 15,9,405848,60.73 59.14 113
182,490,2 15 15,9,405848,59.14 60.73 113
183,498,2 4 13,9.5,405761,60.86 57.98 115
184,498,2 4 14,9.5,405761,60.86 57.98 115
185,497,2 4 12,9.5,405761,60.86 57.98 115
186,498,7 10 15,9,405757,61.13 58.74 113
187,497,6 15 8,9,405751,60.73 60.73 110
188,497,6 15 9,9,405751,60.73 60.73 110
189,499,7 14 9,9,405733,61.13 60.33 110
190,498,7 14 8,9,405733,61.13 60.33 110
191,500,8 13 8,9,405680,61.53 59.94 110
192,499,8 9 15,9,405631,61.53 58.34 113
193,500,3 3 14,9.5,405606,61.27 57.57 115
194,499,3 3 13,9.5,405606,61.27 57.57 115
195,498,3 3 12,9.5,405606,61.27 57.57 115
196,496,1 10 3,9.5,405555,60.45 60.45 111
197,496,1 10 4,9.5,405555,60.45 60.45 111
198,495,1 10 2,9.5,405555,60.45 60.45 111
199,498,2 9 4,9.5,405536,60.86 60.03 111
200,497,2 9 3,9.5,405536,60.86 60.03 111
201,496,2 9 2,9.5,405536,60.86 60.03 111
202,495,0 11 4,9.5,405536,60.03 60.86 111
203,494,0 11 3,9.5,405536,60.03 60.86 111
204,493,0 11 2,9.5,405536,60.03 60.86 111
205,500,3 8 4,9.5,405480,61.27 59.62 111
206,499,3 8 3,9.5,405480,61.27 59.62 111
207,498,3 8 2,9.5,405480,61.27 59.62 111
208,500,4 2 12,9.5,405411,61.68 57.16 115
209,500,4 7 2,9.5,405386,61.68 59.21 111
210,494,0 7 11,9.5,405240,60.03 59.21 114
211,493,0 7 10,9.5,405240,60.03 59.21 114
212,496,1 6 11,9.5,405182,60.45 58.8 114
213,495,1 6 10,9.5,405182,60.45 58.8 114
214,498,2 5 11,9.5,405086,60.86 58.39 114
215,497,2 5 10,9.5,405086,60.86 58.39 114
216,495,5 13 14,9,405010,60.33 59.94 112
217,494,5 13 13,9,405010,60.33 59.94 112
218,494,4 14 14,9,405010,59.94 60.33 112
219,493,4 14 13,9,405010,59.94 60.33 112
220,497,6 12 14,9,404974,60.73 59.54 112
221,496,6 12 13,9,404974,60.73 59.54 112
222,492,3 15 14,9,404974,59.54 60.73 112
223,491,3 15 13,9,404974,59.54 60.73 112
224,499,3 4 11,9.5,404951,61.27 57.98 114
225,498,3 4 10,9.5,404951,61.27 57.98 114
226,499,7 11 14,9,404903,61.13 59.14 112
227,498,7 11 13,9,404903,61.13 59.14 112
228,500,8 10 14,9,404795,61.53 58.74 112
229,499,8 10 13,9,404795,61.53 58.74 112
230,500,4 3 10,9.5,404777,61.68 57.57 114
231,499,7 15 7,9,404707,61.13 60.73 109
232,498,7 15 6,9,404707,61.13 60.73 109
233,497,7 15 5,9,404707,61.13 60.73 109
234,500,8 14 6,9,404672,61.53 60.33 109
235,499,8 14 5,9,404672,61.53 60.33 109
236,497,2 10 1,9.5,404635,60.86 60.45 110
237,496,2 10 0,9.5,404635,60.86 60.45 110
238,495,1 11 0,9.5,404635,60.45 60.86 110
239,495,1 11 1,9.5,404635,60.45 60.86 110
240,500,9 13 5,9,404603,61.93 59.94 109
241,499,3 9 1,9.5,404598,61.27 60.03 110
242,498,3 9 0,9.5,404598,61.27 60.03 110
243,494,0 12 1,9.5,404598,60.03 61.27 110
244,493,0 12 0,9.5,404598,60.03 61.27 110
245,500,4 8 1,9.5,404524,61.68 59.62 110
246,499,4 8 0,9.5,404524,61.68 59.62 110
247,494,0 8 9,9.5,404475,60.03 59.62 113
248,493,0 8 8,9.5,404475,60.03 59.62 113
249,492,0 8 7,9.5,404475,60.03 59.62 113
250,496,1 7 9,9.5,404436,60.45 59.21 113
251,495,1 7 8,9.5,404436,60.45 59.21 113
252,494,1 7 7,9.5,404436,60.45 59.21 113
253,498,2 6 9,9.5,404360,60.86 58.8 113
254,497,2 6 8,9.5,404360,60.86 58.8 113
255,496,2 6 7,9.5,404360,60.86 58.8 113
256,499,3 5 9,9.5,404245,61.27 58.39 113
257,498,3 5 8,9.5,404245,61.27 58.39 113
258,497,3 5 7,9.5,404245,61.27 58.39 113
259,500,4 4 8,9.5,404093,61.68 57.98 113
260,499,4 4 7,9.5,404093,61.68 57.98 113
261,495,5 14 12,9,404070,60.33 60.33 111
262,494,5 14 11,9,404070,60.33 60.33 111
263,493,5 14 10,9,404070,60.33 60.33 111
264,497,6 13 12,9,404052,60.73 59.94 111
265,496,6 13 11,9,404052,60.73 59.94 111
266,495,6 13 10,9,404052,60.73 59.94 111
267,494,4 15 12,9,404052,59.94 60.73 111
268,493,4 15 11,9,404052,59.94 60.73 111
269,492,4 15 10,9,404052,59.94 60.73 111
270,498,7 12 11,9,403999,61.13 59.54 111
271,498,7 12 12,9,403999,61.13 59.54 111
272,497,7 12 10,9,403999,61.13 59.54 111
273,500,8 11 12,9,403910,61.53 59.14 111
274,499,8 11 11,9,403910,61.53 59.14 111
275,498,8 11 10,9,403910,61.53 59.14 111
276,500,5 3 7,9.5,403902,62.09 57.57 113
277,500,9 10 10,9,403786,61.93 58.74 111
278,493,0 4 15,9.5,403759,60.03 57.98 116
279,493,0 9 6,9.5,403660,60.03 60.03 112
280,492,0 9 5,9.5,403660,60.03 60.03 112
281,494,1 3 15,9.5,403641,60.45 57.57 116
282,495,1 8 6,9.5,403641,60.45 59.62 112
283,494,1 8 5,9.5,403641,60.45 59.62 112
284,499,8 15 3,9,403615,61.53 60.73 108
285,499,8 15 4,9,403615,61.53 60.73 108
286,497,2 7 6,9.5,403584,60.86 59.21 112
287,496,2 7 5,9.5,403584,60.86 59.21 112
288,500,9 14 3,9,403563,61.93 60.33 108
289,498,3 6 6,9.5,403490,61.27 58.8 112
290,497,3 6 5,9.5,403490,61.27 58.8 112
291,496,2 2 15,9.5,403484,60.86 57.16 116
292,500,0 0 1,10,403464,61.68 57.88 113
293,499,0 0 0,10,403464,61.68 57.88 113
294,500,4 5 6,9.5,403357,61.68 58.39 112
295,499,4 5 5,9.5,403357,61.68 58.39 112
296,497,3 1 15,9.5,403288,61.27 56.74 116
297,491,4 12 15,9,403214,59.94 59.54 113
298,490,3 13 15,9,403214,59.54 59.94 113
299,500,5 4 5,9.5,403187,62.09 57.98 112
300,493,5 11 15,9,403178,60.33 59.14 113
301,488,2 14 15,9,403178,59.14 60.33 113
302,493,0 5 13,9.5,403117,60.03 58.39 115
303,493,0 5 14,9.5,403117,60.03 58.39 115
304,492,0 5 12,9.5,403117,60.03 58.39 115
305,494,6 10 15,9,403105,60.73 58.74 113
306,486,1 15 15,9,403105,58.74 60.73 113
307,496,6 14 9,9,403081,60.73 60.33 110
308,495,6 14 8,9,403081,60.73 60.33 110
309,494,5 15 9,9,403081,60.33 60.73 110
310,493,5 15 8,9,403081,60.33 60.73 110
311,499,4 0 15,9.5,403053,61.68 56.33 116
312,497,7 13 8,9,403046,61.13 59.94 110
313,497,7 13 9,9,403046,61.13 59.94 110
314,495,1 4 14,9.5,403020,60.45 57.98 115
315,494,1 4 13,9.5,403020,60.45 57.98 115
316,493,1 4 12,9.5,403020,60.45 57.98 115
317,496,7 9 15,9,402997,61.13 58.34 113
318,499,8 12 9,9,402976,61.53 59.54 110
319,498,8 12 8,9,402976,61.53 59.54 110
320,497,2 3 14,9.5,402884,60.86 57.57 115
321,496,2 3 13,9.5,402884,60.86 57.57 115
322,495,2 3 12,9.5,402884,60.86 57.57 115
323,500,9 11 8,9,402870,61.93 59.14 110
324,498,8 8 15,9,402853,61.53 57.94 113
325,495,1 9 4,9.5,402796,60.45 60.03 111
326,494,1 9 3,9.5,402796,60.45 60.03 111
327,493,1 9 2,9.5,402796,60.45 60.03 111
328,493,0 10 4,9.5,402796,60.03 60.45 111
329,492,0 10 3,9.5,402796,60.03 60.45 111
330,491,0 10 2,9.5,402796,60.03 60.45 111
331,496,2 8 3,9.5,402759,60.86 59.62 111
332,496,2 8 4,9.5,402759,60.86 59.62 111
333,495,2 8 2,9.5,402759,60.86 59.62 111
334,498,3 2 14,9.5,402709,61.27 57.16 115
335,497,3 2 12,9.5,402709,61.27 57.16 115
336,497,3 2 13,9.5,402709,61.27 57.16 115
337,498,3 7 4,9.5,402683,61.27 59.21 111
338,497,3 7 3,9.5,402683,61.27 59.21 111
339,496,3 7 2,9.5,402683,61.27 59.21 111
340,499,9 7 15,9,402672,61.93 57.54 113
