rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 1 3,5.5,365512,68.56 79.57 67
2,500,12 15 15,5,364990,68.5 79.53 67
3,500,0 4 0,5.5,364211,68.56 80.49 66
4,500,0 0 4,5.5,364106,68.56 79.27 67
5,499,0 0 3,5.5,364106,68.56 79.27 67
6,500,13 13 15,5,363861,68.79 78.95 67
7,499,12 14 15,5,363658,68.5 79.24 67
8,498,11 15 15,5,363443,68.21 79.53 67
9,500,1 2 0,5.5,363055,68.86 79.88 66
10,500,0 3 1,5.5,362826,68.56 80.19 66
11,499,0 3 0,5.5,362826,68.56 80.19 66
12,500,14 11 15,5,362710,69.08 78.37 67
13,499,13 12 15,5,362523,68.79 78.66 67
14,498,12 13 15,5,362326,68.5 78.95 67
15,497,11 14 15,5,362117,68.21 79.24 67
16,495,10 15 15,5,361897,67.92 79.53 67
17,500,2 0 0,5.5,361874,69.17 79.27 66
18,500,1 1 1,5.5,361664,68.86 79.57 66
19,499,1 1 0,5.5,361664,68.86 79.57 66
20,500,15 9 15,5,361536,69.37 77.79 67
21,500,0 2 2,5.5,361441,68.56 79.88 66
22,499,0 2 1,5.5,361441,68.56 79.88 66
23,498,0 2 0,5.5,361441,68.56 79.88 66
24,499,14 10 15,5,361366,69.08 78.08 67
25,500,14 14 12,5,361266,69.08 79.24 66
26,498,13 11 15,5,361186,68.79 78.37 67
27,500,13 15 13,5,361066,68.79 79.53 66
28,499,13 15 12,5,361066,68.79 79.53 66
29,497,12 12 15,5,360994,68.5 78.66 67
30,496,11 13 15,5,360790,68.21 78.95 67
31,495,10 14 15,5,360576,67.92 79.24 67
32,493,9 15 15,5,360350,67.63 79.53 67
33,500,1 0 2,5.5,360273,68.86 79.27 66
34,499,1 0 1,5.5,360273,68.86 79.27 66
35,498,1 0 0,5.5,360273,68.86 79.27 66
36,500,15 8 15,5,360187,69.37 77.5 67
37,500,15 12 12,5,360126,69.37 78.66 66
38,499,0 1 2,5.5,360056,68.56 79.57 66
39,498,0 1 1,5.5,360056,68.56 79.57 66
40,497,0 1 0,5.5,360056,68.56 79.57 66
41,498,14 9 15,5,360023,69.08 77.79 67
42,500,14 13 13,5,359943,69.08 78.95 66
43,499,14 13 12,5,359943,69.08 78.95 66
44,497,13 10 15,5,359848,68.79 78.08 67
45,500,13 14 14,5,359748,68.79 79.24 66
46,499,13 14 13,5,359748,68.79 79.24 66
47,498,13 14 12,5,359748,68.79 79.24 66
48,496,12 11 15,5,359662,68.5 78.37 67
49,499,12 15 14,5,359542,68.5 79.53 66
50,498,12 15 13,5,359542,68.5 79.53 66
51,496,12 15 12,5,359542,68.5 79.53 66
52,495,11 12 15,5,359464,68.21 78.66 67
53,494,10 13 15,5,359255,67.92 78.95 67
54,492,9 14 15,5,359035,67.63 79.24 67
55,499,15 7 15,5,358838,69.37 77.21 67
56,491,8 15 15,5,358804,67.34 79.53 67
57,500,15 11 13,5,358797,69.37 78.37 66
58,499,15 11 12,5,358797,69.37 78.37 66
59,497,14 8 15,5,358679,69.08 77.5 67
60,498,0 0 2,5.5,358671,68.56 79.27 66
