rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 12 15,11.5,376386,66.6 73.4 77
2,500,0 14 13,11.5,376085,66.6 74.3 76
3,499,0 11 15,11.5,374063,66.6 72.94 77
4,500,0 13 14,11.5,373791,66.6 73.85 76
5,499,0 13 13,11.5,373791,66.6 73.85 76
6,500,0 15 12,11.5,373399,66.6 74.75 75
7,499,0 15 11,11.5,373399,66.6 74.75 75
8,499,1 9 15,11.5,371929,67.05 72.04 77
9,497,0 10 15,11.5,371740,66.6 72.49 77
10,499,1 11 13,11.5,371717,67.05 72.94 76
11,499,0 12 14,11.5,371498,66.6 73.4 76
12,497,0 12 13,11.5,371498,66.6 73.4 76
13,499,1 13 11,11.5,371382,67.05 73.85 75
14,499,0 14 12,11.5,371136,66.6 74.3 75
15,497,0 14 11,11.5,371136,66.6 74.3 75
16,499,1 15 9,11.5,370927,67.05 74.75 74
17,499,2 7 15,11.5,369732,67.51 71.13 77
18,497,1 8 15,11.5,369590,67.05 71.58 77
19,499,2 9 13,11.5,369579,67.51 72.04 76
20,496,0 9 15,11.5,369416,66.6 72.04 77
21,499,1 10 14,11.5,369408,67.05 72.49 76
22,498,1 10 13,11.5,369408,67.05 72.49 76
23,499,5 15 15,11,369323,67.35 73.11 75
24,499,2 11 11,11.5,369304,67.51 72.94 75
25,497,0 11 14,11.5,369205,66.6 72.94 76
26,496,0 11 13,11.5,369205,66.6 72.94 76
27,499,1 12 12,11.5,369104,67.05 73.4 75
28,498,1 12 11,11.5,369104,67.05 73.4 75
29,500,2 13 9,11.5,368907,67.51 73.85 74
30,497,0 13 12,11.5,368873,66.6 73.85 75
31,496,0 13 11,11.5,368873,66.6 73.85 75
32,499,1 14 10,11.5,368679,67.05 74.3 74
33,498,1 14 9,11.5,368679,67.05 74.3 74
34,497,0 15 10,11.5,368420,66.6 74.75 74
35,496,0 15 9,11.5,368420,66.6 74.75 74
36,500,2 15 7,11.5,368387,67.51 74.75 73
37,500,0 8 5,12,368120,68.03 73.12 74
38,500,0 10 3,12,367742,68.03 74.05 73
39,499,3 5 15,11.5,367472,67.96 70.22 77
40,500,3 7 13,11.5,367380,67.96 71.13 76
41,498,2 6 15,11.5,367377,67.51 70.68 77
42,499,2 8 14,11.5,367255,67.51 71.58 76
43,498,2 8 13,11.5,367255,67.51 71.58 76
44,496,1 7 15,11.5,367251,67.05 71.13 77
45,500,6 13 15,11,367247,67.8 72.23 75
46,500,0 12 1,12,367238,68.03 74.97 72
47,500,3 9 11,11.5,367164,67.96 72.04 75
48,497,1 9 14,11.5,367099,67.05 72.04 76
49,496,1 9 13,11.5,367099,67.05 72.04 76
50,494,0 8 15,11.5,367093,66.6 71.58 77
51,498,5 14 15,11,367085,67.35 72.67 75
52,499,2 10 12,11.5,367010,67.51 72.49 75
53,498,2 10 11,11.5,367010,67.51 72.49 75
54,496,0 10 14,11.5,366912,66.6 72.49 76
55,494,0 10 13,11.5,366912,66.6 72.49 76
56,496,4 15 15,11,366893,66.91 73.11 75
57,498,1 11 12,11.5,366826,67.05 72.94 75
58,496,1 11 11,11.5,366826,67.05 72.94 75
59,500,3 11 9,11.5,366826,67.96 72.94 74
60,500,6 15 13,11,366796,67.8 73.11 74
61,500,2 12 10,11.5,366643,67.51 73.4 74
62,498,2 12 9,11.5,366643,67.51 73.4 74
63,496,0 12 12,11.5,366610,66.6 73.4 75
64,494,0 12 11,11.5,366610,66.6 73.4 75
65,498,1 13 10,11.5,366431,67.05 73.85 74
66,496,1 13 9,11.5,366431,67.05 73.85 74
67,500,3 13 7,11.5,366364,67.96 73.85 73
68,496,0 14 10,11.5,366188,66.6 74.3 74
69,494,0 14 9,11.5,366188,66.6 74.3 74
70,500,2 14 8,11.5,366154,67.51 74.3 73
71,498,2 14 7,11.5,366154,67.51 74.3 73
72,500,0 3 10,12,366105,68.03 70.81 76
73,499,0 1 12,12,366073,68.03 69.88 77
74,500,0 5 8,12,366010,68.03 71.73 75
75,500,4 14 4,11.5,365986,68.41 74.3 72
76,500,1 6 5,12,365933,68.49 72.2 74
77,498,1 15 8,11.5,365914,67.05 74.75 73
78,496,1 15 7,11.5,365914,67.05 74.75 73
79,500,0 7 6,12,365790,68.03 72.66 74
80,499,0 7 5,12,365790,68.03 72.66 74
81,500,3 15 5,11.5,365779,67.96 74.75 72
82,498,3 15 4,11.5,365779,67.96 74.75 72
83,500,1 8 3,12,365616,68.49 73.12 73
84,500,0 9 4,12,365444,68.03 73.58 73
85,499,0 9 3,12,365444,68.03 73.58 73
86,500,1 10 1,12,365172,68.49 74.05 72
