rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 14 14,21,499613,50.2 140.18 71
2,499,0 13 14,21,497431,50.2 139.57 71
3,500,0 12 15,21,495249,50.2 138.96 71
4,498,0 12 14,21,495249,50.2 138.96 71
5,499,0 15 13,21,494727,50.2 140.8 70
6,499,0 11 15,21,493067,50.2 138.35 71
7,497,0 11 14,21,493067,50.2 138.35 71
8,498,0 14 13,21,492576,50.2 140.18 70
9,500,2 14 14,20.5,492572,50.81 138.5 70
10,500,1 8 14,21,492455,50.81 136.51 71
11,500,0 15 8,21.5,492038,50.79 142.46 68
12,500,1 14 11,21,491460,50.81 140.18 69
13,500,0 5 13,21.5,491408,50.79 136.27 71
14,498,0 10 15,21,490886,50.2 137.74 71
15,496,0 10 14,21,490886,50.2 137.74 71
16,500,0 11 10,21.5,490590,50.79 139.99 69
17,497,0 13 13,21,490425,50.2 139.57 70
18,499,2 13 14,20.5,490421,50.81 137.9 70
19,499,1 7 14,21,490247,50.81 135.9 71
20,499,0 14 8,21.5,489898,50.79 141.84 68
21,500,1 10 13,21,489874,50.81 137.74 70
22,499,1 13 11,21,489314,50.81 139.57 69
23,500,0 1 15,21.5,489269,50.79 133.79 72
24,499,0 4 13,21.5,489175,50.79 135.65 71
25,500,0 7 12,21.5,488892,50.79 137.51 70
26,498,1 15 15,20.5,488834,50.2 139.11 70
27,495,1 15 14,20.5,488834,50.2 139.11 70
28,497,0 9 15,21,488704,50.2 137.12 71
29,495,0 9 14,21,488704,50.2 137.12 71
30,499,0 10 10,21.5,488420,50.79 139.37 69
31,496,0 12 13,21,488274,50.2 138.96 70
32,500,2 12 15,20.5,488270,50.81 137.29 70
33,498,2 12 14,20.5,488270,50.81 137.29 70
34,500,1 6 15,21,488039,50.81 135.29 71
35,497,1 6 14,21,488039,50.81 135.29 71
36,500,0 13 9,21.5,487759,50.79 141.22 68
37,498,0 13 8,21.5,487759,50.79 141.22 68
38,499,1 9 13,21,487697,50.81 137.12 70
39,497,0 15 12,21,487659,50.2 140.8 69
40,495,0 15 11,21,487659,50.2 140.8 69
41,499,2 15 13,20.5,487656,50.81 139.11 69
42,500,0 11 5,22,487452,51.38 141.6 67
43,500,2 3 14,21,487214,51.42 133.45 71
44,500,1 10 8,21.5,487211,51.41 139.37 68
45,500,1 12 12,21,487168,50.81 138.96 69
46,498,1 12 11,21,487168,50.81 138.96 69
47,498,0 0 15,21.5,487004,50.79 133.17 72
48,500,0 3 14,21.5,486941,50.79 135.03 71
49,498,0 3 13,21.5,486941,50.79 135.03 71
50,500,0 1 10,22,486744,51.38 135.34 70
51,496,1 14 15,20.5,486708,50.2 138.5 70
52,494,1 14 14,20.5,486708,50.2 138.5 70
53,499,0 6 12,21.5,486689,50.79 136.89 70
54,496,0 8 15,21,486522,50.2 136.51 71
55,494,0 8 14,21,486522,50.2 136.51 71
56,500,2 9 11,21,486521,51.42 137.12 69
57,499,1 15 10,21,486453,50.81 140.8 68
58,500,0 9 11,21.5,486249,50.79 138.75 69
59,498,0 9 10,21.5,486249,50.79 138.75 69
60,495,0 11 13,21,486123,50.2 138.35 70
61,499,2 11 15,20.5,486119,50.81 136.69 70
62,497,2 11 14,20.5,486119,50.81 136.69 70
63,500,1 0 13,21.5,486097,51.41 133.17 71
64,500,0 7 7,22,485971,51.38 139.1 68
