rank,cp,ivs,maxlevel,stat-product,stats
1,500,5 15 14,6.5,322233,77.49 54.01 77
2,500,6 14 14,6.5,321618,77.82 53.67 77
3,499,4 15 15,6.5,320839,77.15 54.01 77
4,498,4 15 14,6.5,320839,77.15 54.01 77
5,499,5 14 15,6.5,320232,77.49 53.67 77
6,498,5 14 14,6.5,320232,77.49 53.67 77
7,500,6 13 15,6.5,319608,77.82 53.34 77
8,499,6 13 14,6.5,319608,77.82 53.34 77
9,496,3 15 15,6.5,319444,76.82 54.01 77
10,495,3 15 14,6.5,319444,76.82 54.01 77
11,500,6 15 12,6.5,319425,77.82 54.01 76
12,499,6 15 11,6.5,319425,77.82 54.01 76
13,500,7 12 15,6.5,318967,78.16 53 77
14,499,7 12 14,6.5,318967,78.16 53 77
15,497,4 14 15,6.5,318846,77.15 53.67 77
16,496,4 14 14,6.5,318846,77.15 53.67 77
17,500,7 14 12,6.5,318810,78.16 53.67 76
18,499,7 14 11,6.5,318810,78.16 53.67 76
19,500,8 11 14,6.5,318309,78.49 52.66 77
20,498,5 13 15,6.5,318231,77.49 53.34 77
21,497,5 13 14,6.5,318231,77.49 53.34 77
22,500,8 13 11,6.5,318177,78.49 53.34 76
23,494,2 15 15,6.5,318049,76.48 54.01 77
24,493,2 15 14,6.5,318049,76.48 54.01 77
25,499,5 15 13,6.5,318049,77.49 54.01 76
26,498,5 15 12,6.5,318049,77.49 54.01 76
27,496,5 15 11,6.5,318049,77.49 54.01 76
28,500,8 15 8,6.5,317940,78.49 54.01 75
29,500,9 10 14,6.5,317633,78.83 52.33 77
30,498,6 12 15,6.5,317598,77.82 53 77
31,497,6 12 14,6.5,317598,77.82 53 77
32,500,9 12 11,6.5,317527,78.83 53 76
33,495,3 14 15,6.5,317459,76.82 53.67 77
34,494,3 14 14,6.5,317459,76.82 53.67 77
35,499,6 14 13,6.5,317441,77.82 53.67 76
36,498,6 14 12,6.5,317441,77.82 53.67 76
37,497,6 14 11,6.5,317441,77.82 53.67 76
38,500,9 14 8,6.5,317315,78.83 53.67 75
39,499,7 11 15,6.5,316948,78.16 52.66 77
40,498,7 11 14,6.5,316948,78.16 52.66 77
41,495,4 13 15,6.5,316853,77.15 53.34 77
42,494,4 13 14,6.5,316853,77.15 53.34 77
43,500,7 13 13,6.5,316817,78.16 53.34 76
44,499,7 13 12,6.5,316817,78.16 53.34 76
45,498,7 13 11,6.5,316817,78.16 53.34 76
46,496,4 15 13,6.5,316672,77.15 54.01 76
47,495,4 15 12,6.5,316672,77.15 54.01 76
48,494,4 15 11,6.5,316672,77.15 54.01 76
49,492,1 15 15,6.5,316654,76.15 54.01 77
50,491,1 15 14,6.5,316654,76.15 54.01 77
51,500,7 15 10,6.5,316581,78.16 54.01 75
52,499,7 15 9,6.5,316581,78.16 54.01 75
53,497,7 15 8,6.5,316581,78.16 54.01 75
54,500,10 15 5,6.5,316382,79.17 54.01 74
55,500,0 5 2,7,316285,78.92 52.73 76
56,499,8 10 15,6.5,316281,78.49 52.33 77
57,498,8 10 14,6.5,316281,78.49 52.33 77
58,496,5 12 15,6.5,316229,77.49 53 77
59,495,5 12 14,6.5,316229,77.49 53 77
60,500,0 3 5,7,316202,78.92 52.03 77
61,500,8 12 13,6.5,316176,78.49 53 76
62,499,8 12 12,6.5,316176,78.49 53 76
63,498,8 12 11,6.5,316176,78.49 53 76
64,493,2 14 15,6.5,316073,76.48 53.67 77
65,492,2 14 14,6.5,316073,76.48 53.67 77
66,497,5 14 13,6.5,316073,77.49 53.67 76
67,496,5 14 12,6.5,316073,77.49 53.67 76
68,495,5 14 11,6.5,316073,77.49 53.67 76
69,500,0 1 8,7,316009,78.92 51.33 78
70,500,8 14 10,6.5,315965,78.49 53.67 75
71,499,8 14 9,6.5,315965,78.49 53.67 75
72,498,8 14 8,6.5,315965,78.49 53.67 75
73,500,9 9 15,6.5,315597,78.83 51.99 77
74,499,9 9 14,6.5,315597,78.83 51.99 77
75,497,6 11 15,6.5,315588,77.82 52.66 77
76,496,6 11 14,6.5,315588,77.82 52.66 77
77,500,1 4 2,7,315580,79.27 52.38 76
78,500,9 11 12,6.5,315517,78.83 52.66 76
79,499,9 11 11,6.5,315517,78.83 52.66 76
80,493,3 13 15,6.5,315475,76.82 53.34 77
81,492,3 13 14,6.5,315475,76.82 53.34 77
82,500,1 2 5,7,315470,79.27 51.68 77
83,498,6 13 13,6.5,315457,77.82 53.34 76
84,497,6 13 12,6.5,315457,77.82 53.34 76
85,495,6 13 11,6.5,315457,77.82 53.34 76
86,500,9 13 9,6.5,315332,78.83 53.34 75
87,499,9 13 8,6.5,315332,78.83 53.34 75
88,494,3 15 13,6.5,315295,76.82 54.01 76
89,493,3 15 12,6.5,315295,76.82 54.01 76
90,492,3 15 11,6.5,315295,76.82 54.01 76
91,490,0 15 15,6.5,315259,75.81 54.01 77
92,489,0 15 14,6.5,315259,75.81 54.01 77
93,500,1 0 8,7,315248,79.27 50.99 78
94,497,6 15 10,6.5,315222,77.82 54.01 75
95,496,6 15 9,6.5,315222,77.82 54.01 75
96,495,6 15 8,6.5,315222,77.82 54.01 75
97,499,9 15 6,6.5,315041,78.83 54.01 74
98,498,9 15 5,6.5,315041,78.83 54.01 74
99,497,7 10 15,6.5,314929,78.16 52.33 77
100,496,7 10 14,6.5,314929,78.16 52.33 77
101,500,10 8 15,6.5,314895,79.17 51.66 77
102,499,10 8 14,6.5,314895,79.17 51.66 77
103,494,4 12 15,6.5,314860,77.15 53 77
104,493,4 12 14,6.5,314860,77.15 53 77
105,500,10 10 12,6.5,314842,79.17 52.33 76
106,499,10 10 11,6.5,314842,79.17 52.33 76
107,498,7 12 13,6.5,314825,78.16 53 76
108,497,7 12 12,6.5,314825,78.16 53 76
109,496,7 12 11,6.5,314825,78.16 53 76
110,495,4 14 13,6.5,314705,77.15 53.67 76
111,494,4 14 12,6.5,314705,77.15 53.67 76
112,493,4 14 11,6.5,314705,77.15 53.67 76
113,491,1 14 15,6.5,314687,76.15 53.67 77
114,489,1 14 14,6.5,314687,76.15 53.67 77
115,500,10 12 9,6.5,314682,79.17 53 75
116,499,10 12 8,6.5,314682,79.17 53 75
117,498,7 14 10,6.5,314615,78.16 53.67 75
118,497,7 14 9,6.5,314615,78.16 53.67 75
119,496,7 14 8,6.5,314615,78.16 53.67 75
120,500,10 14 6,6.5,314417,79.17 53.67 74
121,499,10 14 5,6.5,314417,79.17 53.67 74
122,498,8 9 15,6.5,314254,78.49 51.99 77
123,497,8 9 14,6.5,314254,78.49 51.99 77
124,495,5 11 15,6.5,314228,77.49 52.66 77
125,493,5 11 14,6.5,314228,77.49 52.66 77
126,500,0 4 4,7,314190,78.92 52.38 76
127,499,0 4 3,7,314190,78.92 52.38 76
128,498,0 4 2,7,314190,78.92 52.38 76
129,500,0 6 1,7,314190,78.92 53.08 75
130,499,0 6 0,7,314190,78.92 53.08 75
131,500,11 7 14,6.5,314176,79.5 51.32 77
132,499,8 11 13,6.5,314175,78.49 52.66 76
133,498,8 11 12,6.5,314175,78.49 52.66 76
134,497,8 11 11,6.5,314175,78.49 52.66 76
135,500,11 9 11,6.5,314149,79.5 51.99 76
136,491,2 13 15,6.5,314098,76.48 53.34 77
137,490,2 13 14,6.5,314098,76.48 53.34 77
138,495,5 13 13,6.5,314098,77.49 53.34 76
139,494,5 13 12,6.5,314098,77.49 53.34 76
140,493,5 13 11,6.5,314098,77.49 53.34 76
141,500,0 2 7,7,314080,78.92 51.68 77
142,499,0 2 6,7,314080,78.92 51.68 77
143,498,0 2 5,7,314080,78.92 51.68 77
144,500,11 11 8,6.5,314016,79.5 52.66 75
145,499,8 13 10,6.5,313990,78.49 53.34 75
146,498,8 13 9,6.5,313990,78.49 53.34 75
147,496,8 13 8,6.5,313990,78.49 53.34 75
148,492,2 15 13,6.5,313918,76.48 54.01 76
149,491,2 15 12,6.5,313918,76.48 54.01 76
150,490,2 15 11,6.5,313918,76.48 54.01 76
151,495,5 15 10,6.5,313864,77.49 54.01 75
152,494,5 15 9,6.5,313864,77.49 54.01 75
153,493,5 15 8,6.5,313864,77.49 54.01 75
154,500,0 0 10,7,313859,78.92 50.99 78
155,499,0 0 9,7,313859,78.92 50.99 78
156,498,0 0 8,7,313859,78.92 50.99 78
157,499,11 13 5,6.5,313776,79.5 53.34 74
158,498,8 15 7,6.5,313701,78.49 54.01 74
159,497,8 15 6,6.5,313701,78.49 54.01 74
160,496,8 15 5,6.5,313701,78.49 54.01 74
161,495,6 10 15,6.5,313578,77.82 52.33 77
162,494,6 10 14,6.5,313578,77.82 52.33 77
163,498,9 8 15,6.5,313561,78.83 51.66 77
164,497,9 8 14,6.5,313561,78.83 51.66 77
165,499,9 10 13,6.5,313508,78.83 52.33 76
166,498,9 10 12,6.5,313508,78.83 52.33 76
167,497,9 10 11,6.5,313508,78.83 52.33 76
168,499,1 5 0,7,313504,79.27 52.73 75
