rank,cp,ivs,maxlevel,stat-product,stats
1,500,8 15 15,51,346919,71.85 57.48 84
2,500,9 15 15,50,346860,72.27 57.14 84
3,500,9 14 15,50.5,343918,72.49 56.48 84
4,494,7 15 15,51,342838,71.01 57.48 84
5,498,8 15 14,51,342789,71.85 57.48 83
6,498,9 15 14,50,342731,72.27 57.14 83
7,500,10 15 15,49,342603,72.67 56.8 83
8,500,11 15 15,48,342404,73.07 56.46 83
9,497,8 14 15,51,341817,71.85 56.64 84
10,500,9 14 14,51,341722,72.7 56.64 83
11,500,10 14 14,50,341618,73.11 56.3 83
12,498,9 15 13,50.5,340740,72.49 57.32 82
13,499,9 13 15,51,340677,72.7 55.79 84
14,498,10 15 13,49.5,340638,72.9 56.98 82
15,499,10 13 15,50,340573,73.11 55.46 84
16,500,11 15 14,48.5,340467,73.3 56.64 82
17,500,10 14 15,49.5,339722,72.9 56.14 83
18,500,10 14 13,50.5,339633,73.34 56.48 82
19,499,11 14 15,48.5,339551,73.3 55.81 83
20,500,11 14 13,49.5,339487,73.74 56.14 82
21,500,11 12 15,50,339268,73.95 54.62 84
22,489,6 15 15,51,338756,70.16 57.48 84
23,492,7 15 14,51,338756,71.01 57.48 83
24,495,8 15 13,51,338659,71.85 57.48 82
25,499,10 13 14,50.5,338644,73.34 55.63 83
26,498,10 15 14,49,338475,72.67 56.8 82
27,499,9 15 12,51,338465,72.7 57.48 81
28,496,9 15 11,51,338465,72.7 57.48 81
29,498,10 15 12,50,338362,73.11 57.14 81
30,498,11 15 12,49,338190,73.51 56.8 81
31,499,10 15 10,51,338173,73.54 57.48 80
32,499,12 15 15,47,338015,73.45 56.12 82
33,500,12 15 13,48,337951,73.9 56.46 81
34,491,7 14 15,51,337796,71.01 56.64 84
35,494,8 14 14,51,337748,71.85 56.64 83
36,499,13 15 15,46,337684,73.83 55.78 82
37,497,9 14 13,51,337604,72.7 56.64 82
38,498,10 12 15,50.5,337531,73.34 54.79 84
39,498,10 14 11,51,337365,73.54 56.64 81
40,500,11 14 14,49,337331,73.51 55.97 82
41,500,11 14 12,50,337218,73.95 56.3 81
42,499,12 14 14,48,337092,73.9 55.63 82
43,500,12 14 12,49,337003,74.34 55.97 81
44,493,8 13 15,51,336716,71.85 55.79 84
45,496,9 13 14,51,336621,72.7 55.79 83
46,499,10 13 13,51,336433,73.54 55.79 82
47,498,11 13 15,49,336348,73.51 55.13 83
48,498,11 15 13,48.5,336315,73.3 56.64 81
49,499,10 15 11,50.5,336295,73.34 57.32 80
50,499,11 13 13,50,336286,73.95 55.46 82
51,500,11 11 15,50.5,336159,74.18 53.95 84
52,500,11 13 11,51,336150,74.39 55.79 81
53,499,11 15 11,49.5,336150,73.74 56.98 80
54,498,12 13 15,48,336110,73.9 54.8 83
55,500,12 15 14,47.5,336079,73.69 56.3 81
56,499,11 15 9,50.5,335908,74.18 57.32 79
57,500,13 15 14,46.5,335776,74.07 55.96 81
58,495,9 12 15,51,335515,72.7 54.94 84
59,498,10 14 12,50.5,335491,73.34 56.48 81
60,498,10 12 14,51,335376,73.54 54.94 83
61,498,11 12 14,50,335229,73.95 54.62 83
62,499,12 14 15,47.5,335225,73.69 55.48 82
63,498,11 14 10,50.5,335158,74.18 56.48 80
64,500,12 14 13,48.5,335135,74.14 55.81 81
65,500,12 12 15,49,335016,74.34 54.29 83
66,498,13 14 15,46.5,334923,74.07 55.14 82
67,499,13 14 13,47.5,334857,74.52 55.48 81
68,500,13 12 15,48,334737,74.73 53.97 83
69,486,6 15 14,51,334723,70.16 57.48 83
70,483,5 15 15,51,334675,69.31 57.48 84
71,489,7 15 13,51,334675,71.01 57.48 82
72,493,8 15 12,51,334529,71.85 57.48 81
73,490,8 15 11,51,334529,71.85 57.48 81
74,499,11 13 14,49.5,334420,73.74 55.31 82
75,493,9 15 10,51,334286,72.7 57.48 80
76,500,11 13 12,50.5,334283,74.18 55.63 81
77,499,12 13 14,48.5,334208,74.14 54.98 82
78,497,10 11 15,51,334195,73.54 54.1 84
79,500,12 13 12,49.5,334095,74.58 55.31 81
80,500,11 11 14,51,334012,74.39 54.1 83
81,497,10 15 9,51,333946,73.54 57.48 79
82,500,12 13 10,50.5,333908,75.02 55.63 80
83,500,12 11 14,50,333823,74.79 53.78 83
84,499,11 15 10,50,333800,73.95 57.14 79
85,498,12 15 12,48,333778,73.9 56.46 80
86,485,6 14 15,51,333775,70.16 56.64 84
87,488,7 14 14,51,333775,71.01 56.64 83
88,492,8 14 13,51,333679,71.85 56.64 82
89,500,14 13 15,46.5,333590,74.89 54.32 82
90,499,12 15 10,49,333588,74.34 56.8 79
91,500,11 15 8,51,333509,74.39 57.48 78
92,495,9 14 12,51,333487,72.7 56.64 81
93,492,9 14 11,51,333487,72.7 56.64 81
94,500,13 15 13,47,333476,74.28 56.12 80
95,497,13 15 12,47,333476,74.28 56.12 80
96,499,12 15 8,50,333320,74.79 57.14 78
97,499,11 12 13,50.5,333282,74.18 54.79 82
98,495,10 14 10,51,333200,73.54 56.64 80
99,498,14 15 15,45,333173,74.19 55.44 81
100,499,14 15 13,46,333108,74.65 55.78 80
101,498,12 12 13,49.5,333095,74.58 54.47 82
102,498,11 14 11,50,333055,73.95 56.3 80
103,500,14 15 11,47,332966,75.1 56.12 79
104,500,13 12 14,48.5,332843,74.97 54.14 82
105,498,12 14 11,49,332843,74.34 55.97 80
106,499,11 14 9,51,332817,74.39 56.64 79
107,499,11 10 15,51,332754,74.39 53.25 84
108,487,7 13 15,51,332754,71.01 55.79 84
109,498,15 15 15,44,332715,74.55 55.1 81
110,490,8 13 14,51,332707,71.85 55.79 83
111,499,13 14 14,47,332679,74.28 55.3 81
112,498,12 10 15,50,332566,74.79 52.94 84
113,494,9 13 13,51,332566,72.7 55.79 82
114,500,13 14 12,48,332565,74.73 55.63 80
115,500,13 14 10,49,332375,75.18 55.97 79
116,497,10 13 12,51,332330,73.54 55.79 81
117,494,10 13 11,51,332330,73.54 55.79 81
118,498,14 14 14,46,332312,74.65 54.96 81
119,499,14 14 12,47,332223,75.1 55.3 80
120,497,11 13 10,51,332000,74.39 55.79 80
121,499,12 13 13,49,331973,74.34 55.13 81
122,499,12 11 15,49.5,331970,74.58 53.63 83
123,500,12 11 13,50.5,331884,75.02 53.95 82
124,500,15 14 15,45,331881,75.01 54.63 81
125,500,12 13 11,50,331812,74.79 55.46 80
126,498,13 13 15,47,331759,74.28 54.47 82
127,498,12 15 11,48.5,331738,74.14 56.64 79
128,499,13 11 15,48.5,331719,74.97 53.31 83
129,498,13 13 13,48,331696,74.73 54.8 81
130,500,13 11 13,49.5,331656,75.42 53.63 82
131,489,8 12 15,51,331614,71.85 54.94 84
132,500,12 13 9,51,331575,75.23 55.79 79
133,499,13 13 11,49,331559,75.18 55.13 80
134,492,9 12 14,51,331521,72.7 54.94 83
135,499,12 15 9,49.5,331470,74.58 56.98 78
136,498,13 15 11,47.5,331464,74.52 56.3 79
137,496,10 12 13,51,331335,73.54 54.94 82
138,499,14 15 14,45.5,331267,74.44 55.63 80
139,499,13 15 9,48.5,331219,74.97 56.64 78
140,500,12 9 15,51,331194,75.23 52.41 84
141,500,12 15 7,50.5,331125,75.02 57.32 77
142,500,14 15 12,46.5,331124,74.89 55.96 79
143,499,11 12 12,51,331057,74.39 54.94 81
144,496,11 12 11,51,331057,74.39 54.94 81
145,498,12 12 14,49,330980,74.34 54.29 82
146,500,13 9 15,50,330965,75.63 52.1 84
147,500,15 13 14,46,330949,75.47 54.14 81
148,499,13 15 7,49.5,330897,75.42 56.98 77
149,499,12 12 12,50,330869,74.79 54.62 81
150,498,15 15 14,44.5,330840,74.8 55.29 80
151,498,12 14 10,49.5,330783,74.58 56.14 79
152,499,15 15 12,45.5,330721,75.26 55.63 79
153,480,5 15 14,51,330691,69.31 57.48 83
154,484,6 15 13,51,330691,70.16 57.48 82
155,499,12 12 10,51,330685,75.23 54.94 80
156,499,12 10 14,50.5,330682,75.02 53.11 83
157,498,13 12 12,49,330617,75.18 54.29 81
158,477,4 15 15,51,330593,68.47 57.48 84
159,487,7 15 12,51,330593,71.01 57.48 81
160,484,7 15 11,51,330593,71.01 57.48 81
161,500,13 14 11,48.5,330532,74.97 55.81 79
