rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 14 14,7.5,378740,65.97 71.77 80
2,500,1 15 11,7.5,377960,66.33 72.13 79
3,500,1 12 14,7.5,376974,66.33 71.04 80
4,500,0 13 15,7.5,376827,65.97 71.4 80
5,498,0 13 14,7.5,376827,65.97 71.4 80
6,500,2 13 11,7.5,376206,66.69 71.4 79
7,500,1 14 12,7.5,376060,66.33 71.77 79
8,499,1 14 11,7.5,376060,66.33 71.77 79
9,500,0 15 13,7.5,375894,65.97 72.13 79
10,499,0 15 12,7.5,375894,65.97 72.13 79
11,498,0 15 11,7.5,375894,65.97 72.13 79
12,500,2 10 14,7.5,375166,66.69 70.32 80
13,500,1 11 15,7.5,375051,66.33 70.68 80
14,499,1 11 14,7.5,375051,66.33 70.68 80
15,498,0 12 15,7.5,374914,65.97 71.04 80
16,497,0 12 14,7.5,374914,65.97 71.04 80
17,500,2 12 12,7.5,374296,66.69 71.04 79
18,499,2 12 11,7.5,374296,66.69 71.04 79
19,500,1 13 13,7.5,374161,66.33 71.4 79
20,499,1 13 12,7.5,374161,66.33 71.4 79
21,498,1 13 11,7.5,374161,66.33 71.4 79
22,499,0 14 13,7.5,374005,65.97 71.77 79
23,497,0 14 12,7.5,374005,65.97 71.77 79
24,496,0 14 11,7.5,374005,65.97 71.77 79
25,499,2 14 9,7.5,373329,66.69 71.77 78
26,500,3 8 14,7.5,373316,67.05 69.59 80
27,500,2 9 15,7.5,373232,66.69 69.95 80
28,499,2 9 14,7.5,373232,66.69 69.95 80
29,499,1 15 10,7.5,373175,66.33 72.13 78
30,498,1 15 9,7.5,373175,66.33 72.13 78
31,498,1 10 15,7.5,373127,66.33 70.32 80
32,497,1 10 14,7.5,373127,66.33 70.32 80
33,497,0 11 15,7.5,373001,65.97 70.68 80
34,496,0 11 14,7.5,373001,65.97 70.68 80
35,500,3 10 12,7.5,372490,67.05 70.32 79
36,499,3 10 11,7.5,372490,67.05 70.32 79
37,500,3 15 6,7.5,372417,67.05 72.13 77
38,500,2 11 13,7.5,372386,66.69 70.68 79
39,499,2 11 12,7.5,372386,66.69 70.68 79
40,498,2 11 11,7.5,372386,66.69 70.68 79
41,499,1 12 13,7.5,372262,66.33 71.04 79
42,498,1 12 12,7.5,372262,66.33 71.04 79
43,496,1 12 11,7.5,372262,66.33 71.04 79
44,497,0 13 13,7.5,372116,65.97 71.4 79
45,496,0 13 12,7.5,372116,65.97 71.4 79
46,495,0 13 11,7.5,372116,65.97 71.4 79
47,500,3 12 9,7.5,371567,67.05 71.04 78
48,499,2 13 10,7.5,371444,66.69 71.4 78
49,498,2 13 9,7.5,371444,66.69 71.4 78
50,500,4 6 14,7.5,371425,67.42 68.87 80
51,500,3 7 15,7.5,371372,67.05 69.23 80
52,499,3 7 14,7.5,371372,67.05 69.23 80
53,498,1 14 10,7.5,371300,66.33 71.77 78
54,497,1 14 9,7.5,371300,66.33 71.77 78
55,499,2 8 15,7.5,371299,66.69 69.59 80
56,497,2 8 14,7.5,371299,66.69 69.59 80
57,497,1 9 15,7.5,371204,66.33 69.95 80
58,496,1 9 14,7.5,371204,66.33 69.95 80
59,496,0 15 10,7.5,371136,65.97 72.13 78
60,495,0 15 9,7.5,371136,65.97 72.13 78
61,496,0 10 15,7.5,371088,65.97 70.32 80
