rank,cp,ivs,maxlevel,stat-product,stats
1,499,0 13 5,8,321334,77.67 65.67 63
2,499,0 5 13,8,321246,77.67 62.66 66
3,500,1 12 5,8,321041,78.05 65.29 63
4,500,1 4 13,8,320865,78.05 62.29 66
5,499,0 10 8,8,320838,77.67 64.54 64
6,500,1 9 8,8,320514,78.05 64.17 64
7,499,0 7 11,8,320168,77.67 63.41 65
8,499,8 15 14,7.5,319967,77.93 64.16 64
9,499,0 15 3,8,319847,77.67 66.42 62
10,500,1 6 11,8,319811,78.05 63.04 65
11,500,9 14 14,7.5,319640,78.29 63.79 64
12,500,1 14 3,8,319577,78.05 66.04 62
13,499,0 12 6,8,319498,77.67 65.29 63
14,498,0 12 5,8,319498,77.67 65.29 63
15,499,0 4 14,8,319323,77.67 62.29 66
16,498,0 4 13,8,319323,77.67 62.29 66
17,500,1 11 6,8,319196,78.05 64.92 63
18,499,1 11 5,8,319196,78.05 64.92 63
19,499,0 9 9,8,318973,77.67 64.17 64
20,498,0 9 8,8,318973,77.67 64.17 64
21,500,1 3 14,8,318932,78.05 61.91 66
22,499,1 3 13,8,318932,78.05 61.91 66
23,500,2 10 5,8,318877,78.42 64.54 63
24,500,1 8 9,8,318640,78.05 63.79 64
25,499,1 8 8,8,318640,78.05 63.79 64
26,499,2 2 13,8,318523,78.42 61.54 66
27,499,7 15 15,7.5,318479,77.57 64.16 64
28,497,7 15 14,7.5,318479,77.57 64.16 64
29,500,2 7 8,8,318288,78.42 63.41 64
30,499,0 6 12,8,318273,77.67 63.04 65
31,498,0 6 11,8,318273,77.67 63.04 65
32,499,8 14 15,7.5,318160,77.93 63.79 64
33,498,8 14 14,7.5,318160,77.93 63.79 64
34,500,3 1 13,8,318096,78.8 61.16 66
35,499,0 14 4,8,318040,77.67 66.04 62
36,498,0 14 3,8,318040,77.67 66.04 62
37,500,1 5 12,8,317907,78.05 62.66 65
38,499,1 5 11,8,317907,78.05 62.66 65
39,500,10 15 11,7.5,317898,78.65 64.16 63
40,500,9 13 15,7.5,317823,78.29 63.43 64
41,499,9 13 14,7.5,317823,78.29 63.43 64
42,500,1 13 4,8,317761,78.05 65.67 62
43,499,1 13 3,8,317761,78.05 65.67 62
44,499,2 15 0,8,317729,78.42 66.42 61
45,499,0 11 7,8,317661,77.67 64.92 63
46,498,0 11 6,8,317661,77.67 64.92 63
47,496,0 11 5,8,317661,77.67 64.92 63
48,500,2 4 11,8,317523,78.42 62.29 65
49,500,10 12 14,7.5,317470,78.65 63.07 64
50,500,2 12 3,8,317464,78.42 65.29 62
51,500,3 14 0,8,317446,78.8 66.04 61
52,499,0 3 15,8,317399,77.67 61.91 66
53,498,0 3 14,8,317399,77.67 61.91 66
54,496,0 3 13,8,317399,77.67 61.91 66
55,500,1 10 7,8,317351,78.05 64.54 63
56,499,1 10 6,8,317351,78.05 64.54 63
57,497,1 10 5,8,317351,78.05 64.54 63
58,499,0 8 10,8,317108,77.67 63.79 64
59,498,0 8 9,8,317108,77.67 63.79 64
60,496,0 8 8,8,317108,77.67 63.79 64
61,500,2 9 6,8,317023,78.42 64.17 63
62,498,2 9 5,8,317023,78.42 64.17 63
