rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 15 12,11.5,407428,61.16 76.57 87
2,500,0 13 14,11.5,407234,61.16 75.66 88
3,500,1 15 9,11.5,405728,61.62 76.57 86
4,500,1 11 14,11.5,405337,61.62 74.75 88
5,500,0 14 13,11.5,405017,61.16 76.11 87
6,498,0 14 12,11.5,405017,61.16 76.11 87
7,499,0 12 15,11.5,404795,61.16 75.21 88
8,498,0 12 14,11.5,404795,61.16 75.21 88
9,500,2 13 9,11.5,403874,62.07 75.66 86
10,500,1 14 10,11.5,403327,61.62 76.11 86
11,498,1 14 9,11.5,403327,61.62 76.11 86
12,500,1 12 13,11.5,403160,61.62 75.21 87
13,499,1 12 12,11.5,403160,61.62 75.21 87
14,500,1 10 15,11.5,402881,61.62 74.3 88
15,499,1 10 14,11.5,402881,61.62 74.3 88
16,499,0 15 11,11.5,402745,61.16 76.57 86
17,497,0 15 10,11.5,402745,61.16 76.57 86
18,496,0 15 9,11.5,402745,61.16 76.57 86
19,498,0 13 13,11.5,402606,61.16 75.66 87
20,497,0 13 12,11.5,402606,61.16 75.66 87
21,498,0 11 15,11.5,402357,61.16 74.75 88
22,497,0 11 14,11.5,402357,61.16 74.75 88
23,499,2 14 7,11.5,401568,62.07 76.11 85
24,500,2 12 10,11.5,401456,62.07 75.21 86
25,499,2 12 9,11.5,401456,62.07 75.21 86
26,500,2 10 12,11.5,401231,62.07 74.3 87
27,498,1 15 8,11.5,401010,61.62 76.57 85
28,497,1 15 7,11.5,401010,61.62 76.57 85
29,499,1 13 11,11.5,400926,61.62 75.66 86
30,498,1 13 10,11.5,400926,61.62 75.66 86
31,497,1 13 9,11.5,400926,61.62 75.66 86
32,499,2 8 14,11.5,400894,62.07 73.4 88
33,499,1 11 13,11.5,400731,61.62 74.75 87
34,498,1 11 12,11.5,400731,61.62 74.75 87
35,500,0 9 3,12,400612,62.48 75.44 85
36,498,1 9 15,11.5,400424,61.62 73.85 88
37,497,1 9 14,11.5,400424,61.62 73.85 88
38,497,0 14 11,11.5,400362,61.16 76.11 86
39,496,0 14 10,11.5,400362,61.16 76.11 86
40,495,0 14 9,11.5,400362,61.16 76.11 86
41,500,0 7 5,12,400351,62.48 74.51 86
42,497,0 12 13,11.5,400195,61.16 75.21 87
43,495,0 12 12,11.5,400195,61.16 75.21 87
44,499,0 5 7,12,399975,62.48 73.58 87
45,496,0 10 15,11.5,399918,61.16 74.3 88
