rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 2 10,8,411490,60.79 76.92 88
2,500,5 15 14,7.5,411326,60.53 79.02 86
3,499,5 15 13,7.5,411326,60.53 79.02 86
4,500,0 9 2,8,411034,60.79 79.55 85
5,500,0 4 8,8,410783,60.79 77.67 87
6,499,0 4 7,8,410783,60.79 77.67 87
7,500,0 11 0,8,410030,60.79 80.3 84
8,500,6 13 13,7.5,409992,60.89 78.29 86
9,500,0 6 5,8,409984,60.79 78.42 86
10,500,0 1 11,8,409483,60.79 76.55 88
11,499,0 1 10,8,409483,60.79 76.55 88
12,500,5 14 15,7.5,409439,60.53 78.65 86
13,499,5 14 14,7.5,409439,60.53 78.65 86
14,498,5 14 13,7.5,409439,60.53 78.65 86
15,500,1 2 7,8,409325,61.16 76.92 87
16,500,0 8 3,8,409095,60.79 79.17 85
17,499,0 8 2,8,409095,60.79 79.17 85
18,500,6 15 11,7.5,408977,60.89 79.02 85
19,499,6 15 10,7.5,408977,60.89 79.02 85
20,498,4 15 15,7.5,408863,60.17 79.02 86
21,497,4 15 14,7.5,408863,60.17 79.02 86
22,496,4 15 13,7.5,408863,60.17 79.02 86
23,500,0 3 9,8,408798,60.79 77.3 87
24,499,0 3 8,8,408798,60.79 77.3 87
25,498,0 3 7,8,408798,60.79 77.3 87
26,500,1 4 5,8,408568,61.16 77.67 86
27,500,0 10 1,8,408114,60.79 79.93 84
28,499,0 10 0,8,408114,60.79 79.93 84
29,500,6 12 14,7.5,408094,60.89 77.93 86
30,499,6 12 13,7.5,408094,60.89 77.93 86
31,499,0 5 6,8,408023,60.79 78.05 86
32,498,0 5 5,8,408023,60.79 78.05 86
33,500,1 6 3,8,407718,61.16 78.42 85
34,499,1 6 2,8,407718,61.16 78.42 85
35,500,7 13 10,7.5,407637,61.26 78.29 85
36,499,5 13 15,7.5,407552,60.53 78.29 86
37,498,5 13 14,7.5,407552,60.53 78.29 86
38,497,5 13 13,7.5,407552,60.53 78.29 86
39,500,0 0 12,8,407475,60.79 76.17 88
40,499,0 0 11,8,407475,60.79 76.17 88
41,498,0 0 10,8,407475,60.79 76.17 88
42,500,1 1 8,8,407328,61.16 76.55 87
43,499,1 1 7,8,407328,61.16 76.55 87
44,500,0 7 4,8,407156,60.79 78.8 85
45,499,0 7 3,8,407156,60.79 78.8 85
46,498,0 7 2,8,407156,60.79 78.8 85
47,500,6 14 12,7.5,407101,60.89 78.65 85
48,499,6 14 11,7.5,407101,60.89 78.65 85
49,498,6 14 10,7.5,407101,60.89 78.65 85
50,497,4 14 15,7.5,406987,60.17 78.65 86
51,496,4 14 14,7.5,406987,60.17 78.65 86
52,495,4 14 13,7.5,406987,60.17 78.65 86
53,499,0 2 9,8,406814,60.79 76.92 87
54,498,0 2 8,8,406814,60.79 76.92 87
55,497,0 2 7,8,406814,60.79 76.92 87
56,500,1 8 0,8,406777,61.16 79.17 84
57,500,7 10 14,7.5,406705,61.26 77.2 86
58,499,7 10 13,7.5,406705,61.26 77.2 86
59,500,1 3 6,8,406594,61.16 77.3 86
60,499,1 3 5,8,406594,61.16 77.3 86
61,500,7 15 8,7.5,406571,61.26 79.02 84
62,499,7 15 7,7.5,406571,61.26 79.02 84
63,498,5 15 12,7.5,406543,60.53 79.02 85
64,497,5 15 11,7.5,406543,60.53 79.02 85
65,496,5 15 10,7.5,406543,60.53 79.02 85
66,495,3 15 15,7.5,406399,59.81 79.02 86
67,494,3 15 14,7.5,406399,59.81 79.02 86
68,493,3 15 13,7.5,406399,59.81 79.02 86
69,500,2 4 2,8,406294,61.54 77.67 85
70,500,8 11 10,7.5,406252,61.62 77.57 85
71,499,0 9 1,8,406198,60.79 79.55 84
72,498,0 9 0,8,406198,60.79 79.55 84
73,500,6 11 15,7.5,406196,60.89 77.57 86
74,499,6 11 14,7.5,406196,60.89 77.57 86
75,498,6 11 13,7.5,406196,60.89 77.57 86
76,498,0 4 6,8,406061,60.79 77.67 86
77,497,0 4 5,8,406061,60.79 77.67 86
78,500,1 5 4,8,405768,61.16 78.05 85
79,499,1 5 3,8,405768,61.16 78.05 85
80,498,1 5 2,8,405768,61.16 78.05 85
81,500,7 12 11,7.5,405750,61.26 77.93 85
82,499,7 12 10,7.5,405750,61.26 77.93 85
83,498,5 12 15,7.5,405665,60.53 77.93 86
84,497,5 12 14,7.5,405665,60.53 77.93 86
85,496,5 12 13,7.5,405665,60.53 77.93 86
86,500,2 6 0,8,405394,61.54 78.42 84
87,500,1 0 9,8,405332,61.16 76.17 87
88,499,1 0 8,8,405332,61.16 76.17 87
89,498,1 0 7,8,405332,61.16 76.17 87
90,500,8 8 13,7.5,405270,61.62 76.48 86
91,499,6 13 12,7.5,405225,60.89 78.29 85
92,498,6 13 11,7.5,405225,60.89 78.29 85
93,497,6 13 10,7.5,405225,60.89 78.29 85
94,499,8 13 7,7.5,405225,61.62 78.29 84
95,499,0 6 4,8,405217,60.79 78.42 85
96,497,0 6 3,8,405217,60.79 78.42 85
97,496,0 6 2,8,405217,60.79 78.42 85
98,500,2 1 5,8,405117,61.54 76.55 86
99,496,4 13 15,7.5,405111,60.17 78.29 86
100,495,4 13 14,7.5,405111,60.17 78.29 86
101,494,4 13 13,7.5,405111,60.17 78.29 86
102,499,1 7 1,8,404850,61.16 78.8 84
103,498,1 7 0,8,404850,61.16 78.8 84
104,498,0 1 9,8,404829,60.79 76.55 87
105,497,0 1 8,8,404829,60.79 76.55 87
106,496,0 1 7,8,404829,60.79 76.55 87
107,500,7 9 15,7.5,404795,61.26 76.84 86
108,499,7 9 14,7.5,404795,61.26 76.84 86
109,498,7 9 13,7.5,404795,61.26 76.84 86
110,500,7 14 9,7.5,404706,61.26 78.65 84
111,499,7 14 8,7.5,404706,61.26 78.65 84
112,498,7 14 7,7.5,404706,61.26 78.65 84
113,497,5 14 12,7.5,404678,60.53 78.65 85
114,496,5 14 11,7.5,404678,60.53 78.65 85
115,495,5 14 10,7.5,404678,60.53 78.65 85
116,500,9 14 4,7.5,404621,61.98 78.65 83
117,499,1 2 6,8,404620,61.16 76.92 86
118,498,1 2 5,8,404620,61.16 76.92 86
119,494,3 14 15,7.5,404535,59.81 78.65 86
120,493,3 14 14,7.5,404535,59.81 78.65 86
121,492,3 14 13,7.5,404535,59.81 78.65 86
122,500,8 10 11,7.5,404354,61.62 77.2 85
123,499,8 10 10,7.5,404354,61.62 77.2 85
124,500,2 3 3,8,404331,61.54 77.3 85
125,499,2 3 2,8,404331,61.54 77.3 85
126,499,6 10 15,7.5,404298,60.89 77.2 86
127,497,6 10 14,7.5,404298,60.89 77.2 86
128,496,6 10 13,7.5,404298,60.89 77.2 86
129,498,0 8 1,8,404282,60.79 79.17 84
130,496,0 8 0,8,404282,60.79 79.17 84
131,498,6 15 9,7.5,404166,60.89 79.02 84
132,497,6 15 8,7.5,404166,60.89 79.02 84
133,496,6 15 7,7.5,404166,60.89 79.02 84
134,495,4 15 12,7.5,404108,60.17 79.02 85
135,494,4 15 11,7.5,404108,60.17 79.02 85
136,493,4 15 10,7.5,404108,60.17 79.02 85
137,500,8 15 5,7.5,404108,61.62 79.02 83
138,499,8 15 4,7.5,404108,61.62 79.02 83
139,497,0 3 6,8,404099,60.79 77.3 86
140,496,0 3 5,8,404099,60.79 77.3 86
