rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 14 14,15,313939,79.16 54.33 73
2,500,1 13 14,15,312982,79.68 53.81 73
3,500,0 15 13,15,312588,79.16 54.84 72
4,498,0 15 12,15,312588,79.16 54.84 72
5,499,1 14 12,15,311662,79.68 54.33 72
6,499,0 13 15,15,310949,79.16 53.81 73
7,497,0 13 14,15,310949,79.16 53.81 73
8,500,0 11 9,15.5,310814,80.47 53.65 72
9,500,2 13 12,15,310699,80.2 53.81 72
10,500,1 15 11,15,310261,79.68 54.84 71
11,498,1 15 10,15,310261,79.68 54.84 71
12,500,4 15 15,14.5,310073,79.87 53.92 72
13,498,4 15 14,14.5,310073,79.87 53.92 72
14,500,0 8 13,15.5,310052,80.47 52.07 74
15,500,1 12 15,15,309972,79.68 53.29 73
16,498,1 12 14,15,309972,79.68 53.29 73
17,498,0 14 13,15,309639,79.16 54.33 72
18,496,0 14 12,15,309639,79.16 54.33 72
19,500,0 15 4,15.5,309544,80.47 55.75 69
20,500,0 12 8,15.5,309502,80.47 54.17 71
21,499,0 12 7,15.5,309502,80.47 54.17 71
22,499,2 14 10,15,309329,80.2 54.33 71
23,499,5 14 14,14.5,309104,80.37 53.41 72
24,499,2 11 14,15,308956,80.2 52.77 73
25,500,0 9 12,15.5,308951,80.47 52.59 73
26,498,0 9 11,15.5,308951,80.47 52.59 73
27,500,1 7 13,15.5,308926,81 51.54 74
28,499,1 13 13,15,308694,79.68 53.81 72
29,497,1 13 12,15,308694,79.68 53.81 72
30,499,1 11 7,15.5,308500,81 53.65 71
31,500,3 13 10,15,308360,80.71 53.81 71
32,497,0 15 11,15,308246,79.16 54.84 71
33,495,0 15 10,15,308246,79.16 54.84 71
34,499,0 13 6,15.5,308105,80.47 54.7 70
35,500,6 13 14,14.5,308098,80.88 52.9 72
36,497,3 15 15,14.5,308098,79.36 53.92 72
37,495,3 15 14,14.5,308098,79.36 53.92 72
38,497,0 12 15,15,307959,79.16 53.29 73
39,495,0 12 14,15,307959,79.16 53.29 73
40,500,3 10 14,15,307901,80.71 52.26 73
41,498,0 6 15,15.5,307893,80.47 51.02 75
42,500,2 15 9,15,307877,80.2 54.84 70
43,498,2 15 8,15,307877,80.2 54.84 70
44,499,1 8 11,15.5,307861,81 52.07 73
45,499,0 10 10,15.5,307766,80.47 53.12 72
