rank,cp,ivs,maxlevel,stat-product,stats
1,499,0 15 13,28,364490,68.57 56.55 94
2,500,0 14 15,28,363763,68.57 55.84 95
3,500,0 13 12,28.5,361725,69.18 55.63 94
4,499,1 15 15,27.5,361670,68.65 56.04 94
5,498,0 15 12,28,360612,68.57 56.55 93
6,499,0 11 15,28.5,359949,69.18 54.2 96
7,498,0 14 14,28,359934,68.57 55.84 94
8,496,0 14 13,28,359934,68.57 55.84 94
9,500,1 14 12,28,359776,69.27 55.84 93
10,499,0 15 8,28.5,359160,69.18 57.05 91
11,497,0 13 15,28,359158,68.57 55.14 95
12,500,1 13 14,28,359041,69.27 55.14 94
13,498,1 13 13,28,359041,69.27 55.14 94
14,500,0 11 11,29,358635,69.78 54.67 94
15,499,0 14 10,28.5,358568,69.18 56.34 92
16,500,3 15 15,27,358485,69.41 55.53 93
17,498,3 15 14,27,358485,69.41 55.53 93
18,499,1 12 15,28,358209,69.27 54.43 95
19,500,2 12 13,28,358055,69.98 54.43 94
20,494,0 15 15,27.5,357980,67.95 56.04 94
21,498,0 13 11,28.5,357877,69.18 55.63 93
22,497,1 15 14,27.5,357823,68.65 56.04 93
23,496,1 15 13,27.5,357823,68.65 56.04 93
24,499,2 15 12,27.5,357587,69.35 56.04 92
25,500,4 14 14,27,357544,70.11 54.84 93
26,499,0 15 4,29,357430,69.78 57.55 89
27,500,3 15 10,27.5,357273,70.05 56.04 91
28,496,1 14 15,27.5,357149,68.65 55.34 94
29,499,0 12 13,28.5,357088,69.18 54.91 94
30,497,0 12 12,28.5,357088,69.18 54.91 94
31,499,2 14 14,27.5,356955,69.35 55.34 93
32,498,2 14 13,27.5,356955,69.35 55.34 93
33,500,1 12 11,28.5,356931,69.89 54.91 93
34,500,0 14 6,29,356928,69.78 56.83 90
35,496,0 15 11,28,356735,68.57 56.55 92
36,499,0 9 14,29,356627,69.78 53.24 96
37,499,1 15 10,28,356495,69.27 56.55 91
38,497,1 15 9,28,356495,69.27 56.55 91
39,499,0 13 7,29,356325,69.78 56.11 91
40,498,2 13 15,27.5,356227,69.35 54.64 94
41,497,0 11 14,28.5,356200,69.18 54.2 95
42,500,2 15 8,28,356175,69.98 56.55 90
43,494,0 14 12,28,356105,68.57 55.84 93
44,499,1 11 12,28.5,356084,69.89 54.2 94
45,499,3 13 13,27.5,355997,70.05 54.64 93
46,498,1 14 11,28,355907,69.27 55.84 92
47,499,2 14 9,28,355631,69.98 55.84 91
48,500,0 12 9,29,355623,69.78 55.39 92
49,498,0 12 8,29,355623,69.78 55.39 92
50,498,0 8 15,29,355472,69.78 52.52 97
51,500,0 15 0,29.5,355423,70.38 58.05 87
52,495,0 13 14,28,355378,68.57 55.14 94
53,493,0 13 13,28,355378,68.57 55.14 94
54,496,1 13 12,28,355222,69.27 55.14 93
55,500,0 9 10,29.5,355219,70.38 53.69 94
56,496,0 10 15,28.5,355213,69.18 53.49 96
57,497,0 15 7,28.5,355213,69.18 57.05 90
58,500,3 12 15,27.5,355212,70.05 53.94 94
59,499,1 10 14,28.5,355137,69.89 53.49 95
60,499,5 15 14,26.5,355023,70.14 55.01 92
61,500,2 13 11,28,354988,69.98 55.14 92
62,495,2 15 15,27,354900,68.72 55.53 93
63,493,2 15 14,27,354900,68.72 55.53 93
64,500,1 15 6,28.5,354887,69.89 57.05 89
65,498,1 15 5,28.5,354887,69.89 57.05 89
66,498,0 11 10,29,354819,69.78 54.67 93
67,498,0 14 9,28.5,354670,69.18 56.34 91
