rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 15 10,24.5,386519,64.8 61.49 97
2,499,0 15 15,24,386436,64.13 60.86 99
3,500,1 15 13,24,386436,64.79 60.86 98
4,500,0 13 13,24.5,386005,64.8 60.17 99
5,499,0 15 9,24.5,382535,64.8 61.49 96
6,497,0 15 14,24,382533,64.13 60.86 98
7,495,0 15 13,24,382533,64.13 60.86 98
8,499,1 15 12,24,382493,64.79 60.86 97
9,500,1 15 7,24.5,382413,65.46 61.49 95
10,500,2 15 10,24,382373,65.44 60.86 96
11,499,0 14 11,24.5,382363,64.8 60.83 97
12,498,0 14 10,24.5,382363,64.8 60.83 97
13,496,0 14 15,24,382281,64.13 60.21 99
14,499,1 14 14,24,382281,64.79 60.21 98
15,498,1 14 13,24,382281,64.79 60.21 98
16,500,0 15 4,25,382211,65.46 62.12 94
17,498,2 15 15,23.5,382205,64.76 60.23 98
18,498,0 13 12,24.5,382106,64.8 60.17 98
19,500,3 15 13,23.5,382088,65.41 60.23 97
20,500,1 13 10,24.5,382066,65.46 60.17 97
21,498,1 13 15,24,381984,64.79 59.55 99
22,500,0 13 7,25,381949,65.46 60.78 96
23,500,2 13 13,24,381945,65.44 59.55 98
24,500,3 14 15,23.5,381876,65.41 59.58 98
25,499,0 12 14,24.5,381763,64.8 59.51 99
26,497,0 12 13,24.5,381763,64.8 59.51 99
27,500,2 12 15,24,381602,65.44 58.9 99
28,500,1 11 13,24.5,381374,65.46 58.85 99
29,500,0 11 10,25,381337,65.46 59.45 98
30,498,0 11 15,24.5,381335,64.8 58.85 100
31,500,0 10 12,25,380900,65.46 58.78 99
32,500,1 10 15,24.5,380898,65.46 58.19 100
33,499,0 9 13,25,380375,65.46 58.11 100
34,499,0 8 15,25,379763,65.46 57.44 101
35,494,0 15 12,24,378629,64.13 60.86 97
36,497,0 15 8,24.5,378550,64.8 61.49 95
37,495,0 15 7,24.5,378550,64.8 61.49 95
38,497,1 15 11,24,378549,64.79 60.86 96
39,495,1 15 10,24,378549,64.79 60.86 96
