rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 13 7,6.5,322961,77.49 58.7 71
2,500,0 8 13,6.5,322571,77.49 57.03 73
3,499,0 15 4,6.5,322052,77.49 59.37 70
4,499,0 10 10,6.5,321896,77.49 57.7 72
5,500,1 14 4,6.5,321618,77.82 59.04 70
6,500,1 9 10,6.5,321409,77.82 57.36 72
7,500,0 12 8,6.5,321116,77.49 58.37 71
8,499,0 12 7,6.5,321116,77.49 58.37 71
9,500,0 7 14,6.5,320674,77.49 56.69 73
10,498,0 7 13,6.5,320674,77.49 56.69 73
11,499,1 11 7,6.5,320652,77.82 58.03 71
12,500,0 14 6,6.5,320232,77.49 59.04 70
13,499,0 14 5,6.5,320232,77.49 59.04 70
14,498,0 14 4,6.5,320232,77.49 59.04 70
15,500,2 15 1,6.5,320199,78.16 59.37 69
16,500,2 10 7,6.5,320173,78.16 57.7 71
17,500,1 6 14,6.5,320156,77.82 56.35 73
18,499,1 6 13,6.5,320156,77.82 56.35 73
19,500,0 9 12,6.5,320024,77.49 57.36 72
20,499,0 9 11,6.5,320024,77.49 57.36 72
21,498,0 9 10,6.5,320024,77.49 57.36 72
22,500,1 13 5,6.5,319791,77.82 58.7 70
23,499,1 13 4,6.5,319791,77.82 58.7 70
24,500,2 5 13,6.5,319622,78.16 56.02 73
25,500,1 8 11,6.5,319530,77.82 57.03 72
26,499,1 8 10,6.5,319530,77.82 57.03 72
27,499,2 12 4,6.5,319334,78.16 58.37 70
28,500,0 11 9,6.5,319270,77.49 58.03 71
29,498,0 11 8,6.5,319270,77.49 58.03 71
30,497,0 11 7,6.5,319270,77.49 58.03 71
31,500,3 4 13,6.5,319072,78.49 55.68 73
32,500,2 7 11,6.5,319019,78.16 56.69 72
33,499,2 7 10,6.5,319019,78.16 56.69 72
34,500,3 11 4,6.5,318861,78.49 58.03 70
35,500,1 15 3,6.5,318825,77.82 59.37 69
36,499,1 15 2,6.5,318825,77.82 59.37 69
37,498,1 15 1,6.5,318825,77.82 59.37 69
38,500,1 10 9,6.5,318799,77.82 57.7 71
39,499,1 10 8,6.5,318799,77.82 57.7 71
40,498,1 10 7,6.5,318799,77.82 57.7 71
41,499,0 6 15,6.5,318776,77.49 56.35 73
42,498,0 6 14,6.5,318776,77.49 56.35 73
43,497,0 6 13,6.5,318776,77.49 56.35 73
44,500,3 6 10,6.5,318493,78.49 56.35 72
45,499,0 13 6,6.5,318413,77.49 58.7 70
46,498,0 13 5,6.5,318413,77.49 58.7 70
47,497,0 13 4,6.5,318413,77.49 58.7 70
48,500,2 14 2,6.5,318390,78.16 59.04 69
49,499,2 14 1,6.5,318390,78.16 59.04 69
50,500,2 9 8,6.5,318312,78.16 57.36 71
51,499,2 9 7,6.5,318312,78.16 57.36 71
52,500,1 5 15,6.5,318251,77.82 56.02 73
53,499,1 5 14,6.5,318251,77.82 56.02 73
54,498,1 5 13,6.5,318251,77.82 56.02 73
55,499,0 8 12,6.5,318153,77.49 57.03 72
56,498,0 8 11,6.5,318153,77.49 57.03 72
57,496,0 8 10,6.5,318153,77.49 57.03 72
58,500,1 12 6,6.5,317964,77.82 58.37 70
59,499,1 12 5,6.5,317964,77.82 58.37 70
60,497,1 12 4,6.5,317964,77.82 58.37 70
61,499,3 13 1,6.5,317940,78.49 58.7 69
62,499,3 8 7,6.5,317808,78.49 57.03 71
63,499,2 4 14,6.5,317709,78.16 55.68 73
64,498,2 4 13,6.5,317709,78.16 55.68 73
65,499,1 7 12,6.5,317650,77.82 56.69 72
66,498,1 7 11,6.5,317650,77.82 56.69 72
67,497,1 7 10,6.5,317650,77.82 56.69 72
68,500,2 11 6,6.5,317499,78.16 58.03 70
69,499,2 11 5,6.5,317499,78.16 58.03 70
70,498,2 11 4,6.5,317499,78.16 58.03 70
71,500,4 12 1,6.5,317474,78.83 58.37 69
72,498,0 15 3,6.5,317451,77.49 59.37 69
73,497,0 15 2,6.5,317451,77.49 59.37 69
74,496,0 15 1,6.5,317451,77.49 59.37 69
75,498,0 10 9,6.5,317425,77.49 57.7 71
76,497,0 10 8,6.5,317425,77.49 57.7 71
77,496,0 10 7,6.5,317425,77.49 57.7 71
78,500,4 7 7,6.5,317289,78.83 56.69 71
79,500,3 3 14,6.5,317150,78.49 55.35 73
80,499,3 3 13,6.5,317150,78.49 55.35 73
81,500,2 6 12,6.5,317132,78.16 56.35 72
82,499,2 6 11,6.5,317132,78.16 56.35 72
83,498,2 6 10,6.5,317132,78.16 56.35 72
84,499,1 14 3,6.5,317024,77.82 59.04 69
85,498,1 14 2,6.5,317024,77.82 59.04 69
86,497,1 14 1,6.5,317024,77.82 59.04 69
87,500,3 10 5,6.5,317018,78.49 57.7 70
88,499,3 10 4,6.5,317018,78.49 57.7 70
89,499,1 9 9,6.5,316945,77.82 57.36 71
90,498,1 9 8,6.5,316945,77.82 57.36 71
91,497,1 9 7,6.5,316945,77.82 57.36 71
92,498,0 5 15,6.5,316879,77.49 56.02 73
93,497,0 5 14,6.5,316879,77.49 56.02 73
94,495,0 5 13,6.5,316879,77.49 56.02 73
95,500,3 5 11,6.5,316597,78.49 56.02 72
96,498,3 5 10,6.5,316597,78.49 56.02 72
97,498,0 12 6,6.5,316593,77.49 58.37 70
98,496,0 12 5,6.5,316593,77.49 58.37 70
99,495,0 12 4,6.5,316593,77.49 58.37 70
100,500,2 13 3,6.5,316581,78.16 58.7 69
101,499,2 13 2,6.5,316581,78.16 58.7 69
102,497,2 13 1,6.5,316581,78.16 58.7 69
103,499,4 2 13,6.5,316575,78.83 55.01 73
104,499,4 9 4,6.5,316522,78.83 57.36 70
105,500,2 8 9,6.5,316450,78.16 57.03 71
106,498,2 8 8,6.5,316450,78.16 57.03 71
107,497,2 8 7,6.5,316450,78.16 57.03 71
108,498,1 4 15,6.5,316345,77.82 55.68 73
109,497,1 4 14,6.5,316345,77.82 55.68 73
110,496,1 4 13,6.5,316345,77.82 55.68 73
111,497,0 7 12,6.5,316281,77.49 56.69 72
112,496,0 7 11,6.5,316281,77.49 56.69 72
113,495,0 7 10,6.5,316281,77.49 56.69 72
114,498,1 11 6,6.5,316136,77.82 58.03 70
115,497,1 11 5,6.5,316136,77.82 58.03 70
116,496,1 11 4,6.5,316136,77.82 58.03 70
117,500,3 12 3,6.5,316123,78.49 58.37 69
118,499,3 12 2,6.5,316123,78.49 58.37 69
119,498,3 12 1,6.5,316123,78.49 58.37 69
120,500,4 4 11,6.5,316046,78.83 55.68 72
121,499,4 4 10,6.5,316046,78.83 55.68 72
122,500,5 8 4,6.5,316010,79.17 57.03 70
