rank,cp,ivs,maxlevel,stat-product,stats
1,500,3 15 13,4,290481,85.67 65.21 52
2,499,3 15 12,4,290481,85.67 65.21 52
3,500,4 14 12,4,290205,85.92 64.95 52
4,500,5 13 12,4,289923,86.18 64.7 52
5,500,2 15 14,4,289614,85.41 65.21 52
6,499,2 15 13,4,289614,85.41 65.21 52
7,498,2 15 12,4,289614,85.41 65.21 52
8,499,3 14 13,4,289341,85.67 64.95 52
9,498,3 14 12,4,289341,85.67 64.95 52
10,500,4 13 13,4,289063,85.92 64.7 52
11,499,4 13 12,4,289063,85.92 64.7 52
12,500,5 12 13,4,288777,86.18 64.44 52
13,499,5 12 12,4,288777,86.18 64.44 52
14,500,1 15 15,4,288746,85.15 65.21 52
15,499,1 15 14,4,288746,85.15 65.21 52
16,497,1 15 13,4,288746,85.15 65.21 52
17,496,1 15 12,4,288746,85.15 65.21 52
18,500,6 11 12,4,288485,86.43 64.19 52
19,500,2 14 15,4,288478,85.41 64.95 52
20,499,2 14 14,4,288478,85.41 64.95 52
21,498,2 14 13,4,288478,85.41 64.95 52
22,497,2 14 12,4,288478,85.41 64.95 52
23,500,7 15 8,4,288296,86.69 65.21 51
24,500,3 13 14,4,288202,85.67 64.7 52
25,498,3 13 13,4,288202,85.67 64.7 52
26,497,3 13 12,4,288202,85.67 64.7 52
27,500,7 10 12,4,288185,86.69 63.93 52
28,500,4 12 14,4,287920,85.92 64.44 52
29,499,4 12 13,4,287920,85.92 64.44 52
30,498,4 12 12,4,287920,85.92 64.44 52
31,499,5 11 13,4,287631,86.18 64.19 52
32,498,5 11 12,4,287631,86.18 64.19 52
33,499,1 14 15,4,287614,85.15 64.95 52
34,498,1 14 14,4,287614,85.15 64.95 52
35,496,1 14 13,4,287614,85.15 64.95 52
36,495,1 14 12,4,287614,85.15 64.95 52
37,500,6 15 9,4,287446,86.43 65.21 51
38,499,6 15 8,4,287446,86.43 65.21 51
39,499,2 13 15,4,287342,85.41 64.7 52
40,498,2 13 14,4,287342,85.41 64.7 52
41,497,2 13 13,4,287342,85.41 64.7 52
42,496,2 13 12,4,287342,85.41 64.7 52
43,500,6 10 13,4,287335,86.43 63.93 52
44,499,6 10 12,4,287335,86.43 63.93 52
45,500,7 14 9,4,287166,86.69 64.95 51
46,499,7 14 8,4,287166,86.69 64.95 51
47,500,3 12 15,4,287063,85.67 64.44 52
48,499,3 12 14,4,287063,85.67 64.44 52
49,497,3 12 13,4,287063,85.67 64.44 52
50,496,3 12 12,4,287063,85.67 64.44 52
51,500,7 9 13,4,287033,86.69 63.67 52
52,499,7 9 12,4,287033,86.69 63.67 52
53,500,8 13 8,4,286879,86.94 64.7 51
