rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 15 15,9,453555,55.14 58.34 141
2,500,1 13 15,9,450584,55.54 57.54 141
3,500,1 14 13,9,450495,55.54 57.94 140
4,498,0 14 15,9,450449,55.14 57.94 141
5,500,1 15 11,9,450362,55.54 58.34 139
6,500,1 15 10,9,450362,55.54 58.34 139
7,499,0 15 14,9,450339,55.14 58.34 140
8,498,0 15 13,9,450339,55.14 58.34 140
9,500,2 11 15,9,447522,55.94 56.74 141
10,500,2 12 13,9,447478,55.94 57.14 140
11,498,1 12 15,9,447455,55.54 57.14 141
12,499,1 13 14,9,447388,55.54 57.54 140
13,498,1 13 13,9,447388,55.54 57.54 140
14,500,2 13 10,9,447388,55.94 57.54 139
15,496,0 13 15,9,447342,55.14 57.54 141
16,499,1 14 12,9,447277,55.54 57.94 139
17,499,1 14 11,9,447277,55.54 57.94 139
18,498,1 14 10,9,447277,55.54 57.94 139
19,497,0 14 14,9,447254,55.14 57.94 140
20,497,0 14 13,9,447254,55.14 57.94 140
21,500,2 14 8,9,447254,55.94 57.94 138
22,498,0 15 12,9,447122,55.14 58.34 139
23,497,0 15 11,9,447122,55.14 58.34 139
24,496,0 15 10,9,447122,55.14 58.34 139
25,499,1 15 9,9,447122,55.54 58.34 138
26,498,1 15 8,9,447122,55.54 58.34 138
27,500,2 15 6,9,447075,55.94 58.34 137
28,500,2 15 5,9,447075,55.94 58.34 137
29,500,3 9 15,9,444371,56.34 55.94 141
30,498,2 10 15,9,444371,55.94 56.34 141
31,500,3 10 13,9,444371,56.34 56.34 140
32,499,2 11 14,9,444349,55.94 56.74 140
33,499,2 11 13,9,444349,55.94 56.74 140
34,496,1 11 15,9,444326,55.54 56.74 141
35,500,3 11 10,9,444326,56.34 56.74 139
36,497,1 12 14,9,444281,55.54 57.14 140
37,497,1 12 13,9,444281,55.54 57.14 140
38,500,2 12 12,9,444281,55.94 57.14 139
39,499,2 12 11,9,444281,55.94 57.14 139
40,498,2 12 10,9,444281,55.94 57.14 139
41,495,0 12 15,9,444236,55.14 57.14 141
42,500,3 12 8,9,444236,56.34 57.14 138
43,498,1 13 12,9,444193,55.54 57.54 139
44,497,1 13 11,9,444193,55.54 57.54 139
45,496,1 13 10,9,444193,55.54 57.54 139
46,496,0 13 14,9,444170,55.14 57.54 140
47,495,0 13 13,9,444170,55.14 57.54 140
48,499,2 13 9,9,444170,55.94 57.54 138
49,498,2 13 8,9,444170,55.94 57.54 138
50,500,3 13 5,9,444101,56.34 57.54 137
51,496,0 14 12,9,444060,55.14 57.94 139
52,495,0 14 11,9,444060,55.14 57.94 139
53,494,0 14 10,9,444060,55.14 57.94 139
54,497,1 14 9,9,444060,55.54 57.94 138
55,497,1 14 8,9,444060,55.54 57.94 138
56,499,2 14 7,9,444013,55.94 57.94 137
57,499,2 14 6,9,444013,55.94 57.94 137
58,498,2 14 5,9,444013,55.94 57.94 137
59,500,3 14 3,9,443921,56.34 57.94 136
60,495,0 15 9,9,443905,55.14 58.34 138
61,495,0 15 8,9,443905,55.14 58.34 138
62,498,1 15 7,9,443882,55.54 58.34 137
63,497,1 15 6,9,443882,55.54 58.34 137
64,496,1 15 5,9,443882,55.54 58.34 137
65,499,2 15 4,9,443812,55.94 58.34 136
66,498,2 15 3,9,443812,55.94 58.34 136
67,500,3 15 1,9,443696,56.34 58.34 135
68,500,3 15 0,9,443696,56.34 58.34 135
69,496,2 9 15,9,441219,55.94 55.94 141
70,499,3 9 14,9,441219,56.34 55.94 140
71,499,3 9 13,9,441219,56.34 55.94 140
72,497,2 10 14,9,441219,55.94 56.34 140
73,497,2 10 13,9,441219,55.94 56.34 140
74,498,3 8 15,9,441197,56.34 55.54 141
75,495,1 10 15,9,441197,55.54 56.34 141
76,500,3 10 12,9,441197,56.34 56.34 139
77,499,3 10 11,9,441197,56.34 56.34 139
78,498,3 10 10,9,441197,56.34 56.34 139
79,500,4 8 13,9,441175,56.74 55.54 140
80,496,1 11 14,9,441175,55.54 56.74 140
81,495,1 11 13,9,441175,55.54 56.74 140
82,500,4 9 10,9,441175,56.74 55.94 139
83,498,2 11 12,9,441175,55.94 56.74 139
84,497,2 11 11,9,441175,55.94 56.74 139
85,496,2 11 10,9,441175,55.94 56.74 139
86,500,4 7 15,9,441129,56.74 55.14 141
87,493,0 11 15,9,441129,55.14 56.74 141
88,500,4 10 8,9,441129,56.74 56.34 138
89,499,3 11 9,9,441129,56.34 56.74 138
90,498,3 11 8,9,441129,56.34 56.74 138
91,496,1 12 12,9,441108,55.54 57.14 139
92,495,1 12 11,9,441108,55.54 57.14 139
93,495,1 12 10,9,441108,55.54 57.14 139
94,494,0 12 14,9,441085,55.14 57.14 140
95,493,0 12 13,9,441085,55.14 57.14 140
96,497,2 12 9,9,441085,55.94 57.14 138
97,497,2 12 8,9,441085,55.94 57.14 138
98,500,4 11 5,9,441039,56.74 56.74 137
99,500,3 12 7,9,441017,56.34 57.14 137
100,499,3 12 6,9,441017,56.34 57.14 137
101,498,3 12 5,9,441017,56.34 57.14 137
102,494,0 13 12,9,440997,55.14 57.54 139
103,493,0 13 11,9,440997,55.14 57.54 139
104,493,0 13 10,9,440997,55.14 57.54 139
105,496,1 13 9,9,440997,55.54 57.54 138
106,495,1 13 8,9,440997,55.54 57.54 138
107,500,0 4 3,9.5,440994,56.74 55.51 140
108,498,2 13 7,9,440951,55.94 57.54 137
109,497,2 13 6,9,440951,55.94 57.54 137
110,496,2 13 5,9,440951,55.94 57.54 137
111,500,4 12 3,9,440903,56.74 57.14 136
112,494,0 14 9,9,440865,55.14 57.94 138
113,493,0 14 8,9,440865,55.14 57.94 138
114,499,3 13 4,9,440859,56.34 57.54 136
115,498,3 13 3,9,440859,56.34 57.54 136
116,500,0 3 6,9.5,440854,56.74 55.1 141
117,500,0 3 5,9.5,440854,56.74 55.1 141
118,496,1 14 7,9,440842,55.54 57.94 137
119,495,1 14 6,9,440842,55.54 57.94 137
120,494,1 14 5,9,440842,55.54 57.94 137
121,497,2 14 4,9,440772,55.94 57.94 136
122,497,2 14 3,9,440772,55.94 57.94 136
123,500,4 13 1,9,440721,56.74 57.54 135
124,500,4 13 0,9,440721,56.74 57.54 135
125,494,0 15 7,9,440689,55.14 58.34 137
126,493,0 15 6,9,440689,55.14 58.34 137
127,493,0 15 5,9,440689,55.14 58.34 137
128,500,0 2 8,9.5,440668,56.74 54.69 142
129,499,3 14 2,9,440657,56.34 57.94 135
130,499,3 14 1,9,440657,56.34 57.94 135
131,498,3 14 0,9,440657,56.34 57.94 135
132,495,1 15 4,9,440642,55.54 58.34 136
133,495,1 15 3,9,440642,55.54 58.34 136
134,497,2 15 2,9,440549,55.94 58.34 135
135,497,2 15 1,9,440549,55.94 58.34 135
136,496,2 15 0,9,440549,55.94 58.34 135
137,500,0 1 11,9.5,440434,56.74 54.28 143
138,500,0 1 10,9.5,440434,56.74 54.28 143
139,500,0 0 13,9.5,440154,56.74 53.87 144
140,500,9 15 14,8.5,438489,56.98 56.59 136
141,499,9 15 13,8.5,438489,56.98 56.59 136
142,496,2 9 14,9,438090,55.94 55.94 140
143,495,2 9 13,9,438090,55.94 55.94 140
144,495,2 8 15,9,438068,55.94 55.54 141
145,493,1 9 15,9,438068,55.54 55.94 141
146,497,3 8 14,9,438068,56.34 55.54 140
147,497,3 8 13,9,438068,56.34 55.54 140
148,494,1 10 14,9,438068,55.54 56.34 140
149,493,1 10 13,9,438068,55.54 56.34 140
150,496,2 10 12,9,438068,55.94 56.34 139
151,498,3 9 12,9,438068,56.34 55.94 139
152,497,3 9 11,9,438068,56.34 55.94 139
153,496,3 9 10,9,438068,56.34 55.94 139
154,495,2 10 11,9,438068,55.94 56.34 139
155,495,2 10 10,9,438068,55.94 56.34 139
156,496,3 7 15,9,438023,56.34 55.14 141
157,491,0 10 15,9,438023,55.14 56.34 141
158,500,4 8 12,9,438023,56.74 55.54 139
159,494,1 11 12,9,438023,55.54 56.74 139
160,499,4 8 11,9,438023,56.74 55.54 139
161,494,1 11 11,9,438023,55.54 56.74 139
162,498,4 8 10,9,438023,56.74 55.54 139
163,493,1 11 10,9,438023,55.54 56.74 139
164,497,3 10 9,9,438023,56.34 56.34 138
165,497,3 10 8,9,438023,56.34 56.34 138
166,499,4 7 14,9,438001,56.74 55.14 140
167,498,4 7 13,9,438001,56.74 55.14 140
168,492,0 11 14,9,438001,55.14 56.74 140
169,491,0 11 13,9,438001,55.14 56.74 140
170,499,4 9 9,9,438001,56.74 55.94 138
171,498,4 9 8,9,438001,56.74 55.94 138
172,496,2 11 9,9,438001,55.94 56.74 138
173,495,2 11 8,9,438001,55.94 56.74 138
174,500,5 7 10,9,437935,57.14 55.14 139
175,492,0 12 12,9,437935,55.14 57.14 139
