rank,cp,ivs,maxlevel,stat-product,stats
1,499,0 14 14,12.5,299912,83.13 53.85 67
2,500,1 13 14,12.5,298970,83.6 53.37 67
3,500,0 15 13,12.5,298027,83.13 54.32 66
4,498,0 15 12,12.5,298027,83.13 54.32 66
5,500,2 12 14,12.5,297999,84.08 52.9 67
6,499,0 13 15,12.5,297281,83.13 53.37 67
7,497,0 13 14,12.5,297281,83.13 53.37 67
8,500,1 14 13,12.5,297114,83.6 53.85 66
9,498,1 14 12,12.5,297114,83.6 53.85 66
10,500,2 15 10,12.5,296847,84.08 54.32 65
11,499,1 12 15,12.5,296325,83.6 52.9 67
12,497,1 12 14,12.5,296325,83.6 52.9 67
13,499,2 13 12,12.5,296172,84.08 53.37 66
14,500,3 14 10,12.5,295919,84.55 53.85 65
15,499,6 15 15,12,295867,84.23 53.22 66
16,497,0 14 13,12.5,295436,83.13 53.85 66
17,496,0 14 12,12.5,295436,83.13 53.85 66
18,500,2 11 15,12.5,295338,84.08 52.43 67
19,498,2 11 14,12.5,295338,84.08 52.43 67
20,500,0 13 5,13,295322,84.78 54.43 64
21,500,3 12 12,12.5,295200,84.55 52.9 66
22,499,1 15 11,12.5,295179,83.6 54.32 65
23,497,1 15 10,12.5,295179,83.6 54.32 65
24,500,7 14 15,12,294905,84.69 52.76 66
25,496,0 12 15,12.5,294650,83.13 52.9 67
26,495,0 12 14,12.5,294650,83.13 52.9 67
27,499,0 11 7,13,294628,84.78 53.47 65
28,498,1 13 13,12.5,294508,83.6 53.37 66
29,496,1 13 12,12.5,294508,83.6 53.37 66
30,500,0 6 14,13,294342,84.78 51.06 68
31,500,3 10 15,12.5,294322,84.55 51.96 67
32,499,3 10 14,12.5,294322,84.55 51.96 67
33,499,2 14 11,12.5,294266,84.08 53.85 65
34,498,2 14 10,12.5,294266,84.08 53.85 65
35,497,5 15 15,12,294241,83.77 53.22 66
36,500,4 11 12,12.5,294199,85.02 52.43 66
37,499,3 15 8,12.5,293922,84.55 54.32 64
38,500,8 13 15,12,293916,85.15 52.3 66
39,500,0 9 10,13,293771,84.78 52.5 66
40,497,1 11 15,12.5,293679,83.6 52.43 67
41,495,1 11 14,12.5,293679,83.6 52.43 67
42,500,1 10 7,13,293633,85.26 52.99 65
43,499,2 12 13,12.5,293551,84.08 52.9 66
44,497,2 12 12,12.5,293551,84.08 52.9 66
45,496,0 15 11,12.5,293512,83.13 54.32 65
46,494,0 15 10,12.5,293512,83.13 54.32 65
47,500,3 13 11,12.5,293323,84.55 53.37 65
48,498,3 13 10,12.5,293323,84.55 53.37 65
49,497,6 14 15,12,293294,84.23 52.76 66
50,500,0 14 4,13,293281,84.78 54.91 63
51,499,0 14 3,13,293281,84.78 54.91 63
52,499,4 9 14,12.5,293275,85.02 51.48 67
53,500,4 14 8,12.5,292994,85.02 53.85 64
54,500,7 15 14,12,292985,84.69 53.22 65
55,499,7 15 13,12,292985,84.69 53.22 65
56,495,0 13 13,12.5,292844,83.13 53.37 66
57,493,0 13 12,12.5,292844,83.13 53.37 66
58,500,1 15 1,13,292812,85.26 55.39 62
59,499,0 7 12,13,292750,84.78 51.54 67
60,500,0 12 6,13,292709,84.78 53.95 64
61,498,0 12 5,13,292709,84.78 53.95 64
62,498,2 10 15,12.5,292677,84.08 51.96 67
63,496,2 10 14,12.5,292677,84.08 51.96 67
64,494,4 15 15,12,292615,83.3 53.22 66
65,497,1 14 11,12.5,292613,83.6 53.85 65
66,495,1 14 10,12.5,292613,83.6 53.85 65
67,500,2 9 7,13,292607,85.74 52.5 65
68,499,3 11 13,12.5,292564,84.55 52.43 66
69,497,3 11 12,12.5,292564,84.55 52.43 66
70,499,1 13 3,13,292360,85.26 54.43 63
71,499,4 12 10,12.5,292352,85.02 52.9 65
72,498,7 13 15,12,292319,84.69 52.3 66
73,498,2 15 9,12.5,292280,84.08 54.32 64
74,496,2 15 8,12.5,292280,84.08 54.32 64
75,500,5 8 14,12.5,292199,85.49 51.01 67
76,500,5 13 8,12.5,292037,85.49 53.37 64
77,499,8 14 13,12,292024,85.15 52.76 65
78,494,0 11 15,12.5,292020,83.13 52.43 67
79,492,0 11 14,12.5,292020,83.13 52.43 67
80,499,0 10 8,13,291974,84.78 52.99 65
81,497,0 10 7,13,291974,84.78 52.99 65
82,500,2 14 1,13,291905,85.74 54.91 62
83,496,1 12 13,12.5,291902,83.6 52.9 66
84,494,1 12 12,12.5,291902,83.6 52.9 66
85,500,1 11 6,13,291744,85.26 53.47 64
86,498,1 11 5,13,291744,85.26 53.47 64
87,497,2 13 11,12.5,291684,84.08 53.37 65
88,495,2 13 10,12.5,291684,84.08 53.37 65
89,494,5 14 15,12,291682,83.77 52.76 66
90,500,1 6 12,13,291662,85.26 51.06 67
91,498,3 9 15,12.5,291646,84.55 51.48 67
92,496,3 9 14,12.5,291646,84.55 51.48 67
93,500,9 15 11,12,291630,85.62 53.22 64
94,500,0 5 15,13,291566,84.78 50.58 68
95,498,0 5 14,13,291566,84.78 50.58 68
96,500,4 10 13,12.5,291548,85.02 51.96 66
97,498,4 10 12,12.5,291548,85.02 51.96 66
98,500,2 12 3,13,291410,85.74 53.95 63
99,498,6 15 14,12,291384,84.23 53.22 65
100,496,6 15 13,12,291384,84.23 53.22 65
101,499,3 14 9,12.5,291366,84.55 53.85 64
102,497,3 14 8,12.5,291366,84.55 53.85 64
103,499,5 11 10,12.5,291351,85.49 52.43 65
104,498,8 12 15,12,291315,85.15 51.83 66
105,499,0 15 2,13,291157,84.78 55.39 62
106,497,0 15 1,13,291157,84.78 55.39 62
107,500,6 7 14,12.5,291093,85.97 50.54 67
108,500,0 8 11,13,291076,84.78 52.02 66
109,498,0 8 10,13,291076,84.78 52.02 66
110,500,9 13 13,12,291036,85.62 52.3 65
111,495,1 10 15,12.5,291033,83.6 51.96 67
112,493,1 10 14,12.5,291033,83.6 51.96 67
113,491,3 15 15,12,290990,82.84 53.22 66
114,500,1 9 8,13,290964,85.26 52.5 65
115,498,1 9 7,13,290964,85.26 52.5 65
116,494,0 14 11,12.5,290959,83.13 53.85 65
117,492,0 14 10,12.5,290959,83.13 53.85 65
118,500,4 15 7,12.5,290946,85.02 54.32 63
119,498,4 15 6,12.5,290946,85.02 54.32 63
120,496,2 11 13,12.5,290930,84.08 52.43 66
121,495,2 11 12,12.5,290930,84.08 52.43 66
122,499,2 10 5,13,290749,85.74 52.99 64
123,498,3 12 11,12.5,290727,84.55 52.9 65
124,496,3 12 10,12.5,290727,84.55 52.9 65
125,495,6 13 15,12,290721,84.23 52.3 66
126,498,0 13 4,13,290708,84.78 54.43 63
127,496,0 13 3,13,290708,84.78 54.43 63
128,495,1 15 9,12.5,290638,83.6 54.32 64
129,493,1 15 8,12.5,290638,83.6 54.32 64
130,499,4 8 15,12.5,290585,85.02 51.01 67
131,497,4 8 14,12.5,290585,85.02 51.01 67
132,500,2 5 12,13,290542,85.74 50.58 67
133,500,5 9 13,12.5,290503,85.49 51.48 66
134,498,5 9 12,12.5,290503,85.49 51.48 66
135,498,7 14 14,12,290437,84.69 52.76 65
136,496,7 14 13,12,290437,84.69 52.76 65
137,500,1 4 15,13,290430,85.26 50.1 68
138,499,1 4 14,13,290430,85.26 50.1 68
139,500,3 11 3,13,290430,86.22 53.47 63
140,499,4 13 9,12.5,290424,85.02 53.37 64
141,497,4 13 8,12.5,290424,85.02 53.37 64
142,500,6 10 10,12.5,290321,85.97 51.96 65
143,499,9 11 15,12,290283,85.62 51.37 66
144,499,1 14 2,13,290265,85.26 54.91 62
145,498,1 14 1,13,290265,85.26 54.91 62
146,493,0 12 13,12.5,290253,83.13 52.9 66
147,491,0 12 12,12.5,290253,83.13 52.9 66
148,498,0 11 6,13,290096,84.78 53.47 64
149,496,0 11 5,13,290096,84.78 53.47 64
150,492,4 14 15,12,290071,83.3 52.76 66
151,500,8 15 12,12,290054,85.15 53.22 64
152,498,8 15 11,12,290054,85.15 53.22 64
153,494,1 13 11,12.5,290046,83.6 53.37 65
154,493,1 13 10,12.5,290046,83.6 53.37 65
